Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MBLY3;06/06/2023;11:20:00;3,02;3,02;3,02;3,02;13.288,00;4.400
MBLY3;06/06/2023;11:15:00;3,03;3,03;3,02;3,02;7.551,00;2.500
MBLY3;06/06/2023;11:10:00;3,03;3,05;3,03;3,04;58.979,00;19.400
MBLY3;06/06/2023;11:05:00;2,99;3,05;2,99;3,04;270.368,00;89.400
MBLY3;06/06/2023;11:00:00;2,99;2,99;2,99;2,99;30.797,00;10.300
MBLY3;06/06/2023;10:55:00;2,97;2,99;2,97;2,99;7.455,00;2.500
MBLY3;06/06/2023;10:50:00;2,96;2,97;2,96;2,97;2.369,00;800
MBLY3;06/06/2023;10:40:00;2,98;2,98;2,97;2,97;17.276,00;5.800
MBLY3;06/06/2023;10:35:00;2,96;2,97;2,96;2,97;17.816,00;6.000
MBLY3;06/06/2023;10:30:00;2,93;2,97;2,93;2,97;59.191,00;20.100
MBLY3;06/06/2023;10:25:00;2,94;2,94;2,94;2,94;882,00;300
MBLY3;06/06/2023;10:20:00;2,93;2,94;2,93;2,94;33.110,00;11.300
MBLY3;06/06/2023;10:15:00;2,96;2,97;2,94;2,94;34.381,00;11.600
MBLY3;06/06/2023;10:10:00;2,98;2,98;2,95;2,96;47.336,00;16.000
MBLY3;06/06/2023;10:05:00;2,98;3,02;2,97;2,97;205.400,00;68.800
MBLY3;05/06/2023;17:30:00;2,93;2,94;2,93;2,93;22.562,00;7.700
MBLY3;05/06/2023;16:50:00;2,90;2,93;2,87;2,93;159.718,00;54.600
MBLY3;05/06/2023;16:45:00;2,90;2,91;2,90;2,91;31.928,00;11.000
MBLY3;05/06/2023;16:40:00;2,92;2,92;2,90;2,91;22.947,00;7.900
MBLY3;05/06/2023;16:35:00;2,91;2,92;2,86;2,92;100.841,00;35.000
MBLY3;05/06/2023;16:30:00;2,92;2,93;2,88;2,88;148.130,00;51.000
MBLY3;05/06/2023;16:25:00;2,91;2,91;2,91;2,91;22.116,00;7.600
MBLY3;05/06/2023;16:20:00;2,92;2,92;2,91;2,91;32.074,00;11.000
MBLY3;05/06/2023;16:10:00;2,91;2,91;2,91;2,91;4.365,00;1.500
MBLY3;05/06/2023;16:05:00;2,90;2,91;2,90;2,91;18.035,00;6.200
MBLY3;05/06/2023;16:00:00;2,91;2,91;2,91;2,91;1.746,00;600
MBLY3;05/06/2023;15:55:00;2,91;2,91;2,91;2,91;8.439,00;2.900
MBLY3;05/06/2023;15:50:00;2,91;2,91;2,90;2,91;20.618,00;7.100
MBLY3;05/06/2023;15:45:00;2,91;2,91;2,91;2,91;14.550,00;5.000
MBLY3;05/06/2023;15:40:00;2,92;2,92;2,92;2,92;16.936,00;5.800
MBLY3;05/06/2023;15:35:00;2,92;2,92;2,92;2,92;5.548,00;1.900
MBLY3;05/06/2023;15:30:00;2,92;2,92;2,91;2,91;4.087,00;1.400
MBLY3;05/06/2023;15:25:00;2,92;2,92;2,92;2,92;12.264,00;4.200
MBLY3;05/06/2023;15:20:00;2,90;2,92;2,90;2,92;874,00;300
MBLY3;05/06/2023;15:15:00;2,91;2,92;2,91;2,92;4.373,00;1.500
MBLY3;05/06/2023;15:10:00;2,92;2,92;2,90;2,92;18.584,00;6.400
MBLY3;05/06/2023;15:05:00;2,92;2,93;2,92;2,93;4.090,00;1.400
MBLY3;05/06/2023;15:00:00;2,92;2,93;2,91;2,92;31.507,00;10.800
MBLY3;05/06/2023;14:55:00;2,93;2,93;2,92;2,92;34.179,00;11.700
MBLY3;05/06/2023;14:50:00;2,91;2,92;2,91;2,91;35.262,00;12.100
MBLY3;05/06/2023;14:45:00;2,90;2,91;2,90;2,90;90.489,00;31.100
MBLY3;05/06/2023;14:40:00;2,90;2,90;2,90;2,90;580,00;200
MBLY3;05/06/2023;14:25:00;2,90;2,90;2,90;2,90;3.480,00;1.200
MBLY3;05/06/2023;14:20:00;2,91;2,91;2,91;2,91;1.164,00;400
MBLY3;05/06/2023;14:15:00;2,90;2,90;2,90;2,90;11.310,00;3.900
MBLY3;05/06/2023;14:05:00;2,91;2,91;2,91;2,91;17.751,00;6.100
MBLY3;05/06/2023;14:00:00;2,91;2,91;2,91;2,91;14.550,00;5.000
MBLY3;05/06/2023;13:55:00;2,91;2,91;2,91;2,91;55.290,00;19.000
MBLY3;05/06/2023;13:50:00;2,90;2,91;2,89;2,91;33.897,00;11.700
MBLY3;05/06/2023;13:45:00;2,90;2,91;2,90;2,91;45.908,00;15.800
MBLY3;05/06/2023;13:35:00;2,90;2,90;2,90;2,90;9.860,00;3.400
MBLY3;05/06/2023;13:30:00;2,90;2,90;2,90;2,90;3.480,00;1.200
MBLY3;05/06/2023;13:25:00;2,89;2,90;2,89;2,90;136.514,00;47.100
MBLY3;05/06/2023;13:15:00;2,89;2,89;2,89;2,89;1.156,00;400
MBLY3;05/06/2023;13:10:00;2,89;2,89;2,88;2,89;42.437,00;14.700
MBLY3;05/06/2023;13:05:00;2,88;2,89;2,87;2,89;148.707,00;51.600
MBLY3;05/06/2023;13:00:00;2,88;2,88;2,88;2,88;58.464,00;20.300
MBLY3;05/06/2023;12:50:00;2,86;2,87;2,86;2,87;31.195,00;10.900
MBLY3;05/06/2023;12:45:00;2,85;2,87;2,84;2,87;14.840,00;5.200
MBLY3;05/06/2023;12:40:00;2,87;2,87;2,85;2,86;42.902,00;15.000
MBLY3;05/06/2023;12:35:00;2,88;2,88;2,87;2,87;88.127,00;30.600
MBLY3;05/06/2023;12:30:00;2,88;2,88;2,88;2,88;20.448,00;7.100
MBLY3;05/06/2023;12:20:00;2,88;2,88;2,88;2,88;1.152,00;400
MBLY3;05/06/2023;12:15:00;2,88;2,88;2,88;2,88;33.696,00;11.700
MBLY3;05/06/2023;12:05:00;2,88;2,88;2,88;2,88;58.464,00;20.300
MBLY3;05/06/2023;12:00:00;2,88;2,88;2,87;2,88;47.230,00;16.400
MBLY3;05/06/2023;11:55:00;2,88;2,88;2,88;2,88;128.448,00;44.600
MBLY3;05/06/2023;11:50:00;2,87;2,88;2,87;2,88;100.132,00;34.800
MBLY3;05/06/2023;11:45:00;2,85;2,87;2,85;2,87;6.579,00;2.300
MBLY3;05/06/2023;11:40:00;2,82;2,85;2,82;2,85;3.685,00;1.300
MBLY3;05/06/2023;11:35:00;2,83;2,84;2,82;2,84;8.775,00;3.100
MBLY3;05/06/2023;11:30:00;2,83;2,84;2,83;2,84;11.039,00;3.900
MBLY3;05/06/2023;11:25:00;2,83;2,86;2,82;2,83;71.944,00;25.400
MBLY3;05/06/2023;11:20:00;2,86;2,88;2,83;2,83;320.974,00;112.600
MBLY3;05/06/2023;11:15:00;2,83;2,84;2,83;2,84;43.970,00;15.500
MBLY3;05/06/2023;11:10:00;2,83;2,85;2,83;2,84;115.954,00;40.800
MBLY3;05/06/2023;11:05:00;2,83;2,84;2,83;2,83;3.398,00;1.200
MBLY3;05/06/2023;11:00:00;2,82;2,84;2,81;2,84;51.233,00;18.200
MBLY3;05/06/2023;10:55:00;2,78;2,81;2,75;2,81;276.147,00;99.800
MBLY3;05/06/2023;10:50:00;2,80;2,82;2,80;2,81;22.436,00;8.000
MBLY3;05/06/2023;10:45:00;2,80;2,80;2,80;2,80;1.400,00;500
MBLY3;05/06/2023;10:40:00;2,81;2,82;2,80;2,80;1.964,00;700
MBLY3;05/06/2023;10:35:00;2,79;2,80;2,79;2,80;1.118,00;400
MBLY3;05/06/2023;10:30:00;2,78;2,79;2,78;2,79;836,00;300
MBLY3;05/06/2023;10:20:00;2,80;2,80;2,80;2,80;840,00;300
MBLY3;05/06/2023;10:15:00;2,81;2,81;2,78;2,79;10.600,00;3.800
MBLY3;05/06/2023;10:10:00;2,81;2,82;2,80;2,80;16.808,00;6.000
MBLY3;05/06/2023;10:05:00;2,80;2,80;2,80;2,80;3.080,00;1.100
MBLY3;05/06/2023;10:00:00;2,79;2,79;2,79;2,79;1.395,00;500
MBLY3;02/06/2023;17:30:00;2,74;2,74;2,74;2,74;274,00;100
MBLY3;02/06/2023;16:50:00;2,79;2,79;2,76;2,77;394.200,00;142.200
MBLY3;02/06/2023;16:45:00;2,78;2,79;2,78;2,79;32.014,00;11.500
MBLY3;02/06/2023;16:40:00;2,75;2,78;2,75;2,78;131.113,00;47.400
MBLY3;02/06/2023;16:35:00;2,75;2,76;2,74;2,75;15.392,00;5.600
MBLY3;02/06/2023;16:30:00;2,75;2,75;2,74;2,75;32.358,00;11.800
MBLY3;02/06/2023;16:25:00;2,74;2,75;2,74;2,75;16.168,00;5.900
MBLY3;02/06/2023;16:20:00;2,73;2,74;2,73;2,74;33.331,00;12.200
MBLY3;02/06/2023;16:15:00;2,73;2,73;2,73;2,73;20.748,00;7.600
MBLY3;02/06/2023;16:10:00;2,73;2,73;2,71;2,73;68.581,00;25.200
MBLY3;02/06/2023;16:05:00;2,74;2,74;2,73;2,74;10.402,00;3.800
MBLY3;02/06/2023;16:00:00;2,74;2,74;2,74;2,74;7.946,00;2.900
MBLY3;02/06/2023;15:55:00;2,74;2,74;2,73;2,74;7.670,00;2.800
MBLY3;02/06/2023;15:50:00;2,74;2,74;2,74;2,74;6.302,00;2.300
MBLY3;02/06/2023;15:45:00;2,74;2,74;2,74;2,74;6.576,00;2.400
MBLY3;02/06/2023;15:40:00;2,73;2,74;2,71;2,74;55.126,00;20.200
MBLY3;02/06/2023;15:35:00;2,72;2,73;2,72;2,73;11.426,00;4.200
MBLY3;02/06/2023;15:30:00;2,72;2,72;2,72;2,72;10.880,00;4.000
MBLY3;02/06/2023;15:25:00;2,72;2,72;2,72;2,72;9.520,00;3.500
MBLY3;02/06/2023;15:20:00;2,75;2,75;2,70;2,72;161.861,00;59.600
