Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MDIA3;06/06/2023;11:20:00;39,94;39,97;39,93;39,95;147.812,00;3.700
MDIA3;06/06/2023;11:15:00;40,13;40,14;39,88;39,94;3.292.846,00;82.300
MDIA3;06/06/2023;11:10:00;40,17;40,22;40,08;40,15;429.501,00;10.700
MDIA3;06/06/2023;11:05:00;40,14;40,24;40,14;40,20;225.091,00;5.600
MDIA3;06/06/2023;11:00:00;40,27;40,34;40,15;40,15;317.868,00;7.900
MDIA3;06/06/2023;10:55:00;40,14;40,30;40,14;40,26;168.997,00;4.200
MDIA3;06/06/2023;10:50:00;40,45;40,46;40,13;40,15;760.881,00;18.900
MDIA3;06/06/2023;10:45:00;40,38;40,45;40,38;40,44;258.712,00;6.400
MDIA3;06/06/2023;10:40:00;40,40;40,41;40,36;40,39;242.286,00;6.000
MDIA3;06/06/2023;10:35:00;40,34;40,44;40,34;40,43;246.468,00;6.100
MDIA3;06/06/2023;10:30:00;40,32;40,50;40,32;40,36;537.336,00;13.300
MDIA3;06/06/2023;10:25:00;40,36;40,36;40,17;40,32;450.667,00;11.200
MDIA3;06/06/2023;10:20:00;40,40;40,42;40,32;40,32;436.075,00;10.800
MDIA3;06/06/2023;10:15:00;40,40;40,49;40,32;40,41;311.150,00;7.700
MDIA3;06/06/2023;10:10:00;40,69;40,72;40,40;40,46;296.133,00;7.300
MDIA3;06/06/2023;10:05:00;40,76;40,86;40,63;40,68;260.715,00;6.400
MDIA3;06/06/2023;10:00:00;40,67;40,76;40,63;40,72;179.085,00;4.400
MDIA3;05/06/2023;17:30:00;40,72;40,72;40,59;40,59;24.419,00;600
MDIA3;05/06/2023;16:50:00;40,60;40,69;40,56;40,60;17.093.605,00;421.000
MDIA3;05/06/2023;16:45:00;40,64;40,66;40,58;40,60;312.796,00;7.700
MDIA3;05/06/2023;16:40:00;40,64;40,66;40,62;40,65;247.915,00;6.100
MDIA3;05/06/2023;16:35:00;40,63;40,64;40,60;40,63;121.872,00;3.000
MDIA3;05/06/2023;16:30:00;40,60;40,65;40,60;40,64;223.455,00;5.500
MDIA3;05/06/2023;16:25:00;40,57;40,60;40,55;40,60;158.249,00;3.900
MDIA3;05/06/2023;16:20:00;40,49;40,59;40,48;40,57;202.666,00;5.000
MDIA3;05/06/2023;16:15:00;40,48;40,52;40,46;40,50;121.493,00;3.000
MDIA3;05/06/2023;16:10:00;40,46;40,49;40,46;40,47;165.929,00;4.100
MDIA3;05/06/2023;16:05:00;40,49;40,50;40,46;40,48;117.391,00;2.900
MDIA3;05/06/2023;16:00:00;40,46;40,48;40,45;40,47;129.480,00;3.200
MDIA3;05/06/2023;15:55:00;40,44;40,49;40,44;40,49;68.803,00;1.700
MDIA3;05/06/2023;15:50:00;40,45;40,50;40,42;40,45;165.888,00;4.100
MDIA3;05/06/2023;15:45:00;40,48;40,48;40,40;40,45;10.368.198,00;256.200
MDIA3;05/06/2023;15:40:00;40,47;40,52;40,47;40,49;105.290,00;2.600
MDIA3;05/06/2023;15:35:00;40,48;40,48;40,46;40,48;64.759,00;1.600
MDIA3;05/06/2023;15:30:00;40,49;40,49;40,48;40,48;76.921,00;1.900
MDIA3;05/06/2023;15:25:00;40,49;40,49;40,42;40,47;93.055,00;2.300
MDIA3;05/06/2023;15:20:00;40,49;40,51;40,45;40,46;121.428,00;3.000
MDIA3;05/06/2023;15:15:00;40,45;40,47;40,43;40,47;125.410,00;3.100
MDIA3;05/06/2023;15:10:00;40,49;40,55;40,46;40,46;741.769,00;18.300
MDIA3;05/06/2023;15:05:00;40,56;40,57;40,46;40,50;89.125,00;2.200
MDIA3;05/06/2023;15:00:00;40,50;40,61;40,50;40,56;133.847,00;3.300
MDIA3;05/06/2023;14:55:00;40,48;40,50;40,46;40,48;89.044,00;2.200
MDIA3;05/06/2023;14:50:00;40,36;40,45;40,36;40,45;230.363,00;5.700
MDIA3;05/06/2023;14:45:00;40,38;40,41;40,36;40,37;68.643,00;1.700
MDIA3;05/06/2023;14:40:00;40,24;40,40;40,24;40,40;181.372,00;4.500
MDIA3;05/06/2023;14:35:00;40,41;40,42;40,25;40,25;588.763,00;14.600
MDIA3;05/06/2023;14:30:00;40,47;40,47;40,40;40,42;121.343,00;3.000
MDIA3;05/06/2023;14:25:00;40,53;40,54;40,47;40,50;109.354,00;2.700
MDIA3;05/06/2023;14:20:00;40,53;40,55;40,50;40,54;109.439,00;2.700
MDIA3;05/06/2023;14:15:00;40,51;40,56;40,49;40,54;125.616,00;3.100
MDIA3;05/06/2023;14:10:00;40,51;40,54;40,49;40,50;113.462,00;2.800
MDIA3;05/06/2023;14:05:00;40,51;40,51;40,44;40,51;93.110,00;2.300
MDIA3;05/06/2023;14:00:00;40,50;40,52;40,45;40,52;85.021,00;2.100
MDIA3;05/06/2023;13:55:00;40,49;40,52;40,48;40,51;141.753,00;3.500
MDIA3;05/06/2023;13:50:00;40,46;40,50;40,45;40,48;117.383,00;2.900
MDIA3;05/06/2023;13:45:00;40,46;40,52;40,46;40,47;133.601,00;3.300
MDIA3;05/06/2023;13:40:00;40,40;40,48;40,40;40,47;84.937,00;2.100
MDIA3;05/06/2023;13:35:00;40,42;40,45;40,38;40,39;177.831,00;4.400
MDIA3;05/06/2023;13:30:00;40,45;40,45;40,41;40,43;72.773,00;1.800
MDIA3;05/06/2023;13:25:00;40,47;40,47;40,41;40,43;60.657,00;1.500
MDIA3;05/06/2023;13:20:00;40,50;40,52;40,45;40,47;76.914,00;1.900
MDIA3;05/06/2023;13:15:00;40,53;40,55;40,50;40,53;129.672,00;3.200
MDIA3;05/06/2023;13:10:00;40,50;40,55;40,48;40,54;182.302,00;4.500
MDIA3;05/06/2023;13:05:00;40,46;40,51;40,45;40,49;251.004,00;6.200
MDIA3;05/06/2023;13:00:00;40,44;40,48;40,39;40,47;198.171,00;4.900
MDIA3;05/06/2023;12:55:00;40,35;40,44;40,32;40,43;129.233,00;3.200
MDIA3;05/06/2023;12:50:00;40,34;40,39;40,33;40,33;104.941,00;2.600
MDIA3;05/06/2023;12:45:00;40,36;40,37;40,35;40,36;68.608,00;1.700
MDIA3;05/06/2023;12:40:00;40,32;40,38;40,32;40,38;80.674,00;2.000
MDIA3;05/06/2023;12:35:00;40,38;40,38;40,33;40,34;88.780,00;2.200
MDIA3;05/06/2023;12:30:00;40,40;40,44;40,37;40,38;84.832,00;2.100
MDIA3;05/06/2023;12:25:00;40,42;40,44;40,41;40,42;80.847,00;2.000
MDIA3;05/06/2023;12:20:00;40,42;40,43;40,41;40,42;56.580,00;1.400
MDIA3;05/06/2023;12:15:00;40,42;40,48;40,36;40,42;190.045,00;4.700
MDIA3;05/06/2023;12:10:00;40,42;40,46;40,42;40,45;88.963,00;2.200
MDIA3;05/06/2023;12:05:00;40,46;40,46;40,41;40,44;64.689,00;1.600
MDIA3;05/06/2023;12:00:00;40,49;40,51;40,45;40,46;36.428,00;900
MDIA3;05/06/2023;11:55:00;40,52;40,52;40,47;40,50;137.660,00;3.400
MDIA3;05/06/2023;11:50:00;40,50;40,65;40,50;40,53;592.206,00;14.600
MDIA3;05/06/2023;11:45:00;40,48;40,51;40,46;40,50;161.899,00;4.000
MDIA3;05/06/2023;11:40:00;40,39;40,48;40,39;40,48;105.122,00;2.600
MDIA3;05/06/2023;11:35:00;40,36;40,39;40,28;40,39;403.348,00;10.000
MDIA3;05/06/2023;11:30:00;40,40;40,40;40,37;40,37;68.651,00;1.700
MDIA3;05/06/2023;11:25:00;40,41;40,46;40,35;40,35;347.512,00;8.600
MDIA3;05/06/2023;11:20:00;40,35;40,44;40,30;40,41;165.575,00;4.100
MDIA3;05/06/2023;11:15:00;40,55;40,60;40,36;40,39;761.033,00;18.800
MDIA3;05/06/2023;11:10:00;40,65;40,68;40,52;40,52;466.835,00;11.500
MDIA3;05/06/2023;11:05:00;40,62;40,73;40,62;40,64;178.953,00;4.400
MDIA3;05/06/2023;11:00:00;40,72;40,72;40,61;40,61;40.671,00;1.000
MDIA3;05/06/2023;10:55:00;40,79;40,79;40,63;40,70;183.121,00;4.500
MDIA3;05/06/2023;10:50:00;40,83;40,92;40,75;40,78;363.394,00;8.900
MDIA3;05/06/2023;10:45:00;40,78;40,83;40,77;40,83;89.779,00;2.200
MDIA3;05/06/2023;10:40:00;40,77;40,80;40,72;40,76;93.779,00;2.300
MDIA3;05/06/2023;10:35:00;40,76;40,85;40,73;40,77;207.921,00;5.100
MDIA3;05/06/2023;10:30:00;40,67;40,76;40,61;40,76;117.888,00;2.900
MDIA3;05/06/2023;10:25:00;40,65;40,65;40,51;40,64;425.945,00;10.500
MDIA3;05/06/2023;10:20:00;40,66;40,74;40,64;40,65;109.844,00;2.700
MDIA3;05/06/2023;10:15:00;41,03;41,03;40,68;40,68;245.169,00;6.000
MDIA3;05/06/2023;10:10:00;40,99;41,08;40,90;41,03;315.445,00;7.700
MDIA3;05/06/2023;10:05:00;40,70;41,00;40,70;41,00;453.052,00;11.100
MDIA3;05/06/2023;10:00:00;40,45;40,68;40,45;40,68;315.893,00;7.800
MDIA3;02/06/2023;17:30:00;40,65;40,80;40,60;40,80;130.123,00;3.200
MDIA3;02/06/2023;16:50:00;40,84;40,86;40,67;40,67;7.305.865,00;179.600
MDIA3;02/06/2023;16:45:00;40,85;40,89;40,83;40,84;911.013,00;22.300
MDIA3;02/06/2023;16:40:00;40,79;40,90;40,79;40,84;1.062.479,00;26.000
MDIA3;02/06/2023;16:35:00;40,72;40,82;40,67;40,80;700.809,00;17.200
MDIA3;02/06/2023;16:30:00;40,68;40,74;40,65;40,71;525.025,00;12.900
MDIA3;02/06/2023;16:25:00;40,77;40,80;40,66;40,66;981.980,00;24.100
MDIA3;02/06/2023;16:20:00;40,77;40,80;40,74;40,75;497.400,00;12.200
MDIA3;02/06/2023;16:15:00;40,76;40,79;40,74;40,74;497.268,00;12.200
MDIA3;02/06/2023;16:10:00;40,74;40,76;40,70;40,76;382.862,00;9.400
MDIA3;02/06/2023;16:05:00;40,75;40,77;40,70;40,73;472.472,00;11.600
MDIA3;02/06/2023;16:00:00;40,79;40,80;40,71;40,75;529.889,00;13.000
MDIA3;02/06/2023;15:55:00;40,75;40,79;40,69;40,79;378.750,00;9.300
MDIA3;02/06/2023;15:50:00;40,72;40,74;40,69;40,74;562.017,00;13.800
MDIA3;02/06/2023;15:45:00;40,60;40,73;40,60;40,73;439.224,00;10.800
MDIA3;02/06/2023;15:40:00;40,69;40,72;40,61;40,61;435.383,00;10.700
MDIA3;02/06/2023;15:35:00;40,66;40,71;40,65;40,67;366.090,00;9.000
MDIA3;02/06/2023;15:30:00;40,65;40,69;40,60;40,65;548.929,00;13.500
MDIA3;02/06/2023;15:25:00;40,65;40,70;40,60;40,64;406.518,00;10.000
MDIA3;02/06/2023;15:20:00;40,47;40,65;40,46;40,61;600.377,00;14.800
MDIA3;02/06/2023;15:15:00;40,38;40,48;40,38;40,46;218.372,00;5.400
MDIA3;02/06/2023;15:10:00;40,45;40,48;40,32;40,36;944.794,00;23.400
MDIA3;02/06/2023;15:05:00;40,49;40,50;40,43;40,48;327.758,00;8.100
MDIA3;02/06/2023;15:00:00;40,48;40,51;40,45;40,48;263.051,00;6.500
MDIA3;02/06/2023;14:55:00;40,53;40,57;40,47;40,48;457.833,00;11.300
MDIA3;02/06/2023;14:50:00;40,48;40,56;40,45;40,55;312.016,00;7.700
MDIA3;02/06/2023;14:45:00;40,43;40,47;40,39;40,47;230.364,00;5.700
MDIA3;02/06/2023;14:40:00;40,42;40,44;40,40;40,42;242.536,00;6.000
MDIA3;02/06/2023;14:35:00;40,43;40,44;40,40;40,43;278.895,00;6.900
MDIA3;02/06/2023;14:30:00;40,46;40,48;40,42;40,42;372.179,00;9.200
MDIA3;02/06/2023;14:25:00;40,45;40,47;40,43;40,47;250.809,00;6.200
MDIA3;02/06/2023;14:20:00;40,39;40,48;40,39;40,43;363.813,00;9.000
MDIA3;02/06/2023;14:15:00;40,37;40,40;40,36;40,37;137.280,00;3.400
MDIA3;02/06/2023;14:10:00;40,44;40,46;40,35;40,40;351.580,00;8.700
MDIA3;02/06/2023;14:05:00;40,43;40,46;40,40;40,46;230.433,00;5.700
