Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MDNE3;16/06/2023;17:30:00;8,50;8,50;8,41;8,41;10.139,00;1.200
MDNE3;16/06/2023;16:45:00;8,58;8,64;8,50;8,50;1.271.014,00;149.500
MDNE3;16/06/2023;16:40:00;8,60;8,60;8,59;8,60;15.470,00;1.800
MDNE3;16/06/2023;16:35:00;8,54;8,60;8,54;8,60;15.440,00;1.800
MDNE3;16/06/2023;16:30:00;8,62;8,63;8,50;8,55;152.605,00;17.800
MDNE3;16/06/2023;16:25:00;8,63;8,63;8,60;8,60;4.311,00;500
MDNE3;16/06/2023;16:20:00;8,65;8,66;8,61;8,66;10.366,00;1.200
MDNE3;16/06/2023;16:15:00;8,63;8,67;8,63;8,67;63.117,00;7.300
MDNE3;16/06/2023;16:10:00;8,63;8,63;8,63;8,63;863,00;100
MDNE3;16/06/2023;16:05:00;8,61;8,62;8,61;8,61;15.508,00;1.800
MDNE3;16/06/2023;16:00:00;8,62;8,62;8,61;8,61;18.962,00;2.200
MDNE3;16/06/2023;15:55:00;8,63;8,63;8,62;8,62;4.311,00;500
MDNE3;16/06/2023;15:50:00;8,61;8,62;8,60;8,62;7.748,00;900
MDNE3;16/06/2023;15:45:00;8,65;8,65;8,60;8,60;10.355,00;1.200
MDNE3;16/06/2023;15:40:00;8,65;8,65;8,65;8,65;3.460,00;400
MDNE3;16/06/2023;15:35:00;8,66;8,66;8,65;8,65;3.461,00;400
MDNE3;16/06/2023;15:30:00;8,67;8,67;8,67;8,67;867,00;100
MDNE3;16/06/2023;15:25:00;8,65;8,67;8,65;8,66;6.060,00;700
MDNE3;16/06/2023;15:15:00;8,61;8,65;8,61;8,65;3.456,00;400
MDNE3;16/06/2023;15:10:00;8,64;8,66;8,61;8,61;27.684,00;3.200
MDNE3;16/06/2023;15:05:00;8,65;8,65;8,61;8,61;3.453,00;400
MDNE3;16/06/2023;15:00:00;8,61;8,66;8,61;8,62;49.148,00;5.700
MDNE3;16/06/2023;14:55:00;8,63;8,63;8,60;8,60;80.875,00;9.400
MDNE3;16/06/2023;14:50:00;8,68;8,72;8,65;8,65;88.479,00;10.200
MDNE3;16/06/2023;14:45:00;8,70;8,70;8,68;8,68;10.424,00;1.200
MDNE3;16/06/2023;14:40:00;8,67;8,70;8,67;8,70;33.901,00;3.900
MDNE3;16/06/2023;14:30:00;8,66;8,66;8,66;8,66;12.124,00;1.400
MDNE3;16/06/2023;14:20:00;8,68;8,68;8,66;8,66;7.801,00;900
MDNE3;16/06/2023;14:15:00;8,68;8,68;8,68;8,68;2.604,00;300
MDNE3;16/06/2023;14:10:00;8,68;8,68;8,68;8,68;8.680,00;1.000
MDNE3;16/06/2023;14:05:00;8,69;8,69;8,69;8,69;1.738,00;200
MDNE3;16/06/2023;14:00:00;8,70;8,70;8,70;8,70;4.350,00;500
MDNE3;16/06/2023;13:55:00;8,64;8,70;8,64;8,66;19.944,00;2.300
MDNE3;16/06/2023;13:50:00;8,65;8,65;8,60;8,60;16.397,00;1.900
MDNE3;16/06/2023;13:45:00;8,66;8,66;8,66;8,66;866,00;100
MDNE3;16/06/2023;13:40:00;8,66;8,66;8,66;8,66;1.732,00;200
MDNE3;16/06/2023;13:35:00;8,63;8,63;8,63;8,63;863,00;100
MDNE3;16/06/2023;13:30:00;8,60;8,66;8,60;8,63;24.191,00;2.800
MDNE3;16/06/2023;13:25:00;8,65;8,65;8,60;8,60;51.791,00;6.000
MDNE3;16/06/2023;13:20:00;8,69;8,69;8,65;8,65;39.878,00;4.600
MDNE3;16/06/2023;13:10:00;8,70;8,70;8,70;8,70;870,00;100
MDNE3;16/06/2023;13:05:00;8,68;8,68;8,68;8,68;868,00;100
MDNE3;16/06/2023;13:00:00;8,71;8,71;8,69;8,69;4.353,00;500
MDNE3;16/06/2023;12:55:00;8,73;8,73;8,73;8,73;1.746,00;200
MDNE3;16/06/2023;12:50:00;8,74;8,81;8,69;8,69;104.343,00;11.900
MDNE3;16/06/2023;12:45:00;8,71;8,71;8,71;8,71;1.742,00;200
MDNE3;16/06/2023;12:40:00;8,67;8,72;8,67;8,72;20.029,00;2.300
MDNE3;16/06/2023;12:35:00;8,67;8,67;8,67;8,67;1.734,00;200
MDNE3;16/06/2023;12:30:00;8,67;8,70;8,67;8,70;19.112,00;2.200
MDNE3;16/06/2023;12:25:00;8,67;8,67;8,67;8,67;867,00;100
MDNE3;16/06/2023;12:20:00;8,65;8,65;8,65;8,65;6.055,00;700
MDNE3;16/06/2023;12:15:00;8,67;8,67;8,67;8,67;867,00;100
MDNE3;16/06/2023;12:00:00;8,65;8,65;8,65;8,65;1.730,00;200
MDNE3;16/06/2023;11:55:00;8,64;8,64;8,64;8,64;1.728,00;200
MDNE3;16/06/2023;11:45:00;8,67;8,67;8,65;8,67;20.768,00;2.400
MDNE3;16/06/2023;11:40:00;8,65;8,65;8,65;8,65;1.730,00;200
MDNE3;16/06/2023;11:20:00;8,65;8,65;8,65;8,65;1.730,00;200
MDNE3;16/06/2023;11:10:00;8,63;8,64;8,63;8,64;7.775,00;900
MDNE3;16/06/2023;11:05:00;8,58;8,58;8,58;8,58;2.574,00;300
MDNE3;16/06/2023;11:00:00;8,56;8,59;8,56;8,57;16.313,00;1.900
MDNE3;16/06/2023;10:55:00;8,56;8,57;8,52;8,57;18.795,00;2.200
MDNE3;16/06/2023;10:45:00;8,56;8,56;8,56;8,56;856,00;100
MDNE3;16/06/2023;10:40:00;8,57;8,58;8,56;8,58;99.507,00;11.600
MDNE3;16/06/2023;10:30:00;8,57;8,57;8,56;8,56;1.713,00;200
MDNE3;16/06/2023;10:20:00;8,50;8,55;8,50;8,55;10.216,00;1.200
MDNE3;16/06/2023;10:10:00;8,50;8,50;8,50;8,50;850,00;100
MDNE3;16/06/2023;10:05:00;8,52;8,52;8,52;8,52;852,00;100
MDNE3;16/06/2023;10:00:00;8,55;8,55;8,55;8,55;20.520,00;2.400
MDNE3;15/06/2023;17:30:00;8,57;8,57;8,57;8,57;1.714,00;200
MDNE3;15/06/2023;16:50:00;8,57;8,60;8,57;8,57;137.984,00;16.100
MDNE3;15/06/2023;16:45:00;8,60;8,60;8,58;8,58;6.866,00;800
MDNE3;15/06/2023;16:40:00;8,59;8,61;8,59;8,59;8.597,00;1.000
MDNE3;15/06/2023;16:35:00;8,60;8,62;8,59;8,59;6.881,00;800
MDNE3;15/06/2023;16:30:00;8,60;8,61;8,60;8,60;2.581,00;300
MDNE3;15/06/2023;16:25:00;8,60;8,60;8,60;8,60;1.720,00;200
MDNE3;15/06/2023;16:20:00;8,63;8,63;8,60;8,61;7.748,00;900
MDNE3;15/06/2023;16:15:00;8,61;8,63;8,60;8,63;15.497,00;1.800
MDNE3;15/06/2023;16:10:00;8,60;8,60;8,60;8,60;3.440,00;400
MDNE3;15/06/2023;16:05:00;8,60;8,62;8,60;8,60;5.163,00;600
MDNE3;15/06/2023;16:00:00;8,60;8,62;8,60;8,60;18.932,00;2.200
MDNE3;15/06/2023;15:55:00;8,60;8,62;8,60;8,62;16.360,00;1.900
MDNE3;15/06/2023;15:50:00;8,61;8,62;8,60;8,60;19.790,00;2.300
MDNE3;15/06/2023;15:45:00;8,60;8,61;8,59;8,60;122.051,00;14.200
MDNE3;15/06/2023;15:40:00;8,61;8,61;8,60;8,61;82.580,00;9.600
MDNE3;15/06/2023;15:35:00;8,63;8,65;8,63;8,63;11.221,00;1.300
MDNE3;15/06/2023;15:30:00;8,63;8,65;8,63;8,63;12.955,00;1.500
MDNE3;15/06/2023;15:25:00;8,62;8,63;8,60;8,63;6.892,00;800
MDNE3;15/06/2023;15:20:00;8,62;8,62;8,62;8,62;1.724,00;200
MDNE3;15/06/2023;15:15:00;8,62;8,62;8,61;8,61;4.308,00;500
MDNE3;15/06/2023;15:10:00;8,62;8,62;8,61;8,61;4.308,00;500
MDNE3;15/06/2023;15:05:00;8,63;8,63;8,63;8,63;132.039,00;15.300
MDNE3;15/06/2023;15:00:00;8,64;8,64;8,64;8,64;864,00;100
MDNE3;15/06/2023;14:55:00;8,63;8,63;8,60;8,63;10.346,00;1.200
MDNE3;15/06/2023;14:45:00;8,63;8,63;8,63;8,63;863,00;100
MDNE3;15/06/2023;14:40:00;8,65;8,65;8,62;8,62;75.041,00;8.700
MDNE3;15/06/2023;14:35:00;8,65;8,65;8,65;8,65;2.595,00;300
MDNE3;15/06/2023;14:30:00;8,66;8,66;8,65;8,65;12.979,00;1.500
MDNE3;15/06/2023;14:25:00;8,63;8,65;8,63;8,65;13.836,00;1.600
MDNE3;15/06/2023;14:20:00;8,68;8,68;8,65;8,65;11.254,00;1.300
MDNE3;15/06/2023;14:15:00;8,66;8,66;8,66;8,66;5.196,00;600
MDNE3;15/06/2023;14:10:00;8,65;8,66;8,65;8,66;12.115,00;1.400
MDNE3;15/06/2023;14:05:00;8,63;8,65;8,63;8,65;6.053,00;700
MDNE3;15/06/2023;14:00:00;8,65;8,65;8,65;8,65;9.515,00;1.100
MDNE3;15/06/2023;13:55:00;8,65;8,66;8,65;8,66;6.922,00;800
MDNE3;15/06/2023;13:50:00;8,65;8,67;8,64;8,64;6.923,00;800
MDNE3;15/06/2023;13:45:00;8,65;8,65;8,65;8,65;4.325,00;500
MDNE3;15/06/2023;13:40:00;8,65;8,65;8,64;8,65;12.973,00;1.500
MDNE3;15/06/2023;13:30:00;8,63;8,64;8,63;8,64;2.591,00;300
MDNE3;15/06/2023;13:25:00;8,65;8,65;8,62;8,65;65.626,00;7.600
MDNE3;15/06/2023;13:20:00;8,65;8,65;8,65;8,65;29.410,00;3.400
MDNE3;15/06/2023;13:15:00;8,65;8,66;8,65;8,65;48.446,00;5.600
MDNE3;15/06/2023;13:10:00;8,65;8,65;8,65;8,65;19.030,00;2.200
MDNE3;15/06/2023;13:05:00;8,65;8,65;8,65;8,65;27.680,00;3.200
MDNE3;15/06/2023;13:00:00;8,65;8,65;8,65;8,65;23.355,00;2.700
MDNE3;15/06/2023;12:55:00;8,65;8,65;8,65;8,65;31.140,00;3.600
