Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MEAL3;16/06/2023;17:30:00;2,38;2,39;2,38;2,39;11.190,00;4.700
MEAL3;16/06/2023;16:45:00;2,36;2,42;2,36;2,42;374.609,00;155.000
MEAL3;16/06/2023;16:40:00;2,37;2,37;2,36;2,36;15.359,00;6.500
MEAL3;16/06/2023;16:35:00;2,36;2,38;2,36;2,37;47.781,00;20.200
MEAL3;16/06/2023;16:30:00;2,36;2,37;2,36;2,37;16.543,00;7.000
MEAL3;16/06/2023;16:25:00;2,36;2,37;2,36;2,36;28.816,00;12.200
MEAL3;16/06/2023;16:20:00;2,36;2,38;2,36;2,37;14.659,00;6.200
MEAL3;16/06/2023;16:15:00;2,36;2,37;2,36;2,37;9.682,00;4.100
MEAL3;16/06/2023;16:10:00;2,36;2,37;2,36;2,36;28.168,00;11.900
MEAL3;16/06/2023;16:05:00;2,37;2,37;2,36;2,37;72.982,00;30.800
MEAL3;16/06/2023;16:00:00;2,37;2,38;2,37;2,37;8.770,00;3.700
MEAL3;16/06/2023;15:55:00;2,37;2,38;2,37;2,37;11.141,00;4.700
MEAL3;16/06/2023;15:50:00;2,37;2,38;2,37;2,37;20.196,00;8.500
MEAL3;16/06/2023;15:45:00;2,38;2,39;2,37;2,37;8.786,00;3.700
MEAL3;16/06/2023;15:40:00;2,38;2,38;2,38;2,38;1.666,00;700
MEAL3;16/06/2023;15:35:00;2,38;2,39;2,38;2,38;4.525,00;1.900
MEAL3;16/06/2023;15:30:00;2,38;2,38;2,38;2,38;1.904,00;800
MEAL3;16/06/2023;15:25:00;2,38;2,38;2,38;2,38;15.708,00;6.600
MEAL3;16/06/2023;15:20:00;2,38;2,38;2,38;2,38;952,00;400
MEAL3;16/06/2023;15:15:00;2,38;2,39;2,38;2,38;14.330,00;6.000
MEAL3;16/06/2023;15:10:00;2,38;2,38;2,38;2,38;952,00;400
MEAL3;16/06/2023;15:05:00;2,38;2,38;2,38;2,38;10.234,00;4.300
MEAL3;16/06/2023;15:00:00;2,38;2,39;2,38;2,38;5.000,00;2.100
MEAL3;16/06/2023;14:55:00;2,38;2,39;2,38;2,38;1.667,00;700
MEAL3;16/06/2023;14:50:00;2,38;2,38;2,38;2,38;1.428,00;600
MEAL3;16/06/2023;14:45:00;2,38;2,39;2,38;2,38;1.429,00;600
MEAL3;16/06/2023;14:40:00;2,38;2,39;2,38;2,38;954,00;400
MEAL3;16/06/2023;14:35:00;2,38;2,38;2,37;2,37;3.090,00;1.300
MEAL3;16/06/2023;14:30:00;2,38;2,38;2,38;2,38;238,00;100
MEAL3;16/06/2023;14:25:00;2,38;2,39;2,38;2,38;15.474,00;6.500
MEAL3;16/06/2023;14:20:00;2,39;2,39;2,38;2,38;16.250,00;6.800
MEAL3;16/06/2023;14:15:00;2,39;2,40;2,39;2,40;7.171,00;3.000
MEAL3;16/06/2023;14:10:00;2,39;2,40;2,39;2,39;1.196,00;500
MEAL3;16/06/2023;14:05:00;2,40;2,40;2,39;2,39;718,00;300
MEAL3;16/06/2023;14:00:00;2,40;2,40;2,40;2,40;8.640,00;3.600
MEAL3;16/06/2023;13:55:00;2,40;2,40;2,39;2,40;93.119,00;38.800
MEAL3;16/06/2023;13:50:00;2,41;2,41;2,40;2,40;275.521,00;114.800
MEAL3;16/06/2023;13:45:00;2,41;2,42;2,40;2,41;19.762,00;8.200
MEAL3;16/06/2023;13:40:00;2,40;2,41;2,40;2,40;7.444,00;3.100
MEAL3;16/06/2023;13:35:00;2,41;2,41;2,41;2,41;5.061,00;2.100
MEAL3;16/06/2023;13:30:00;2,40;2,40;2,40;2,40;11.520,00;4.800
MEAL3;16/06/2023;13:25:00;2,41;2,41;2,40;2,41;3.373,00;1.400
MEAL3;16/06/2023;13:20:00;2,41;2,41;2,41;2,41;1.928,00;800
MEAL3;16/06/2023;13:15:00;2,41;2,42;2,41;2,42;1.449,00;600
MEAL3;16/06/2023;13:10:00;2,42;2,42;2,41;2,42;7.961,00;3.300
MEAL3;16/06/2023;13:05:00;2,41;2,41;2,41;2,41;5.302,00;2.200
MEAL3;16/06/2023;13:00:00;2,41;2,42;2,41;2,42;2.171,00;900
MEAL3;16/06/2023;12:55:00;2,41;2,41;2,41;2,41;482,00;200
MEAL3;16/06/2023;12:50:00;2,41;2,41;2,41;2,41;7.471,00;3.100
MEAL3;16/06/2023;12:45:00;2,42;2,42;2,42;2,42;5.082,00;2.100
MEAL3;16/06/2023;12:40:00;2,39;2,41;2,39;2,41;109.361,00;45.500
MEAL3;16/06/2023;12:35:00;2,40;2,40;2,39;2,40;5.279,00;2.200
MEAL3;16/06/2023;12:30:00;2,39;2,40;2,39;2,39;958,00;400
MEAL3;16/06/2023;12:25:00;2,40;2,40;2,39;2,39;4.318,00;1.800
MEAL3;16/06/2023;12:20:00;2,40;2,40;2,39;2,40;6.238,00;2.600
MEAL3;16/06/2023;12:15:00;2,40;2,40;2,39;2,39;7.437,00;3.100
MEAL3;16/06/2023;12:10:00;2,39;2,40;2,38;2,40;53.312,00;22.300
MEAL3;16/06/2023;12:05:00;2,39;2,39;2,38;2,38;715,00;300
MEAL3;16/06/2023;12:00:00;2,39;2,40;2,38;2,38;18.400,00;7.700
MEAL3;16/06/2023;11:55:00;2,37;2,40;2,37;2,40;58.580,00;24.500
MEAL3;16/06/2023;11:50:00;2,39;2,39;2,38;2,38;8.340,00;3.500
MEAL3;16/06/2023;11:45:00;2,39;2,39;2,38;2,38;8.602,00;3.600
MEAL3;16/06/2023;11:40:00;2,37;2,39;2,37;2,39;30.010,00;12.600
MEAL3;16/06/2023;11:35:00;2,37;2,38;2,36;2,38;6.393,00;2.700
MEAL3;16/06/2023;11:25:00;2,37;2,38;2,36;2,38;14.700,00;6.200
MEAL3;16/06/2023;11:20:00;2,37;2,38;2,37;2,37;4.033,00;1.700
MEAL3;16/06/2023;11:15:00;2,38;2,38;2,37;2,37;1.664,00;700
MEAL3;16/06/2023;11:10:00;2,37;2,38;2,37;2,37;6.877,00;2.900
MEAL3;16/06/2023;11:05:00;2,38;2,39;2,38;2,38;21.422,00;9.000
MEAL3;16/06/2023;11:00:00;2,38;2,39;2,37;2,39;31.398,00;13.200
MEAL3;16/06/2023;10:50:00;2,37;2,37;2,37;2,37;237,00;100
MEAL3;16/06/2023;10:45:00;2,38;2,38;2,36;2,36;4.021,00;1.700
MEAL3;16/06/2023;10:40:00;2,38;2,40;2,36;2,37;70.358,00;29.600
MEAL3;16/06/2023;10:35:00;2,36;2,38;2,35;2,38;57.186,00;24.200
MEAL3;16/06/2023;10:30:00;2,36;2,37;2,35;2,36;19.820,00;8.400
MEAL3;16/06/2023;10:25:00;2,36;2,37;2,36;2,36;3.077,00;1.300
MEAL3;16/06/2023;10:20:00;2,37;2,38;2,36;2,38;26.622,00;11.200
MEAL3;16/06/2023;10:15:00;2,35;2,37;2,35;2,37;28.488,00;12.100
MEAL3;16/06/2023;10:10:00;2,34;2,36;2,34;2,35;21.079,00;9.000
MEAL3;16/06/2023;10:05:00;2,37;2,37;2,35;2,36;5.179,00;2.200
MEAL3;16/06/2023;10:00:00;2,35;2,38;2,35;2,38;2.362,00;1.000
MEAL3;15/06/2023;17:30:00;2,36;2,36;2,35;2,35;42.390,00;18.000
MEAL3;15/06/2023;16:50:00;2,38;2,39;2,36;2,36;86.565,00;36.500
MEAL3;15/06/2023;16:45:00;2,38;2,39;2,38;2,39;23.599,00;9.900
MEAL3;15/06/2023;16:40:00;2,38;2,39;2,38;2,38;14.298,00;6.000
MEAL3;15/06/2023;16:35:00;2,39;2,39;2,39;2,39;14.818,00;6.200
MEAL3;15/06/2023;16:30:00;2,37;2,39;2,37;2,39;167.738,00;70.600
MEAL3;15/06/2023;16:25:00;2,37;2,37;2,36;2,37;12.296,00;5.200
MEAL3;15/06/2023;16:20:00;2,37;2,37;2,36;2,37;9.690,00;4.100
MEAL3;15/06/2023;16:15:00;2,37;2,37;2,36;2,37;4.028,00;1.700
MEAL3;15/06/2023;16:10:00;2,37;2,37;2,36;2,36;13.939,00;5.900
MEAL3;15/06/2023;16:05:00;2,36;2,37;2,35;2,37;27.149,00;11.500
MEAL3;15/06/2023;16:00:00;2,36;2,37;2,35;2,37;126.226,00;53.400
MEAL3;15/06/2023;15:55:00;2,36;2,36;2,36;2,36;1.652,00;700
MEAL3;15/06/2023;15:50:00;2,36;2,36;2,35;2,36;5.654,00;2.400
MEAL3;15/06/2023;15:45:00;2,36;2,36;2,35;2,36;9.198,00;3.900
MEAL3;15/06/2023;15:40:00;2,36;2,36;2,35;2,36;9.656,00;4.100
MEAL3;15/06/2023;15:30:00;2,34;2,35;2,34;2,35;18.022,00;7.700
MEAL3;15/06/2023;15:25:00;2,35;2,35;2,34;2,34;32.414,00;13.800
MEAL3;15/06/2023;15:20:00;2,36;2,36;2,36;2,36;708,00;300
MEAL3;15/06/2023;15:15:00;2,36;2,36;2,35;2,36;8.482,00;3.600
MEAL3;15/06/2023;15:10:00;2,36;2,36;2,36;2,36;236,00;100
MEAL3;15/06/2023;15:00:00;2,35;2,36;2,35;2,36;706,00;300
MEAL3;15/06/2023;14:55:00;2,36;2,36;2,36;2,36;23.836,00;10.100
MEAL3;15/06/2023;14:50:00;2,37;2,37;2,36;2,36;1.417,00;600
MEAL3;15/06/2023;14:45:00;2,36;2,36;2,36;2,36;9.676,00;4.100
MEAL3;15/06/2023;14:40:00;2,37;2,37;2,37;2,37;711,00;300
MEAL3;15/06/2023;14:35:00;2,36;2,37;2,36;2,37;5.433,00;2.300
MEAL3;15/06/2023;14:30:00;2,37;2,37;2,37;2,37;2.844,00;1.200
MEAL3;15/06/2023;14:25:00;2,37;2,37;2,35;2,36;50.420,00;21.300
MEAL3;15/06/2023;14:20:00;2,36;2,37;2,36;2,36;28.095,00;11.900
MEAL3;15/06/2023;14:15:00;2,36;2,37;2,35;2,36;60.151,00;25.500
MEAL3;15/06/2023;14:10:00;2,35;2,36;2,35;2,36;30.799,00;13.100
MEAL3;15/06/2023;14:05:00;2,35;2,35;2,34;2,35;6.813,00;2.900
MEAL3;15/06/2023;14:00:00;2,35;2,36;2,34;2,35;57.221,00;24.400
MEAL3;15/06/2023;13:55:00;2,35;2,36;2,35;2,36;2.589,00;1.100
MEAL3;15/06/2023;13:50:00;2,36;2,36;2,35;2,35;26.186,00;11.100
MEAL3;15/06/2023;13:45:00;2,35;2,36;2,35;2,35;110.588,00;47.000
MEAL3;15/06/2023;13:40:00;2,33;2,35;2,33;2,35;58.820,00;25.200
MEAL3;15/06/2023;13:35:00;2,31;2,33;2,31;2,33;175.297,00;75.700
MEAL3;15/06/2023;13:30:00;2,31;2,31;2,30;2,31;2.076,00;900
MEAL3;15/06/2023;13:25:00;2,31;2,31;2,31;2,31;693,00;300
MEAL3;15/06/2023;13:20:00;2,31;2,31;2,30;2,30;461,00;200
MEAL3;15/06/2023;13:15:00;2,30;2,31;2,30;2,31;1.616,00;700
MEAL3;15/06/2023;13:10:00;2,30;2,31;2,29;2,30;29.414,00;12.800
MEAL3;15/06/2023;13:05:00;2,31;2,31;2,31;2,31;924,00;400
MEAL3;15/06/2023;13:00:00;2,31;2,31;2,30;2,30;3.226,00;1.400
MEAL3;15/06/2023;12:55:00;2,31;2,31;2,30;2,31;1.615,00;700
MEAL3;15/06/2023;12:50:00;2,31;2,31;2,31;2,31;1.155,00;500
MEAL3;15/06/2023;12:45:00;2,31;2,31;2,30;2,31;2.993,00;1.300
MEAL3;15/06/2023;12:40:00;2,31;2,31;2,31;2,31;1.617,00;700
MEAL3;15/06/2023;12:35:00;2,30;2,31;2,30;2,31;21.624,00;9.400
MEAL3;15/06/2023;12:30:00;2,30;2,31;2,30;2,31;8.053,00;3.500
MEAL3;15/06/2023;12:25:00;2,30;2,30;2,29;2,30;1.839,00;800
MEAL3;15/06/2023;12:20:00;2,30;2,30;2,30;2,30;5.750,00;2.500
MEAL3;15/06/2023;12:15:00;2,30;2,30;2,29;2,30;1.149,00;500
MEAL3;15/06/2023;12:10:00;2,28;2,30;2,28;2,30;1.831,00;800
MEAL3;15/06/2023;12:05:00;2,29;2,29;2,28;2,28;8.444,00;3.700
MEAL3;15/06/2023;12:00:00;2,30;2,30;2,29;2,29;73.947,00;32.200
MEAL3;15/06/2023;11:55:00;2,31;2,31;2,31;2,31;2.079,00;900
MEAL3;15/06/2023;11:50:00;2,31;2,31;2,30;2,31;2.074,00;900
MEAL3;15/06/2023;11:45:00;2,30;2,30;2,30;2,30;5.750,00;2.500
MEAL3;15/06/2023;11:40:00;2,30;2,31;2,30;2,31;8.533,00;3.700
MEAL3;15/06/2023;11:35:00;2,30;2,30;2,29;2,30;23.172,00;10.100
MEAL3;15/06/2023;11:30:00;2,30;2,31;2,29;2,31;16.094,00;7.000
MEAL3;15/06/2023;11:25:00;2,30;2,30;2,30;2,30;15.410,00;6.700
MEAL3;15/06/2023;11:20:00;2,30;2,30;2,30;2,30;460,00;200
MEAL3;15/06/2023;11:15:00;2,29;2,30;2,29;2,30;1.149,00;500
MEAL3;15/06/2023;11:10:00;2,29;2,31;2,29;2,30;9.875,00;4.300
MEAL3;15/06/2023;11:05:00;2,29;2,29;2,29;2,29;229,00;100
MEAL3;15/06/2023;11:00:00;2,29;2,30;2,29;2,29;1.376,00;600
MEAL3;15/06/2023;10:55:00;2,30;2,30;2,30;2,30;6.670,00;2.900
MEAL3;15/06/2023;10:50:00;2,30;2,31;2,30;2,31;5.752,00;2.500
MEAL3;15/06/2023;10:45:00;2,29;2,31;2,29;2,31;32.669,00;14.200
MEAL3;15/06/2023;10:40:00;2,29;2,29;2,29;2,29;7.328,00;3.200
MEAL3;15/06/2023;10:35:00;2,28;2,30;2,28;2,30;27.988,00;12.200
MEAL3;15/06/2023;10:30:00;2,29;2,29;2,28;2,29;13.728,00;6.000
MEAL3;15/06/2023;10:25:00;2,29;2,30;2,29;2,30;6.876,00;3.000
MEAL3;15/06/2023;10:20:00;2,29;2,30;2,29;2,30;3.665,00;1.600
MEAL3;15/06/2023;10:15:00;2,30;2,30;2,29;2,29;2.525,00;1.100
MEAL3;15/06/2023;10:10:00;2,29;2,30;2,29;2,30;7.129,00;3.100
MEAL3;15/06/2023;10:05:00;2,29;2,33;2,29;2,30;85.273,00;37.000
MEAL3;15/06/2023;10:00:00;2,27;2,30;2,27;2,30;22.149,00;9.700
MEAL3;14/06/2023;17:30:00;2,27;2,29;2,27;2,29;12.575,00;5.500
MEAL3;14/06/2023;16:50:00;2,27;2,29;2,27;2,27;89.385,00;39.300
MEAL3;14/06/2023;16:45:00;2,29;2,30;2,27;2,27;46.442,00;20.300
MEAL3;14/06/2023;16:40:00;2,28;2,29;2,27;2,28;56.540,00;24.800
MEAL3;14/06/2023;16:35:00;2,28;2,28;2,26;2,28;32.806,00;14.400
MEAL3;14/06/2023;16:30:00;2,26;2,28;2,26;2,28;1.133,00;500
MEAL3;14/06/2023;16:25:00;2,26;2,29;2,26;2,27;60.175,00;26.500
MEAL3;14/06/2023;16:20:00;2,26;2,26;2,26;2,26;226,00;100
MEAL3;14/06/2023;16:15:00;2,25;2,26;2,25;2,25;18.021,00;8.000
MEAL3;14/06/2023;16:10:00;2,25;2,25;2,25;2,25;10.350,00;4.600
MEAL3;14/06/2023;16:05:00;2,26;2,27;2,26;2,27;4.297,00;1.900
MEAL3;14/06/2023;16:00:00;2,26;2,27;2,26;2,26;2.265,00;1.000
MEAL3;14/06/2023;15:55:00;2,26;2,26;2,25;2,26;12.419,00;5.500
MEAL3;14/06/2023;15:50:00;2,26;2,26;2,26;2,26;2.034,00;900
MEAL3;14/06/2023;15:45:00;2,26;2,26;2,26;2,26;39.324,00;17.400
MEAL3;14/06/2023;15:40:00;2,27;2,27;2,26;2,26;27.351,00;12.100
MEAL3;14/06/2023;15:35:00;2,26;2,26;2,26;2,26;226,00;100
MEAL3;14/06/2023;15:30:00;2,26;2,26;2,26;2,26;3.842,00;1.700
MEAL3;14/06/2023;15:25:00;2,26;2,26;2,25;2,25;7.892,00;3.500
MEAL3;14/06/2023;15:20:00;2,25;2,26;2,25;2,25;8.330,00;3.700
MEAL3;14/06/2023;15:15:00;2,26;2,26;2,26;2,26;10.396,00;4.600
MEAL3;14/06/2023;15:10:00;2,26;2,27;2,26;2,26;19.668,00;8.700
MEAL3;14/06/2023;15:05:00;2,28;2,28;2,25;2,25;72.759,00;32.100
MEAL3;14/06/2023;15:00:00;2,28;2,29;2,27;2,28;42.165,00;18.500
MEAL3;14/06/2023;14:55:00;2,29;2,29;2,28;2,28;6.401,00;2.800
MEAL3;14/06/2023;14:50:00;2,28;2,28;2,28;2,28;1.368,00;600
MEAL3;14/06/2023;14:45:00;2,29;2,29;2,29;2,29;458,00;200
MEAL3;14/06/2023;14:40:00;2,29;2,29;2,29;2,29;229,00;100
MEAL3;14/06/2023;14:35:00;2,29;2,29;2,28;2,28;2.281,00;1.000
MEAL3;14/06/2023;14:30:00;2,30;2,30;2,29;2,30;5.733,00;2.500
MEAL3;14/06/2023;14:25:00;2,30;2,30;2,29;2,30;2.066,00;900
MEAL3;14/06/2023;14:20:00;2,29;2,30;2,29;2,30;10.083,00;4.400
MEAL3;14/06/2023;14:15:00;2,30;2,30;2,30;2,30;460,00;200
MEAL3;14/06/2023;14:10:00;2,30;2,30;2,30;2,30;2.300,00;1.000
MEAL3;14/06/2023;14:05:00;2,29;2,30;2,29;2,29;14.200,00;6.200
MEAL3;14/06/2023;14:00:00;2,29;2,29;2,29;2,29;229,00;100
MEAL3;14/06/2023;13:55:00;2,29;2,29;2,28;2,28;1.827,00;800
MEAL3;14/06/2023;13:50:00;2,29;2,29;2,29;2,29;458,00;200
MEAL3;14/06/2023;13:45:00;2,29;2,30;2,29;2,29;17.892,00;7.800
MEAL3;14/06/2023;13:40:00;2,29;2,29;2,29;2,29;3.206,00;1.400
MEAL3;14/06/2023;13:35:00;2,30;2,30;2,29;2,29;1.378,00;600
MEAL3;14/06/2023;13:30:00;2,29;2,30;2,29;2,30;459,00;200
MEAL3;14/06/2023;13:25:00;2,30;2,31;2,30;2,31;9.893,00;4.300
MEAL3;14/06/2023;13:20:00;2,29;2,31;2,29;2,29;19.090,00;8.300
MEAL3;14/06/2023;13:15:00;2,29;2,30;2,29;2,30;47.907,00;20.900
MEAL3;14/06/2023;13:10:00;2,30;2,30;2,28;2,28;15.800,00;6.900
MEAL3;14/06/2023;13:05:00;2,29;2,29;2,29;2,29;3.664,00;1.600
MEAL3;14/06/2023;13:00:00;2,30;2,30;2,30;2,30;1.150,00;500
MEAL3;14/06/2023;12:55:00;2,29;2,30;2,29;2,30;1.837,00;800
MEAL3;14/06/2023;12:50:00;2,30;2,30;2,30;2,30;230,00;100
MEAL3;14/06/2023;12:45:00;2,30;2,30;2,30;2,30;460,00;200
MEAL3;14/06/2023;12:40:00;2,29;2,30;2,28;2,30;20.152,00;8.800
MEAL3;14/06/2023;12:30:00;2,29;2,29;2,29;2,29;458,00;200
MEAL3;14/06/2023;12:25:00;2,29;2,29;2,29;2,29;15.801,00;6.900
MEAL3;14/06/2023;12:20:00;2,30;2,30;2,30;2,30;18.400,00;8.000
MEAL3;14/06/2023;12:15:00;2,29;2,29;2,29;2,29;2.290,00;1.000
MEAL3;14/06/2023;12:10:00;2,29;2,29;2,29;2,29;458,00;200
MEAL3;14/06/2023;12:05:00;2,29;2,29;2,29;2,29;5.267,00;2.300
MEAL3;14/06/2023;12:00:00;2,29;2,29;2,29;2,29;458,00;200
MEAL3;14/06/2023;11:55:00;2,31;2,31;2,30;2,30;26.918,00;11.700
MEAL3;14/06/2023;11:50:00;2,30;2,30;2,30;2,30;690,00;300
