Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MEGA3;16/06/2023;17:30:00;10,97;10,97;10,97;10,97;1.097,00;100
MEGA3;16/06/2023;16:45:00;10,74;10,99;10,70;10,99;5.032.486,00;458.300
MEGA3;16/06/2023;16:40:00;10,74;10,75;10,72;10,75;130.902,00;12.200
MEGA3;16/06/2023;16:35:00;10,77;10,77;10,69;10,72;217.668,00;20.300
MEGA3;16/06/2023;16:30:00;10,68;10,76;10,66;10,76;872.239,00;81.400
MEGA3;16/06/2023;16:25:00;10,68;10,69;10,67;10,68;131.324,00;12.300
MEGA3;16/06/2023;16:20:00;10,68;10,71;10,68;10,68;89.815,00;8.400
MEGA3;16/06/2023;16:15:00;10,68;10,69;10,67;10,68;119.573,00;11.200
MEGA3;16/06/2023;16:10:00;10,68;10,70;10,67;10,68;66.215,00;6.200
MEGA3;16/06/2023;16:05:00;10,68;10,69;10,67;10,69;85.467,00;8.000
MEGA3;16/06/2023;16:00:00;10,68;10,71;10,68;10,68;82.325,00;7.700
MEGA3;16/06/2023;15:55:00;10,70;10,71;10,68;10,68;83.377,00;7.800
MEGA3;16/06/2023;15:50:00;10,67;10,71;10,67;10,70;118.680,00;11.100
MEGA3;16/06/2023;15:45:00;10,70;10,71;10,67;10,68;66.262,00;6.200
MEGA3;16/06/2023;15:40:00;10,70;10,71;10,70;10,70;38.544,00;3.600
MEGA3;16/06/2023;15:35:00;10,71;10,73;10,70;10,71;58.929,00;5.500
MEGA3;16/06/2023;15:30:00;10,68;10,71;10,68;10,71;4.404.114,00;411.600
MEGA3;16/06/2023;15:25:00;10,69;10,70;10,68;10,69;39.544,00;3.700
MEGA3;16/06/2023;15:20:00;10,68;10,70;10,68;10,69;28.857,00;2.700
MEGA3;16/06/2023;15:15:00;10,70;10,71;10,68;10,68;31.030,00;2.900
MEGA3;16/06/2023;15:10:00;10,69;10,71;10,69;10,71;27.818,00;2.600
MEGA3;16/06/2023;15:05:00;10,69;10,69;10,66;10,69;92.878,00;8.700
MEGA3;16/06/2023;15:00:00;10,69;10,71;10,69;10,69;40.631,00;3.800
MEGA3;16/06/2023;14:55:00;10,69;10,70;10,69;10,70;35.297,00;3.300
MEGA3;16/06/2023;14:50:00;10,70;10,70;10,69;10,69;24.590,00;2.300
MEGA3;16/06/2023;14:45:00;10,69;10,72;10,69;10,70;20.343,00;1.900
MEGA3;16/06/2023;14:40:00;10,71;10,72;10,70;10,71;39.630,00;3.700
MEGA3;16/06/2023;14:35:00;10,72;10,73;10,70;10,71;41.790,00;3.900
MEGA3;16/06/2023;14:30:00;10,70;10,73;10,70;10,73;19.280,00;1.800
MEGA3;16/06/2023;14:25:00;10,71;10,72;10,70;10,70;25.693,00;2.400
MEGA3;16/06/2023;14:20:00;10,71;10,72;10,70;10,70;29.986,00;2.800
MEGA3;16/06/2023;14:15:00;10,72;10,73;10,70;10,70;37.510,00;3.500
MEGA3;16/06/2023;14:10:00;10,74;10,75;10,73;10,73;154.677,00;14.400
MEGA3;16/06/2023;14:05:00;10,74;10,75;10,74;10,74;13.963,00;1.300
MEGA3;16/06/2023;14:00:00;10,79;10,79;10,74;10,74;36.604,00;3.400
MEGA3;16/06/2023;13:55:00;10,77;10,80;10,77;10,79;34.509,00;3.200
MEGA3;16/06/2023;13:50:00;10,78;10,78;10,76;10,77;20.464,00;1.900
MEGA3;16/06/2023;13:45:00;10,77;10,78;10,77;10,78;4.310,00;400
MEGA3;16/06/2023;13:40:00;10,75;10,77;10,74;10,75;30.109,00;2.800
MEGA3;16/06/2023;13:35:00;10,74;10,74;10,73;10,74;11.812,00;1.100
MEGA3;16/06/2023;13:30:00;10,73;10,75;10,73;10,74;18.262,00;1.700
MEGA3;16/06/2023;13:25:00;10,71;10,75;10,70;10,75;32.171,00;3.000
MEGA3;16/06/2023;13:20:00;10,72;10,73;10,71;10,72;20.368,00;1.900
MEGA3;16/06/2023;13:15:00;10,75;10,75;10,72;10,73;31.136,00;2.900
MEGA3;16/06/2023;13:10:00;10,75;10,76;10,75;10,75;8.601,00;800
MEGA3;16/06/2023;13:05:00;10,73;10,75;10,73;10,74;24.696,00;2.300
MEGA3;16/06/2023;13:00:00;10,73;10,73;10,70;10,72;13.929,00;1.300
MEGA3;16/06/2023;12:55:00;10,73;10,74;10,72;10,74;12.877,00;1.200
MEGA3;16/06/2023;12:50:00;10,76;10,77;10,73;10,73;20.421,00;1.900
MEGA3;16/06/2023;12:45:00;10,76;10,77;10,76;10,76;20.451,00;1.900
MEGA3;16/06/2023;12:40:00;10,76;10,77;10,74;10,77;23.657,00;2.200
MEGA3;16/06/2023;12:35:00;10,78;10,81;10,76;10,79;49.612,00;4.600
MEGA3;16/06/2023;12:30:00;10,73;10,78;10,73;10,78;34.427,00;3.200
MEGA3;16/06/2023;12:25:00;10,78;10,81;10,71;10,73;120.352,00;11.200
MEGA3;16/06/2023;12:20:00;10,77;10,78;10,76;10,78;31.220,00;2.900
MEGA3;16/06/2023;12:15:00;10,80;10,80;10,77;10,78;17.251,00;1.600
MEGA3;16/06/2023;12:10:00;10,76;10,81;10,76;10,81;26.947,00;2.500
MEGA3;16/06/2023;12:05:00;10,79;10,80;10,78;10,78;8.633,00;800
MEGA3;16/06/2023;12:00:00;10,79;10,79;10,76;10,79;57.098,00;5.300
MEGA3;16/06/2023;11:55:00;10,79;10,79;10,74;10,78;44.129,00;4.100
MEGA3;16/06/2023;11:50:00;10,87;10,87;10,79;10,80;35.758,00;3.300
MEGA3;16/06/2023;11:45:00;10,82;10,89;10,82;10,88;86.791,00;8.000
MEGA3;16/06/2023;11:40:00;10,78;10,85;10,78;10,82;39.998,00;3.700
MEGA3;16/06/2023;11:35:00;10,79;10,79;10,77;10,78;26.936,00;2.500
MEGA3;16/06/2023;11:30:00;10,78;10,79;10,78;10,78;6.469,00;600
MEGA3;16/06/2023;11:25:00;10,79;10,79;10,77;10,78;8.621,00;800
MEGA3;16/06/2023;11:20:00;10,79;10,79;10,76;10,79;49.557,00;4.600
MEGA3;16/06/2023;11:15:00;10,79;10,79;10,79;10,79;17.264,00;1.600
MEGA3;16/06/2023;11:10:00;10,79;10,80;10,76;10,80;75.447,00;7.000
MEGA3;16/06/2023;11:05:00;10,83;10,83;10,78;10,80;43.208,00;4.000
MEGA3;16/06/2023;11:00:00;10,81;10,85;10,81;10,85;21.654,00;2.000
MEGA3;16/06/2023;10:55:00;10,83;10,83;10,81;10,81;22.720,00;2.100
MEGA3;16/06/2023;10:50:00;10,74;10,82;10,74;10,82;65.663,00;6.100
MEGA3;16/06/2023;10:45:00;10,76;10,76;10,74;10,75;19.356,00;1.800
MEGA3;16/06/2023;10:40:00;10,77;10,78;10,77;10,78;24.775,00;2.300
MEGA3;16/06/2023;10:35:00;10,79;10,80;10,77;10,77;45.278,00;4.200
MEGA3;16/06/2023;10:30:00;10,80;10,82;10,78;10,79;35.628,00;3.300
MEGA3;16/06/2023;10:25:00;10,83;10,84;10,81;10,83;42.232,00;3.900
MEGA3;16/06/2023;10:20:00;10,85;10,90;10,85;10,85;20.648,00;1.900
MEGA3;16/06/2023;10:15:00;10,87;10,87;10,84;10,84;11.941,00;1.100
MEGA3;16/06/2023;10:10:00;10,90;10,92;10,85;10,88;86.076,00;7.900
MEGA3;16/06/2023;10:05:00;10,90;10,91;10,90;10,91;2.181,00;200
MEGA3;16/06/2023;10:00:00;10,90;10,91;10,89;10,91;17.442,00;1.600
MEGA3;15/06/2023;16:50:00;10,90;10,98;10,90;10,96;1.381.882,00;126.100
MEGA3;15/06/2023;16:45:00;10,92;10,93;10,90;10,90;74.241,00;6.800
MEGA3;15/06/2023;16:40:00;10,92;10,94;10,91;10,93;93.956,00;8.600
MEGA3;15/06/2023;16:35:00;10,94;10,96;10,89;10,92;148.621,00;13.600
MEGA3;15/06/2023;16:30:00;10,93;10,98;10,93;10,97;207.114,00;18.900
MEGA3;15/06/2023;16:25:00;10,94;10,94;10,93;10,94;47.034,00;4.300
MEGA3;15/06/2023;16:20:00;10,95;10,95;10,92;10,94;64.509,00;5.900
MEGA3;15/06/2023;16:15:00;10,97;10,98;10,95;10,96;44.942,00;4.100
MEGA3;15/06/2023;16:10:00;10,96;10,97;10,95;10,97;80.036,00;7.300
MEGA3;15/06/2023;16:05:00;10,95;10,97;10,94;10,97;56.950,00;5.200
MEGA3;15/06/2023;16:00:00;10,96;10,96;10,95;10,96;6.574,00;600
MEGA3;15/06/2023;15:55:00;10,99;10,99;10,96;10,96;37.307,00;3.400
MEGA3;15/06/2023;15:50:00;10,99;10,99;10,98;10,99;21.975,00;2.000
MEGA3;15/06/2023;15:45:00;10,99;10,99;10,96;10,99;74.659,00;6.800
MEGA3;15/06/2023;15:40:00;10,96;10,99;10,96;10,99;292.023,00;26.600
MEGA3;15/06/2023;15:35:00;10,95;10,97;10,94;10,97;96.410,00;8.800
MEGA3;15/06/2023;15:30:00;10,95;10,96;10,95;10,96;10.952,00;1.000
MEGA3;15/06/2023;15:25:00;10,94;10,95;10,91;10,93;114.807,00;10.500
MEGA3;15/06/2023;15:20:00;10,92;10,94;10,92;10,94;36.058,00;3.300
MEGA3;15/06/2023;15:15:00;10,92;10,92;10,91;10,91;27.286,00;2.500
MEGA3;15/06/2023;15:10:00;10,92;10,94;10,92;10,93;41.527,00;3.800
MEGA3;15/06/2023;15:05:00;10,92;10,93;10,92;10,92;40.406,00;3.700
MEGA3;15/06/2023;15:00:00;10,91;10,92;10,91;10,91;24.003,00;2.200
MEGA3;15/06/2023;14:55:00;10,92;10,92;10,91;10,91;19.641,00;1.800
MEGA3;15/06/2023;14:50:00;10,92;10,92;10,91;10,92;26.188,00;2.400
MEGA3;15/06/2023;14:45:00;10,91;10,92;10,91;10,92;44.753,00;4.100
MEGA3;15/06/2023;14:40:00;10,85;10,91;10,85;10,90;150.167,00;13.800
MEGA3;15/06/2023;14:35:00;10,87;10,87;10,86;10,86;23.901,00;2.200
MEGA3;15/06/2023;14:30:00;10,90;10,90;10,87;10,87;33.740,00;3.100
MEGA3;15/06/2023;14:25:00;10,86;10,91;10,86;10,90;70.729,00;6.500
MEGA3;15/06/2023;14:20:00;10,88;10,89;10,85;10,85;51.091,00;4.700
MEGA3;15/06/2023;14:15:00;10,89;10,91;10,87;10,88;54.458,00;5.000
MEGA3;15/06/2023;14:10:00;10,87;10,89;10,86;10,89;59.811,00;5.500
MEGA3;15/06/2023;14:05:00;10,83;10,86;10,83;10,86;44.450,00;4.100
MEGA3;15/06/2023;14:00:00;10,80;10,82;10,79;10,82;61.573,00;5.700
MEGA3;15/06/2023;13:55:00;10,80;10,82;10,79;10,81;32.403,00;3.000
MEGA3;15/06/2023;13:50:00;10,82;10,84;10,80;10,82;54.087,00;5.000
MEGA3;15/06/2023;13:45:00;10,88;10,88;10,82;10,82;30.417,00;2.800
MEGA3;15/06/2023;13:40:00;10,84;10,89;10,84;10,89;72.788,00;6.700
MEGA3;15/06/2023;13:35:00;10,82;10,84;10,82;10,84;47.645,00;4.400
MEGA3;15/06/2023;13:30:00;10,83;10,84;10,83;10,83;28.165,00;2.600
MEGA3;15/06/2023;13:25:00;10,82;10,83;10,81;10,82;38.948,00;3.600
MEGA3;15/06/2023;13:20:00;10,82;10,82;10,81;10,82;7.573,00;700
MEGA3;15/06/2023;13:15:00;10,80;10,82;10,80;10,82;12.968,00;1.200
MEGA3;15/06/2023;13:10:00;10,79;10,80;10,79;10,79;37.777,00;3.500
MEGA3;15/06/2023;13:05:00;10,80;10,80;10,78;10,79;26.975,00;2.500
MEGA3;15/06/2023;13:00:00;10,80;10,80;10,79;10,80;11.879,00;1.100
MEGA3;15/06/2023;12:55:00;10,80;10,81;10,79;10,80;37.788,00;3.500
MEGA3;15/06/2023;12:50:00;10,79;10,81;10,79;10,81;29.144,00;2.700
MEGA3;15/06/2023;12:45:00;10,79;10,79;10,78;10,79;6.473,00;600
MEGA3;15/06/2023;12:40:00;10,80;10,81;10,76;10,79;45.285,00;4.200
MEGA3;15/06/2023;12:35:00;10,77;10,80;10,76;10,80;49.548,00;4.600
MEGA3;15/06/2023;12:30:00;10,78;10,80;10,76;10,77;44.205,00;4.100
MEGA3;15/06/2023;12:25:00;10,75;10,78;10,75;10,78;23.684,00;2.200
MEGA3;15/06/2023;12:20:00;10,76;10,77;10,74;10,76;34.383,00;3.200
MEGA3;15/06/2023;12:15:00;10,76;10,77;10,74;10,77;16.139,00;1.500
MEGA3;15/06/2023;12:10:00;10,69;10,76;10,68;10,76;81.420,00;7.600
MEGA3;15/06/2023;12:05:00;10,71;10,71;10,68;10,68;93.066,00;8.700
MEGA3;15/06/2023;12:00:00;10,77;10,77;10,70;10,71;60.040,00;5.600
MEGA3;15/06/2023;11:55:00;10,76;10,76;10,73;10,76;67.693,00;6.300
MEGA3;15/06/2023;11:50:00;10,78;10,78;10,76;10,76;50.621,00;4.700
MEGA3;15/06/2023;11:45:00;10,81;10,81;10,77;10,78;25.903,00;2.400
MEGA3;15/06/2023;11:40:00;10,74;10,82;10,74;10,82;76.413,00;7.100
MEGA3;15/06/2023;11:35:00;10,75;10,79;10,74;10,75;62.394,00;5.800
MEGA3;15/06/2023;11:30:00;10,79;10,79;10,75;10,75;23.713,00;2.200
MEGA3;15/06/2023;11:25:00;10,76;10,80;10,76;10,79;45.242,00;4.200
MEGA3;15/06/2023;11:20:00;10,75;10,78;10,75;10,78;24.764,00;2.300
MEGA3;15/06/2023;11:15:00;10,79;10,79;10,77;10,77;63.588,00;5.900
MEGA3;15/06/2023;11:10:00;10,80;10,81;10,77;10,79;60.421,00;5.600
MEGA3;15/06/2023;11:05:00;10,81;10,81;10,80;10,80;2.161,00;200
MEGA3;15/06/2023;11:00:00;10,79;10,82;10,79;10,81;26.999,00;2.500
MEGA3;15/06/2023;10:55:00;10,83;10,83;10,80;10,80;8.654,00;800
MEGA3;15/06/2023;10:50:00;10,87;10,87;10,83;10,84;65.130,00;6.000
MEGA3;15/06/2023;10:45:00;10,91;10,91;10,86;10,87;58.816,00;5.400
MEGA3;15/06/2023;10:40:00;10,92;10,92;10,91;10,91;4.366,00;400
MEGA3;15/06/2023;10:35:00;10,88;10,91;10,86;10,91;37.022,00;3.400
MEGA3;15/06/2023;10:30:00;10,85;10,90;10,85;10,87;84.792,00;7.800
MEGA3;15/06/2023;10:25:00;10,85;10,88;10,84;10,84;44.524,00;4.100
MEGA3;15/06/2023;10:20:00;10,93;10,93;10,86;10,86;26.165,00;2.400
MEGA3;15/06/2023;10:15:00;10,92;10,94;10,91;10,91;43.689,00;4.000
MEGA3;15/06/2023;10:10:00;10,92;10,92;10,89;10,89;17.461,00;1.600
MEGA3;15/06/2023;10:05:00;10,94;10,94;10,94;10,94;1.094,00;100
MEGA3;15/06/2023;10:00:00;10,88;10,95;10,88;10,94;36.029,00;3.300
MEGA3;14/06/2023;16:50:00;10,93;10,98;10,90;10,90;4.229.077,00;387.900
MEGA3;14/06/2023;16:45:00;10,96;10,96;10,92;10,93;222.120,00;20.300
MEGA3;14/06/2023;16:40:00;10,98;10,99;10,94;10,95;363.309,00;33.100
MEGA3;14/06/2023;16:35:00;10,96;10,99;10,94;10,99;236.779,00;21.600
MEGA3;14/06/2023;16:30:00;10,95;10,97;10,93;10,95;177.433,00;16.200
MEGA3;14/06/2023;16:25:00;10,88;10,97;10,88;10,93;277.738,00;25.400
MEGA3;14/06/2023;16:20:00;10,88;10,90;10,86;10,87;175.143,00;16.100
MEGA3;14/06/2023;16:15:00;10,89;10,90;10,86;10,88;277.467,00;25.500
MEGA3;14/06/2023;16:10:00;10,95;10,96;10,89;10,89;218.592,00;20.000
MEGA3;14/06/2023;16:05:00;10,94;10,97;10,93;10,95;227.877,00;20.800
MEGA3;14/06/2023;16:00:00;10,93;10,95;10,90;10,93;338.647,00;31.000
MEGA3;14/06/2023;15:55:00;10,94;10,96;10,91;10,93;142.241,00;13.000
MEGA3;14/06/2023;15:50:00;10,92;10,94;10,92;10,93;45.887,00;4.200
MEGA3;14/06/2023;15:45:00;10,93;10,93;10,92;10,92;21.853,00;2.000
MEGA3;14/06/2023;15:40:00;10,89;10,94;10,88;10,92;116.704,00;10.700
MEGA3;14/06/2023;15:35:00;10,85;10,89;10,85;10,88;85.934,00;7.900
MEGA3;14/06/2023;15:30:00;10,82;10,88;10,82;10,86;87.871,00;8.100
MEGA3;14/06/2023;15:25:00;10,82;10,84;10,82;10,83;31.408,00;2.900
MEGA3;14/06/2023;15:20:00;10,82;10,83;10,82;10,82;87.650,00;8.100
MEGA3;14/06/2023;15:15:00;10,84;10,84;10,82;10,82;98.505,00;9.100
MEGA3;14/06/2023;15:10:00;10,81;10,84;10,80;10,84;82.191,00;7.600
MEGA3;14/06/2023;15:05:00;10,87;10,87;10,79;10,79;204.808,00;18.900
MEGA3;14/06/2023;15:00:00;10,88;10,90;10,85;10,87;96.775,00;8.900
MEGA3;14/06/2023;14:55:00;10,88;10,90;10,87;10,88;60.950,00;5.600
MEGA3;14/06/2023;14:50:00;10,88;10,88;10,87;10,88;23.927,00;2.200
MEGA3;14/06/2023;14:45:00;10,88;10,88;10,87;10,88;35.898,00;3.300
MEGA3;14/06/2023;14:40:00;10,87;10,88;10,87;10,87;25.006,00;2.300
MEGA3;14/06/2023;14:35:00;10,88;10,88;10,87;10,88;19.572,00;1.800
MEGA3;14/06/2023;14:30:00;10,87;10,89;10,87;10,88;40.252,00;3.700
MEGA3;14/06/2023;14:25:00;10,87;10,88;10,86;10,87;39.134,00;3.600
MEGA3;14/06/2023;14:20:00;10,87;10,88;10,86;10,88;28.251,00;2.600
MEGA3;14/06/2023;14:15:00;10,88;10,88;10,86;10,86;39.138,00;3.600
MEGA3;14/06/2023;14:10:00;10,86;10,89;10,86;10,88;41.330,00;3.800
MEGA3;14/06/2023;14:05:00;10,85;10,89;10,84;10,87;78.243,00;7.200
MEGA3;14/06/2023;14:00:00;10,85;10,86;10,84;10,85;59.693,00;5.500
MEGA3;14/06/2023;13:55:00;10,85;10,85;10,84;10,85;45.564,00;4.200
MEGA3;14/06/2023;13:50:00;10,84;10,90;10,83;10,85;228.177,00;21.000
MEGA3;14/06/2023;13:45:00;10,80;10,83;10,79;10,82;115.616,00;10.700
MEGA3;14/06/2023;13:40:00;10,82;10,82;10,80;10,80;35.684,00;3.300
MEGA3;14/06/2023;13:35:00;10,83;10,83;10,82;10,82;34.638,00;3.200
MEGA3;14/06/2023;13:30:00;10,82;10,83;10,82;10,82;19.477,00;1.800
MEGA3;14/06/2023;13:25:00;10,81;10,84;10,81;10,82;38.971,00;3.600
MEGA3;14/06/2023;13:20:00;10,82;10,84;10,80;10,81;40.031,00;3.700
MEGA3;14/06/2023;13:15:00;10,81;10,83;10,80;10,82;57.292,00;5.300
MEGA3;14/06/2023;13:10:00;10,79;10,83;10,79;10,80;76.760,00;7.100
MEGA3;14/06/2023;13:05:00;10,82;10,82;10,79;10,79;35.662,00;3.300
MEGA3;14/06/2023;13:00:00;10,85;10,85;10,81;10,82;38.976,00;3.600
MEGA3;14/06/2023;12:55:00;10,87;10,87;10,85;10,85;26.070,00;2.400
MEGA3;14/06/2023;12:50:00;10,89;10,89;10,86;10,86;22.827,00;2.100
MEGA3;14/06/2023;12:45:00;10,88;10,89;10,86;10,89;33.717,00;3.100
MEGA3;14/06/2023;12:40:00;10,85;10,87;10,84;10,87;30.395,00;2.800
MEGA3;14/06/2023;12:35:00;10,86;10,87;10,84;10,84;22.796,00;2.100
MEGA3;14/06/2023;12:30:00;10,86;10,86;10,85;10,86;20.622,00;1.900
MEGA3;14/06/2023;12:25:00;10,87;10,87;10,85;10,85;19.564,00;1.800
MEGA3;14/06/2023;12:20:00;10,91;10,91;10,86;10,87;119.748,00;11.000
MEGA3;14/06/2023;12:15:00;10,93;10,93;10,91;10,91;789.093,00;72.200
MEGA3;14/06/2023;12:10:00;10,91;10,94;10,90;10,93;49.147,00;4.500
MEGA3;14/06/2023;12:05:00;10,90;10,91;10,90;10,91;9.817,00;900
MEGA3;14/06/2023;12:00:00;10,89;10,92;10,88;10,90;43.589,00;4.000
MEGA3;14/06/2023;11:55:00;10,91;10,96;10,88;10,89;150.766,00;13.800
MEGA3;14/06/2023;11:50:00;10,91;10,91;10,89;10,90;96.973,00;8.900
MEGA3;14/06/2023;11:45:00;10,88;10,92;10,87;10,91;86.050,00;7.900
MEGA3;14/06/2023;11:40:00;10,88;10,90;10,87;10,87;38.103,00;3.500
MEGA3;14/06/2023;11:35:00;10,87;10,88;10,86;10,88;15.217,00;1.400
MEGA3;14/06/2023;11:30:00;10,84;10,87;10,83;10,87;41.271,00;3.800
MEGA3;14/06/2023;11:25:00;10,90;10,90;10,85;10,85;45.700,00;4.200
MEGA3;14/06/2023;11:20:00;10,87;10,90;10,87;10,90;64.253,00;5.900
MEGA3;14/06/2023;11:15:00;10,85;10,89;10,82;10,88;138.936,00;12.800
MEGA3;14/06/2023;11:10:00;10,78;10,85;10,75;10,84;139.216,00;12.900
MEGA3;14/06/2023;11:05:00;10,80;10,80;10,77;10,77;36.681,00;3.400
MEGA3;14/06/2023;11:00:00;10,82;10,83;10,80;10,80;29.201,00;2.700
MEGA3;14/06/2023;10:55:00;10,81;10,84;10,79;10,81;178.497,00;16.500
MEGA3;14/06/2023;10:50:00;10,74;10,84;10,72;10,81;111.155,00;10.300
MEGA3;14/06/2023;10:45:00;10,78;10,79;10,74;10,74;44.181,00;4.100
MEGA3;14/06/2023;10:40:00;10,80;10,80;10,78;10,78;21.584,00;2.000
MEGA3;14/06/2023;10:35:00;10,75;10,81;10,75;10,79;146.729,00;13.600
MEGA3;14/06/2023;10:30:00;10,79;10,83;10,75;10,77;102.586,00;9.500
MEGA3;14/06/2023;10:25:00;10,73;10,82;10,73;10,79;178.860,00;16.600
MEGA3;14/06/2023;10:20:00;10,67;10,77;10,63;10,73;118.686,00;11.100
MEGA3;14/06/2023;10:15:00;10,61;10,68;10,61;10,68;78.774,00;7.400
MEGA3;14/06/2023;10:10:00;10,67;10,67;10,59;10,63;89.285,00;8.400
MEGA3;14/06/2023;10:05:00;10,75;10,75;10,67;10,68;18.187,00;1.700
MEGA3;14/06/2023;10:00:00;10,75;10,75;10,75;10,75;3.225,00;300
MEGA3;13/06/2023;16:50:00;10,60;10,73;10,60;10,73;3.094.164,00;288.600
MEGA3;13/06/2023;16:45:00;10,64;10,66;10,60;10,61;531.150,00;50.000
MEGA3;13/06/2023;16:40:00;10,68;10,69;10,64;10,64;230.213,00;21.600
