Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MELK3;16/06/2023;16:45:00;4,16;4,20;4,16;4,20;46.990,00;11.200
MELK3;16/06/2023;16:40:00;4,16;4,16;4,16;4,16;1.664,00;400
MELK3;16/06/2023;16:30:00;4,16;4,16;4,15;4,16;13.703,00;3.300
MELK3;16/06/2023;16:25:00;4,16;4,16;4,15;4,15;25.755,00;6.200
MELK3;16/06/2023;16:15:00;4,19;4,19;4,16;4,17;56.445,00;13.500
MELK3;16/06/2023;16:00:00;4,21;4,21;4,20;4,20;51.662,00;12.300
MELK3;16/06/2023;15:55:00;4,20;4,20;4,20;4,20;1.260,00;300
MELK3;16/06/2023;15:50:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;15:40:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;15:35:00;4,21;4,21;4,21;4,21;842,00;200
MELK3;16/06/2023;15:30:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;15:25:00;4,20;4,21;4,20;4,21;1.682,00;400
MELK3;16/06/2023;15:15:00;4,21;4,21;4,21;4,21;1.263,00;300
MELK3;16/06/2023;15:05:00;4,20;4,21;4,20;4,21;841,00;200
MELK3;16/06/2023;15:00:00;4,21;4,21;4,20;4,21;3.362,00;800
MELK3;16/06/2023;14:55:00;4,20;4,21;4,20;4,21;11.352,00;2.700
MELK3;16/06/2023;14:45:00;4,21;4,21;4,21;4,21;1.684,00;400
MELK3;16/06/2023;14:40:00;4,20;4,21;4,20;4,21;2.102,00;500
MELK3;16/06/2023;14:35:00;4,20;4,21;4,20;4,21;841,00;200
MELK3;16/06/2023;14:30:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;14:25:00;4,20;4,21;4,20;4,20;1.682,00;400
MELK3;16/06/2023;14:15:00;4,21;4,21;4,21;4,21;842,00;200
MELK3;16/06/2023;14:05:00;4,21;4,21;4,21;4,21;842,00;200
MELK3;16/06/2023;14:00:00;4,20;4,21;4,20;4,21;1.261,00;300
MELK3;16/06/2023;13:55:00;4,21;4,22;4,21;4,21;37.896,00;9.000
MELK3;16/06/2023;13:50:00;4,20;4,22;4,20;4,22;6.727,00;1.600
MELK3;16/06/2023;13:45:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;13:40:00;4,20;4,21;4,20;4,21;2.521,00;600
MELK3;16/06/2023;13:35:00;4,21;4,21;4,21;4,21;842,00;200
MELK3;16/06/2023;13:15:00;4,21;4,22;4,21;4,22;120.449,00;28.600
MELK3;16/06/2023;13:10:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;13:00:00;4,21;4,21;4,21;4,21;10.946,00;2.600
MELK3;16/06/2023;12:40:00;4,21;4,21;4,21;4,21;421,00;100
MELK3;16/06/2023;12:35:00;4,21;4,22;4,21;4,22;8.003,00;1.900
MELK3;16/06/2023;12:20:00;4,21;4,22;4,21;4,22;5.054,00;1.200
MELK3;16/06/2023;12:15:00;4,22;4,22;4,22;4,22;422,00;100
MELK3;16/06/2023;11:50:00;4,22;4,22;4,22;4,22;8.440,00;2.000
MELK3;16/06/2023;11:45:00;4,23;4,23;4,22;4,23;21.956,00;5.200
MELK3;16/06/2023;11:40:00;4,22;4,24;4,22;4,23;29.580,00;7.000
