Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MGLU3;16/06/2023;17:30:00;3,71;3,72;3,70;3,71;6.801.531,00;1.834.400
MGLU3;16/06/2023;16:45:00;3,70;3,72;3,70;3,71;58.532.443,00;15.778.200
MGLU3;16/06/2023;16:40:00;3,72;3,73;3,70;3,70;14.999.872,00;4.043.300
MGLU3;16/06/2023;16:35:00;3,74;3,74;3,72;3,72;5.334.093,00;1.430.000
MGLU3;16/06/2023;16:30:00;3,72;3,74;3,72;3,73;4.419.582,00;1.184.900
MGLU3;16/06/2023;16:25:00;3,74;3,74;3,72;3,72;6.517.033,00;1.747.200
MGLU3;16/06/2023;16:20:00;3,73;3,74;3,73;3,73;1.011.270,00;270.700
MGLU3;16/06/2023;16:15:00;3,75;3,75;3,73;3,74;8.216.767,00;2.198.100
MGLU3;16/06/2023;16:10:00;3,75;3,75;3,74;3,75;2.116.441,00;564.800
MGLU3;16/06/2023;16:05:00;3,75;3,75;3,74;3,74;2.446.929,00;653.400
MGLU3;16/06/2023;16:00:00;3,77;3,77;3,74;3,74;13.285.540,00;3.540.700
MGLU3;16/06/2023;15:55:00;3,78;3,79;3,76;3,77;9.494.117,00;2.515.100
MGLU3;16/06/2023;15:50:00;3,78;3,79;3,78;3,78;1.328.734,00;350.900
MGLU3;16/06/2023;15:45:00;3,78;3,79;3,78;3,79;2.502.886,00;660.700
MGLU3;16/06/2023;15:40:00;3,78;3,79;3,78;3,79;1.285.889,00;339.500
MGLU3;16/06/2023;15:35:00;3,78;3,79;3,78;3,78;2.065.197,00;545.100
MGLU3;16/06/2023;15:30:00;3,77;3,79;3,77;3,79;2.594.964,00;686.600
MGLU3;16/06/2023;15:25:00;3,77;3,79;3,77;3,77;8.950.137,00;2.368.100
MGLU3;16/06/2023;15:20:00;3,77;3,78;3,76;3,78;5.845.346,00;1.549.700
MGLU3;16/06/2023;15:15:00;3,77;3,77;3,76;3,76;572.653,00;152.000
MGLU3;16/06/2023;15:10:00;3,76;3,77;3,75;3,76;1.937.401,00;515.300
MGLU3;16/06/2023;15:05:00;3,76;3,76;3,75;3,75;606.829,00;161.500
MGLU3;16/06/2023;15:00:00;3,76;3,77;3,75;3,76;3.373.270,00;897.700
MGLU3;16/06/2023;14:55:00;3,76;3,77;3,76;3,76;684.785,00;181.800
