Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MILS3;16/06/2023;17:30:00;11,95;11,95;11,82;11,94;121.430,00;10.200
MILS3;16/06/2023;16:45:00;11,72;11,95;11,68;11,95;7.598.344,00;636.200
MILS3;16/06/2023;16:40:00;11,71;11,72;11,69;11,71;142.802,00;12.200
MILS3;16/06/2023;16:35:00;11,73;11,74;11,71;11,71;78.561,00;6.700
MILS3;16/06/2023;16:30:00;11,71;11,73;11,69;11,73;110.104,00;9.400
MILS3;16/06/2023;16:25:00;11,70;11,71;11,69;11,70;187.197,00;16.000
MILS3;16/06/2023;16:20:00;11,71;11,73;11,69;11,70;114.787,00;9.800
MILS3;16/06/2023;16:15:00;11,70;11,72;11,69;11,71;155.707,00;13.300
MILS3;16/06/2023;16:10:00;11,71;11,71;11,67;11,70;238.529,00;20.400
MILS3;16/06/2023;16:05:00;11,67;11,72;11,67;11,70;161.470,00;13.800
MILS3;16/06/2023;16:00:00;11,63;11,70;11,63;11,68;182.913,00;15.700
MILS3;16/06/2023;15:55:00;11,68;11,69;11,50;11,62;887.997,00;76.500
MILS3;16/06/2023;15:50:00;11,68;11,69;11,66;11,67;53.699,00;4.600
MILS3;16/06/2023;15:45:00;11,70;11,72;11,66;11,66;80.726,00;6.900
MILS3;16/06/2023;15:40:00;11,70;11,72;11,68;11,71;97.116,00;8.300
MILS3;16/06/2023;15:35:00;11,70;11,71;11,69;11,69;49.130,00;4.200
MILS3;16/06/2023;15:30:00;11,70;11,71;11,68;11,70;60.874,00;5.200
MILS3;16/06/2023;15:25:00;11,72;11,72;11,70;11,71;41.011,00;3.500
MILS3;16/06/2023;15:20:00;11,69;11,72;11,68;11,72;64.343,00;5.500
MILS3;16/06/2023;15:15:00;11,68;11,70;11,66;11,69;87.637,00;7.500
MILS3;16/06/2023;15:10:00;11,70;11,70;11,69;11,69;14.029,00;1.200
MILS3;16/06/2023;15:05:00;11,70;11,70;11,69;11,69;15.209,00;1.300
MILS3;16/06/2023;15:00:00;11,70;11,72;11,70;11,70;17.553,00;1.500
MILS3;16/06/2023;14:55:00;11,71;11,71;11,70;11,71;30.444,00;2.600
MILS3;16/06/2023;14:50:00;11,71;11,72;11,71;11,71;30.447,00;2.600
MILS3;16/06/2023;14:45:00;11,72;11,72;11,72;11,72;32.816,00;2.800
MILS3;16/06/2023;14:40:00;11,73;11,73;11,72;11,73;19.940,00;1.700
MILS3;16/06/2023;14:35:00;11,76;11,76;11,71;11,73;102.151,00;8.700
MILS3;16/06/2023;14:30:00;11,80;11,80;11,75;11,76;113.082,00;9.600
MILS3;16/06/2023;14:25:00;11,80;11,81;11,80;11,80;28.334,00;2.400
MILS3;16/06/2023;14:20:00;11,80;11,80;11,80;11,80;4.720,00;400
MILS3;16/06/2023;14:15:00;11,82;11,83;11,80;11,80;64.941,00;5.500
MILS3;16/06/2023;14:10:00;11,82;11,82;11,80;11,80;43.678,00;3.700
MILS3;16/06/2023;14:05:00;11,81;11,83;11,80;11,83;37.806,00;3.200
MILS3;16/06/2023;14:00:00;11,87;11,88;11,80;11,81;65.033,00;5.500
MILS3;16/06/2023;13:55:00;11,83;11,88;11,82;11,88;22.513,00;1.900
MILS3;16/06/2023;13:50:00;11,84;11,84;11,83;11,83;30.769,00;2.600
MILS3;16/06/2023;13:45:00;11,83;11,84;11,83;11,84;7.101,00;600
MILS3;16/06/2023;13:40:00;11,82;11,83;11,82;11,83;11.828,00;1.000
MILS3;16/06/2023;13:35:00;11,83;11,83;11,82;11,82;3.548,00;300
MILS3;16/06/2023;13:30:00;11,83;11,83;11,80;11,82;61.436,00;5.200
MILS3;16/06/2023;13:25:00;11,85;11,85;11,83;11,83;13.025,00;1.100
MILS3;16/06/2023;13:20:00;11,84;11,85;11,84;11,85;9.475,00;800
MILS3;16/06/2023;13:15:00;11,82;11,84;11,82;11,83;15.379,00;1.300
MILS3;16/06/2023;13:10:00;11,85;11,85;11,82;11,82;13.025,00;1.100
MILS3;16/06/2023;13:05:00;11,83;11,85;11,83;11,85;3.553,00;300
MILS3;16/06/2023;13:00:00;11,90;11,90;11,82;11,85;47.388,00;4.000
MILS3;16/06/2023;12:55:00;11,93;11,94;11,89;11,89;51.286,00;4.300
MILS3;16/06/2023;12:50:00;11,92;11,92;11,90;11,92;57.174,00;4.800
MILS3;16/06/2023;12:45:00;11,92;11,92;11,91;11,91;4.766,00;400
MILS3;16/06/2023;12:40:00;11,86;11,91;11,86;11,91;32.093,00;2.700
MILS3;16/06/2023;12:35:00;11,88;11,88;11,86;11,87;30.870,00;2.600
