Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MLAS3;16/06/2023;17:30:00;2,60;2,61;2,60;2,61;19.503,00;7.500
MLAS3;16/06/2023;16:45:00;2,58;2,60;2,56;2,60;3.329.035,00;1.281.600
MLAS3;16/06/2023;16:40:00;2,58;2,59;2,56;2,58;340.108,00;132.100
MLAS3;16/06/2023;16:35:00;2,56;2,58;2,56;2,57;176.332,00;68.500
MLAS3;16/06/2023;16:30:00;2,56;2,57;2,55;2,57;218.496,00;85.200
MLAS3;16/06/2023;16:25:00;2,54;2,56;2,54;2,55;331.745,00;130.000
MLAS3;16/06/2023;16:20:00;2,57;2,57;2,54;2,54;317.431,00;123.900
MLAS3;16/06/2023;16:15:00;2,53;2,57;2,53;2,57;230.850,00;90.400
MLAS3;16/06/2023;16:10:00;2,51;2,54;2,51;2,54;225.036,00;89.000
MLAS3;16/06/2023;16:05:00;2,52;2,53;2,51;2,52;199.377,00;79.100
MLAS3;16/06/2023;16:00:00;2,52;2,53;2,51;2,53;153.473,00;60.800
MLAS3;16/06/2023;15:55:00;2,52;2,52;2,51;2,52;51.022,00;20.300
MLAS3;16/06/2023;15:50:00;2,52;2,52;2,51;2,52;61.864,00;24.600
MLAS3;16/06/2023;15:45:00;2,53;2,53;2,51;2,52;62.513,00;24.800
MLAS3;16/06/2023;15:40:00;2,52;2,53;2,51;2,52;173.327,00;68.800
MLAS3;16/06/2023;15:35:00;2,53;2,54;2,52;2,53;58.696,00;23.200
MLAS3;16/06/2023;15:30:00;2,53;2,54;2,53;2,53;51.426,00;20.300
MLAS3;16/06/2023;15:25:00;2,53;2,54;2,53;2,53;84.518,00;33.300
MLAS3;16/06/2023;15:20:00;2,53;2,54;2,53;2,53;37.764,00;14.900
MLAS3;16/06/2023;15:15:00;2,53;2,54;2,53;2,53;28.130,00;11.100
MLAS3;16/06/2023;15:10:00;2,54;2,54;2,53;2,53;37.272,00;14.700
MLAS3;16/06/2023;15:05:00;2,54;2,54;2,53;2,53;85.765,00;33.800
MLAS3;16/06/2023;15:00:00;2,53;2,54;2,53;2,54;37.708,00;14.900
MLAS3;16/06/2023;14:55:00;2,52;2,55;2,52;2,54;347.319,00;137.000
MLAS3;16/06/2023;14:50:00;2,53;2,56;2,52;2,53;191.384,00;75.300
MLAS3;16/06/2023;14:45:00;2,52;2,54;2,52;2,54;38.492,00;15.200
MLAS3;16/06/2023;14:40:00;2,53;2,53;2,52;2,52;33.357,00;13.200
MLAS3;16/06/2023;14:35:00;2,53;2,53;2,52;2,52;43.217,00;17.100
MLAS3;16/06/2023;14:30:00;2,51;2,53;2,51;2,53;68.058,00;27.000
MLAS3;16/06/2023;14:25:00;2,52;2,53;2,51;2,51;78.326,00;31.100
MLAS3;16/06/2023;14:20:00;2,53;2,54;2,52;2,52;94.331,00;37.300
