Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MODL3;06/06/2023;11:15:00;2,61;2,62;2,61;2,62;4.715,00;1.800
MODL3;06/06/2023;11:10:00;2,60;2,62;2,60;2,62;79.549,00;30.500
MODL3;06/06/2023;11:05:00;2,59;2,60;2,59;2,60;4.677,00;1.800
MODL3;06/06/2023;11:00:00;2,59;2,60;2,58;2,59;32.885,00;12.700
MODL3;06/06/2023;10:55:00;2,58;2,58;2,58;2,58;1.806,00;700
MODL3;06/06/2023;10:50:00;2,58;2,58;2,58;2,58;258,00;100
MODL3;06/06/2023;10:45:00;2,59;2,59;2,59;2,59;2.331,00;900
MODL3;06/06/2023;10:40:00;2,59;2,59;2,59;2,59;2.849,00;1.100
MODL3;06/06/2023;10:35:00;2,59;2,59;2,59;2,59;4.403,00;1.700
MODL3;06/06/2023;10:30:00;2,57;2,58;2,57;2,57;17.279,00;6.700
MODL3;06/06/2023;10:25:00;2,57;2,58;2,56;2,56;3.091,00;1.200
MODL3;06/06/2023;10:20:00;2,57;2,58;2,57;2,58;3.086,00;1.200
MODL3;06/06/2023;10:15:00;2,57;2,57;2,57;2,57;7.967,00;3.100
MODL3;06/06/2023;10:10:00;2,58;2,60;2,58;2,59;49.162,00;19.000
MODL3;06/06/2023;10:05:00;2,55;2,58;2,55;2,56;13.361,00;5.200
MODL3;05/06/2023;17:30:00;2,55;2,56;2,55;2,56;5.358,00;2.100
MODL3;05/06/2023;16:50:00;2,54;2,55;2,53;2,55;3.835.465,00;1.504.700
MODL3;05/06/2023;16:45:00;2,54;2,54;2,53;2,53;311.225,00;122.600
MODL3;05/06/2023;16:40:00;2,53;2,54;2,53;2,54;140.511,00;55.500
MODL3;05/06/2023;16:35:00;2,53;2,53;2,52;2,53;70.576,00;27.900
MODL3;05/06/2023;16:30:00;2,53;2,53;2,53;2,53;38.203,00;15.100
MODL3;05/06/2023;16:25:00;2,52;2,53;2,52;2,53;125.000,00;49.600
MODL3;05/06/2023;16:20:00;2,52;2,52;2,52;2,52;114.660,00;45.500
MODL3;05/06/2023;16:15:00;2,52;2,52;2,51;2,51;10.078,00;4.000
MODL3;05/06/2023;16:10:00;2,51;2,52;2,51;2,52;791.502,00;315.200
MODL3;05/06/2023;16:05:00;2,52;2,52;2,51;2,52;46.036,00;18.300
