Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MOVI3;06/06/2023;11:20:00;11,55;11,55;11,53;11,55;93.451,00;8.100
MOVI3;06/06/2023;11:15:00;11,53;11,55;11,51;11,54;220.226,00;19.100
MOVI3;06/06/2023;11:10:00;11,52;11,53;11,50;11,53;207.330,00;18.000
MOVI3;06/06/2023;11:05:00;11,49;11,53;11,48;11,51;441.856,00;38.400
MOVI3;06/06/2023;11:00:00;11,43;11,48;11,42;11,48;652.193,00;57.000
MOVI3;06/06/2023;10:55:00;11,43;11,44;11,41;11,42;180.632,00;15.800
MOVI3;06/06/2023;10:50:00;11,44;11,49;11,42;11,42;663.152,00;57.900
MOVI3;06/06/2023;10:45:00;11,40;11,45;11,38;11,44;587.674,00;51.400
MOVI3;06/06/2023;10:40:00;11,37;11,40;11,37;11,40;70.567,00;6.200
MOVI3;06/06/2023;10:35:00;11,35;11,38;11,34;11,37;120.401,00;10.600
MOVI3;06/06/2023;10:30:00;11,34;11,43;11,34;11,37;387.037,00;34.000
MOVI3;06/06/2023;10:25:00;11,33;11,35;11,30;11,34;182.421,00;16.100
MOVI3;06/06/2023;10:20:00;11,31;11,34;11,29;11,33;143.698,00;12.700
MOVI3;06/06/2023;10:15:00;11,33;11,33;11,30;11,32;141.484,00;12.500
MOVI3;06/06/2023;10:10:00;11,39;11,43;11,32;11,33;383.274,00;33.700
MOVI3;06/06/2023;10:05:00;11,32;11,39;11,32;11,39;408.046,00;35.900
MOVI3;06/06/2023;10:00:00;11,28;11,32;11,26;11,32;95.931,00;8.500
MOVI3;05/06/2023;17:30:00;11,30;11,30;11,26;11,28;19.168,00;1.700
MOVI3;05/06/2023;16:50:00;11,23;11,34;11,20;11,28;5.836.276,00;518.200
MOVI3;05/06/2023;16:45:00;11,27;11,28;11,23;11,23;1.234.269,00;109.700
MOVI3;05/06/2023;16:40:00;11,25;11,27;11,23;11,26;908.201,00;80.700
MOVI3;05/06/2023;16:35:00;11,38;11,38;11,23;11,26;1.277.852,00;113.200
MOVI3;05/06/2023;16:30:00;11,41;11,43;11,38;11,38;328.794,00;28.800
MOVI3;05/06/2023;16:25:00;11,38;11,41;11,37;11,39;159.477,00;14.000
MOVI3;05/06/2023;16:20:00;11,35;11,38;11,34;11,38;235.265,00;20.700
MOVI3;05/06/2023;16:15:00;11,34;11,36;11,34;11,36;82.851,00;7.300
MOVI3;05/06/2023;16:10:00;11,34;11,35;11,33;11,34;173.496,00;15.300
MOVI3;05/06/2023;16:05:00;11,32;11,34;11,32;11,34;126.882,00;11.200
MOVI3;05/06/2023;16:00:00;11,34;11,35;11,32;11,33;223.260,00;19.700
MOVI3;05/06/2023;15:55:00;11,36;11,36;11,34;11,34;153.283,00;13.500
MOVI3;05/06/2023;15:50:00;11,36;11,37;11,34;11,36;177.205,00;15.600
MOVI3;05/06/2023;15:45:00;11,38;11,38;11,36;11,37;79.582,00;7.000
MOVI3;05/06/2023;15:40:00;11,35;11,38;11,35;11,38;87.537,00;7.700
MOVI3;05/06/2023;15:35:00;11,35;11,37;11,35;11,35;78.388,00;6.900
MOVI3;05/06/2023;15:30:00;11,36;11,37;11,34;11,34;115.850,00;10.200
MOVI3;05/06/2023;15:25:00;11,37;11,38;11,35;11,36;93.187,00;8.200
MOVI3;05/06/2023;15:20:00;11,38;11,38;11,37;11,38;64.841,00;5.700
MOVI3;05/06/2023;15:15:00;11,35;11,38;11,34;11,37;64.748,00;5.700
MOVI3;05/06/2023;15:10:00;11,36;11,37;11,33;11,35;208.775,00;18.400
MOVI3;05/06/2023;15:05:00;11,40;11,40;11,35;11,37;131.812,00;11.600
MOVI3;05/06/2023;15:00:00;11,35;11,43;11,35;11,39;596.603,00;52.400
MOVI3;05/06/2023;14:55:00;11,34;11,36;11,34;11,36;113.460,00;10.000
MOVI3;05/06/2023;14:50:00;11,35;11,35;11,33;11,34;113.420,00;10.000
MOVI3;05/06/2023;14:45:00;11,34;11,35;11,33;11,34;95.271,00;8.400
MOVI3;05/06/2023;14:40:00;11,32;11,34;11,31;11,33;115.505,00;10.200
MOVI3;05/06/2023;14:35:00;11,36;11,36;11,31;11,32;187.001,00;16.500
MOVI3;05/06/2023;14:30:00;11,35;11,36;11,34;11,36;157.787,00;13.900
MOVI3;05/06/2023;14:25:00;11,37;11,37;11,34;11,36;129.433,00;11.400
MOVI3;05/06/2023;14:20:00;11,37;11,38;11,36;11,37;105.754,00;9.300
MOVI3;05/06/2023;14:15:00;11,38;11,38;11,36;11,38;85.284,00;7.500
MOVI3;05/06/2023;14:10:00;11,39;11,40;11,37;11,39;173.149,00;15.200
