Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MRFG3;16/06/2023;17:30:00;7,23;7,24;7,20;7,21;1.319.554,00;182.700
MRFG3;16/06/2023;16:45:00;7,29;7,30;7,23;7,23;22.761.212,00;3.146.200
MRFG3;16/06/2023;16:40:00;7,29;7,29;7,27;7,28;1.208.697,00;165.900
MRFG3;16/06/2023;16:35:00;7,28;7,30;7,28;7,29;1.031.707,00;141.600
MRFG3;16/06/2023;16:30:00;7,28;7,29;7,26;7,29;1.728.010,00;237.400
MRFG3;16/06/2023;16:25:00;7,26;7,28;7,26;7,27;1.161.170,00;159.800
MRFG3;16/06/2023;16:20:00;7,27;7,28;7,26;7,26;1.371.173,00;188.700
MRFG3;16/06/2023;16:15:00;7,30;7,30;7,27;7,27;1.042.475,00;143.100
MRFG3;16/06/2023;16:10:00;7,29;7,30;7,29;7,29;423.595,00;58.100
MRFG3;16/06/2023;16:05:00;7,28;7,30;7,28;7,29;1.175.931,00;161.300
MRFG3;16/06/2023;16:00:00;7,28;7,29;7,27;7,28;706.038,00;97.000
MRFG3;16/06/2023;15:55:00;7,28;7,30;7,27;7,29;1.182.406,00;162.300
MRFG3;16/06/2023;15:50:00;7,29;7,29;7,27;7,27;1.684.872,00;231.300
MRFG3;16/06/2023;15:45:00;7,32;7,32;7,29;7,29;1.036.717,00;142.000
MRFG3;16/06/2023;15:40:00;7,29;7,32;7,29;7,31;460.755,00;63.100
MRFG3;16/06/2023;15:35:00;7,30;7,30;7,29;7,29;134.942,00;18.500
MRFG3;16/06/2023;15:30:00;7,31;7,33;7,30;7,30;1.101.413,00;150.600
MRFG3;16/06/2023;15:25:00;7,30;7,33;7,30;7,32;714.580,00;97.700
MRFG3;16/06/2023;15:20:00;7,31;7,31;7,29;7,31;549.050,00;75.200
MRFG3;16/06/2023;15:15:00;7,28;7,30;7,28;7,30;304.156,00;41.700
MRFG3;16/06/2023;15:10:00;7,29;7,29;7,28;7,28;442.266,00;60.700
MRFG3;16/06/2023;15:05:00;7,29;7,29;7,28;7,28;743.005,00;102.000
MRFG3;16/06/2023;15:00:00;7,32;7,33;7,29;7,30;1.637.207,00;224.200
MRFG3;16/06/2023;14:55:00;7,31;7,33;7,31;7,32;453.652,00;62.000
MRFG3;16/06/2023;14:50:00;7,33;7,34;7,31;7,31;923.181,00;126.100
MRFG3;16/06/2023;14:45:00;7,33;7,34;7,33;7,34;622.938,00;84.900
