Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MRVE3;16/06/2023;17:30:00;11,70;11,70;11,66;11,66;56.117,00;4.800
MRVE3;16/06/2023;16:45:00;11,75;11,75;11,70;11,70;7.324.077,00;625.800
MRVE3;16/06/2023;16:40:00;11,74;11,75;11,71;11,74;744.989,00;63.500
MRVE3;16/06/2023;16:35:00;11,74;11,75;11,73;11,74;503.689,00;42.900
MRVE3;16/06/2023;16:30:00;11,73;11,75;11,71;11,74;1.010.038,00;86.100
MRVE3;16/06/2023;16:25:00;11,75;11,77;11,73;11,73;783.507,00;66.700
MRVE3;16/06/2023;16:20:00;11,76;11,78;11,75;11,76;760.019,00;64.600
MRVE3;16/06/2023;16:15:00;11,74;11,77;11,72;11,76;832.693,00;70.900
MRVE3;16/06/2023;16:10:00;11,71;11,74;11,71;11,73;405.600,00;34.600
MRVE3;16/06/2023;16:05:00;11,71;11,73;11,70;11,71;411.026,00;35.100
MRVE3;16/06/2023;16:00:00;11,72;11,73;11,70;11,71;485.999,00;41.500
MRVE3;16/06/2023;15:55:00;11,71;11,72;11,69;11,71;833.754,00;71.200
MRVE3;16/06/2023;15:50:00;11,72;11,73;11,71;11,72;530.818,00;45.300
MRVE3;16/06/2023;15:45:00;11,73;11,74;11,71;11,72;574.640,00;49.000
MRVE3;16/06/2023;15:40:00;11,73;11,75;11,72;11,73;440.058,00;37.500
MRVE3;16/06/2023;15:35:00;11,75;11,75;11,72;11,74;515.394,00;43.900
MRVE3;16/06/2023;15:30:00;11,74;11,76;11,73;11,74;399.304,00;34.000
MRVE3;16/06/2023;15:25:00;11,74;11,76;11,73;11,74;537.986,00;45.800
MRVE3;16/06/2023;15:20:00;11,75;11,76;11,73;11,74;891.193,00;75.900
MRVE3;16/06/2023;15:15:00;11,74;11,75;11,73;11,74;353.525,00;30.100
MRVE3;16/06/2023;15:10:00;11,71;11,75;11,71;11,74;752.020,00;64.100
MRVE3;16/06/2023;15:05:00;11,70;11,72;11,70;11,71;497.665,00;42.500
MRVE3;16/06/2023;15:00:00;11,70;11,71;11,68;11,71;380.020,00;32.500
MRVE3;16/06/2023;14:55:00;11,68;11,70;11,67;11,69;279.241,00;23.900
MRVE3;16/06/2023;14:50:00;11,69;11,71;11,67;11,67;560.080,00;47.900
MRVE3;16/06/2023;14:45:00;11,70;11,71;11,69;11,70;478.467,00;40.900
MRVE3;16/06/2023;14:40:00;11,69;11,71;11,68;11,69;383.651,00;32.800
MRVE3;16/06/2023;14:35:00;11,69;11,70;11,67;11,69;598.553,00;51.200
MRVE3;16/06/2023;14:30:00;11,68;11,71;11,66;11,69;778.508,00;66.600
MRVE3;16/06/2023;14:25:00;11,67;11,68;11,65;11,67;519.246,00;44.500
MRVE3;16/06/2023;14:20:00;11,68;11,68;11,66;11,67;357.113,00;30.600
MRVE3;16/06/2023;14:15:00;11,69;11,69;11,67;11,67;464.880,00;39.800
MRVE3;16/06/2023;14:10:00;11,68;11,69;11,67;11,68;301.270,00;25.800
MRVE3;16/06/2023;14:05:00;11,69;11,70;11,67;11,69;495.413,00;42.400
MRVE3;16/06/2023;14:00:00;11,72;11,73;11,68;11,69;653.095,00;55.800
MRVE3;16/06/2023;13:55:00;11,71;11,73;11,69;11,73;769.745,00;65.700
MRVE3;16/06/2023;13:50:00;11,69;11,71;11,68;11,70;661.111,00;56.500
MRVE3;16/06/2023;13:45:00;11,69;11,70;11,67;11,69;456.838,00;39.100
MRVE3;16/06/2023;13:40:00;11,66;11,69;11,65;11,68;391.007,00;33.500
MRVE3;16/06/2023;13:35:00;11,67;11,68;11,65;11,65;453.503,00;38.900
MRVE3;16/06/2023;13:30:00;11,62;11,68;11,61;11,68;629.004,00;54.000
MRVE3;16/06/2023;13:25:00;11,64;11,64;11,61;11,61;571.022,00;49.100
MRVE3;16/06/2023;13:20:00;11,68;11,69;11,63;11,64;1.187.753,00;101.900
MRVE3;16/06/2023;13:15:00;11,70;11,70;11,66;11,67;1.566.194,00;134.100
MRVE3;16/06/2023;13:10:00;11,71;11,71;11,69;11,69;274.964,00;23.500
MRVE3;16/06/2023;13:05:00;11,69;11,72;11,69;11,72;285.562,00;24.400
MRVE3;16/06/2023;13:00:00;11,70;11,71;11,69;11,70;372.016,00;31.800
MRVE3;16/06/2023;12:55:00;11,72;11,73;11,70;11,70;326.842,00;27.900
MRVE3;16/06/2023;12:50:00;11,71;11,72;11,70;11,71;273.975,00;23.400
MRVE3;16/06/2023;12:45:00;11,73;11,74;11,70;11,72;1.580.223,00;135.000
MRVE3;16/06/2023;12:40:00;11,70;11,73;11,69;11,72;168.617,00;14.400
MRVE3;16/06/2023;12:35:00;11,73;11,74;11,69;11,70;1.651.128,00;141.000
