Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MTRE3;06/06/2023;11:20:00;5,83;5,83;5,83;5,83;2.332,00;400
MTRE3;06/06/2023;11:15:00;5,83;5,84;5,82;5,82;124.752,00;21.400
MTRE3;06/06/2023;11:10:00;5,84;5,84;5,82;5,82;28.543,00;4.900
MTRE3;06/06/2023;11:05:00;5,85;5,89;5,84;5,84;32.847,00;5.600
MTRE3;06/06/2023;11:00:00;5,85;5,86;5,84;5,84;4.680,00;800
MTRE3;06/06/2023;10:55:00;5,84;5,85;5,84;5,85;1.169,00;200
MTRE3;06/06/2023;10:50:00;5,86;5,86;5,83;5,83;6.433,00;1.100
MTRE3;06/06/2023;10:45:00;5,85;5,86;5,85;5,85;9.955,00;1.700
MTRE3;06/06/2023;10:40:00;5,84;5,84;5,81;5,83;11.664,00;2.000
MTRE3;06/06/2023;10:35:00;5,82;5,85;5,82;5,85;6.414,00;1.100
MTRE3;06/06/2023;10:30:00;5,82;5,84;5,81;5,82;12.834,00;2.200
MTRE3;06/06/2023;10:25:00;5,80;5,85;5,79;5,81;18.669,00;3.200
MTRE3;06/06/2023;10:20:00;5,79;5,80;5,78;5,80;59.076,00;10.200
MTRE3;06/06/2023;10:15:00;5,79;5,79;5,78;5,79;8.099,00;1.400
MTRE3;06/06/2023;10:10:00;5,79;5,85;5,79;5,80;66.948,00;11.500
MTRE3;06/06/2023;10:05:00;5,78;5,78;5,68;5,76;95.479,00;16.700
MTRE3;06/06/2023;10:00:00;5,75;5,75;5,75;5,75;1.725,00;300
MTRE3;05/06/2023;17:30:00;5,74;5,78;5,74;5,74;3.448,00;600
MTRE3;05/06/2023;16:50:00;5,76;5,77;5,73;5,73;351.960,00;61.400
MTRE3;05/06/2023;16:45:00;5,78;5,79;5,74;5,75;54.763,00;9.500
MTRE3;05/06/2023;16:40:00;5,75;5,79;5,75;5,78;19.628,00;3.400
MTRE3;05/06/2023;16:35:00;5,77;5,77;5,72;5,76;79.865,00;13.900
MTRE3;05/06/2023;16:30:00;5,76;5,82;5,76;5,77;46.257,00;8.000
MTRE3;05/06/2023;16:25:00;5,74;5,80;5,74;5,77;63.498,00;11.000
MTRE3;05/06/2023;16:20:00;5,78;5,79;5,74;5,74;98.053,00;17.000
MTRE3;05/06/2023;16:15:00;5,78;5,80;5,78;5,79;19.679,00;3.400
MTRE3;05/06/2023;16:10:00;5,80;5,80;5,78;5,79;14.469,00;2.500
MTRE3;05/06/2023;16:05:00;5,83;5,83;5,78;5,78;60.910,00;10.500
MTRE3;05/06/2023;16:00:00;5,83;5,83;5,81;5,81;5.821,00;1.000
MTRE3;05/06/2023;15:55:00;5,83;5,83;5,83;5,83;33.814,00;5.800
MTRE3;05/06/2023;15:50:00;5,84;5,84;5,83;5,83;9.913,00;1.700
MTRE3;05/06/2023;15:45:00;5,87;5,87;5,82;5,84;135.849,00;23.300
MTRE3;05/06/2023;15:40:00;5,87;5,88;5,87;5,88;12.919,00;2.200
MTRE3;05/06/2023;15:35:00;5,87;5,87;5,86;5,87;9.379,00;1.600
MTRE3;05/06/2023;15:30:00;5,88;5,88;5,87;5,87;5.877,00;1.000
MTRE3;05/06/2023;15:25:00;5,88;5,88;5,87;5,88;9.990,00;1.700
MTRE3;05/06/2023;15:20:00;5,87;5,88;5,87;5,88;4.699,00;800
MTRE3;05/06/2023;15:15:00;5,87;5,87;5,86;5,87;2.933,00;500
MTRE3;05/06/2023;15:10:00;5,87;5,87;5,86;5,87;3.520,00;600
MTRE3;05/06/2023;15:05:00;5,87;5,87;5,86;5,86;7.034,00;1.200
MTRE3;05/06/2023;15:00:00;5,89;5,89;5,85;5,85;28.253,00;4.800
MTRE3;05/06/2023;14:55:00;5,88;5,89;5,87;5,89;14.686,00;2.500
MTRE3;05/06/2023;14:50:00;5,88;5,88;5,88;5,88;12.936,00;2.200
MTRE3;05/06/2023;14:45:00;5,88;5,88;5,88;5,88;14.700,00;2.500
MTRE3;05/06/2023;14:40:00;5,87;5,88;5,87;5,88;3.524,00;600
MTRE3;05/06/2023;14:35:00;5,87;5,87;5,87;5,87;3.522,00;600
MTRE3;05/06/2023;14:30:00;5,87;5,88;5,87;5,87;2.937,00;500
MTRE3;05/06/2023;14:25:00;5,87;5,88;5,87;5,87;12.915,00;2.200
MTRE3;05/06/2023;14:20:00;5,89;5,89;5,87;5,87;69.883,00;11.900
MTRE3;05/06/2023;14:15:00;5,87;5,88;5,87;5,88;7.632,00;1.300
MTRE3;05/06/2023;14:10:00;5,88;5,88;5,88;5,88;4.704,00;800
MTRE3;05/06/2023;14:05:00;5,88;5,88;5,87;5,88;6.462,00;1.100
MTRE3;05/06/2023;14:00:00;5,87;5,88;5,87;5,88;6.467,00;1.100
MTRE3;05/06/2023;13:55:00;5,88;5,88;5,86;5,87;11.156,00;1.900
MTRE3;05/06/2023;13:50:00;5,88;5,88;5,87;5,88;5.879,00;1.000
MTRE3;05/06/2023;13:45:00;5,90;5,90;5,89;5,89;12.969,00;2.200
MTRE3;05/06/2023;13:40:00;5,89;5,90;5,89;5,90;2.946,00;500
MTRE3;05/06/2023;13:35:00;5,89;5,89;5,89;5,89;4.712,00;800
MTRE3;05/06/2023;13:30:00;5,89;5,90;5,86;5,89;40.632,00;6.900
MTRE3;05/06/2023;13:25:00;5,90;5,90;5,90;5,90;590,00;100
MTRE3;05/06/2023;13:20:00;5,89;5,89;5,87;5,88;18.812,00;3.200
MTRE3;05/06/2023;13:15:00;5,88;5,89;5,88;5,89;20.018,00;3.400
MTRE3;05/06/2023;13:10:00;5,85;5,88;5,85;5,87;86.041,00;14.700
MTRE3;05/06/2023;13:05:00;5,84;5,85;5,84;5,84;9.933,00;1.700
MTRE3;05/06/2023;13:00:00;5,83;5,84;5,83;5,84;5.831,00;1.000
MTRE3;05/06/2023;12:55:00;5,82;5,82;5,82;5,82;5.820,00;1.000
MTRE3;05/06/2023;12:50:00;5,77;5,83;5,77;5,82;86.182,00;14.900
MTRE3;05/06/2023;12:45:00;5,77;5,77;5,77;5,77;2.885,00;500
MTRE3;05/06/2023;12:40:00;5,76;5,76;5,76;5,76;2.304,00;400
MTRE3;05/06/2023;12:30:00;5,77;5,77;5,77;5,77;5.193,00;900
MTRE3;05/06/2023;12:25:00;5,78;5,78;5,78;5,78;4.046,00;700
MTRE3;05/06/2023;12:20:00;5,79;5,79;5,79;5,79;4.053,00;700
MTRE3;05/06/2023;12:15:00;5,79;5,79;5,78;5,79;2.893,00;500
MTRE3;05/06/2023;12:10:00;5,79;5,79;5,78;5,78;5.789,00;1.000
MTRE3;05/06/2023;12:05:00;5,77;5,77;5,77;5,77;577,00;100
MTRE3;05/06/2023;12:00:00;5,77;5,77;5,77;5,77;15.002,00;2.600
MTRE3;05/06/2023;11:55:00;5,76;5,76;5,76;5,76;576,00;100
MTRE3;05/06/2023;11:50:00;5,77;5,77;5,76;5,77;59.427,00;10.300
MTRE3;05/06/2023;11:45:00;5,77;5,77;5,76;5,77;64.620,00;11.200
MTRE3;05/06/2023;11:40:00;5,75;5,77;5,75;5,77;109.024,00;18.900
MTRE3;05/06/2023;11:35:00;5,74;5,76;5,74;5,74;23.578,00;4.100
MTRE3;05/06/2023;11:30:00;5,74;5,75;5,74;5,75;2.873,00;500
MTRE3;05/06/2023;11:25:00;5,73;5,73;5,73;5,73;4.584,00;800
MTRE3;05/06/2023;11:20:00;5,74;5,74;5,73;5,74;30.975,00;5.400
MTRE3;05/06/2023;11:15:00;5,76;5,77;5,74;5,74;26.513,00;4.600
MTRE3;05/06/2023;11:10:00;5,75;5,75;5,74;5,75;64.398,00;11.200
MTRE3;05/06/2023;11:05:00;5,76;5,76;5,75;5,75;9.211,00;1.600
