Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MULT3;06/06/2023;11:20:00;26,08;26,09;26,07;26,08;140.837,00;5.400
MULT3;06/06/2023;11:15:00;26,11;26,14;26,08;26,08;1.679.030,00;64.300
MULT3;06/06/2023;11:10:00;26,12;26,13;26,09;26,11;1.378.653,00;52.800
MULT3;06/06/2023;11:05:00;26,11;26,15;26,05;26,12;2.948.713,00;112.900
MULT3;06/06/2023;11:00:00;26,07;26,13;26,07;26,11;1.658.124,00;63.500
MULT3;06/06/2023;10:55:00;26,13;26,13;26,03;26,07;2.660.845,00;102.000
MULT3;06/06/2023;10:50:00;26,13;26,21;26,09;26,13;3.071.014,00;117.400
MULT3;06/06/2023;10:45:00;26,19;26,19;26,13;26,13;575.470,00;22.000
MULT3;06/06/2023;10:40:00;26,18;26,22;26,16;26,20;1.762.323,00;67.300
MULT3;06/06/2023;10:35:00;26,19;26,23;26,17;26,18;2.512.723,00;95.900
MULT3;06/06/2023;10:30:00;26,14;26,27;26,13;26,20;6.177.462,00;235.700
MULT3;06/06/2023;10:25:00;26,02;26,15;25,96;26,14;2.864.891,00;109.900
MULT3;06/06/2023;10:20:00;26,04;26,05;25,97;26,02;2.652.831,00;102.000
MULT3;06/06/2023;10:15:00;26,07;26,09;26,04;26,06;794.918,00;30.500
MULT3;06/06/2023;10:10:00;26,04;26,22;26,04;26,09;2.950.379,00;113.100
MULT3;06/06/2023;10:05:00;26,04;26,15;25,98;26,04;5.392.145,00;207.100
MULT3;06/06/2023;10:00:00;25,95;26,04;25,81;26,04;630.610,00;24.300
MULT3;05/06/2023;17:30:00;26,04;26,04;25,87;25,87;341.724,00;13.200
MULT3;05/06/2023;16:50:00;25,96;25,99;25,94;25,99;12.566.740,00;483.600
MULT3;05/06/2023;16:45:00;26,01;26,02;25,93;25,95;8.047.550,00;310.000
MULT3;05/06/2023;16:40:00;25,99;26,02;25,98;26,00;3.007.282,00;115.700
MULT3;05/06/2023;16:35:00;25,99;26,01;25,97;25,99;2.656.287,00;102.200
MULT3;05/06/2023;16:30:00;25,99;26,05;25,96;25,99;6.075.819,00;233.700
MULT3;05/06/2023;16:25:00;25,95;25,99;25,91;25,98;4.427.845,00;170.600
MULT3;05/06/2023;16:20:00;25,93;25,97;25,91;25,94;3.156.300,00;121.700
MULT3;05/06/2023;16:15:00;25,87;25,93;25,87;25,91;3.428.160,00;132.400
MULT3;05/06/2023;16:10:00;25,89;25,89;25,86;25,87;2.502.388,00;96.700
MULT3;05/06/2023;16:05:00;25,89;25,92;25,89;25,90;1.740.675,00;67.200
MULT3;05/06/2023;16:00:00;25,96;25,97;25,87;25,90;4.869.011,00;187.900
MULT3;05/06/2023;15:55:00;25,97;25,98;25,93;25,97;2.581.124,00;99.400
MULT3;05/06/2023;15:50:00;25,88;25,97;25,87;25,97;4.161.655,00;160.500
MULT3;05/06/2023;15:45:00;25,96;25,97;25,86;25,87;4.255.874,00;164.100
MULT3;05/06/2023;15:40:00;26,00;26,01;25,94;25,96;3.892.978,00;149.900
MULT3;05/06/2023;15:35:00;25,99;26,01;25,99;25,99;1.242.686,00;47.800
MULT3;05/06/2023;15:30:00;26,00;26,01;25,97;25,99;1.621.949,00;62.400
MULT3;05/06/2023;15:25:00;26,02;26,02;25,97;25,99;3.343.349,00;128.600
MULT3;05/06/2023;15:20:00;26,00;26,05;25,99;26,02;2.297.190,00;88.300
MULT3;05/06/2023;15:15:00;25,99;26,01;25,99;25,99;5.181.541,00;199.300
MULT3;05/06/2023;15:10:00;26,03;26,03;25,97;25,99;3.201.211,00;123.100
MULT3;05/06/2023;15:05:00;25,94;26,04;25,90;26,03;12.260.762,00;472.500
MULT3;05/06/2023;15:00:00;25,88;25,97;25,88;25,94;2.864.437,00;110.500
MULT3;05/06/2023;14:55:00;25,88;25,90;25,87;25,88;1.232.447,00;47.600
MULT3;05/06/2023;14:50:00;25,88;25,90;25,86;25,89;1.379.702,00;53.300
MULT3;05/06/2023;14:45:00;25,89;25,90;25,87;25,88;696.333,00;26.900
MULT3;05/06/2023;14:40:00;25,88;25,90;25,87;25,88;1.522.373,00;58.800
MULT3;05/06/2023;14:35:00;25,91;25,92;25,88;25,89;507.580,00;19.600
MULT3;05/06/2023;14:30:00;25,88;25,92;25,86;25,92;836.210,00;32.300
MULT3;05/06/2023;14:25:00;25,88;25,88;25,83;25,88;2.414.791,00;93.400
MULT3;05/06/2023;14:20:00;25,85;25,88;25,85;25,87;612.906,00;23.700
MULT3;05/06/2023;14:15:00;25,88;25,89;25,83;25,86;1.722.373,00;66.600
MULT3;05/06/2023;14:10:00;25,86;25,92;25,84;25,89;1.866.116,00;72.100
MULT3;05/06/2023;14:05:00;25,81;25,87;25,80;25,87;1.472.529,00;57.000
MULT3;05/06/2023;14:00:00;25,83;25,83;25,78;25,82;1.778.040,00;68.900
MULT3;05/06/2023;13:55:00;25,80;25,84;25,77;25,83;2.771.340,00;107.400
MULT3;05/06/2023;13:50:00;25,87;25,87;25,80;25,80;2.535.556,00;98.100
MULT3;05/06/2023;13:45:00;25,87;25,87;25,83;25,86;2.231.099,00;86.300
MULT3;05/06/2023;13:40:00;25,87;25,87;25,82;25,87;2.644.527,00;102.300
MULT3;05/06/2023;13:35:00;25,86;25,87;25,85;25,87;1.559.206,00;60.300
MULT3;05/06/2023;13:30:00;25,92;25,93;25,85;25,86;2.955.958,00;114.200
MULT3;05/06/2023;13:25:00;25,90;25,93;25,89;25,91;2.479.455,00;95.700
MULT3;05/06/2023;13:20:00;25,88;25,90;25,87;25,89;908.586,00;35.100
MULT3;05/06/2023;13:15:00;25,90;25,92;25,87;25,87;1.652.303,00;63.800
MULT3;05/06/2023;13:10:00;25,89;25,96;25,89;25,90;2.076.631,00;80.100
MULT3;05/06/2023;13:05:00;25,90;25,93;25,87;25,90;1.406.293,00;54.300
MULT3;05/06/2023;13:00:00;25,87;25,89;25,85;25,88;4.497.931,00;173.900
MULT3;05/06/2023;12:55:00;25,87;25,90;25,84;25,86;3.316.032,00;128.200
MULT3;05/06/2023;12:50:00;25,83;25,88;25,82;25,87;2.482.849,00;96.100
MULT3;05/06/2023;12:45:00;25,86;25,86;25,80;25,82;1.601.419,00;62.000
MULT3;05/06/2023;12:40:00;25,86;25,88;25,82;25,86;1.643.839,00;63.600
MULT3;05/06/2023;12:35:00;25,89;25,89;25,84;25,87;2.025.594,00;78.300
MULT3;05/06/2023;12:30:00;25,87;25,90;25,87;25,89;2.283.080,00;88.200
MULT3;05/06/2023;12:25:00;25,91;25,92;25,86;25,88;2.202.790,00;85.100
MULT3;05/06/2023;12:20:00;26,00;26,00;25,90;25,91;2.011.035,00;77.500
MULT3;05/06/2023;12:15:00;26,00;26,02;25,98;26,00;4.497.829,00;173.000
MULT3;05/06/2023;12:10:00;26,07;26,09;25,99;26,00;12.476.525,00;479.500
MULT3;05/06/2023;12:05:00;26,07;26,09;26,05;26,06;9.567.426,00;367.100
MULT3;05/06/2023;12:00:00;26,05;26,09;26,04;26,07;3.705.978,00;142.200
