Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MYPK3;16/06/2023;17:30:00;12,99;12,99;12,99;12,99;1.299,00;100
MYPK3;16/06/2023;16:45:00;12,95;12,99;12,91;12,99;3.594.613,00;276.800
MYPK3;16/06/2023;16:40:00;12,94;12,95;12,91;12,95;234.030,00;18.100
MYPK3;16/06/2023;16:35:00;12,94;12,94;12,91;12,93;125.379,00;9.700
MYPK3;16/06/2023;16:30:00;12,91;12,94;12,90;12,94;180.959,00;14.000
MYPK3;16/06/2023;16:25:00;12,89;12,91;12,87;12,91;167.617,00;13.000
MYPK3;16/06/2023;16:20:00;12,88;12,92;12,88;12,89;287.696,00;22.300
MYPK3;16/06/2023;16:15:00;12,87;12,88;12,86;12,88;57.928,00;4.500
MYPK3;16/06/2023;16:10:00;12,87;12,88;12,86;12,87;63.061,00;4.900
MYPK3;16/06/2023;16:05:00;12,88;12,88;12,86;12,88;45.047,00;3.500
MYPK3;16/06/2023;16:00:00;12,90;12,91;12,87;12,87;145.642,00;11.300
MYPK3;16/06/2023;15:55:00;12,88;12,91;12,87;12,90;157.214,00;12.200
MYPK3;16/06/2023;15:50:00;12,88;12,89;12,87;12,88;66.975,00;5.200
MYPK3;16/06/2023;15:45:00;12,90;12,91;12,87;12,88;99.288,00;7.700
MYPK3;16/06/2023;15:40:00;12,88;12,91;12,88;12,90;152.136,00;11.800
MYPK3;16/06/2023;15:35:00;12,91;12,91;12,88;12,88;65.820,00;5.100
MYPK3;16/06/2023;15:30:00;12,89;12,93;12,89;12,91;121.386,00;9.400
MYPK3;16/06/2023;15:25:00;12,90;12,90;12,88;12,89;88.908,00;6.900
MYPK3;16/06/2023;15:20:00;12,88;12,89;12,87;12,88;50.230,00;3.900
MYPK3;16/06/2023;15:15:00;12,86;12,89;12,86;12,89;75.918,00;5.900
MYPK3;16/06/2023;15:10:00;12,86;12,87;12,86;12,86;10.291,00;800
MYPK3;16/06/2023;15:05:00;12,87;12,88;12,87;12,88;142.873,00;11.100
MYPK3;16/06/2023;15:00:00;12,86;12,88;12,85;12,88;45.020,00;3.500
MYPK3;16/06/2023;14:55:00;12,87;12,88;12,85;12,88;28.306,00;2.200
MYPK3;16/06/2023;14:50:00;12,91;12,92;12,87;12,87;177.819,00;13.800
MYPK3;16/06/2023;14:45:00;12,95;12,96;12,89;12,91;1.083.386,00;83.900
MYPK3;16/06/2023;14:40:00;12,93;12,95;12,93;12,95;22.000,00;1.700
MYPK3;16/06/2023;14:35:00;12,93;12,95;12,93;12,93;63.376,00;4.900
MYPK3;16/06/2023;14:30:00;12,91;12,94;12,91;12,94;73.667,00;5.700
MYPK3;16/06/2023;14:25:00;12,92;12,93;12,91;12,92;28.426,00;2.200
MYPK3;16/06/2023;14:20:00;12,93;12,94;12,92;12,93;14.218,00;1.100
MYPK3;16/06/2023;14:15:00;12,92;12,94;12,92;12,93;60.783,00;4.700
MYPK3;16/06/2023;14:10:00;12,93;12,94;12,92;12,92;51.703,00;4.000
MYPK3;16/06/2023;14:05:00;12,93;12,95;12,93;12,93;24.581,00;1.900
MYPK3;16/06/2023;14:00:00;12,96;12,96;12,93;12,94;230.541,00;17.800
MYPK3;16/06/2023;13:55:00;12,96;12,97;12,94;12,97;119.232,00;9.200
MYPK3;16/06/2023;13:50:00;12,91;12,97;12,91;12,96;91.861,00;7.100
MYPK3;16/06/2023;13:45:00;12,92;12,92;12,91;12,91;12.917,00;1.000
MYPK3;16/06/2023;13:40:00;12,92;12,93;12,92;12,93;16.798,00;1.300
MYPK3;16/06/2023;13:35:00;12,92;12,92;12,90;12,92;38.731,00;3.000
MYPK3;16/06/2023;13:30:00;12,92;12,92;12,91;12,91;27.127,00;2.100
MYPK3;16/06/2023;13:25:00;12,97;12,97;12,91;12,91;44.008,00;3.400
MYPK3;16/06/2023;13:20:00;12,97;12,98;12,97;12,97;10.378,00;800
MYPK3;16/06/2023;13:15:00;12,98;12,99;12,97;12,97;44.113,00;3.400
MYPK3;16/06/2023;13:10:00;12,97;12,99;12,97;12,98;63.601,00;4.900
MYPK3;16/06/2023;13:05:00;12,96;12,98;12,88;12,97;903.843,00;69.900
MYPK3;16/06/2023;13:00:00;12,96;12,99;12,96;12,96;85.612,00;6.600
MYPK3;16/06/2023;12:55:00;12,96;12,97;12,96;12,97;23.334,00;1.800
MYPK3;16/06/2023;12:50:00;12,97;12,97;12,96;12,96;32.411,00;2.500
MYPK3;16/06/2023;12:45:00;12,98;12,98;12,96;12,97;27.240,00;2.100
MYPK3;16/06/2023;12:40:00;12,98;12,98;12,97;12,98;12.978,00;1.000
MYPK3;16/06/2023;12:35:00;12,98;12,98;12,97;12,98;86.927,00;6.700
MYPK3;16/06/2023;12:30:00;12,98;12,99;12,97;12,98;123.316,00;9.500
MYPK3;16/06/2023;12:25:00;12,98;12,99;12,98;12,99;70.141,00;5.400
MYPK3;16/06/2023;12:20:00;12,98;12,99;12,93;12,99;953.422,00;73.600
MYPK3;16/06/2023;12:15:00;12,96;12,99;12,96;12,97;112.827,00;8.700
MYPK3;16/06/2023;12:10:00;12,93;12,96;12,93;12,96;106.110,00;8.200
MYPK3;16/06/2023;12:05:00;12,92;12,94;12,91;12,92;50.405,00;3.900
MYPK3;16/06/2023;12:00:00;12,95;12,95;12,91;12,92;63.342,00;4.900
MYPK3;16/06/2023;11:55:00;12,98;12,99;12,95;12,95;108.973,00;8.400
MYPK3;16/06/2023;11:50:00;13,03;13,03;12,96;12,98;671.548,00;51.700
MYPK3;16/06/2023;11:45:00;13,00;13,03;12,98;13,02;74.119,00;5.700
MYPK3;16/06/2023;11:40:00;12,98;13,00;12,98;12,99;146.832,00;11.300
MYPK3;16/06/2023;11:35:00;13,02;13,02;12,99;12,99;87.135,00;6.700
MYPK3;16/06/2023;11:30:00;13,02;13,02;13,00;13,02;49.451,00;3.800
MYPK3;16/06/2023;11:25:00;13,06;13,07;13,02;13,02;198.407,00;15.200
MYPK3;16/06/2023;11:20:00;13,06;13,08;12,99;13,05;1.104.320,00;84.700
MYPK3;16/06/2023;11:15:00;12,95;13,06;12,90;13,06;1.515.719,00;117.000
MYPK3;16/06/2023;11:10:00;12,94;12,96;12,92;12,96;55.634,00;4.300
MYPK3;16/06/2023;11:05:00;12,95;12,96;12,95;12,96;22.018,00;1.700
MYPK3;16/06/2023;11:00:00;12,95;12,98;12,95;12,96;72.596,00;5.600
MYPK3;16/06/2023;10:55:00;12,94;12,96;12,90;12,94;203.127,00;15.700
MYPK3;16/06/2023;10:50:00;12,91;12,95;12,91;12,94;105.983,00;8.200
MYPK3;16/06/2023;10:45:00;12,92;12,93;12,90;12,90;38.726,00;3.000
MYPK3;16/06/2023;10:40:00;12,97;12,98;12,92;12,92;149.057,00;11.500
MYPK3;16/06/2023;10:35:00;12,93;12,99;12,92;12,97;176.121,00;13.600
MYPK3;16/06/2023;10:30:00;12,91;12,93;12,91;12,92;51.676,00;4.000
MYPK3;16/06/2023;10:25:00;12,93;12,93;12,90;12,91;61.969,00;4.800
MYPK3;16/06/2023;10:20:00;12,92;12,94;12,92;12,92;46.543,00;3.600
MYPK3;16/06/2023;10:15:00;12,89;12,93;12,88;12,93;54.200,00;4.200
MYPK3;16/06/2023;10:10:00;12,86;12,90;12,86;12,88;39.904,00;3.100
MYPK3;16/06/2023;10:05:00;12,87;12,94;12,87;12,89;131.531,00;10.200
MYPK3;16/06/2023;10:00:00;12,88;12,97;12,87;12,89;107.221,00;8.300
MYPK3;15/06/2023;17:30:00;12,93;12,93;12,92;12,92;5.171,00;400
MYPK3;15/06/2023;16:50:00;12,96;12,99;12,95;12,95;1.607.300,00;124.100
MYPK3;15/06/2023;16:45:00;12,99;13,00;12,96;12,96;158.301,00;12.200
MYPK3;15/06/2023;16:40:00;13,01;13,01;12,99;12,99;66.297,00;5.100
MYPK3;15/06/2023;16:35:00;13,01;13,02;13,00;13,01;100.180,00;7.700
MYPK3;15/06/2023;16:30:00;12,99;13,01;12,99;13,01;261.274,00;20.100
MYPK3;15/06/2023;16:25:00;13,00;13,00;12,98;12,99;63.668,00;4.900
MYPK3;15/06/2023;16:20:00;13,00;13,01;12,99;13,00;98.815,00;7.600
MYPK3;15/06/2023;16:15:00;13,01;13,02;12,99;13,00;75.410,00;5.800
MYPK3;15/06/2023;16:10:00;13,00;13,02;13,00;13,01;41.631,00;3.200
MYPK3;15/06/2023;16:05:00;13,00;13,01;13,00;13,01;37.723,00;2.900
MYPK3;15/06/2023;16:00:00;13,01;13,02;12,99;13,00;276.931,00;21.300
MYPK3;15/06/2023;15:55:00;12,96;13,02;12,96;13,01;220.841,00;17.000
MYPK3;15/06/2023;15:50:00;12,98;12,98;12,96;12,96;351.700,00;27.100
MYPK3;15/06/2023;15:45:00;12,98;12,98;12,97;12,97;98.609,00;7.600
MYPK3;15/06/2023;15:40:00;12,97;12,98;12,96;12,98;55.780,00;4.300
MYPK3;15/06/2023;15:35:00;12,99;12,99;12,96;12,97;38.946,00;3.000
MYPK3;15/06/2023;15:30:00;12,96;12,99;12,96;12,98;70.098,00;5.400
MYPK3;15/06/2023;15:25:00;12,97;12,97;12,94;12,96;97.099,00;7.500
MYPK3;15/06/2023;15:20:00;12,95;12,97;12,94;12,97;58.304,00;4.500
MYPK3;15/06/2023;15:15:00;12,95;12,95;12,93;12,94;51.770,00;4.000
MYPK3;15/06/2023;15:10:00;12,94;12,95;12,93;12,94;46.594,00;3.600
MYPK3;15/06/2023;15:05:00;12,94;12,95;12,94;12,94;46.597,00;3.600
MYPK3;15/06/2023;15:00:00;12,95;12,95;12,94;12,94;22.004,00;1.700
MYPK3;15/06/2023;14:55:00;12,95;12,96;12,94;12,95;129.505,00;10.000
MYPK3;15/06/2023;14:50:00;12,97;12,97;12,95;12,96;41.482,00;3.200
MYPK3;15/06/2023;14:45:00;12,97;12,97;12,97;12,97;38.910,00;3.000
MYPK3;15/06/2023;14:40:00;12,98;12,98;12,96;12,97;37.615,00;2.900
MYPK3;15/06/2023;14:35:00;12,96;12,98;12,95;12,97;142.534,00;11.000
MYPK3;15/06/2023;14:30:00;12,99;12,99;12,96;12,97;66.186,00;5.100
MYPK3;15/06/2023;14:25:00;12,97;12,99;12,96;12,99;94.675,00;7.300
MYPK3;15/06/2023;14:20:00;12,99;12,99;12,97;12,97;45.422,00;3.500
MYPK3;15/06/2023;14:15:00;12,98;12,99;12,98;12,98;53.232,00;4.100
MYPK3;15/06/2023;14:10:00;12,97;12,98;12,96;12,98;68.725,00;5.300
MYPK3;15/06/2023;14:05:00;12,96;12,98;12,95;12,96;60.934,00;4.700
MYPK3;15/06/2023;14:00:00;12,98;13,00;12,96;12,97;92.149,00;7.100
MYPK3;15/06/2023;13:55:00;12,97;12,99;12,97;12,99;32.464,00;2.500
MYPK3;15/06/2023;13:50:00;12,98;12,99;12,97;12,98;64.873,00;5.000
MYPK3;15/06/2023;13:45:00;13,03;13,03;12,97;12,98;140.324,00;10.800
MYPK3;15/06/2023;13:40:00;13,02;13,03;13,02;13,03;91.144,00;7.000
MYPK3;15/06/2023;13:35:00;13,02;13,02;13,01;13,02;52.073,00;4.000
MYPK3;15/06/2023;13:30:00;13,02;13,03;13,01;13,02;78.116,00;6.000
MYPK3;15/06/2023;13:25:00;13,01;13,02;13,01;13,02;59.857,00;4.600
MYPK3;15/06/2023;13:20:00;13,00;13,01;13,00;13,00;98.805,00;7.600
MYPK3;15/06/2023;13:15:00;12,98;13,00;12,98;13,00;70.151,00;5.400
MYPK3;15/06/2023;13:10:00;12,96;12,98;12,96;12,98;44.104,00;3.400
MYPK3;15/06/2023;13:05:00;12,95;12,97;12,95;12,96;57.013,00;4.400
MYPK3;15/06/2023;13:00:00;12,95;12,95;12,94;12,95;34.957,00;2.700
