Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NEOE3;16/06/2023;17:30:00;19,66;19,66;19,60;19,60;35.347,00;1.800
NEOE3;16/06/2023;16:45:00;19,73;19,75;19,70;19,70;46.688.078,00;2.369.800
NEOE3;16/06/2023;16:40:00;19,80;19,80;19,73;19,73;2.029.384,00;102.700
NEOE3;16/06/2023;16:35:00;19,71;19,81;19,71;19,80;5.749.089,00;290.500
NEOE3;16/06/2023;16:30:00;19,65;19,73;19,64;19,71;2.595.750,00;131.800
NEOE3;16/06/2023;16:25:00;19,61;19,66;19,60;19,65;2.515.825,00;128.100
NEOE3;16/06/2023;16:20:00;19,62;19,63;19,58;19,60;925.383,00;47.200
NEOE3;16/06/2023;16:15:00;19,60;19,63;19,59;19,63;456.910,00;23.300
NEOE3;16/06/2023;16:10:00;19,60;19,61;19,59;19,60;576.261,00;29.400
NEOE3;16/06/2023;16:05:00;19,60;19,62;19,59;19,60;850.678,00;43.400
NEOE3;16/06/2023;16:00:00;19,61;19,62;19,58;19,59;1.450.517,00;74.000
NEOE3;16/06/2023;15:55:00;19,65;19,65;19,57;19,60;1.068.629,00;54.500
NEOE3;16/06/2023;15:50:00;19,64;19,65;19,63;19,64;280.867,00;14.300
NEOE3;16/06/2023;15:45:00;19,60;19,65;19,60;19,64;559.293,00;28.500
NEOE3;16/06/2023;15:40:00;19,70;19,70;19,60;19,61;880.393,00;44.800
NEOE3;16/06/2023;15:35:00;19,75;19,76;19,68;19,70;3.285.353,00;166.700
NEOE3;16/06/2023;15:30:00;19,77;19,78;19,75;19,75;1.621.947,00;82.100
NEOE3;16/06/2023;15:25:00;19,77;19,79;19,76;19,78;346.092,00;17.500
NEOE3;16/06/2023;15:20:00;19,75;19,79;19,75;19,78;650.306,00;32.900
NEOE3;16/06/2023;15:15:00;19,74;19,76;19,74;19,75;722.955,00;36.600
NEOE3;16/06/2023;15:10:00;19,74;19,78;19,74;19,74;1.438.293,00;72.800
NEOE3;16/06/2023;15:05:00;19,77;19,77;19,72;19,74;1.378.047,00;69.800
NEOE3;16/06/2023;15:00:00;19,79;19,80;19,75;19,75;1.014.952,00;51.300
NEOE3;16/06/2023;14:55:00;19,77;19,79;19,73;19,79;1.201.496,00;60.800
NEOE3;16/06/2023;14:50:00;19,77;19,82;19,72;19,77;2.387.821,00;120.800
NEOE3;16/06/2023;14:45:00;19,79;19,80;19,76;19,77;1.438.159,00;72.700
NEOE3;16/06/2023;14:40:00;19,78;19,88;19,74;19,79;4.985.953,00;251.900
NEOE3;16/06/2023;14:35:00;19,65;19,91;19,64;19,78;7.491.962,00;378.800
NEOE3;16/06/2023;14:30:00;19,63;19,65;19,61;19,64;1.056.144,00;53.800
NEOE3;16/06/2023;14:25:00;19,60;19,64;19,60;19,62;1.096.594,00;55.900
NEOE3;16/06/2023;14:20:00;19,59;19,60;19,58;19,60;916.721,00;46.800
NEOE3;16/06/2023;14:15:00;19,56;19,59;19,55;19,59;1.086.122,00;55.500
NEOE3;16/06/2023;14:10:00;19,56;19,58;19,55;19,57;465.591,00;23.800
NEOE3;16/06/2023;14:05:00;19,60;19,61;19,55;19,56;1.578.544,00;80.600
NEOE3;16/06/2023;14:00:00;19,58;19,61;19,57;19,61;1.579.046,00;80.600
NEOE3;16/06/2023;13:55:00;19,47;19,61;19,46;19,59;2.561.782,00;131.100
NEOE3;16/06/2023;13:50:00;19,47;19,48;19,45;19,46;593.796,00;30.500
NEOE3;16/06/2023;13:45:00;19,48;19,48;19,45;19,47;408.801,00;21.000
NEOE3;16/06/2023;13:40:00;19,43;19,48;19,42;19,48;1.951.487,00;100.300
NEOE3;16/06/2023;13:35:00;19,41;19,43;19,41;19,43;384.451,00;19.800
NEOE3;16/06/2023;13:30:00;19,37;19,44;19,36;19,41;764.576,00;39.400
NEOE3;16/06/2023;13:25:00;19,43;19,43;19,34;19,35;829.570,00;42.800
NEOE3;16/06/2023;13:20:00;19,43;19,44;19,40;19,43;4.785.073,00;246.300
NEOE3;16/06/2023;13:15:00;19,39;19,43;19,39;19,43;541.351,00;27.900
NEOE3;16/06/2023;13:10:00;19,38;19,40;19,38;19,40;577.940,00;29.800
NEOE3;16/06/2023;13:05:00;19,35;19,39;19,35;19,38;269.230,00;13.900
NEOE3;16/06/2023;13:00:00;19,34;19,36;19,34;19,36;301.860,00;15.600
NEOE3;16/06/2023;12:55:00;19,35;19,35;19,34;19,34;1.321.072,00;68.300
NEOE3;16/06/2023;12:50:00;19,40;19,40;19,34;19,34;883.492,00;45.600
NEOE3;16/06/2023;12:45:00;19,35;19,40;19,35;19,39;354.547,00;18.300
NEOE3;16/06/2023;12:40:00;19,37;19,37;19,34;19,36;356.197,00;18.400
NEOE3;16/06/2023;12:35:00;19,40;19,40;19,36;19,36;515.691,00;26.600
NEOE3;16/06/2023;12:30:00;19,37;19,41;19,34;19,39;1.563.567,00;80.700
NEOE3;16/06/2023;12:25:00;19,33;19,37;19,33;19,37;4.641.849,00;239.900
NEOE3;16/06/2023;12:20:00;19,33;19,38;19,31;19,33;2.518.039,00;130.200
NEOE3;16/06/2023;12:15:00;19,34;19,36;19,31;19,33;524.011,00;27.100
NEOE3;16/06/2023;12:10:00;19,31;19,34;19,28;19,34;733.901,00;38.000
NEOE3;16/06/2023;12:05:00;19,32;19,32;19,28;19,31;476.663,00;24.700
NEOE3;16/06/2023;12:00:00;19,37;19,37;19,29;19,31;1.032.387,00;53.400
NEOE3;16/06/2023;11:55:00;19,35;19,37;19,35;19,36;253.663,00;13.100
NEOE3;16/06/2023;11:50:00;19,29;19,36;19,29;19,36;1.153.930,00;59.700
NEOE3;16/06/2023;11:45:00;19,23;19,31;19,23;19,30;4.529.043,00;234.700
NEOE3;16/06/2023;11:40:00;19,24;19,27;19,22;19,24;892.865,00;46.400
NEOE3;16/06/2023;11:35:00;19,25;19,25;19,15;19,23;1.721.971,00;89.700
NEOE3;16/06/2023;11:30:00;19,23;19,25;19,20;19,24;688.296,00;35.800
NEOE3;16/06/2023;11:25:00;19,20;19,23;19,15;19,23;677.176,00;35.300
NEOE3;16/06/2023;11:20:00;19,16;19,20;19,15;19,20;360.485,00;18.800
NEOE3;16/06/2023;11:15:00;19,18;19,18;19,16;19,16;611.529,00;31.900
NEOE3;16/06/2023;11:10:00;19,21;19,23;19,17;19,17;762.627,00;39.700
NEOE3;16/06/2023;11:05:00;19,21;19,23;19,20;19,22;324.808,00;16.900
NEOE3;16/06/2023;11:00:00;19,13;19,21;19,13;19,21;624.883,00;32.600
NEOE3;16/06/2023;10:55:00;19,09;19,13;19,08;19,13;616.882,00;32.300
NEOE3;16/06/2023;10:50:00;19,12;19,14;19,08;19,08;514.097,00;26.900
NEOE3;16/06/2023;10:45:00;19,12;19,15;19,10;19,13;520.227,00;27.200
NEOE3;16/06/2023;10:40:00;19,09;19,14;19,08;19,11;930.570,00;48.700
NEOE3;16/06/2023;10:35:00;19,01;19,10;19,01;19,09;918.551,00;48.200
NEOE3;16/06/2023;10:30:00;18,99;19,01;18,97;19,01;560.270,00;29.500
