Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NGRD3;16/06/2023;17:30:00;1,66;1,67;1,66;1,67;2.326,00;1.400
NGRD3;16/06/2023;16:45:00;1,67;1,67;1,66;1,66;31.381,00;18.900
NGRD3;16/06/2023;16:40:00;1,67;1,67;1,67;1,67;10.855,00;6.500
NGRD3;16/06/2023;16:35:00;1,66;1,67;1,66;1,67;2.328,00;1.400
NGRD3;16/06/2023;16:25:00;1,67;1,67;1,67;1,67;2.171,00;1.300
NGRD3;16/06/2023;16:20:00;1,68;1,68;1,66;1,66;31.573,00;18.900
NGRD3;16/06/2023;16:15:00;1,67;1,68;1,67;1,68;3.508,00;2.100
NGRD3;16/06/2023;16:10:00;1,66;1,67;1,66;1,67;10.182,00;6.100
NGRD3;16/06/2023;16:05:00;1,67;1,67;1,66;1,66;5.674,00;3.400
NGRD3;16/06/2023;16:00:00;1,68;1,68;1,67;1,67;1.340,00;800
NGRD3;16/06/2023;15:55:00;1,67;1,67;1,67;1,67;6.847,00;4.100
NGRD3;16/06/2023;15:50:00;1,67;1,67;1,67;1,67;668,00;400
NGRD3;16/06/2023;15:45:00;1,68;1,68;1,68;1,68;1.344,00;800
NGRD3;16/06/2023;15:35:00;1,68;1,68;1,68;1,68;504,00;300
NGRD3;16/06/2023;15:30:00;1,68;1,68;1,68;1,68;336,00;200
NGRD3;16/06/2023;15:25:00;1,68;1,68;1,68;1,68;672,00;400
NGRD3;16/06/2023;15:05:00;1,67;1,67;1,67;1,67;4.008,00;2.400
NGRD3;16/06/2023;15:00:00;1,67;1,67;1,67;1,67;5.845,00;3.500
NGRD3;16/06/2023;14:55:00;1,67;1,67;1,67;1,67;21.710,00;13.000
NGRD3;16/06/2023;14:50:00;1,67;1,68;1,67;1,68;669,00;400
NGRD3;16/06/2023;14:45:00;1,67;1,67;1,67;1,67;2.004,00;1.200
NGRD3;16/06/2023;14:40:00;1,68;1,68;1,68;1,68;3.360,00;2.000
NGRD3;16/06/2023;14:35:00;1,68;1,68;1,68;1,68;504,00;300
NGRD3;16/06/2023;14:30:00;1,68;1,68;1,68;1,68;1.344,00;800
NGRD3;16/06/2023;14:25:00;1,68;1,68;1,67;1,67;3.190,00;1.900
NGRD3;16/06/2023;14:20:00;1,68;1,68;1,68;1,68;1.008,00;600
NGRD3;16/06/2023;14:15:00;1,68;1,68;1,68;1,68;672,00;400
NGRD3;16/06/2023;14:10:00;1,68;1,68;1,68;1,68;1.008,00;600
NGRD3;16/06/2023;14:05:00;1,68;1,68;1,68;1,68;336,00;200
NGRD3;16/06/2023;14:00:00;1,68;1,68;1,68;1,68;672,00;400
NGRD3;16/06/2023;13:55:00;1,68;1,68;1,68;1,68;6.888,00;4.100
NGRD3;16/06/2023;13:50:00;1,68;1,68;1,68;1,68;2.520,00;1.500
NGRD3;16/06/2023;13:45:00;1,68;1,68;1,67;1,67;10.188,00;6.100
NGRD3;16/06/2023;13:40:00;1,68;1,68;1,68;1,68;1.680,00;1.000
NGRD3;16/06/2023;13:30:00;1,68;1,68;1,67;1,67;836,00;500
NGRD3;16/06/2023;13:25:00;1,68;1,68;1,67;1,67;2.011,00;1.200
NGRD3;16/06/2023;13:20:00;1,68;1,68;1,68;1,68;5.040,00;3.000
NGRD3;16/06/2023;13:15:00;1,68;1,68;1,68;1,68;336,00;200
NGRD3;16/06/2023;13:10:00;1,68;1,68;1,67;1,67;5.711,00;3.400
NGRD3;16/06/2023;13:05:00;1,68;1,68;1,68;1,68;504,00;300
NGRD3;16/06/2023;13:00:00;1,67;1,67;1,67;1,67;3.674,00;2.200
NGRD3;16/06/2023;12:55:00;1,67;1,67;1,67;1,67;167,00;100
NGRD3;16/06/2023;12:50:00;1,67;1,67;1,67;1,67;167,00;100
NGRD3;16/06/2023;12:45:00;1,68;1,68;1,68;1,68;37.632,00;22.400
NGRD3;16/06/2023;12:40:00;1,69;1,69;1,69;1,69;8.788,00;5.200
NGRD3;16/06/2023;12:35:00;1,69;1,69;1,69;1,69;6.591,00;3.900
NGRD3;16/06/2023;12:30:00;1,70;1,70;1,69;1,70;5.761,00;3.400
NGRD3;16/06/2023;12:25:00;1,70;1,70;1,69;1,70;2.374,00;1.400
NGRD3;16/06/2023;12:20:00;1,70;1,70;1,70;1,70;5.270,00;3.100
NGRD3;16/06/2023;12:15:00;1,70;1,70;1,70;1,70;170,00;100
NGRD3;16/06/2023;12:10:00;1,70;1,71;1,70;1,70;21.934,00;12.900
NGRD3;16/06/2023;12:05:00;1,69;1,69;1,69;1,69;169,00;100
NGRD3;16/06/2023;12:00:00;1,69;1,69;1,69;1,69;27.040,00;16.000
NGRD3;16/06/2023;11:55:00;1,69;1,70;1,69;1,70;8.791,00;5.200
NGRD3;16/06/2023;11:50:00;1,70;1,70;1,69;1,69;1.692,00;1.000
NGRD3;16/06/2023;11:45:00;1,69;1,69;1,69;1,69;8.619,00;5.100
NGRD3;16/06/2023;11:40:00;1,69;1,69;1,68;1,69;18.835,00;11.200
NGRD3;16/06/2023;11:35:00;1,69;1,69;1,69;1,69;4.732,00;2.800
NGRD3;16/06/2023;11:30:00;1,68;1,69;1,68;1,69;1.850,00;1.100
NGRD3;16/06/2023;11:25:00;1,68;1,68;1,68;1,68;3.360,00;2.000
NGRD3;16/06/2023;11:20:00;1,68;1,68;1,68;1,68;8.568,00;5.100
NGRD3;16/06/2023;11:15:00;1,69;1,69;1,68;1,69;2.365,00;1.400
NGRD3;16/06/2023;11:10:00;1,69;1,69;1,69;1,69;169,00;100
NGRD3;16/06/2023;11:05:00;1,69;1,69;1,69;1,69;1.690,00;1.000
NGRD3;16/06/2023;11:00:00;1,68;1,68;1,68;1,68;4.872,00;2.900
NGRD3;16/06/2023;10:55:00;1,68;1,68;1,68;1,68;2.352,00;1.400
NGRD3;16/06/2023;10:50:00;1,68;1,68;1,67;1,67;23.519,00;14.000
NGRD3;16/06/2023;10:45:00;1,68;1,68;1,68;1,68;2.016,00;1.200
NGRD3;16/06/2023;10:40:00;1,68;1,69;1,68;1,68;38.707,00;23.000
NGRD3;16/06/2023;10:35:00;1,68;1,68;1,67;1,68;14.946,00;8.900
NGRD3;16/06/2023;10:30:00;1,68;1,68;1,67;1,67;8.381,00;5.000
NGRD3;16/06/2023;10:25:00;1,69;1,69;1,69;1,69;3.549,00;2.100
NGRD3;16/06/2023;10:20:00;1,67;1,69;1,67;1,69;13.450,00;8.000
NGRD3;16/06/2023;10:15:00;1,67;1,67;1,66;1,66;500,00;300
NGRD3;16/06/2023;10:10:00;1,67;1,67;1,66;1,67;21.263,00;12.800
NGRD3;16/06/2023;10:05:00;1,68;1,68;1,68;1,68;168,00;100
NGRD3;16/06/2023;10:00:00;1,70;1,70;1,70;1,70;1.870,00;1.100
NGRD3;15/06/2023;17:30:00;1,69;1,70;1,67;1,70;10.910,00;6.500
NGRD3;15/06/2023;16:50:00;1,67;1,70;1,67;1,70;48.228,00;28.400
NGRD3;15/06/2023;16:45:00;1,67;1,68;1,67;1,67;3.675,00;2.200
NGRD3;15/06/2023;16:40:00;1,68;1,68;1,67;1,67;18.717,00;11.200
NGRD3;15/06/2023;16:30:00;1,68;1,68;1,68;1,68;13.440,00;8.000
NGRD3;15/06/2023;16:25:00;1,69;1,69;1,68;1,69;20.083,00;11.900
NGRD3;15/06/2023;16:20:00;1,70;1,70;1,69;1,70;13.236,00;7.800
NGRD3;15/06/2023;16:15:00;1,70;1,70;1,70;1,70;7.650,00;4.500
NGRD3;15/06/2023;16:10:00;1,69;1,70;1,69;1,69;6.934,00;4.100
NGRD3;15/06/2023;16:05:00;1,70;1,70;1,70;1,70;17.170,00;10.100
NGRD3;15/06/2023;15:55:00;1,70;1,70;1,69;1,70;6.110,00;3.600
NGRD3;15/06/2023;15:50:00;1,70;1,70;1,70;1,70;4.420,00;2.600
NGRD3;15/06/2023;15:45:00;1,70;1,70;1,68;1,68;72.360,00;42.900
NGRD3;15/06/2023;15:40:00;1,70;1,70;1,70;1,70;51.170,00;30.100
NGRD3;15/06/2023;15:35:00;1,71;1,71;1,70;1,70;8.523,00;5.000
NGRD3;15/06/2023;15:30:00;1,70;1,71;1,70;1,70;6.654,00;3.900
NGRD3;15/06/2023;15:25:00;1,71;1,71;1,71;1,71;2.052,00;1.200
NGRD3;15/06/2023;15:20:00;1,70;1,70;1,70;1,70;340,00;200
NGRD3;15/06/2023;15:15:00;1,70;1,70;1,70;1,70;4.760,00;2.800
NGRD3;15/06/2023;15:05:00;1,71;1,71;1,71;1,71;2.052,00;1.200
NGRD3;15/06/2023;15:00:00;1,72;1,72;1,71;1,71;3.086,00;1.800
NGRD3;15/06/2023;14:55:00;1,72;1,72;1,72;1,72;1.892,00;1.100
NGRD3;15/06/2023;14:50:00;1,72;1,72;1,69;1,71;265.608,00;155.800
NGRD3;15/06/2023;14:45:00;1,72;1,73;1,72;1,73;12.386,00;7.200
NGRD3;15/06/2023;14:40:00;1,73;1,73;1,72;1,72;10.543,00;6.100
NGRD3;15/06/2023;14:35:00;1,73;1,73;1,73;1,73;519,00;300
NGRD3;15/06/2023;14:30:00;1,72;1,73;1,72;1,73;37.328,00;21.700
NGRD3;15/06/2023;14:25:00;1,72;1,72;1,72;1,72;7.568,00;4.400
NGRD3;15/06/2023;14:20:00;1,73;1,73;1,73;1,73;11.764,00;6.800
NGRD3;15/06/2023;14:15:00;1,72;1,73;1,72;1,72;1.379,00;800
NGRD3;15/06/2023;14:10:00;1,73;1,73;1,73;1,73;1.211,00;700
NGRD3;15/06/2023;14:05:00;1,73;1,73;1,72;1,73;3.787,00;2.200
NGRD3;15/06/2023;14:00:00;1,72;1,73;1,72;1,73;20.928,00;12.100
NGRD3;15/06/2023;13:55:00;1,73;1,73;1,72;1,72;15.384,00;8.900
NGRD3;15/06/2023;13:50:00;1,72;1,73;1,72;1,72;15.555,00;9.000
NGRD3;15/06/2023;13:45:00;1,73;1,73;1,72;1,73;1.379,00;800
NGRD3;15/06/2023;13:40:00;1,73;1,73;1,73;1,73;2.941,00;1.700
NGRD3;15/06/2023;13:35:00;1,73;1,73;1,72;1,73;109.592,00;63.600
NGRD3;15/06/2023;13:30:00;1,73;1,73;1,72;1,73;7.092,00;4.100
NGRD3;15/06/2023;13:25:00;1,74;1,74;1,72;1,72;6.892,00;4.000
NGRD3;15/06/2023;13:20:00;1,73;1,73;1,72;1,73;28.988,00;16.800
NGRD3;15/06/2023;13:15:00;1,74;1,74;1,72;1,72;60.674,00;35.100
NGRD3;15/06/2023;13:10:00;1,73;1,74;1,72;1,74;33.480,00;19.300
NGRD3;15/06/2023;13:05:00;1,73;1,73;1,72;1,73;8.820,00;5.100
NGRD3;15/06/2023;13:00:00;1,73;1,73;1,72;1,73;1.036,00;600
NGRD3;15/06/2023;12:55:00;1,72;1,73;1,72;1,72;36.493,00;21.200
NGRD3;15/06/2023;12:50:00;1,71;1,72;1,71;1,71;192.034,00;112.300
NGRD3;15/06/2023;12:45:00;1,71;1,71;1,70;1,71;5.980,00;3.500
NGRD3;15/06/2023;12:40:00;1,70;1,71;1,70;1,71;24.092,00;14.100
NGRD3;15/06/2023;12:35:00;1,71;1,71;1,70;1,70;11.910,00;7.000
NGRD3;15/06/2023;12:30:00;1,70;1,71;1,70;1,70;197.541,00;116.200
NGRD3;15/06/2023;12:25:00;1,70;1,70;1,70;1,70;170,00;100
NGRD3;15/06/2023;12:20:00;1,70;1,70;1,70;1,70;1.530,00;900
NGRD3;15/06/2023;12:15:00;1,69;1,70;1,69;1,70;11.495,00;6.800
NGRD3;15/06/2023;12:10:00;1,68;1,69;1,68;1,69;3.362,00;2.000
NGRD3;15/06/2023;12:05:00;1,68;1,68;1,67;1,68;2.687,00;1.600
NGRD3;15/06/2023;12:00:00;1,68;1,68;1,68;1,68;44.352,00;26.400
NGRD3;15/06/2023;11:55:00;1,69;1,69;1,69;1,69;1.183,00;700
NGRD3;15/06/2023;11:50:00;1,69;1,69;1,68;1,69;9.626,00;5.700
NGRD3;15/06/2023;11:45:00;1,69;1,69;1,68;1,69;7.231,00;4.300
NGRD3;15/06/2023;11:40:00;1,69;1,69;1,68;1,69;14.186,00;8.400
NGRD3;15/06/2023;11:35:00;1,69;1,69;1,69;1,69;10.478,00;6.200
NGRD3;15/06/2023;11:30:00;1,70;1,70;1,70;1,70;5.100,00;3.000
NGRD3;15/06/2023;11:25:00;1,69;1,69;1,69;1,69;3.380,00;2.000
NGRD3;15/06/2023;11:20:00;1,69;1,70;1,69;1,69;11.881,00;7.000
NGRD3;15/06/2023;11:15:00;1,69;1,70;1,69;1,69;7.945,00;4.700
NGRD3;15/06/2023;11:10:00;1,70;1,70;1,69;1,69;10.148,00;6.000
NGRD3;15/06/2023;11:05:00;1,70;1,70;1,70;1,70;3.910,00;2.300
NGRD3;15/06/2023;11:00:00;1,69;1,70;1,69;1,70;5.916,00;3.500
NGRD3;15/06/2023;10:55:00;1,69;1,70;1,68;1,69;93.831,00;55.500
NGRD3;15/06/2023;10:50:00;1,69;1,70;1,69;1,69;29.576,00;17.500
NGRD3;15/06/2023;10:45:00;1,69;1,70;1,69;1,70;9.858,00;5.800
NGRD3;15/06/2023;10:40:00;1,70;1,70;1,69;1,69;6.626,00;3.900
NGRD3;15/06/2023;10:35:00;1,69;1,70;1,69;1,70;23.591,00;13.900
NGRD3;15/06/2023;10:30:00;1,68;1,69;1,68;1,69;18.753,00;11.100
NGRD3;15/06/2023;10:25:00;1,68;1,69;1,68;1,69;22.741,00;13.500
NGRD3;15/06/2023;10:20:00;1,68;1,68;1,68;1,68;15.624,00;9.300
NGRD3;15/06/2023;10:15:00;1,67;1,68;1,67;1,67;32.900,00;19.700
NGRD3;15/06/2023;10:10:00;1,67;1,67;1,67;1,67;18.537,00;11.100
NGRD3;15/06/2023;10:05:00;1,67;1,67;1,67;1,67;2.004,00;1.200
NGRD3;15/06/2023;10:00:00;1,66;1,67;1,66;1,67;21.083,00;12.700
NGRD3;14/06/2023;17:30:00;1,64;1,66;1,64;1,66;65.508,00;39.700
NGRD3;14/06/2023;16:50:00;1,63;1,64;1,62;1,64;129.573,00;79.200
NGRD3;14/06/2023;16:45:00;1,64;1,64;1,63;1,63;48.086,00;29.500
NGRD3;14/06/2023;16:40:00;1,64;1,64;1,64;1,64;656,00;400
NGRD3;14/06/2023;16:35:00;1,64;1,64;1,64;1,64;3.772,00;2.300
NGRD3;14/06/2023;16:30:00;1,63;1,64;1,63;1,64;103.423,00;63.400
NGRD3;14/06/2023;16:25:00;1,62;1,63;1,62;1,63;162.936,00;100.300
NGRD3;14/06/2023;16:20:00;1,61;1,62;1,61;1,62;3.874,00;2.400
NGRD3;14/06/2023;16:15:00;1,61;1,62;1,61;1,62;2.901,00;1.800
NGRD3;14/06/2023;16:10:00;1,62;1,62;1,62;1,62;162,00;100
NGRD3;14/06/2023;16:05:00;1,61;1,62;1,61;1,62;3.562,00;2.200
NGRD3;14/06/2023;15:55:00;1,62;1,62;1,62;1,62;486,00;300
NGRD3;14/06/2023;15:40:00;1,62;1,62;1,62;1,62;3.726,00;2.300
NGRD3;14/06/2023;15:35:00;1,61;1,62;1,61;1,62;2.420,00;1.500
NGRD3;14/06/2023;15:30:00;1,61;1,61;1,61;1,61;12.880,00;8.000
NGRD3;14/06/2023;15:25:00;1,61;1,61;1,61;1,61;805,00;500
NGRD3;14/06/2023;15:20:00;1,60;1,60;1,60;1,60;320,00;200
NGRD3;14/06/2023;15:15:00;1,61;1,61;1,61;1,61;2.737,00;1.700
NGRD3;14/06/2023;15:10:00;1,61;1,61;1,60;1,60;27.771,00;17.300
NGRD3;14/06/2023;15:05:00;1,61;1,61;1,60;1,60;58.734,00;36.500
NGRD3;14/06/2023;15:00:00;1,62;1,62;1,62;1,62;42.120,00;26.000
NGRD3;14/06/2023;14:55:00;1,63;1,63;1,63;1,63;163,00;100
NGRD3;14/06/2023;14:50:00;1,63;1,63;1,63;1,63;815,00;500
NGRD3;14/06/2023;14:40:00;1,62;1,62;1,62;1,62;1.296,00;800
NGRD3;14/06/2023;14:35:00;1,62;1,62;1,62;1,62;648,00;400
NGRD3;14/06/2023;14:30:00;1,62;1,63;1,62;1,63;1.135,00;700
NGRD3;14/06/2023;14:25:00;1,62;1,63;1,62;1,63;4.217,00;2.600
NGRD3;14/06/2023;14:20:00;1,61;1,61;1,61;1,61;644,00;400
NGRD3;14/06/2023;14:15:00;1,62;1,62;1,62;1,62;51.840,00;32.000
NGRD3;14/06/2023;14:10:00;1,63;1,63;1,63;1,63;3.586,00;2.200
NGRD3;14/06/2023;14:05:00;1,63;1,63;1,63;1,63;163,00;100
NGRD3;14/06/2023;13:55:00;1,63;1,63;1,62;1,62;2.277,00;1.400
NGRD3;14/06/2023;13:50:00;1,62;1,62;1,62;1,62;162,00;100
NGRD3;14/06/2023;13:40:00;1,63;1,63;1,63;1,63;5.053,00;3.100
