Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NINJ3;06/06/2023;11:10:00;3,25;3,25;3,25;3,25;325,00;100
NINJ3;06/06/2023;10:55:00;3,25;3,25;3,25;3,25;1.300,00;400
NINJ3;06/06/2023;10:50:00;3,25;3,25;3,24;3,24;2.922,00;900
NINJ3;06/06/2023;10:45:00;3,26;3,26;3,26;3,26;978,00;300
NINJ3;06/06/2023;10:35:00;3,25;3,26;3,25;3,26;4.551,00;1.400
NINJ3;06/06/2023;10:30:00;3,24;3,24;3,24;3,24;2.592,00;800
NINJ3;06/06/2023;10:25:00;3,24;3,24;3,24;3,24;4.212,00;1.300
NINJ3;06/06/2023;10:20:00;3,25;3,26;3,24;3,24;1.950,00;600
NINJ3;06/06/2023;10:15:00;3,26;3,27;3,25;3,25;3.586,00;1.100
NINJ3;06/06/2023;10:10:00;3,20;3,24;3,20;3,24;29.550,00;9.200
NINJ3;06/06/2023;10:00:00;3,23;3,26;3,17;3,17;15.790,00;4.900
NINJ3;05/06/2023;17:30:00;3,21;3,21;3,21;3,21;2.889,00;900
NINJ3;05/06/2023;16:50:00;3,26;3,27;3,20;3,20;72.457,00;22.600
NINJ3;05/06/2023;16:45:00;3,27;3,28;3,25;3,26;7.838,00;2.400
NINJ3;05/06/2023;16:40:00;3,28;3,28;3,27;3,28;3.602,00;1.100
NINJ3;05/06/2023;16:35:00;3,27;3,29;3,27;3,29;2.953,00;900
NINJ3;05/06/2023;16:30:00;3,27;3,28;3,27;3,28;3.926,00;1.200
NINJ3;05/06/2023;16:25:00;3,29;3,29;3,25;3,25;22.258,00;6.800
NINJ3;05/06/2023;16:20:00;3,29;3,30;3,29;3,30;5.607,00;1.700
NINJ3;05/06/2023;16:15:00;3,30;3,30;3,29;3,30;2.639,00;800
NINJ3;05/06/2023;16:10:00;3,30;3,30;3,29;3,30;3.955,00;1.200
NINJ3;05/06/2023;16:05:00;3,30;3,30;3,30;3,30;660,00;200
