Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NTCO3;16/06/2023;17:30:00;16,40;16,50;16,37;16,50;78.919,00;4.800
NTCO3;16/06/2023;16:45:00;16,31;16,46;16,30;16,46;90.605.925,00;5.505.500
NTCO3;16/06/2023;16:40:00;16,34;16,34;16,28;16,31;2.512.133,00;154.000
NTCO3;16/06/2023;16:35:00;16,38;16,38;16,34;16,34;2.534.565,00;155.000
NTCO3;16/06/2023;16:30:00;16,35;16,38;16,34;16,37;2.059.186,00;125.900
NTCO3;16/06/2023;16:25:00;16,29;16,38;16,29;16,34;7.312.003,00;447.300
NTCO3;16/06/2023;16:20:00;16,37;16,40;16,29;16,29;6.063.320,00;370.800
NTCO3;16/06/2023;16:15:00;16,45;16,46;16,36;16,37;3.479.608,00;212.000
NTCO3;16/06/2023;16:10:00;16,46;16,46;16,45;16,45;1.056.350,00;64.200
NTCO3;16/06/2023;16:05:00;16,43;16,46;16,42;16,45;7.982.492,00;485.400
NTCO3;16/06/2023;16:00:00;16,45;16,48;16,41;16,43;4.165.931,00;253.300
NTCO3;16/06/2023;15:55:00;16,44;16,45;16,44;16,45;1.238.401,00;75.300
NTCO3;16/06/2023;15:50:00;16,45;16,46;16,44;16,45;1.556.105,00;94.600
NTCO3;16/06/2023;15:45:00;16,44;16,46;16,43;16,45;1.844.121,00;112.100
NTCO3;16/06/2023;15:40:00;16,45;16,46;16,43;16,45;5.450.978,00;331.400
NTCO3;16/06/2023;15:35:00;16,43;16,44;16,42;16,44;1.187.820,00;72.300
NTCO3;16/06/2023;15:30:00;16,43;16,45;16,42;16,44;1.309.595,00;79.700
NTCO3;16/06/2023;15:25:00;16,39;16,44;16,37;16,42;1.761.216,00;107.400
NTCO3;16/06/2023;15:20:00;16,41;16,42;16,36;16,40;2.749.856,00;167.800
NTCO3;16/06/2023;15:15:00;16,42;16,43;16,40;16,40;907.833,00;55.300
NTCO3;16/06/2023;15:10:00;16,42;16,45;16,41;16,43;1.199.219,00;73.000
NTCO3;16/06/2023;15:05:00;16,41;16,44;16,40;16,42;1.279.114,00;77.900
NTCO3;16/06/2023;15:00:00;16,45;16,45;16,39;16,42;3.999.091,00;243.600
NTCO3;16/06/2023;14:55:00;16,43;16,45;16,42;16,45;1.163.278,00;70.800
NTCO3;16/06/2023;14:50:00;16,46;16,46;16,42;16,42;1.464.191,00;89.100
NTCO3;16/06/2023;14:45:00;16,46;16,47;16,45;16,46;673.176,00;40.900
NTCO3;16/06/2023;14:40:00;16,47;16,47;16,45;16,45;1.072.927,00;65.200
NTCO3;16/06/2023;14:35:00;16,46;16,48;16,46;16,47;826.773,00;50.200
NTCO3;16/06/2023;14:30:00;16,45;16,48;16,42;16,47;1.024.917,00;62.300
NTCO3;16/06/2023;14:25:00;16,42;16,45;16,41;16,45;1.025.286,00;62.400
NTCO3;16/06/2023;14:20:00;16,45;16,46;16,42;16,42;841.705,00;51.200
NTCO3;16/06/2023;14:15:00;16,46;16,47;16,45;16,45;959.256,00;58.300
NTCO3;16/06/2023;14:10:00;16,45;16,47;16,45;16,46;671.539,00;40.800
NTCO3;16/06/2023;14:05:00;16,47;16,48;16,45;16,46;1.088.523,00;66.100
NTCO3;16/06/2023;14:00:00;16,51;16,51;16,47;16,47;1.303.666,00;79.100
NTCO3;16/06/2023;13:55:00;16,47;16,54;16,47;16,51;1.342.272,00;81.300
NTCO3;16/06/2023;13:50:00;16,47;16,48;16,45;16,48;752.710,00;45.700
NTCO3;16/06/2023;13:45:00;16,47;16,47;16,45;16,47;684.692,00;41.600
