Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NUBR33;06/06/2023;11:20:00;5,69;5,71;5,69;5,70;82.750,09;14.517
NUBR33;06/06/2023;11:15:00;5,71;5,72;5,69;5,69;137.599,80;24.119
NUBR33;06/06/2023;11:10:00;5,70;5,72;5,69;5,72;143.809,96;25.186
NUBR33;06/06/2023;11:05:00;5,69;5,71;5,68;5,70;19.104,98;3.356
NUBR33;06/06/2023;11:00:00;5,70;5,71;5,67;5,69;1.850.763,71;325.784
NUBR33;06/06/2023;10:55:00;5,70;5,71;5,69;5,69;70.897,73;12.440
NUBR33;06/06/2023;10:50:00;5,72;5,73;5,70;5,70;30.208,39;5.291
NUBR33;06/06/2023;10:45:00;5,70;5,73;5,69;5,72;263.336,25;46.133
NUBR33;06/06/2023;10:40:00;5,67;5,71;5,67;5,70;42.131,62;7.406
NUBR33;06/06/2023;10:35:00;5,71;5,71;5,67;5,67;774.390,59;136.359
NUBR33;06/06/2023;10:30:00;5,65;5,73;5,65;5,71;1.334.214,39;234.274
NUBR33;06/06/2023;10:25:00;5,62;5,65;5,61;5,64;275.978,29;48.973
NUBR33;06/06/2023;10:20:00;5,63;5,63;5,61;5,63;36.191,24;6.442
NUBR33;06/06/2023;10:15:00;5,62;5,63;5,60;5,61;116.734,92;20.777
NUBR33;06/06/2023;10:10:00;5,62;5,62;5,61;5,62;138.152,34;24.584
NUBR33;06/06/2023;10:05:00;5,59;5,62;5,59;5,62;39.117,43;6.980
NUBR33;06/06/2023;10:00:00;5,59;5,62;5,58;5,59;73.973,97;13.226
NUBR33;05/06/2023;17:30:00;5,60;5,65;5,57;5,57;35.274,41;6.302
NUBR33;05/06/2023;16:50:00;5,64;5,67;5,60;5,60;766.659,35;136.209
NUBR33;05/06/2023;16:45:00;5,62;5,64;5,61;5,64;201.346,54;35.781
NUBR33;05/06/2023;16:40:00;5,60;5,62;5,60;5,61;238.698,58;42.566
NUBR33;05/06/2023;16:35:00;5,59;5,61;5,59;5,60;114.066,91;20.373
NUBR33;05/06/2023;16:30:00;5,57;5,60;5,56;5,60;603.892,15;108.434
NUBR33;05/06/2023;16:25:00;5,58;5,58;5,57;5,57;36.268,11;6.511
NUBR33;05/06/2023;16:20:00;5,56;5,58;5,56;5,57;32.970,05;5.926
NUBR33;05/06/2023;16:15:00;5,57;5,58;5,56;5,56;207.950,37;37.335
NUBR33;05/06/2023;16:10:00;5,56;5,58;5,56;5,58;63.343,95;11.374
NUBR33;05/06/2023;16:05:00;5,56;5,58;5,56;5,56;215.512,84;38.688
NUBR33;05/06/2023;16:00:00;5,56;5,57;5,56;5,56;60.311,76;10.847
NUBR33;05/06/2023;15:55:00;5,55;5,57;5,55;5,56;47.478,31;8.539
NUBR33;05/06/2023;15:50:00;5,56;5,56;5,55;5,56;84.102,67;15.150
NUBR33;05/06/2023;15:45:00;5,54;5,56;5,54;5,56;13.248,74;2.388
NUBR33;05/06/2023;15:40:00;5,54;5,55;5,54;5,54;78.929,73;14.229
NUBR33;05/06/2023;15:35:00;5,54;5,55;5,52;5,55;109.363,43;19.751
