Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ODPV3;06/06/2023;11:15:00;11,62;11,62;11,61;11,62;38.342,00;3.300
ODPV3;06/06/2023;11:10:00;11,63;11,63;11,62;11,63;12.784,00;1.100
ODPV3;06/06/2023;11:05:00;11,61;11,63;11,61;11,61;87.137,00;7.500
ODPV3;06/06/2023;11:00:00;11,62;11,62;11,60;11,62;55.746,00;4.800
ODPV3;06/06/2023;10:55:00;11,63;11,63;11,60;11,61;42.991,00;3.700
ODPV3;06/06/2023;10:50:00;11,63;11,63;11,61;11,63;77.852,00;6.700
ODPV3;06/06/2023;10:45:00;11,65;11,65;11,62;11,64;103.532,00;8.900
ODPV3;06/06/2023;10:40:00;11,66;11,66;11,63;11,65;122.258,00;10.500
ODPV3;06/06/2023;10:35:00;11,62;11,66;11,61;11,65;88.438,00;7.600
ODPV3;06/06/2023;10:30:00;11,64;11,66;11,60;11,61;376.443,00;32.400
ODPV3;06/06/2023;10:25:00;11,67;11,69;11,64;11,64;151.638,00;13.000
ODPV3;06/06/2023;10:20:00;11,61;11,68;11,61;11,67;532.319,00;45.700
ODPV3;06/06/2023;10:15:00;11,62;11,64;11,61;11,63;24.414,00;2.100
ODPV3;06/06/2023;10:10:00;11,64;11,66;11,62;11,64;416.531,00;35.800
ODPV3;06/06/2023;10:05:00;11,64;11,67;11,61;11,63;437.643,00;37.600
ODPV3;06/06/2023;10:00:00;11,50;11,64;11,50;11,64;891.062,00;77.100
ODPV3;05/06/2023;17:30:00;11,40;11,43;11,40;11,43;4.564,00;400
ODPV3;05/06/2023;16:50:00;11,38;11,42;11,37;11,40;2.557.128,00;224.400
ODPV3;05/06/2023;16:45:00;11,37;11,38;11,37;11,37;97.812,00;8.600
ODPV3;05/06/2023;16:40:00;11,37;11,39;11,36;11,37;404.980,00;35.600
ODPV3;05/06/2023;16:35:00;11,38;11,39;11,38;11,38;306.201,00;26.900
ODPV3;05/06/2023;16:30:00;11,40;11,42;11,37;11,39;540.127,00;47.400
ODPV3;05/06/2023;16:25:00;11,40;11,41;11,38;11,40;776.196,00;68.100
ODPV3;05/06/2023;16:20:00;11,39;11,40;11,38;11,40;614.296,00;53.900
ODPV3;05/06/2023;16:15:00;11,37;11,41;11,35;11,40;6.801.739,00;596.800
ODPV3;05/06/2023;16:10:00;11,37;11,37;11,37;11,37;20.466,00;1.800
ODPV3;05/06/2023;16:05:00;11,39;11,39;11,37;11,37;145.741,00;12.800
ODPV3;05/06/2023;16:00:00;11,39;11,40;11,39;11,40;31.896,00;2.800
ODPV3;05/06/2023;15:55:00;11,44;11,44;11,36;11,39;1.059.335,00;93.000
ODPV3;05/06/2023;15:50:00;11,43;11,45;11,42;11,43;224.242,00;19.600
ODPV3;05/06/2023;15:45:00;11,42;11,42;11,41;11,42;137.015,00;12.000
ODPV3;05/06/2023;15:40:00;11,37;11,42;11,36;11,41;480.578,00;42.200
ODPV3;05/06/2023;15:35:00;11,37;11,37;11,36;11,37;18.189,00;1.600
ODPV3;05/06/2023;15:30:00;11,37;11,37;11,36;11,37;25.006,00;2.200
ODPV3;05/06/2023;15:25:00;11,39;11,39;11,34;11,36;2.709.294,00;238.500
ODPV3;05/06/2023;15:20:00;11,38;11,39;11,38;11,39;36.424,00;3.200
ODPV3;05/06/2023;15:15:00;11,37;11,38;11,36;11,37;145.521,00;12.800
ODPV3;05/06/2023;15:10:00;11,35;11,38;11,35;11,37;2.410.689,00;212.200
ODPV3;05/06/2023;15:05:00;11,36;11,38;11,35;11,35;64.777,00;5.700
ODPV3;05/06/2023;15:00:00;11,30;11,37;11,30;11,36;1.012.018,00;89.300
ODPV3;05/06/2023;14:55:00;11,25;11,32;11,25;11,29;5.130.818,00;455.200
ODPV3;05/06/2023;14:50:00;11,26;11,26;11,22;11,25;493.711,00;43.900
ODPV3;05/06/2023;14:45:00;11,25;11,29;11,25;11,26;370.918,00;32.900
ODPV3;05/06/2023;14:40:00;11,17;11,25;11,17;11,25;461.433,00;41.200
ODPV3;05/06/2023;14:35:00;11,17;11,17;11,16;11,17;143.977,00;12.900
ODPV3;05/06/2023;14:30:00;11,16;11,17;11,15;11,16;47.990,00;4.300
ODPV3;05/06/2023;14:25:00;11,16;11,16;11,14;11,15;128.267,00;11.500
ODPV3;05/06/2023;14:20:00;11,14;11,16;11,13;11,16;266.389,00;23.900
ODPV3;05/06/2023;14:15:00;11,12;11,14;11,09;11,14;417.834,00;37.600
ODPV3;05/06/2023;14:10:00;11,12;11,12;11,11;11,12;15.565,00;1.400
ODPV3;05/06/2023;14:05:00;11,11;11,13;11,11;11,12;57.818,00;5.200
ODPV3;05/06/2023;14:00:00;11,12;11,13;11,11;11,11;52.258,00;4.700
ODPV3;05/06/2023;13:55:00;11,10;11,12;11,09;11,12;328.816,00;29.600
ODPV3;05/06/2023;13:50:00;11,12;11,12;11,10;11,10;102.204,00;9.200
ODPV3;05/06/2023;13:45:00;11,11;11,12;11,09;11,11;134.353,00;12.100
ODPV3;05/06/2023;13:40:00;11,13;11,13;11,11;11,11;106.762,00;9.600
ODPV3;05/06/2023;13:35:00;11,13;11,13;11,12;11,13;13.355,00;1.200
ODPV3;05/06/2023;13:30:00;11,14;11,14;11,13;11,13;31.166,00;2.800
ODPV3;05/06/2023;13:25:00;11,14;11,14;11,12;11,14;31.171,00;2.800
ODPV3;05/06/2023;13:20:00;11,11;11,14;11,10;11,14;2.825.302,00;254.300
ODPV3;05/06/2023;13:15:00;11,12;11,12;11,11;11,11;72.233,00;6.500
ODPV3;05/06/2023;13:10:00;11,12;11,12;11,11;11,12;26.687,00;2.400
ODPV3;05/06/2023;13:05:00;11,08;11,12;11,08;11,12;82.110,00;7.400
ODPV3;05/06/2023;13:00:00;11,09;11,09;11,08;11,08;85.339,00;7.700
ODPV3;05/06/2023;12:55:00;11,07;11,08;11,06;11,08;179.304,00;16.200
ODPV3;05/06/2023;12:50:00;11,07;11,07;11,06;11,06;3.320,00;300
ODPV3;05/06/2023;12:45:00;11,06;11,07;11,06;11,06;64.176,00;5.800
ODPV3;05/06/2023;12:40:00;11,11;11,11;11,06;11,06;75.382,00;6.800
ODPV3;05/06/2023;12:35:00;11,01;11,12;11,01;11,11;625.157,00;56.500
ODPV3;05/06/2023;12:30:00;11,02;11,02;11,01;11,01;40.767,00;3.700
ODPV3;05/06/2023;12:25:00;11,03;11,03;11,02;11,02;71.632,00;6.500
ODPV3;05/06/2023;12:20:00;11,02;11,03;11,01;11,03;20.938,00;1.900
ODPV3;05/06/2023;12:15:00;11,03;11,03;11,00;11,02;90.293,00;8.200
ODPV3;05/06/2023;12:10:00;11,02;11,02;11,01;11,02;58.380,00;5.300
ODPV3;05/06/2023;12:05:00;11,02;11,02;11,01;11,02;22.036,00;2.000
ODPV3;05/06/2023;12:00:00;11,05;11,06;11,03;11,03;82.896,00;7.500
ODPV3;05/06/2023;11:55:00;11,08;11,08;11,05;11,06;64.195,00;5.800
ODPV3;05/06/2023;11:50:00;11,04;11,08;11,04;11,08;77.442,00;7.000
ODPV3;05/06/2023;11:45:00;11,03;11,05;11,03;11,04;81.663,00;7.400
ODPV3;05/06/2023;11:40:00;11,03;11,05;11,03;11,05;97.109,00;8.800
ODPV3;05/06/2023;11:35:00;11,05;11,05;11,03;11,04;150.156,00;13.600
ODPV3;05/06/2023;11:30:00;11,05;11,08;11,04;11,06;131.600,00;11.900
ODPV3;05/06/2023;11:25:00;11,07;11,08;11,04;11,04;200.129,00;18.100
ODPV3;05/06/2023;11:20:00;11,10;11,10;11,07;11,07;147.439,00;13.300
ODPV3;05/06/2023;11:15:00;11,07;11,10;11,05;11,10;191.714,00;17.300
ODPV3;05/06/2023;11:10:00;11,09;11,10;11,07;11,07;83.151,00;7.500
ODPV3;05/06/2023;11:05:00;11,07;11,09;11,05;11,09;122.881,00;11.100
ODPV3;05/06/2023;11:00:00;11,06;11,08;11,06;11,07;126.231,00;11.400
ODPV3;05/06/2023;10:55:00;11,10;11,12;11,07;11,07;153.165,00;13.800
ODPV3;05/06/2023;10:50:00;11,10;11,10;11,08;11,09;179.671,00;16.200
ODPV3;05/06/2023;10:45:00;11,11;11,11;11,09;11,10;75.506,00;6.800
ODPV3;05/06/2023;10:40:00;11,13;11,13;11,10;11,10;73.352,00;6.600
ODPV3;05/06/2023;10:35:00;11,06;11,13;11,05;11,13;134.175,00;12.100
ODPV3;05/06/2023;10:30:00;10,96;11,07;10,96;11,05;285.173,00;25.900
ODPV3;05/06/2023;10:25:00;10,90;10,96;10,89;10,95;4.532.736,00;414.700
ODPV3;05/06/2023;10:20:00;10,91;10,95;10,91;10,92;78.675,00;7.200
ODPV3;05/06/2023;10:15:00;11,01;11,01;10,91;10,91;93.152,00;8.500
ODPV3;05/06/2023;10:10:00;11,09;11,09;11,00;11,01;94.707,00;8.600
ODPV3;05/06/2023;10:05:00;11,06;11,09;11,06;11,08;28.804,00;2.600
ODPV3;05/06/2023;10:00:00;11,11;11,11;11,04;11,04;51.968,00;4.700
ODPV3;02/06/2023;16:50:00;11,16;11,19;11,15;11,15;2.143.244,00;192.200
ODPV3;02/06/2023;16:45:00;11,15;11,17;11,15;11,16;308.927,00;27.700
ODPV3;02/06/2023;16:40:00;11,15;11,17;11,15;11,15;126.053,00;11.300
ODPV3;02/06/2023;16:35:00;11,17;11,17;11,15;11,15;291.373,00;26.100
ODPV3;02/06/2023;16:30:00;11,15;11,20;11,15;11,18;465.573,00;41.700
ODPV3;02/06/2023;16:25:00;11,15;11,16;11,15;11,15;62.467,00;5.600
ODPV3;02/06/2023;16:20:00;11,15;11,16;11,15;11,15;208.643,00;18.700
ODPV3;02/06/2023;16:15:00;11,15;11,16;11,15;11,15;126.039,00;11.300
ODPV3;02/06/2023;16:10:00;11,15;11,16;11,15;11,15;146.067,00;13.100
ODPV3;02/06/2023;16:05:00;11,16;11,16;11,15;11,15;199.681,00;17.900
ODPV3;02/06/2023;16:00:00;11,13;11,17;11,12;11,16;187.257,00;16.800
ODPV3;02/06/2023;15:55:00;11,14;11,14;11,12;11,14;43.399,00;3.900
ODPV3;02/06/2023;15:50:00;11,13;11,14;11,12;11,13;41.165,00;3.700
ODPV3;02/06/2023;15:45:00;11,13;11,15;11,13;11,14;156.975,00;14.100
ODPV3;02/06/2023;15:40:00;11,13;11,14;11,12;11,13;72.336,00;6.500
ODPV3;02/06/2023;15:35:00;11,14;11,14;11,12;11,12;175.915,00;15.800
ODPV3;02/06/2023;15:30:00;11,11;11,14;11,10;11,14;250.179,00;22.500
ODPV3;02/06/2023;15:25:00;11,08;11,13;11,08;11,11;684.108,00;61.600
ODPV3;02/06/2023;15:20:00;11,05;11,07;11,04;11,07;110.540,00;10.000
ODPV3;02/06/2023;15:15:00;11,04;11,06;11,04;11,05;146.966,00;13.300
ODPV3;02/06/2023;15:10:00;11,03;11,05;11,03;11,05;61.790,00;5.600
ODPV3;02/06/2023;15:05:00;11,03;11,03;11,02;11,03;91.532,00;8.300
ODPV3;02/06/2023;15:00:00;11,06;11,06;11,03;11,03;116.019,00;10.500
ODPV3;02/06/2023;14:55:00;11,07;11,07;11,05;11,06;75.210,00;6.800
ODPV3;02/06/2023;14:50:00;11,05;11,08;11,04;11,06;77.448,00;7.000
ODPV3;02/06/2023;14:45:00;11,04;11,07;11,02;11,06;222.113,00;20.100
ODPV3;02/06/2023;14:40:00;11,02;11,07;11,01;11,05;463.618,00;42.000
ODPV3;02/06/2023;14:35:00;11,02;11,02;11,00;11,01;64.978,00;5.900
ODPV3;02/06/2023;14:30:00;11,02;11,02;11,00;11,02;148.705,00;13.500
ODPV3;02/06/2023;14:25:00;11,02;11,02;11,00;11,01;95.815,00;8.700
ODPV3;02/06/2023;14:20:00;11,03;11,03;11,01;11,02;106.933,00;9.700
ODPV3;02/06/2023;14:15:00;11,03;11,03;11,02;11,03;74.985,00;6.800
ODPV3;02/06/2023;14:10:00;11,04;11,04;11,02;11,04;103.754,00;9.400
ODPV3;02/06/2023;14:05:00;11,06;11,06;11,05;11,05;135.967,00;12.300
ODPV3;02/06/2023;14:00:00;11,08;11,10;11,07;11,07;179.595,00;16.200
ODPV3;02/06/2023;13:55:00;11,08;11,09;11,07;11,09;95.265,00;8.600
ODPV3;02/06/2023;13:50:00;11,10;11,10;11,06;11,07;55.383,00;5.000
ODPV3;02/06/2023;13:45:00;11,11;11,11;11,08;11,10;118.788,00;10.700
ODPV3;02/06/2023;13:40:00;11,12;11,13;11,10;11,10;242.343,00;21.800
ODPV3;02/06/2023;13:35:00;11,13;11,14;11,12;11,12;94.566,00;8.500
ODPV3;02/06/2023;13:30:00;11,15;11,16;11,12;11,12;191.581,00;17.200
ODPV3;02/06/2023;13:25:00;11,17;11,17;11,14;11,15;208.572,00;18.700
ODPV3;02/06/2023;13:20:00;11,17;11,18;11,16;11,17;75.975,00;6.800
ODPV3;02/06/2023;13:15:00;11,17;11,18;11,16;11,18;123.960,00;11.100
ODPV3;02/06/2023;13:10:00;11,19;11,20;11,18;11,19;36.924,00;3.300
ODPV3;02/06/2023;13:05:00;11,18;11,20;11,18;11,19;78.291,00;7.000
ODPV3;02/06/2023;13:00:00;11,18;11,20;11,17;11,18;111.922,00;10.000
ODPV3;02/06/2023;12:55:00;11,18;11,20;11,17;11,18;98.479,00;8.800
ODPV3;02/06/2023;12:50:00;11,16;11,17;11,16;11,17;55.834,00;5.000
ODPV3;02/06/2023;12:45:00;11,17;11,18;11,16;11,17;105.020,00;9.400
ODPV3;02/06/2023;12:40:00;11,18;11,19;11,17;11,17;86.091,00;7.700
ODPV3;02/06/2023;12:35:00;11,20;11,20;11,17;11,19;170.085,00;15.200
ODPV3;02/06/2023;12:30:00;11,24;11,25;11,20;11,20;3.150.509,00;280.100
ODPV3;02/06/2023;12:25:00;11,29;11,29;11,24;11,25;108.158,00;9.600
ODPV3;02/06/2023;12:20:00;11,30;11,30;11,28;11,28;127.629,00;11.300
ODPV3;02/06/2023;12:15:00;11,29;11,30;11,27;11,29;101.552,00;9.000
ODPV3;02/06/2023;12:10:00;11,23;11,29;11,23;11,28;561.846,00;49.900
ODPV3;02/06/2023;12:05:00;11,27;11,27;11,22;11,23;183.120,00;16.300
ODPV3;02/06/2023;12:00:00;11,24;11,31;11,24;11,28;284.319,00;25.200
ODPV3;02/06/2023;11:55:00;11,22;11,27;11,22;11,25;83.149,00;7.400
ODPV3;02/06/2023;11:50:00;11,23;11,23;11,19;11,22;62.754,00;5.600
ODPV3;02/06/2023;11:45:00;11,22;11,23;11,21;11,23;105.484,00;9.400
ODPV3;02/06/2023;11:40:00;11,19;11,23;11,17;11,23;149.000,00;13.300
ODPV3;02/06/2023;11:35:00;11,20;11,22;11,18;11,19;153.440,00;13.700
ODPV3;02/06/2023;11:30:00;11,25;11,25;11,20;11,21;111.028,00;9.900
ODPV3;02/06/2023;11:25:00;11,25;11,29;11,25;11,26;174.632,00;15.500
ODPV3;02/06/2023;11:20:00;11,25;11,25;11,23;11,25;154.018,00;13.700
ODPV3;02/06/2023;11:15:00;11,28;11,30;11,24;11,25;372.808,00;33.100
ODPV3;02/06/2023;11:10:00;11,29;11,32;11,29;11,30;332.406,00;29.400
ODPV3;02/06/2023;11:05:00;11,26;11,29;11,24;11,29;140.838,00;12.500
ODPV3;02/06/2023;11:00:00;11,26;11,26;11,24;11,25;2.908.100,00;258.500
ODPV3;02/06/2023;10:55:00;11,22;11,25;11,22;11,25;176.432,00;15.700
ODPV3;02/06/2023;10:50:00;11,27;11,29;11,21;11,23;217.261,00;19.300
ODPV3;02/06/2023;10:45:00;11,21;11,29;11,21;11,28;285.729,00;25.400
ODPV3;02/06/2023;10:40:00;11,22;11,23;11,20;11,22;183.952,00;16.400
ODPV3;02/06/2023;10:35:00;11,22;11,23;11,20;11,23;190.540,00;17.000
ODPV3;02/06/2023;10:30:00;11,22;11,25;11,21;11,23;92.100,00;8.200
ODPV3;02/06/2023;10:25:00;11,25;11,28;11,20;11,24;245.910,00;21.900
ODPV3;02/06/2023;10:20:00;11,26;11,27;11,22;11,24;159.749,00;14.200
ODPV3;02/06/2023;10:15:00;11,23;11,31;11,22;11,26;316.721,00;28.100
ODPV3;02/06/2023;10:10:00;11,11;11,26;11,11;11,22;318.746,00;28.500
ODPV3;01/06/2023;17:30:00;11,05;11,05;11,00;11,00;3.306,00;300
ODPV3;01/06/2023;16:50:00;10,98;11,05;10,97;11,05;2.059.581,00;186.500
ODPV3;01/06/2023;16:45:00;10,98;11,02;10,96;10,98;2.255.923,00;205.100
ODPV3;01/06/2023;16:40:00;10,98;10,98;10,96;10,98;216.153,00;19.700
ODPV3;01/06/2023;16:35:00;10,95;10,98;10,94;10,97;202.708,00;18.500
ODPV3;01/06/2023;16:30:00;10,94;10,96;10,94;10,96;148.930,00;13.600
ODPV3;01/06/2023;16:25:00;10,94;10,95;10,93;10,95;147.753,00;13.500
ODPV3;01/06/2023;16:20:00;10,95;10,96;10,94;10,94;106.200,00;9.700
ODPV3;01/06/2023;16:15:00;10,97;10,98;10,94;10,96;156.745,00;14.300
