Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
OIBR4;16/06/2023;16:45:00;2,33;2,34;2,33;2,34;12.118,00;5.200
OIBR4;16/06/2023;16:35:00;2,34;2,34;2,34;2,34;1.404,00;600
OIBR4;16/06/2023;16:15:00;2,33;2,33;2,33;2,33;233,00;100
OIBR4;16/06/2023;16:10:00;2,33;2,33;2,33;2,33;1.165,00;500
OIBR4;16/06/2023;16:05:00;2,33;2,33;2,33;2,33;233,00;100
OIBR4;16/06/2023;16:00:00;2,33;2,34;2,33;2,34;467,00;200
OIBR4;16/06/2023;15:50:00;2,33;2,33;2,33;2,33;233,00;100
OIBR4;16/06/2023;15:30:00;2,34;2,34;2,34;2,34;1.170,00;500
OIBR4;16/06/2023;15:25:00;2,33;2,33;2,33;2,33;233,00;100
OIBR4;16/06/2023;15:15:00;2,33;2,34;2,33;2,33;700,00;300
OIBR4;16/06/2023;15:10:00;2,33;2,33;2,33;2,33;3.262,00;1.400
OIBR4;16/06/2023;15:05:00;2,33;2,33;2,33;2,33;466,00;200
OIBR4;16/06/2023;15:00:00;2,34;2,34;2,34;2,34;1.170,00;500
OIBR4;16/06/2023;14:55:00;2,34;2,34;2,34;2,34;468,00;200
OIBR4;16/06/2023;14:50:00;2,33;2,33;2,33;2,33;4.660,00;2.000
OIBR4;16/06/2023;14:45:00;2,33;2,33;2,33;2,33;932,00;400
OIBR4;16/06/2023;14:30:00;2,34;2,34;2,34;2,34;234,00;100
OIBR4;16/06/2023;14:25:00;2,33;2,33;2,33;2,33;233,00;100
OIBR4;16/06/2023;14:20:00;2,34;2,34;2,34;2,34;14.976,00;6.400
OIBR4;16/06/2023;14:00:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;16/06/2023;13:55:00;2,35;2,35;2,35;2,35;470,00;200
OIBR4;16/06/2023;13:45:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;16/06/2023;13:40:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;16/06/2023;13:15:00;2,34;2,34;2,34;2,34;234,00;100
OIBR4;16/06/2023;12:50:00;2,35;2,36;2,35;2,36;1.176,00;500
OIBR4;16/06/2023;12:45:00;2,35;2,35;2,34;2,34;469,00;200
OIBR4;16/06/2023;12:30:00;2,35;2,35;2,35;2,35;1.175,00;500
OIBR4;16/06/2023;12:20:00;2,35;2,35;2,35;2,35;8.225,00;3.500
OIBR4;16/06/2023;12:05:00;2,36;2,36;2,36;2,36;236,00;100
OIBR4;16/06/2023;12:00:00;2,36;2,36;2,36;2,36;472,00;200
OIBR4;16/06/2023;11:55:00;2,36;2,36;2,34;2,34;705,00;300
OIBR4;16/06/2023;11:45:00;2,35;2,35;2,35;2,35;3.995,00;1.700
OIBR4;16/06/2023;11:25:00;2,35;2,35;2,35;2,35;470,00;200
OIBR4;16/06/2023;11:00:00;2,33;2,34;2,33;2,34;935,00;400
OIBR4;16/06/2023;10:55:00;2,33;2,33;2,33;2,33;1.864,00;800
OIBR4;16/06/2023;10:50:00;2,34;2,34;2,34;2,34;234,00;100
OIBR4;16/06/2023;10:40:00;2,35;2,35;2,35;2,35;4.700,00;2.000
OIBR4;16/06/2023;10:25:00;2,35;2,35;2,35;2,35;470,00;200
OIBR4;16/06/2023;10:15:00;2,33;2,33;2,32;2,32;2.091,00;900
OIBR4;16/06/2023;10:10:00;2,33;2,33;2,33;2,33;3.029,00;1.300
OIBR4;16/06/2023;10:05:00;2,34;2,35;2,34;2,35;12.452,00;5.300
OIBR4;16/06/2023;10:00:00;2,36;2,36;2,35;2,35;1.415,00;600
OIBR4;15/06/2023;16:50:00;2,35;2,36;2,35;2,36;9.673,00;4.100
OIBR4;15/06/2023;16:30:00;2,35;2,35;2,35;2,35;1.175,00;500
OIBR4;15/06/2023;16:25:00;2,34;2,34;2,34;2,34;7.254,00;3.100
OIBR4;15/06/2023;16:20:00;2,34;2,35;2,34;2,35;469,00;200
OIBR4;15/06/2023;16:15:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;15/06/2023;16:10:00;2,34;2,34;2,34;2,34;234,00;100
OIBR4;15/06/2023;15:45:00;2,35;2,35;2,34;2,34;11.749,00;5.000
OIBR4;15/06/2023;15:35:00;2,37;2,37;2,37;2,37;237,00;100
OIBR4;15/06/2023;15:20:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;15/06/2023;15:15:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;15/06/2023;15:05:00;2,35;2,35;2,35;2,35;470,00;200
OIBR4;15/06/2023;14:55:00;2,35;2,35;2,34;2,34;2.343,00;1.000
OIBR4;15/06/2023;14:20:00;2,35;2,35;2,34;2,34;58.576,00;25.000
OIBR4;15/06/2023;14:05:00;2,40;2,40;2,40;2,40;240,00;100
OIBR4;15/06/2023;14:00:00;2,35;2,35;2,35;2,35;235,00;100
OIBR4;15/06/2023;13:45:00;2,40;2,40;2,40;2,40;3.360,00;1.400
OIBR4;15/06/2023;13:35:00;2,40;2,40;2,37;2,37;2.397,00;1.000
OIBR4;15/06/2023;13:30:00;2,39;2,39;2,39;2,39;478,00;200
OIBR4;15/06/2023;13:20:00;2,38;2,38;2,38;2,38;714,00;300
OIBR4;15/06/2023;13:15:00;2,37;2,37;2,37;2,37;11.613,00;4.900
OIBR4;15/06/2023;13:00:00;2,36;2,36;2,35;2,35;5.174,00;2.200
OIBR4;15/06/2023;12:55:00;2,36;2,36;2,36;2,36;236,00;100
