Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ONCO3;16/06/2023;17:30:00;11,78;11,89;11,74;11,88;521.327,00;44.200
ONCO3;16/06/2023;16:45:00;11,30;11,80;11,27;11,80;19.433.975,00;1.649.800
ONCO3;16/06/2023;16:40:00;11,30;11,32;11,26;11,29;3.225.578,00;285.500
ONCO3;16/06/2023;16:35:00;11,32;11,33;11,30;11,31;365.456,00;32.300
ONCO3;16/06/2023;16:30:00;11,34;11,34;11,31;11,32;361.263,00;31.900
ONCO3;16/06/2023;16:25:00;11,32;11,35;11,32;11,34;355.991,00;31.400
ONCO3;16/06/2023;16:20:00;11,38;11,40;11,31;11,31;289.831,00;25.500
ONCO3;16/06/2023;16:15:00;11,37;11,39;11,37;11,39;124.064,00;10.900
ONCO3;16/06/2023;16:10:00;11,36;11,39;11,36;11,37;168.409,00;14.800
ONCO3;16/06/2023;16:05:00;11,38;11,39;11,36;11,36;101.263,00;8.900
ONCO3;16/06/2023;16:00:00;11,37;11,39;11,36;11,38;110.361,00;9.700
ONCO3;16/06/2023;15:55:00;11,38;11,39;11,32;11,37;336.129,00;29.600
ONCO3;16/06/2023;15:50:00;11,36;11,39;11,36;11,38;133.196,00;11.700
ONCO3;16/06/2023;15:45:00;11,39;11,40;11,36;11,36;232.114,00;20.400
ONCO3;16/06/2023;15:40:00;11,38;11,39;11,38;11,38;48.950,00;4.300
ONCO3;16/06/2023;15:35:00;11,38;11,43;11,38;11,39;275.841,00;24.200
ONCO3;16/06/2023;15:30:00;11,38;11,39;11,38;11,38;48.970,00;4.300
ONCO3;16/06/2023;15:25:00;11,39;11,40;11,36;11,39;362.861,00;31.900
ONCO3;16/06/2023;15:20:00;11,39;11,42;11,39;11,39;152.760,00;13.400
ONCO3;16/06/2023;15:15:00;11,39;11,40;11,38;11,38;71.759,00;6.300
ONCO3;16/06/2023;15:10:00;11,39;11,41;11,38;11,39;123.066,00;10.800
ONCO3;16/06/2023;15:05:00;11,39;11,42;11,39;11,40;120.877,00;10.600
ONCO3;16/06/2023;15:00:00;11,35;11,40;11,35;11,40;38.658,00;3.400
ONCO3;16/06/2023;14:55:00;11,32;11,37;11,31;11,35;337.072,00;29.700
ONCO3;16/06/2023;14:50:00;11,35;11,37;11,32;11,32;115.724,00;10.200
ONCO3;16/06/2023;14:45:00;11,36;11,38;11,35;11,35;104.578,00;9.200
ONCO3;16/06/2023;14:40:00;11,38;11,38;11,36;11,36;122.819,00;10.800
ONCO3;16/06/2023;14:35:00;11,41;11,41;11,33;11,38;286.482,00;25.200
ONCO3;16/06/2023;14:30:00;11,43;11,44;11,37;11,39;2.866.072,00;251.400
ONCO3;16/06/2023;14:25:00;11,33;11,44;11,32;11,42;659.883,00;57.900
ONCO3;16/06/2023;14:20:00;11,29;11,35;11,29;11,33;260.005,00;23.000
ONCO3;16/06/2023;14:15:00;11,33;11,34;11,28;11,29;390.270,00;34.500
ONCO3;16/06/2023;14:10:00;11,36;11,37;11,32;11,33;94.114,00;8.300
ONCO3;16/06/2023;14:05:00;11,40;11,40;11,36;11,36;147.981,00;13.000
ONCO3;16/06/2023;14:00:00;11,44;11,45;11,40;11,40;618.634,00;54.100
ONCO3;16/06/2023;13:55:00;11,49;11,49;11,43;11,43;324.125,00;28.300
ONCO3;16/06/2023;13:50:00;11,49;11,50;11,48;11,48;858.749,00;74.800
ONCO3;16/06/2023;13:45:00;11,48;11,50;11,48;11,48;181.496,00;15.800
ONCO3;16/06/2023;13:40:00;11,50;11,50;11,48;11,48;502.412,00;43.700
ONCO3;16/06/2023;13:35:00;11,48;11,50;11,48;11,50;165.451,00;14.400
ONCO3;16/06/2023;13:30:00;11,49;11,50;11,47;11,48;317.311,00;27.600
ONCO3;16/06/2023;13:25:00;11,47;11,50;11,45;11,49;128.652,00;11.200
ONCO3;16/06/2023;13:20:00;11,46;11,49;11,45;11,48;480.598,00;41.900
ONCO3;16/06/2023;13:15:00;11,48;11,49;11,44;11,45;133.002,00;11.600
ONCO3;16/06/2023;13:10:00;11,49;11,50;11,46;11,49;126.325,00;11.000
ONCO3;16/06/2023;13:05:00;11,49;11,50;11,47;11,48;175.697,00;15.300
ONCO3;16/06/2023;13:00:00;11,46;11,49;11,44;11,49;172.033,00;15.000
ONCO3;16/06/2023;12:55:00;11,48;11,50;11,46;11,46;187.174,00;16.300
ONCO3;16/06/2023;12:50:00;11,44;11,49;11,44;11,47;104.365,00;9.100
ONCO3;16/06/2023;12:45:00;11,45;11,45;11,42;11,42;22.894,00;2.000
ONCO3;16/06/2023;12:40:00;11,45;11,46;11,45;11,45;22.903,00;2.000
ONCO3;16/06/2023;12:35:00;11,47;11,47;11,42;11,45;136.261,00;11.900
ONCO3;16/06/2023;12:30:00;11,45;11,48;11,45;11,48;32.122,00;2.800
ONCO3;16/06/2023;12:25:00;11,44;11,47;11,43;11,45;40.070,00;3.500
