Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
OPCT3;16/06/2023;17:30:00;4,02;4,05;4,02;4,05;33.536,00;8.300
OPCT3;16/06/2023;16:45:00;3,99;4,00;3,99;3,99;58.738,00;14.700
OPCT3;16/06/2023;16:40:00;4,00;4,01;3,99;3,99;9.596,00;2.400
OPCT3;16/06/2023;16:35:00;4,00;4,02;4,00;4,00;88.604,00;22.100
OPCT3;16/06/2023;16:30:00;3,98;3,98;3,98;3,98;29.452,00;7.400
OPCT3;16/06/2023;16:25:00;3,97;3,98;3,96;3,98;83.137,00;20.900
OPCT3;16/06/2023;16:20:00;3,95;3,97;3,95;3,96;49.905,00;12.600
OPCT3;16/06/2023;16:15:00;3,94;3,96;3,94;3,96;1.578,00;400
OPCT3;16/06/2023;16:10:00;3,96;3,96;3,96;3,96;792,00;200
OPCT3;16/06/2023;16:05:00;3,95;3,95;3,95;3,95;24.885,00;6.300
OPCT3;16/06/2023;16:00:00;4,00;4,00;3,95;3,95;205.731,00;52.000
OPCT3;16/06/2023;15:55:00;4,00;4,00;4,00;4,00;10.000,00;2.500
OPCT3;16/06/2023;15:50:00;4,00;4,01;4,00;4,00;22.002,00;5.500
OPCT3;16/06/2023;15:45:00;3,99;3,99;3,99;3,99;21.945,00;5.500
OPCT3;16/06/2023;15:40:00;4,02;4,02;3,95;3,95;198.309,00;50.000
OPCT3;16/06/2023;15:30:00;4,04;4,04;4,01;4,01;40.290,00;10.000
OPCT3;16/06/2023;15:25:00;4,05;4,05;4,03;4,03;29.147,00;7.200
OPCT3;16/06/2023;15:20:00;4,04;4,04;4,03;4,03;3.634,00;900
OPCT3;16/06/2023;15:15:00;4,03;4,03;4,02;4,02;5.236,00;1.300
OPCT3;16/06/2023;15:10:00;4,01;4,04;4,01;4,02;37.423,00;9.300
OPCT3;16/06/2023;15:05:00;4,02;4,02;4,00;4,00;3.615,00;900
OPCT3;16/06/2023;15:00:00;4,03;4,03;4,00;4,00;64.211,00;16.000
OPCT3;16/06/2023;14:55:00;4,03;4,03;4,01;4,01;5.636,00;1.400
OPCT3;16/06/2023;14:45:00;4,07;4,07;4,01;4,03;71.122,00;17.600
OPCT3;16/06/2023;14:40:00;4,06;4,12;4,06;4,06;356.490,00;87.100
OPCT3;16/06/2023;14:35:00;4,00;4,06;4,00;4,05;206.580,00;51.200
OPCT3;16/06/2023;14:30:00;3,97;4,00;3,97;4,00;130.929,00;32.800
OPCT3;16/06/2023;14:25:00;3,96;3,97;3,96;3,97;12.681,00;3.200
OPCT3;16/06/2023;14:20:00;3,95;3,97;3,95;3,95;4.355,00;1.100
OPCT3;16/06/2023;14:15:00;3,97;3,97;3,97;3,97;397,00;100
OPCT3;16/06/2023;14:10:00;3,97;3,97;3,96;3,96;2.774,00;700
OPCT3;16/06/2023;14:05:00;3,97;3,97;3,96;3,96;1.190,00;300
OPCT3;16/06/2023;14:00:00;3,98;3,98;3,98;3,98;796,00;200
OPCT3;16/06/2023;13:55:00;3,97;3,97;3,97;3,97;1.985,00;500
OPCT3;16/06/2023;13:50:00;3,97;3,97;3,97;3,97;16.277,00;4.100
OPCT3;16/06/2023;13:40:00;3,96;3,96;3,96;3,96;7.128,00;1.800
OPCT3;16/06/2023;13:35:00;3,96;3,97;3,96;3,97;1.190,00;300
OPCT3;16/06/2023;13:20:00;3,98;3,98;3,97;3,97;5.162,00;1.300
OPCT3;16/06/2023;13:15:00;3,98;3,98;3,98;3,98;4.378,00;1.100
OPCT3;16/06/2023;13:10:00;3,97;3,98;3,97;3,98;13.131,00;3.300
OPCT3;16/06/2023;13:05:00;3,97;3,97;3,97;3,97;3.970,00;1.000
OPCT3;16/06/2023;13:00:00;3,98;3,98;3,97;3,97;47.361,00;11.900
OPCT3;16/06/2023;12:55:00;3,99;3,99;3,99;3,99;399,00;100
OPCT3;16/06/2023;12:40:00;3,99;3,99;3,99;3,99;798,00;200
OPCT3;16/06/2023;12:35:00;3,99;3,99;3,99;3,99;3.990,00;1.000
OPCT3;16/06/2023;12:30:00;3,99;3,99;3,99;3,99;4.788,00;1.200
OPCT3;16/06/2023;12:20:00;3,99;3,99;3,99;3,99;3.990,00;1.000
OPCT3;16/06/2023;12:15:00;3,99;3,99;3,99;3,99;798,00;200
OPCT3;16/06/2023;12:05:00;3,99;3,99;3,99;3,99;1.995,00;500
OPCT3;16/06/2023;12:00:00;3,99;3,99;3,99;3,99;798,00;200
OPCT3;16/06/2023;11:55:00;4,00;4,00;3,99;3,99;52.730,00;13.200
OPCT3;16/06/2023;11:50:00;4,01;4,02;4,01;4,01;24.912,00;6.200
OPCT3;16/06/2023;11:45:00;4,01;4,02;4,01;4,01;7.219,00;1.800
OPCT3;16/06/2023;11:40:00;4,02;4,02;4,01;4,01;28.528,00;7.100
OPCT3;16/06/2023;11:35:00;4,04;4,04;4,02;4,02;10.090,00;2.500
OPCT3;16/06/2023;11:30:00;4,04;4,04;4,04;4,04;808,00;200
OPCT3;16/06/2023;11:20:00;4,03;4,04;4,02;4,02;3.226,00;800
OPCT3;16/06/2023;11:15:00;4,03;4,03;4,01;4,01;1.207,00;300
OPCT3;16/06/2023;11:05:00;4,07;4,07;3,97;4,02;324.725,00;81.400
OPCT3;16/06/2023;11:00:00;4,07;4,07;4,07;4,07;2.035,00;500
OPCT3;16/06/2023;10:55:00;4,07;4,07;4,07;4,07;1.221,00;300
OPCT3;16/06/2023;10:50:00;4,06;4,07;4,06;4,07;4.881,00;1.200
OPCT3;16/06/2023;10:45:00;4,06;4,06;4,06;4,06;2.030,00;500
OPCT3;16/06/2023;10:40:00;4,07;4,09;4,07;4,08;21.228,00;5.200
OPCT3;16/06/2023;10:35:00;4,06;4,06;4,06;4,06;2.842,00;700
OPCT3;16/06/2023;10:30:00;4,05;4,05;4,05;4,05;810,00;200
OPCT3;16/06/2023;10:25:00;4,05;4,05;4,03;4,05;17.753,00;4.400
OPCT3;16/06/2023;10:20:00;4,04;4,06;4,04;4,06;5.260,00;1.300
OPCT3;16/06/2023;10:15:00;4,03;4,03;4,03;4,03;1.209,00;300
OPCT3;16/06/2023;10:10:00;4,03;4,03;4,03;4,03;6.448,00;1.600
OPCT3;16/06/2023;10:05:00;4,02;4,04;4,02;4,03;10.893,00;2.700
OPCT3;16/06/2023;10:00:00;4,03;4,03;4,03;4,03;4.030,00;1.000
OPCT3;15/06/2023;17:30:00;4,03;4,10;4,03;4,10;49.796,00;12.300
OPCT3;15/06/2023;16:50:00;4,03;4,04;4,02;4,04;257.719,00;63.800
OPCT3;15/06/2023;16:45:00;4,02;4,03;4,01;4,03;43.007,00;10.700
OPCT3;15/06/2023;16:40:00;4,01;4,02;4,01;4,02;27.290,00;6.800
OPCT3;15/06/2023;16:30:00;4,01;4,02;4,01;4,02;8.425,00;2.100
OPCT3;15/06/2023;16:25:00;4,01;4,02;4,01;4,02;29.689,00;7.400
OPCT3;15/06/2023;16:20:00;4,01;4,02;4,01;4,01;5.216,00;1.300
OPCT3;15/06/2023;16:15:00;4,03;4,03;4,03;4,03;1.209,00;300
OPCT3;15/06/2023;16:10:00;4,00;4,02;3,99;4,02;168.614,00;42.100
OPCT3;15/06/2023;16:00:00;4,00;4,00;3,99;3,99;3.196,00;800
OPCT3;15/06/2023;15:55:00;4,01;4,01;3,99;4,00;9.597,00;2.400
OPCT3;15/06/2023;15:50:00;4,01;4,01;4,01;4,01;1.203,00;300
OPCT3;15/06/2023;15:45:00;4,00;4,01;3,99;3,99;12.806,00;3.200
OPCT3;15/06/2023;15:40:00;4,01;4,01;4,00;4,00;801,00;200
OPCT3;15/06/2023;15:30:00;4,01;4,02;3,99;4,01;88.458,00;22.100
OPCT3;15/06/2023;15:25:00;4,01;4,02;4,00;4,00;2.408,00;600
OPCT3;15/06/2023;15:20:00;4,01;4,02;4,00;4,00;8.422,00;2.100
OPCT3;15/06/2023;15:15:00;4,01;4,01;4,01;4,01;802,00;200
OPCT3;15/06/2023;15:10:00;4,01;4,02;4,00;4,02;35.294,00;8.800
OPCT3;15/06/2023;15:05:00;4,01;4,01;3,98;4,01;46.333,00;11.600
OPCT3;15/06/2023;14:55:00;4,01;4,01;4,01;4,01;401,00;100
OPCT3;15/06/2023;14:50:00;4,01;4,01;4,00;4,00;1.201,00;300
OPCT3;15/06/2023;14:45:00;4,01;4,01;4,00;4,01;2.405,00;600
OPCT3;15/06/2023;14:40:00;4,01;4,02;4,00;4,01;6.013,00;1.500
OPCT3;15/06/2023;14:35:00;4,02;4,02;4,02;4,02;402,00;100
OPCT3;15/06/2023;14:25:00;4,02;4,02;3,99;4,02;24.033,00;6.000
OPCT3;15/06/2023;14:20:00;4,03;4,03;4,03;4,03;2.418,00;600
OPCT3;15/06/2023;14:15:00;4,03;4,04;4,02;4,02;26.592,00;6.600
OPCT3;15/06/2023;14:10:00;4,02;4,02;4,01;4,02;5.224,00;1.300
OPCT3;15/06/2023;14:05:00;4,00;4,02;4,00;4,01;31.231,00;7.800
OPCT3;15/06/2023;14:00:00;4,02;4,02;4,01;4,01;1.607,00;400
OPCT3;15/06/2023;13:55:00;4,02;4,02;4,01;4,01;803,00;200
OPCT3;15/06/2023;13:50:00;4,01;4,02;4,00;4,02;23.267,00;5.800
OPCT3;15/06/2023;13:45:00;4,02;4,02;4,01;4,01;1.607,00;400
OPCT3;15/06/2023;13:40:00;4,02;4,02;4,01;4,01;5.223,00;1.300
OPCT3;15/06/2023;13:35:00;4,01;4,02;4,01;4,02;13.644,00;3.400
OPCT3;15/06/2023;13:30:00;4,01;4,02;4,00;4,02;7.220,00;1.800
OPCT3;15/06/2023;13:25:00;4,01;4,01;4,01;4,01;401,00;100
OPCT3;15/06/2023;13:20:00;4,01;4,01;4,00;4,00;2.405,00;600
OPCT3;15/06/2023;13:15:00;4,00;4,01;4,00;4,01;1.201,00;300
OPCT3;15/06/2023;13:10:00;4,00;4,00;4,00;4,00;400,00;100
OPCT3;15/06/2023;13:05:00;4,00;4,00;3,99;3,99;1.599,00;400
OPCT3;15/06/2023;13:00:00;3,99;4,00;3,98;3,98;5.585,00;1.400
OPCT3;15/06/2023;12:55:00;3,99;4,00;3,99;4,00;1.199,00;300
