Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ORVR3;16/06/2023;16:45:00;37,62;37,83;37,52;37,68;2.490.187,00;66.100
ORVR3;16/06/2023;16:40:00;37,59;37,63;37,57;37,61;131.574,00;3.500
ORVR3;16/06/2023;16:35:00;37,64;37,64;37,59;37,59;165.483,00;4.400
ORVR3;16/06/2023;16:30:00;37,75;37,78;37,61;37,61;278.938,00;7.400
ORVR3;16/06/2023;16:25:00;37,74;37,76;37,70;37,75;135.864,00;3.600
ORVR3;16/06/2023;16:20:00;37,72;37,77;37,70;37,74;150.960,00;4.000
ORVR3;16/06/2023;16:15:00;37,79;37,79;37,71;37,71;203.847,00;5.400
ORVR3;16/06/2023;16:10:00;37,65;37,81;37,65;37,79;162.274,00;4.300
ORVR3;16/06/2023;16:05:00;37,67;37,77;37,62;37,62;418.328,00;11.100
ORVR3;16/06/2023;16:00:00;37,70;37,88;37,68;37,69;268.445,00;7.100
ORVR3;16/06/2023;15:55:00;37,75;37,75;37,69;37,70;79.198,00;2.100
ORVR3;16/06/2023;15:50:00;37,76;37,79;37,71;37,71;56.644,00;1.500
ORVR3;16/06/2023;15:45:00;37,87;37,87;37,77;37,79;79.451,00;2.100
ORVR3;16/06/2023;15:40:00;37,85;37,89;37,85;37,87;45.438,00;1.200
ORVR3;16/06/2023;15:35:00;38,00;38,00;37,89;37,91;72.104,00;1.900
ORVR3;16/06/2023;15:30:00;37,98;38,01;37,95;37,98;136.782,00;3.600
ORVR3;16/06/2023;15:25:00;37,95;37,98;37,94;37,95;60.744,00;1.600
ORVR3;16/06/2023;15:20:00;37,98;38,00;37,94;37,98;72.140,00;1.900
ORVR3;16/06/2023;15:15:00;37,94;37,96;37,93;37,96;75.899,00;2.000
ORVR3;16/06/2023;15:10:00;37,92;37,95;37,89;37,94;64.467,00;1.700
ORVR3;16/06/2023;15:05:00;37,88;37,93;37,88;37,90;83.390,00;2.200
ORVR3;16/06/2023;15:00:00;37,93;37,93;37,88;37,91;68.242,00;1.800
ORVR3;16/06/2023;14:55:00;37,90;37,93;37,86;37,91;79.579,00;2.100
ORVR3;16/06/2023;14:50:00;37,91;37,91;37,88;37,89;49.266,00;1.300
ORVR3;16/06/2023;14:45:00;37,97;37,97;37,87;37,91;56.894,00;1.500
ORVR3;16/06/2023;14:40:00;38,02;38,03;37,95;37,97;64.569,00;1.700
ORVR3;16/06/2023;14:35:00;38,02;38,05;37,98;38,03;201.447,00;5.300
ORVR3;16/06/2023;14:30:00;37,92;38,04;37,92;38,02;189.974,00;5.000
ORVR3;16/06/2023;14:25:00;37,94;37,94;37,82;37,91;121.213,00;3.200
ORVR3;16/06/2023;14:20:00;37,90;37,92;37,88;37,89;60.644,00;1.600
ORVR3;16/06/2023;14:15:00;37,97;37,98;37,90;37,90;53.122,00;1.400
ORVR3;16/06/2023;14:10:00;37,99;37,99;37,88;37,97;45.537,00;1.200
ORVR3;16/06/2023;14:05:00;38,03;38,03;37,96;37,98;45.591,00;1.200
ORVR3;16/06/2023;14:00:00;38,00;38,03;37,99;37,99;79.810,00;2.100
ORVR3;16/06/2023;13:55:00;38,00;38,06;37,97;38,00;220.418,00;5.800
ORVR3;16/06/2023;13:50:00;37,97;38,00;37,94;37,99;56.970,00;1.500
ORVR3;16/06/2023;13:45:00;37,99;38,00;37,95;38,00;37.986,00;1.000
ORVR3;16/06/2023;13:40:00;37,99;38,00;37,89;37,94;87.276,00;2.300
ORVR3;16/06/2023;13:35:00;38,00;38,00;37,95;38,00;102.561,00;2.700
ORVR3;16/06/2023;13:30:00;37,96;38,00;37,93;38,00;68.343,00;1.800
ORVR3;16/06/2023;13:25:00;38,00;38,00;37,92;37,98;41.761,00;1.100
ORVR3;16/06/2023;13:20:00;38,04;38,06;37,98;38,01;68.429,00;1.800
ORVR3;16/06/2023;13:15:00;37,83;38,03;37,83;38,03;106.252,00;2.800
ORVR3;16/06/2023;13:10:00;37,83;37,86;37,79;37,86;49.178,00;1.300
ORVR3;16/06/2023;13:05:00;37,77;37,86;37,76;37,84;71.836,00;1.900
ORVR3;16/06/2023;13:00:00;37,79;37,79;37,73;37,77;41.537,00;1.100
ORVR3;16/06/2023;12:55:00;37,82;37,83;37,77;37,77;52.934,00;1.400
ORVR3;16/06/2023;12:50:00;37,80;37,80;37,75;37,75;11.330,00;300
ORVR3;16/06/2023;12:45:00;37,79;37,82;37,79;37,82;15.122,00;400
ORVR3;16/06/2023;12:40:00;37,83;37,83;37,77;37,77;18.896,00;500
ORVR3;16/06/2023;12:35:00;37,80;37,81;37,78;37,81;18.896,00;500
ORVR3;16/06/2023;12:30:00;37,70;37,73;37,70;37,73;30.173,00;800
ORVR3;16/06/2023;12:25:00;37,71;37,77;37,71;37,75;18.871,00;500
ORVR3;16/06/2023;12:20:00;37,72;37,72;37,71;37,71;15.086,00;400
ORVR3;16/06/2023;12:15:00;37,85;37,85;37,72;37,72;22.680,00;600
ORVR3;16/06/2023;12:10:00;37,73;37,85;37,73;37,85;11.341,00;300
ORVR3;16/06/2023;12:05:00;37,72;37,72;37,72;37,72;3.772,00;100
ORVR3;16/06/2023;12:00:00;37,78;37,78;37,57;37,70;41.454,00;1.100
ORVR3;16/06/2023;11:55:00;37,82;37,82;37,77;37,77;15.121,00;400
ORVR3;16/06/2023;11:50:00;37,90;37,91;37,83;37,83;30.305,00;800
ORVR3;16/06/2023;11:45:00;37,91;37,92;37,90;37,90;18.954,00;500
ORVR3;16/06/2023;11:40:00;37,94;37,97;37,90;37,90;41.724,00;1.100
ORVR3;16/06/2023;11:35:00;37,86;37,94;37,86;37,94;7.580,00;200
ORVR3;16/06/2023;11:30:00;37,80;37,81;37,79;37,81;15.121,00;400
ORVR3;16/06/2023;11:25:00;37,79;37,81;37,79;37,81;11.339,00;300
ORVR3;16/06/2023;11:20:00;37,83;37,83;37,77;37,77;15.123,00;400
ORVR3;16/06/2023;11:15:00;37,90;37,91;37,82;37,82;18.944,00;500
ORVR3;16/06/2023;11:10:00;37,80;37,86;37,80;37,86;37.829,00;1.000
ORVR3;16/06/2023;11:05:00;37,88;37,88;37,82;37,82;18.933,00;500
ORVR3;16/06/2023;11:00:00;37,89;38,01;37,89;37,94;75.925,00;2.000
ORVR3;16/06/2023;10:55:00;37,78;37,80;37,78;37,80;11.338,00;300
ORVR3;16/06/2023;10:50:00;37,80;37,84;37,78;37,83;26.464,00;700
ORVR3;16/06/2023;10:45:00;37,79;37,82;37,79;37,82;15.122,00;400
ORVR3;16/06/2023;10:40:00;37,92;37,92;37,78;37,78;18.929,00;500
ORVR3;16/06/2023;10:35:00;37,73;37,87;37,73;37,87;52.889,00;1.400
ORVR3;16/06/2023;10:30:00;37,75;37,75;37,72;37,72;18.871,00;500
ORVR3;16/06/2023;10:25:00;37,90;37,90;37,87;37,87;18.941,00;500
ORVR3;16/06/2023;10:20:00;38,09;38,12;37,88;37,88;30.415,00;800
ORVR3;16/06/2023;10:15:00;37,84;37,92;37,84;37,89;15.155,00;400
ORVR3;16/06/2023;10:10:00;37,56;37,71;37,50;37,71;67.642,00;1.800
ORVR3;16/06/2023;10:05:00;37,68;37,74;37,64;37,64;60.295,00;1.600
ORVR3;16/06/2023;10:00:00;37,77;37,77;37,61;37,69;60.325,00;1.600
ORVR3;15/06/2023;17:30:00;38,00;38,01;37,90;38,01;140.592,00;3.700
ORVR3;15/06/2023;16:50:00;37,92;38,36;37,91;38,00;2.260.804,00;59.500
ORVR3;15/06/2023;16:45:00;37,93;37,95;37,91;37,94;128.960,00;3.400
ORVR3;15/06/2023;16:40:00;37,92;37,97;37,91;37,94;60.696,00;1.600
ORVR3;15/06/2023;16:35:00;37,92;37,93;37,88;37,91;75.827,00;2.000
ORVR3;15/06/2023;16:30:00;37,91;37,93;37,87;37,90;94.733,00;2.500
ORVR3;15/06/2023;16:25:00;37,83;37,93;37,80;37,92;185.614,00;4.900
ORVR3;15/06/2023;16:20:00;37,77;37,85;37,76;37,82;49.140,00;1.300
ORVR3;15/06/2023;16:15:00;37,93;37,94;37,79;37,79;83.396,00;2.200
ORVR3;15/06/2023;16:10:00;37,80;37,91;37,80;37,87;109.803,00;2.900
ORVR3;15/06/2023;16:05:00;37,70;37,79;37,61;37,79;343.106,00;9.100
ORVR3;15/06/2023;16:00:00;37,78;37,79;37,74;37,74;49.108,00;1.300
ORVR3;15/06/2023;15:55:00;37,63;37,77;37,58;37,77;380.014,00;10.100
ORVR3;15/06/2023;15:50:00;37,52;37,63;37,48;37,62;383.030,00;10.200
ORVR3;15/06/2023;15:45:00;37,54;37,56;37,48;37,51;123.768,00;3.300
ORVR3;15/06/2023;15:40:00;37,51;37,53;37,48;37,49;131.256,00;3.500
ORVR3;15/06/2023;15:35:00;37,45;37,56;37,45;37,51;71.242,00;1.900
ORVR3;15/06/2023;15:30:00;37,45;37,46;37,45;37,46;37.452,00;1.000
ORVR3;15/06/2023;15:25:00;37,17;37,43;37,17;37,43;1.302.692,00;34.900
ORVR3;15/06/2023;15:20:00;37,22;37,27;37,14;37,14;55.830,00;1.500
ORVR3;15/06/2023;15:15:00;37,30;37,30;37,21;37,21;22.360,00;600
ORVR3;15/06/2023;15:10:00;37,25;37,32;37,25;37,30;85.724,00;2.300
ORVR3;15/06/2023;15:05:00;37,30;37,30;37,26;37,26;37.290,00;1.000
ORVR3;15/06/2023;15:00:00;37,30;37,31;37,30;37,31;7.461,00;200
ORVR3;15/06/2023;14:55:00;37,32;37,34;37,32;37,32;55.991,00;1.500
ORVR3;15/06/2023;14:50:00;37,31;37,36;37,31;37,34;26.133,00;700
ORVR3;15/06/2023;14:45:00;37,40;37,40;37,35;37,38;37.383,00;1.000
ORVR3;15/06/2023;14:40:00;37,47;37,49;37,42;37,42;41.194,00;1.100
ORVR3;15/06/2023;14:35:00;37,47;37,48;37,41;37,47;44.958,00;1.200
ORVR3;15/06/2023;14:30:00;37,52;37,52;37,45;37,45;26.230,00;700
ORVR3;15/06/2023;14:25:00;37,52;37,53;37,42;37,49;48.721,00;1.300
ORVR3;15/06/2023;14:20:00;37,50;37,52;37,50;37,52;7.502,00;200
ORVR3;15/06/2023;14:15:00;37,56;37,60;37,51;37,51;251.534,00;6.700
