Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PCAR3;16/06/2023;17:30:00;17,45;17,45;17,40;17,40;57.428,00;3.300
PCAR3;16/06/2023;16:45:00;17,43;17,47;17,42;17,43;9.523.186,00;546.300
PCAR3;16/06/2023;16:40:00;17,46;17,47;17,43;17,43;607.050,00;34.800
PCAR3;16/06/2023;16:35:00;17,46;17,48;17,45;17,46;314.310,00;18.000
PCAR3;16/06/2023;16:30:00;17,44;17,49;17,43;17,46;398.090,00;22.800
PCAR3;16/06/2023;16:25:00;17,41;17,44;17,40;17,44;416.440,00;23.900
PCAR3;16/06/2023;16:20:00;17,43;17,44;17,40;17,41;235.202,00;13.500
PCAR3;16/06/2023;16:15:00;17,43;17,46;17,43;17,44;350.681,00;20.100
PCAR3;16/06/2023;16:10:00;17,45;17,45;17,42;17,44;149.947,00;8.600
PCAR3;16/06/2023;16:05:00;17,45;17,45;17,43;17,44;172.652,00;9.900
PCAR3;16/06/2023;16:00:00;17,48;17,48;17,42;17,46;910.974,00;52.200
PCAR3;16/06/2023;15:55:00;17,49;17,51;17,47;17,47;223.770,00;12.800
PCAR3;16/06/2023;15:50:00;17,49;17,51;17,49;17,51;124.216,00;7.100
PCAR3;16/06/2023;15:45:00;17,52;17,52;17,47;17,49;390.144,00;22.300
PCAR3;16/06/2023;15:40:00;17,49;17,54;17,49;17,53;138.359,00;7.900
PCAR3;16/06/2023;15:35:00;17,51;17,52;17,49;17,50;143.566,00;8.200
PCAR3;16/06/2023;15:30:00;17,53;17,53;17,48;17,52;152.322,00;8.700
PCAR3;16/06/2023;15:25:00;17,46;17,53;17,46;17,53;262.499,00;15.000
PCAR3;16/06/2023;15:20:00;17,47;17,48;17,45;17,47;218.303,00;12.500
PCAR3;16/06/2023;15:15:00;17,47;17,48;17,46;17,47;104.812,00;6.000
PCAR3;16/06/2023;15:10:00;17,47;17,48;17,46;17,47;157.219,00;9.000
PCAR3;16/06/2023;15:05:00;17,46;17,48;17,46;17,48;188.631,00;10.800
PCAR3;16/06/2023;15:00:00;17,47;17,49;17,47;17,47;248.144,00;14.200
PCAR3;16/06/2023;14:55:00;17,50;17,50;17,47;17,48;257.049,00;14.700
PCAR3;16/06/2023;14:50:00;17,52;17,53;17,49;17,49;302.920,00;17.300
PCAR3;16/06/2023;14:45:00;17,54;17,55;17,52;17,53;227.995,00;13.000
PCAR3;16/06/2023;14:40:00;17,55;17,55;17,54;17,54;131.596,00;7.500
PCAR3;16/06/2023;14:35:00;17,54;17,56;17,53;17,55;101.765,00;5.800
PCAR3;16/06/2023;14:30:00;17,60;17,60;17,54;17,55;300.274,00;17.100
PCAR3;16/06/2023;14:25:00;17,60;17,61;17,57;17,59;142.484,00;8.100
PCAR3;16/06/2023;14:20:00;17,59;17,59;17,58;17,59;61.550,00;3.500
PCAR3;16/06/2023;14:15:00;17,60;17,60;17,57;17,58;128.350,00;7.300
PCAR3;16/06/2023;14:10:00;17,60;17,60;17,59;17,60;100.270,00;5.700
PCAR3;16/06/2023;14:05:00;17,61;17,61;17,59;17,60;93.280,00;5.300
PCAR3;16/06/2023;14:00:00;17,64;17,65;17,61;17,62;252.077,00;14.300
PCAR3;16/06/2023;13:55:00;17,60;17,66;17,59;17,64;287.397,00;16.300
PCAR3;16/06/2023;13:50:00;17,62;17,63;17,60;17,60;234.253,00;13.300
PCAR3;16/06/2023;13:45:00;17,62;17,63;17,61;17,63;74.016,00;4.200
PCAR3;16/06/2023;13:40:00;17,62;17,62;17,59;17,62;91.561,00;5.200
PCAR3;16/06/2023;13:35:00;17,59;17,61;17,58;17,61;112.646,00;6.400
PCAR3;16/06/2023;13:30:00;17,60;17,60;17,57;17,59;925.634,00;52.600
PCAR3;16/06/2023;13:25:00;17,61;17,62;17,59;17,61;70.409,00;4.000
PCAR3;16/06/2023;13:20:00;17,64;17,65;17,60;17,60;174.511,00;9.900
PCAR3;16/06/2023;13:15:00;17,63;17,64;17,62;17,63;95.188,00;5.400
PCAR3;16/06/2023;13:10:00;17,65;17,65;17,60;17,63;378.718,00;21.500
PCAR3;16/06/2023;13:05:00;17,64;17,67;17,64;17,65;93.568,00;5.300
PCAR3;16/06/2023;13:00:00;17,63;17,66;17,63;17,65;91.747,00;5.200
PCAR3;16/06/2023;12:55:00;17,64;17,65;17,63;17,64;77.617,00;4.400
PCAR3;16/06/2023;12:50:00;17,63;17,65;17,62;17,64;116.371,00;6.600
PCAR3;16/06/2023;12:45:00;17,64;17,65;17,63;17,63;93.471,00;5.300
PCAR3;16/06/2023;12:40:00;17,63;17,65;17,62;17,63;208.023,00;11.800
PCAR3;16/06/2023;12:35:00;17,64;17,65;17,60;17,63;585.324,00;33.200
PCAR3;16/06/2023;12:30:00;17,64;17,66;17,64;17,65;2.345.685,00;132.900
PCAR3;16/06/2023;12:25:00;17,64;17,65;17,63;17,64;111.134,00;6.300
PCAR3;16/06/2023;12:20:00;17,67;17,68;17,64;17,64;148.340,00;8.400
PCAR3;16/06/2023;12:15:00;17,68;17,68;17,65;17,66;91.885,00;5.200
PCAR3;16/06/2023;12:10:00;17,66;17,69;17,66;17,69;95.427,00;5.400
PCAR3;16/06/2023;12:05:00;17,67;17,69;17,66;17,66;65.397,00;3.700
PCAR3;16/06/2023;12:00:00;17,67;17,67;17,63;17,67;150.054,00;8.500
PCAR3;16/06/2023;11:55:00;17,65;17,67;17,63;17,67;67.071,00;3.800
PCAR3;16/06/2023;11:50:00;17,60;17,65;17,60;17,64;371.900,00;21.100
PCAR3;16/06/2023;11:45:00;17,62;17,63;17,55;17,62;814.729,00;46.300
PCAR3;16/06/2023;11:40:00;17,60;17,63;17,59;17,61;223.663,00;12.700
PCAR3;16/06/2023;11:35:00;17,48;17,60;17,47;17,59;2.231.514,00;127.400
PCAR3;16/06/2023;11:30:00;17,54;17,54;17,49;17,50;213.599,00;12.200
PCAR3;16/06/2023;11:25:00;17,56;17,57;17,51;17,53;303.287,00;17.300
PCAR3;16/06/2023;11:20:00;17,59;17,61;17,52;17,55;335.289,00;19.100
PCAR3;16/06/2023;11:15:00;17,67;17,67;17,61;17,61;218.583,00;12.400
PCAR3;16/06/2023;11:10:00;17,68;17,69;17,63;17,66;261.354,00;14.800
PCAR3;16/06/2023;11:05:00;17,74;17,76;17,66;17,67;320.452,00;18.100
PCAR3;16/06/2023;11:00:00;17,73;17,80;17,72;17,75;525.685,00;29.600
PCAR3;16/06/2023;10:55:00;17,71;17,74;17,70;17,74;77.954,00;4.400
PCAR3;16/06/2023;10:50:00;17,69;17,75;17,68;17,72;145.183,00;8.200
PCAR3;16/06/2023;10:45:00;17,74;17,74;17,70;17,71;118.705,00;6.700
PCAR3;16/06/2023;10:40:00;17,73;17,75;17,72;17,75;150.667,00;8.500
PCAR3;16/06/2023;10:35:00;17,69;17,75;17,69;17,74;209.061,00;11.800
PCAR3;16/06/2023;10:30:00;17,65;17,69;17,63;17,69;430.773,00;24.400
PCAR3;16/06/2023;10:25:00;17,72;17,73;17,65;17,66;137.972,00;7.800
PCAR3;16/06/2023;10:20:00;17,71;17,73;17,68;17,71;108.067,00;6.100
PCAR3;16/06/2023;10:15:00;17,70;17,72;17,67;17,70;65.464,00;3.700
PCAR3;16/06/2023;10:10:00;17,64;17,74;17,62;17,72;321.688,00;18.200
PCAR3;16/06/2023;10:05:00;17,70;17,74;17,68;17,68;88.518,00;5.000
PCAR3;16/06/2023;10:00:00;17,64;17,70;17,64;17,70;153.585,00;8.700
PCAR3;15/06/2023;17:30:00;17,86;17,86;17,79;17,79;21.369,00;1.200
PCAR3;15/06/2023;16:50:00;17,85;17,87;17,79;17,79;3.176.017,00;178.400
PCAR3;15/06/2023;16:45:00;17,86;17,88;17,85;17,85;625.118,00;35.000
PCAR3;15/06/2023;16:40:00;17,84;17,86;17,84;17,86;485.475,00;27.200
PCAR3;15/06/2023;16:35:00;17,80;17,86;17,79;17,83;381.567,00;21.400
PCAR3;15/06/2023;16:30:00;17,79;17,81;17,77;17,80;2.117.975,00;119.100
PCAR3;15/06/2023;16:25:00;17,82;17,82;17,79;17,79;334.917,00;18.800
PCAR3;15/06/2023;16:20:00;17,87;17,87;17,81;17,82;449.572,00;25.200
PCAR3;15/06/2023;16:15:00;17,88;17,94;17,86;17,87;2.136.280,00;119.400
PCAR3;15/06/2023;16:10:00;17,86;17,88;17,86;17,88;128.701,00;7.200
PCAR3;15/06/2023;16:05:00;17,87;17,88;17,85;17,86;137.564,00;7.700
PCAR3;15/06/2023;16:00:00;17,87;17,88;17,85;17,87;112.561,00;6.300
PCAR3;15/06/2023;15:55:00;17,87;17,87;17,85;17,86;180.329,00;10.100
PCAR3;15/06/2023;15:50:00;17,86;17,88;17,86;17,87;280.523,00;15.700
