Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PDGR3;16/06/2023;17:30:00;6,39;6,39;6,39;6,39;1.917,00;300
PDGR3;16/06/2023;16:45:00;6,36;6,36;6,34;6,34;33.614,00;5.300
PDGR3;16/06/2023;16:40:00;6,33;6,36;6,32;6,34;15.195,00;2.400
PDGR3;16/06/2023;16:35:00;6,36;6,36;6,33;6,34;3.172,00;500
PDGR3;16/06/2023;16:30:00;6,39;6,40;6,37;6,37;62.563,00;9.800
PDGR3;16/06/2023;16:25:00;6,39;6,39;6,39;6,39;7.029,00;1.100
PDGR3;16/06/2023;16:20:00;6,39;6,39;6,39;6,39;2.556,00;400
PDGR3;16/06/2023;16:15:00;6,36;6,40;6,35;6,39;98.723,00;15.500
PDGR3;16/06/2023;16:10:00;6,36;6,38;6,35;6,35;24.154,00;3.800
PDGR3;16/06/2023;16:05:00;6,35;6,36;6,35;6,36;13.974,00;2.200
PDGR3;16/06/2023;16:00:00;6,33;6,36;6,32;6,35;43.087,00;6.800
PDGR3;16/06/2023;15:55:00;6,36;6,36;6,34;6,34;8.261,00;1.300
PDGR3;16/06/2023;15:50:00;6,38;6,38;6,38;6,38;2.552,00;400
PDGR3;16/06/2023;15:40:00;6,40;6,40;6,40;6,40;1.920,00;300
PDGR3;16/06/2023;15:30:00;6,40;6,40;6,40;6,40;640,00;100
PDGR3;16/06/2023;15:20:00;6,40;6,40;6,40;6,40;640,00;100
PDGR3;16/06/2023;15:15:00;6,38;6,40;6,38;6,40;7.678,00;1.200
PDGR3;16/06/2023;15:10:00;6,40;6,40;6,40;6,40;1.280,00;200
PDGR3;16/06/2023;15:05:00;6,40;6,41;6,40;6,41;2.563,00;400
PDGR3;16/06/2023;15:00:00;6,40;6,40;6,40;6,40;640,00;100
PDGR3;16/06/2023;14:55:00;6,41;6,41;6,40;6,40;1.281,00;200
PDGR3;16/06/2023;14:45:00;6,40;6,41;6,40;6,41;4.481,00;700
PDGR3;16/06/2023;14:40:00;6,39;6,39;6,39;6,39;639,00;100
PDGR3;16/06/2023;14:30:00;6,39;6,40;6,38;6,40;7.033,00;1.100
PDGR3;16/06/2023;14:25:00;6,39;6,39;6,34;6,34;7.635,00;1.200
PDGR3;16/06/2023;14:15:00;6,39;6,39;6,39;6,39;2.556,00;400
PDGR3;16/06/2023;14:10:00;6,39;6,39;6,39;6,39;639,00;100
PDGR3;16/06/2023;14:05:00;6,42;6,42;6,42;6,42;8.346,00;1.300
PDGR3;16/06/2023;14:00:00;6,44;6,44;6,44;6,44;9.016,00;1.400
PDGR3;16/06/2023;13:50:00;6,44;6,44;6,43;6,44;14.167,00;2.200
PDGR3;16/06/2023;13:45:00;6,40;6,45;6,40;6,45;23.146,00;3.600
PDGR3;16/06/2023;13:40:00;6,38;6,38;6,38;6,38;1.914,00;300
PDGR3;16/06/2023;13:35:00;6,39;6,39;6,38;6,38;12.129,00;1.900
PDGR3;16/06/2023;13:30:00;6,36;6,39;6,36;6,39;34.429,00;5.400
PDGR3;16/06/2023;13:25:00;6,35;6,37;6,35;6,37;11.433,00;1.800
PDGR3;16/06/2023;13:20:00;6,37;6,37;6,34;6,34;16.510,00;2.600
PDGR3;16/06/2023;13:15:00;6,38;6,38;6,38;6,38;1.914,00;300
PDGR3;16/06/2023;13:10:00;6,39;6,39;6,38;6,38;7.658,00;1.200
PDGR3;16/06/2023;12:55:00;6,42;6,42;6,39;6,39;53.114,00;8.300
PDGR3;16/06/2023;12:50:00;6,48;6,50;6,42;6,42;132.881,00;20.600
PDGR3;16/06/2023;12:45:00;6,44;6,54;6,44;6,48;87.490,00;13.500
PDGR3;16/06/2023;12:40:00;6,47;6,52;6,44;6,45;71.238,00;11.000
PDGR3;16/06/2023;12:35:00;6,38;6,49;6,37;6,49;228.394,00;35.600
PDGR3;16/06/2023;12:30:00;6,38;6,38;6,37;6,38;17.863,00;2.800
PDGR3;16/06/2023;12:25:00;6,33;6,38;6,33;6,38;108.145,00;17.000
PDGR3;16/06/2023;12:20:00;6,31;6,32;6,31;6,32;27.159,00;4.300
PDGR3;16/06/2023;12:10:00;6,34;6,34;6,32;6,32;12.010,00;1.900
PDGR3;16/06/2023;12:05:00;6,34;6,34;6,34;6,34;10.778,00;1.700
PDGR3;16/06/2023;12:00:00;6,32;6,32;6,32;6,32;3.160,00;500
PDGR3;16/06/2023;11:55:00;6,27;6,32;6,27;6,30;10.052,00;1.600
PDGR3;16/06/2023;11:50:00;6,31;6,31;6,29;6,29;30.854,00;4.900
PDGR3;16/06/2023;11:45:00;6,32;6,32;6,32;6,32;3.160,00;500
PDGR3;16/06/2023;11:25:00;6,36;6,36;6,36;6,36;636,00;100
PDGR3;16/06/2023;11:15:00;6,36;6,36;6,36;6,36;636,00;100
PDGR3;16/06/2023;11:05:00;6,34;6,34;6,34;6,34;634,00;100
PDGR3;16/06/2023;11:00:00;6,35;6,36;6,33;6,33;19.679,00;3.100
PDGR3;16/06/2023;10:45:00;6,34;6,34;6,31;6,32;36.051,00;5.700
PDGR3;16/06/2023;10:40:00;6,30;6,38;6,29;6,36;100.899,00;15.900
PDGR3;16/06/2023;10:35:00;6,33;6,33;6,30;6,30;15.782,00;2.500
PDGR3;16/06/2023;10:20:00;6,37;6,37;6,37;6,37;1.274,00;200
PDGR3;16/06/2023;10:15:00;6,35;6,38;6,35;6,38;8.269,00;1.300
PDGR3;16/06/2023;10:10:00;6,38;6,39;6,35;6,36;13.384,00;2.100
PDGR3;16/06/2023;10:05:00;6,28;6,40;6,28;6,38;29.882,00;4.700
PDGR3;16/06/2023;10:00:00;6,24;6,25;6,24;6,25;2.498,00;400
PDGR3;15/06/2023;17:30:00;6,22;6,27;6,21;6,21;9.956,00;1.600
PDGR3;15/06/2023;16:45:00;6,34;6,34;6,22;6,22;82.750,00;13.300
PDGR3;15/06/2023;16:40:00;6,34;6,34;6,33;6,33;8.241,00;1.300
PDGR3;15/06/2023;16:30:00;6,30;6,33;6,30;6,33;17.042,00;2.700
PDGR3;15/06/2023;16:20:00;6,32;6,34;6,32;6,32;14.538,00;2.300
PDGR3;15/06/2023;16:15:00;6,32;6,32;6,31;6,31;23.367,00;3.700
PDGR3;15/06/2023;16:10:00;6,33;6,33;6,33;6,33;633,00;100
PDGR3;15/06/2023;16:05:00;6,31;6,32;6,31;6,32;6.951,00;1.100
PDGR3;15/06/2023;16:00:00;6,30;6,31;6,30;6,31;12.612,00;2.000
PDGR3;15/06/2023;15:55:00;6,30;6,30;6,29;6,29;7.558,00;1.200
