Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PDTC3;06/06/2023;10:55:00;2,55;2,55;2,55;2,55;765,00;300
PDTC3;06/06/2023;10:45:00;2,52;2,52;2,52;2,52;756,00;300
PDTC3;06/06/2023;10:40:00;2,55;2,55;2,55;2,55;2.040,00;800
PDTC3;06/06/2023;10:25:00;2,52;2,52;2,52;2,52;2.268,00;900
PDTC3;06/06/2023;10:20:00;2,53;2,53;2,52;2,52;1.514,00;600
PDTC3;06/06/2023;10:15:00;2,57;2,57;2,52;2,52;509,00;200
PDTC3;06/06/2023;10:10:00;2,52;2,52;2,52;2,52;252,00;100
PDTC3;06/06/2023;10:05:00;2,55;2,59;2,55;2,59;773,00;300
PDTC3;06/06/2023;10:00:00;2,55;2,59;2,55;2,59;6.634,00;2.600
PDTC3;05/06/2023;13:55:00;2,59;2,60;2,59;2,59;8.034,00;3.100
PDTC3;05/06/2023;13:50:00;2,59;2,59;2,59;2,59;259,00;100
PDTC3;05/06/2023;13:45:00;2,55;2,55;2,53;2,53;1.783,00;700
PDTC3;05/06/2023;13:40:00;2,60;2,60;2,60;2,60;1.300,00;500
PDTC3;05/06/2023;13:35:00;2,60;2,60;2,60;2,60;2.340,00;900
PDTC3;05/06/2023;13:10:00;2,60;2,60;2,60;2,60;5.200,00;2.000
PDTC3;05/06/2023;13:05:00;2,58;2,65;2,58;2,65;3.887,00;1.500
PDTC3;05/06/2023;13:00:00;2,58;2,60;2,58;2,60;5.969,00;2.300
PDTC3;05/06/2023;12:55:00;2,51;2,58;2,51;2,58;3.043,00;1.200
PDTC3;05/06/2023;12:50:00;2,54;2,55;2,54;2,55;1.017,00;400
PDTC3;05/06/2023;12:45:00;2,54;2,54;2,54;2,54;5.334,00;2.100
PDTC3;05/06/2023;12:40:00;2,54;2,54;2,54;2,54;2.032,00;800
PDTC3;05/06/2023;12:30:00;2,53;2,54;2,53;2,54;5.073,00;2.000
PDTC3;05/06/2023;12:10:00;2,51;2,51;2,51;2,51;3.765,00;1.500
PDTC3;05/06/2023;12:05:00;2,53;2,53;2,53;2,53;253,00;100
PDTC3;05/06/2023;12:00:00;2,44;2,50;2,44;2,50;18.417,00;7.400
PDTC3;05/06/2023;11:55:00;2,46;2,46;2,46;2,46;492,00;200
PDTC3;05/06/2023;11:50:00;2,44;2,46;2,44;2,46;1.957,00;800
PDTC3;05/06/2023;11:35:00;2,42;2,42;2,42;2,42;2.420,00;1.000
PDTC3;05/06/2023;11:30:00;2,42;2,42;2,42;2,42;726,00;300
PDTC3;05/06/2023;11:10:00;2,42;2,42;2,42;2,42;5.082,00;2.100
PDTC3;05/06/2023;11:05:00;2,43;2,43;2,41;2,42;21.288,00;8.800
PDTC3;05/06/2023;11:00:00;2,45;2,45;2,45;2,45;245,00;100
PDTC3;05/06/2023;10:55:00;2,43;2,43;2,43;2,43;729,00;300
PDTC3;05/06/2023;10:50:00;2,45;2,45;2,45;2,45;245,00;100
PDTC3;05/06/2023;10:45:00;2,42;2,42;2,41;2,41;24.105,00;10.000
PDTC3;05/06/2023;10:40:00;2,40;2,45;2,40;2,45;15.365,00;6.400
PDTC3;05/06/2023;10:35:00;2,41;2,41;2,40;2,40;5.533,00;2.300
PDTC3;05/06/2023;10:30:00;2,46;2,46;2,46;2,46;246,00;100
PDTC3;05/06/2023;10:10:00;2,49;2,50;2,49;2,50;8.745,00;3.500
PDTC3;05/06/2023;10:00:00;2,50;2,50;2,50;2,50;1.000,00;400
PDTC3;02/06/2023;17:30:00;2,50;2,50;2,50;2,50;1.000,00;400
PDTC3;02/06/2023;16:50:00;2,46;2,50;2,46;2,50;6.976,00;2.800
PDTC3;02/06/2023;16:45:00;2,46;2,46;2,46;2,46;1.476,00;600
PDTC3;02/06/2023;16:30:00;2,46;2,46;2,46;2,46;4.182,00;1.700
PDTC3;02/06/2023;16:25:00;2,46;2,46;2,46;2,46;246,00;100
PDTC3;02/06/2023;16:20:00;2,46;2,46;2,46;2,46;1.230,00;500
PDTC3;02/06/2023;15:55:00;2,43;2,49;2,43;2,49;15.475,00;6.300
PDTC3;02/06/2023;15:45:00;2,42;2,42;2,42;2,42;2.420,00;1.000
PDTC3;02/06/2023;15:30:00;2,42;2,42;2,42;2,42;5.566,00;2.300
PDTC3;02/06/2023;15:25:00;2,39;2,42;2,39;2,42;8.411,00;3.500
PDTC3;02/06/2023;15:20:00;2,37;2,38;2,37;2,38;3.560,00;1.500
PDTC3;02/06/2023;15:15:00;2,35;2,35;2,35;2,35;1.175,00;500
PDTC3;02/06/2023;15:10:00;2,36;2,36;2,35;2,35;9.405,00;4.000
PDTC3;02/06/2023;15:05:00;2,36;2,36;2,35;2,35;4.705,00;2.000
PDTC3;02/06/2023;15:00:00;2,37;2,37;2,35;2,35;5.189,00;2.200
