Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETR4;16/06/2023;17:30:00;29,65;29,65;29,61;29,63;6.945.752,00;234.300
PETR4;16/06/2023;16:45:00;29,59;29,64;29,56;29,64;1.210.192.972,00;40.831.500
PETR4;16/06/2023;16:40:00;29,56;29,61;29,52;29,59;33.362.435,00;1.128.200
PETR4;16/06/2023;16:35:00;29,63;29,64;29,56;29,57;26.718.345,00;902.800
PETR4;16/06/2023;16:30:00;29,56;29,64;29,54;29,64;22.542.065,00;761.400
PETR4;16/06/2023;16:25:00;29,53;29,57;29,53;29,55;10.375.995,00;351.100
PETR4;16/06/2023;16:20:00;29,56;29,58;29,53;29,53;13.303.337,00;450.200
PETR4;16/06/2023;16:15:00;29,59;29,61;29,55;29,56;15.422.790,00;521.500
PETR4;16/06/2023;16:10:00;29,58;29,62;29,58;29,59;13.785.657,00;465.700
PETR4;16/06/2023;16:05:00;29,53;29,59;29,52;29,59;18.513.530,00;626.500
PETR4;16/06/2023;16:00:00;29,58;29,60;29,53;29,53;18.579.272,00;628.700
PETR4;16/06/2023;15:55:00;29,61;29,61;29,55;29,58;16.195.855,00;547.600
PETR4;16/06/2023;15:50:00;29,60;29,61;29,57;29,60;9.865.472,00;333.400
PETR4;16/06/2023;15:45:00;29,61;29,62;29,58;29,60;11.314.748,00;382.300
PETR4;16/06/2023;15:40:00;29,62;29,63;29,58;29,61;8.756.630,00;295.800
PETR4;16/06/2023;15:35:00;29,60;29,63;29,58;29,62;14.424.218,00;487.100
PETR4;16/06/2023;15:30:00;29,58;29,62;29,57;29,59;14.188.873,00;479.400
PETR4;16/06/2023;15:25:00;29,56;29,58;29,54;29,57;42.258.227,00;1.429.800
PETR4;16/06/2023;15:20:00;29,54;29,56;29,53;29,55;14.053.038,00;475.600
PETR4;16/06/2023;15:15:00;29,51;29,55;29,50;29,55;7.728.556,00;261.800
PETR4;16/06/2023;15:10:00;29,53;29,56;29,50;29,51;26.992.185,00;913.700
PETR4;16/06/2023;15:05:00;29,58;29,59;29,49;29,51;22.020.014,00;745.600
PETR4;16/06/2023;15:00:00;29,60;29,61;29,58;29,58;5.140.594,00;173.700
PETR4;16/06/2023;14:55:00;29,61;29,63;29,60;29,60;11.340.943,00;382.900
PETR4;16/06/2023;14:50:00;29,61;29,63;29,59;29,61;9.913.345,00;334.700
PETR4;16/06/2023;14:45:00;29,59;29,63;29,59;29,61;15.723.247,00;531.000
PETR4;16/06/2023;14:40:00;29,58;29,61;29,56;29,59;9.830.811,00;332.200
PETR4;16/06/2023;14:35:00;29,57;29,59;29,54;29,58;21.022.779,00;711.100
PETR4;16/06/2023;14:30:00;29,60;29,62;29,57;29,57;6.474.067,00;218.800
PETR4;16/06/2023;14:25:00;29,62;29,65;29,59;29,60;14.416.373,00;486.700
PETR4;16/06/2023;14:20:00;29,61;29,64;29,60;29,63;7.090.832,00;239.400
PETR4;16/06/2023;14:15:00;29,58;29,64;29,57;29,61;10.263.621,00;346.800
PETR4;16/06/2023;14:10:00;29,59;29,62;29,58;29,58;5.184.669,00;175.200
PETR4;16/06/2023;14:05:00;29,61;29,62;29,58;29,59;9.781.193,00;330.500
PETR4;16/06/2023;14:00:00;29,66;29,66;29,61;29,62;11.324.190,00;382.200
PETR4;16/06/2023;13:55:00;29,65;29,68;29,64;29,65;10.231.636,00;345.000
PETR4;16/06/2023;13:50:00;29,63;29,67;29,62;29,65;8.833.267,00;298.000
PETR4;16/06/2023;13:45:00;29,63;29,67;29,62;29,64;16.917.234,00;570.700
PETR4;16/06/2023;13:40:00;29,62;29,65;29,60;29,63;14.362.867,00;484.800
PETR4;16/06/2023;13:35:00;29,59;29,63;29,59;29,63;7.752.572,00;261.800
PETR4;16/06/2023;13:30:00;29,57;29,62;29,57;29,60;9.466.901,00;319.900
PETR4;16/06/2023;13:25:00;29,59;29,61;29,56;29,57;18.678.788,00;631.500
PETR4;16/06/2023;13:20:00;29,59;29,63;29,58;29,59;11.823.065,00;399.300
PETR4;16/06/2023;13:15:00;29,59;29,61;29,58;29,59;8.062.142,00;272.400
PETR4;16/06/2023;13:10:00;29,56;29,61;29,56;29,59;10.289.708,00;347.800
PETR4;16/06/2023;13:05:00;29,54;29,57;29,52;29,56;7.007.667,00;237.200
PETR4;16/06/2023;13:00:00;29,56;29,58;29,53;29,54;14.439.004,00;488.500
PETR4;16/06/2023;12:55:00;29,56;29,59;29,56;29,56;10.290.355,00;348.000
PETR4;16/06/2023;12:50:00;29,48;29,57;29,48;29,57;7.727.997,00;261.800
PETR4;16/06/2023;12:45:00;29,56;29,57;29,46;29,48;18.624.890,00;631.100
PETR4;16/06/2023;12:40:00;29,56;29,60;29,49;29,56;38.119.625,00;1.290.800
PETR4;16/06/2023;12:35:00;29,65;29,65;29,52;29,57;19.444.406,00;657.500
PETR4;16/06/2023;12:30:00;29,64;29,70;29,64;29,66;10.506.231,00;354.100
PETR4;16/06/2023;12:25:00;29,57;29,66;29,57;29,64;13.828.679,00;466.800
PETR4;16/06/2023;12:20:00;29,55;29,60;29,55;29,56;17.042.944,00;576.200
PETR4;16/06/2023;12:15:00;29,58;29,60;29,55;29,55;13.150.888,00;444.500
PETR4;16/06/2023;12:10:00;29,62;29,63;29,53;29,58;54.619.212,00;1.846.000
PETR4;16/06/2023;12:05:00;29,66;29,70;29,62;29,62;27.532.397,00;927.600
PETR4;16/06/2023;12:00:00;29,66;29,69;29,62;29,66;10.306.454,00;347.500
PETR4;16/06/2023;11:55:00;29,61;29,70;29,57;29,67;23.513.148,00;793.500
PETR4;16/06/2023;11:50:00;29,59;29,66;29,59;29,61;14.317.080,00;483.200
PETR4;16/06/2023;11:45:00;29,56;29,63;29,56;29,59;20.520.989,00;693.700
PETR4;16/06/2023;11:40:00;29,58;29,62;29,52;29,56;25.294.970,00;855.600
PETR4;16/06/2023;11:35:00;29,68;29,68;29,52;29,59;22.583.155,00;763.600
PETR4;16/06/2023;11:30:00;29,59;29,70;29,58;29,68;20.591.891,00;694.100
PETR4;16/06/2023;11:25:00;29,53;29,61;29,53;29,59;10.249.241,00;346.500
PETR4;16/06/2023;11:20:00;29,51;29,60;29,45;29,53;30.349.020,00;1.028.100
PETR4;16/06/2023;11:15:00;29,62;29,66;29,51;29,52;36.063.662,00;1.218.900
PETR4;16/06/2023;11:10:00;29,73;29,75;29,62;29,62;58.964.831,00;1.984.200
PETR4;16/06/2023;11:05:00;29,81;29,87;29,70;29,73;25.496.946,00;856.100
PETR4;16/06/2023;11:00:00;29,61;29,92;29,61;29,81;108.780.872,00;3.651.800
PETR4;16/06/2023;10:55:00;29,54;29,64;29,53;29,61;33.319.821,00;1.125.600
PETR4;16/06/2023;10:50:00;29,50;29,60;29,48;29,55;22.105.099,00;748.100
PETR4;16/06/2023;10:45:00;29,53;29,53;29,43;29,50;18.662.489,00;633.200
PETR4;16/06/2023;10:40:00;29,52;29,54;29,46;29,51;17.744.550,00;601.400
PETR4;16/06/2023;10:35:00;29,47;29,54;29,42;29,52;21.569.284,00;731.600
PETR4;16/06/2023;10:30:00;29,41;29,47;29,30;29,45;21.517.255,00;732.500
PETR4;16/06/2023;10:25:00;29,52;29,53;29,36;29,41;20.849.128,00;708.200
PETR4;16/06/2023;10:20:00;29,33;29,60;29,32;29,50;45.189.940,00;1.532.500
PETR4;16/06/2023;10:15:00;29,26;29,35;29,25;29,33;17.008.879,00;580.600
PETR4;16/06/2023;10:10:00;29,22;29,28;29,13;29,25;30.140.919,00;1.032.200
PETR4;16/06/2023;10:05:00;29,29;29,32;29,04;29,21;41.824.494,00;1.433.400
PETR4;16/06/2023;10:00:00;29,23;29,39;29,23;29,28;18.605.549,00;635.400
PETR4;15/06/2023;17:30:00;29,40;29,44;29,37;29,40;8.101.758,00;275.500
PETR4;15/06/2023;16:50:00;29,35;29,41;29,32;29,39;209.452.208,00;7.129.800
PETR4;15/06/2023;16:45:00;29,44;29,44;29,32;29,34;37.938.888,00;1.291.700
PETR4;15/06/2023;16:40:00;29,44;29,49;29,41;29,44;30.319.928,00;1.030.000
PETR4;15/06/2023;16:35:00;29,46;29,47;29,39;29,43;37.104.643,00;1.260.800
PETR4;15/06/2023;16:30:00;29,56;29,56;29,43;29,46;90.856.319,00;3.080.500
PETR4;15/06/2023;16:25:00;29,60;29,61;29,53;29,56;26.318.326,00;890.100
PETR4;15/06/2023;16:20:00;29,63;29,65;29,59;29,61;33.057.601,00;1.116.400
PETR4;15/06/2023;16:15:00;29,62;29,63;29,59;29,62;8.162.751,00;275.700
PETR4;15/06/2023;16:10:00;29,62;29,64;29,57;29,63;13.399.957,00;452.600
PETR4;15/06/2023;16:05:00;29,59;29,63;29,55;29,63;12.556.226,00;424.400
PETR4;15/06/2023;16:00:00;29,59;29,61;29,56;29,60;105.107.486,00;3.552.200
