Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETZ3;16/06/2023;17:30:00;7,23;7,28;7,22;7,25;233.598,00;32.300
PETZ3;16/06/2023;16:45:00;7,27;7,28;7,23;7,23;9.450.556,00;1.306.600
PETZ3;16/06/2023;16:40:00;7,26;7,27;7,25;7,27;791.492,00;109.000
PETZ3;16/06/2023;16:35:00;7,26;7,28;7,26;7,27;429.661,00;59.100
PETZ3;16/06/2023;16:30:00;7,27;7,28;7,26;7,27;947.432,00;130.300
PETZ3;16/06/2023;16:25:00;7,30;7,30;7,27;7,27;900.576,00;123.600
PETZ3;16/06/2023;16:20:00;7,30;7,30;7,29;7,30;224.729,00;30.800
PETZ3;16/06/2023;16:15:00;7,30;7,31;7,29;7,29;284.775,00;39.000
PETZ3;16/06/2023;16:10:00;7,32;7,32;7,30;7,30;426.158,00;58.300
PETZ3;16/06/2023;16:05:00;7,31;7,32;7,31;7,31;204.847,00;28.000
PETZ3;16/06/2023;16:00:00;7,33;7,33;7,31;7,32;332.171,00;45.400
PETZ3;16/06/2023;15:55:00;7,33;7,33;7,31;7,33;364.625,00;49.800
PETZ3;16/06/2023;15:50:00;7,32;7,33;7,32;7,32;216.852,00;29.600
PETZ3;16/06/2023;15:45:00;7,34;7,34;7,32;7,32;216.975,00;29.600
PETZ3;16/06/2023;15:40:00;7,33;7,34;7,32;7,34;186.907,00;25.500
PETZ3;16/06/2023;15:35:00;7,34;7,34;7,32;7,32;233.246,00;31.800
PETZ3;16/06/2023;15:30:00;7,34;7,34;7,32;7,34;220.011,00;30.000
PETZ3;16/06/2023;15:25:00;7,33;7,34;7,32;7,34;287.347,00;39.200
PETZ3;16/06/2023;15:20:00;7,33;7,34;7,32;7,32;222.160,00;30.300
PETZ3;16/06/2023;15:15:00;7,32;7,33;7,31;7,32;224.126,00;30.600
PETZ3;16/06/2023;15:10:00;7,33;7,33;7,32;7,32;128.958,00;17.600
PETZ3;16/06/2023;15:05:00;7,32;7,33;7,31;7,33;344.052,00;47.000
PETZ3;16/06/2023;15:00:00;7,34;7,34;7,31;7,32;294.421,00;40.200
PETZ3;16/06/2023;14:55:00;7,34;7,34;7,32;7,33;387.943,00;52.900
PETZ3;16/06/2023;14:50:00;7,34;7,35;7,33;7,34;230.454,00;31.400
PETZ3;16/06/2023;14:45:00;7,34;7,35;7,33;7,34;207.833,00;28.300
PETZ3;16/06/2023;14:40:00;7,35;7,35;7,33;7,33;170.421,00;23.200
PETZ3;16/06/2023;14:35:00;7,35;7,35;7,33;7,35;218.839,00;29.800
