Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PFRM3;16/06/2023;17:30:00;3,91;3,91;3,91;3,91;782,00;200
PFRM3;16/06/2023;16:45:00;3,85;3,90;3,85;3,90;44.358,00;11.400
PFRM3;16/06/2023;16:40:00;3,84;3,85;3,83;3,85;1.537,00;400
PFRM3;16/06/2023;16:35:00;3,86;3,86;3,85;3,85;3.468,00;900
PFRM3;16/06/2023;16:30:00;3,84;3,86;3,83;3,84;8.069,00;2.100
PFRM3;16/06/2023;16:25:00;3,83;3,85;3,83;3,85;21.168,00;5.500
PFRM3;16/06/2023;16:20:00;3,83;3,84;3,83;3,83;2.299,00;600
PFRM3;16/06/2023;16:15:00;3,83;3,85;3,83;3,83;3.837,00;1.000
PFRM3;16/06/2023;16:10:00;3,84;3,84;3,83;3,83;3.067,00;800
PFRM3;16/06/2023;16:05:00;3,84;3,84;3,83;3,83;2.303,00;600
PFRM3;16/06/2023;16:00:00;3,84;3,84;3,84;3,84;2.304,00;600
PFRM3;16/06/2023;15:55:00;3,83;3,85;3,83;3,84;8.449,00;2.200
PFRM3;16/06/2023;15:50:00;3,83;3,84;3,83;3,84;7.667,00;2.000
PFRM3;16/06/2023;15:45:00;3,82;3,83;3,82;3,83;765,00;200
PFRM3;16/06/2023;15:40:00;3,82;3,83;3,82;3,82;1.529,00;400
PFRM3;16/06/2023;15:35:00;3,83;3,83;3,83;3,83;1.149,00;300
PFRM3;16/06/2023;15:30:00;3,82;3,83;3,82;3,83;1.147,00;300
PFRM3;16/06/2023;15:25:00;3,83;3,83;3,82;3,82;1.531,00;400
PFRM3;16/06/2023;15:20:00;3,83;3,83;3,82;3,83;1.530,00;400
PFRM3;16/06/2023;15:15:00;3,84;3,84;3,83;3,83;1.916,00;500
PFRM3;16/06/2023;15:10:00;3,83;3,84;3,83;3,83;1.533,00;400
PFRM3;16/06/2023;15:05:00;3,83;3,83;3,83;3,83;1.149,00;300
PFRM3;16/06/2023;15:00:00;3,83;3,83;3,83;3,83;1.532,00;400
PFRM3;16/06/2023;14:55:00;3,83;3,84;3,83;3,83;1.533,00;400
PFRM3;16/06/2023;14:50:00;3,83;3,84;3,83;3,83;5.756,00;1.500
PFRM3;16/06/2023;14:45:00;3,83;3,84;3,83;3,84;1.150,00;300
PFRM3;16/06/2023;14:40:00;3,83;3,83;3,83;3,83;1.149,00;300
PFRM3;16/06/2023;14:35:00;3,83;3,83;3,83;3,83;1.149,00;300
PFRM3;16/06/2023;14:30:00;3,83;3,84;3,83;3,84;2.300,00;600
PFRM3;16/06/2023;14:25:00;3,83;3,83;3,83;3,83;1.532,00;400
PFRM3;16/06/2023;14:20:00;3,83;3,85;3,83;3,84;3.070,00;800
PFRM3;16/06/2023;14:15:00;3,84;3,84;3,83;3,83;1.535,00;400
PFRM3;16/06/2023;14:10:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;16/06/2023;14:05:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;16/06/2023;14:00:00;3,83;3,85;3,83;3,85;768,00;200
PFRM3;16/06/2023;13:55:00;3,84;3,85;3,84;3,85;5.761,00;1.500
PFRM3;16/06/2023;13:50:00;3,85;3,85;3,85;3,85;5.005,00;1.300
PFRM3;16/06/2023;13:45:00;3,84;3,85;3,83;3,83;2.307,00;600
PFRM3;16/06/2023;13:40:00;3,83;3,83;3,83;3,83;383,00;100
PFRM3;16/06/2023;13:35:00;3,84;3,84;3,84;3,84;1.536,00;400
PFRM3;16/06/2023;13:30:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;16/06/2023;13:25:00;3,84;3,84;3,84;3,84;4.992,00;1.300
PFRM3;16/06/2023;13:10:00;3,84;3,85;3,84;3,85;2.690,00;700
PFRM3;16/06/2023;13:00:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;12:35:00;3,84;3,85;3,84;3,85;5.004,00;1.300
PFRM3;16/06/2023;12:30:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;12:25:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;12:05:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;12:00:00;3,85;3,85;3,85;3,85;7.700,00;2.000
PFRM3;16/06/2023;11:55:00;3,83;3,85;3,83;3,85;4.215,00;1.100
PFRM3;16/06/2023;11:50:00;3,84;3,85;3,84;3,85;3.079,00;800
PFRM3;16/06/2023;11:45:00;3,84;3,84;3,84;3,84;1.152,00;300
PFRM3;16/06/2023;11:35:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;11:25:00;3,85;3,85;3,85;3,85;1.925,00;500
PFRM3;16/06/2023;11:20:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;16/06/2023;11:15:00;3,85;3,85;3,85;3,85;3.850,00;1.000
PFRM3;16/06/2023;11:05:00;3,84;3,84;3,84;3,84;768,00;200
PFRM3;16/06/2023;11:00:00;3,83;3,85;3,83;3,85;8.428,00;2.200
PFRM3;16/06/2023;10:55:00;3,82;3,83;3,82;3,83;1.531,00;400
PFRM3;16/06/2023;10:50:00;3,83;3,83;3,83;3,83;383,00;100
PFRM3;16/06/2023;10:40:00;3,83;3,83;3,83;3,83;383,00;100
PFRM3;16/06/2023;10:30:00;3,83;3,83;3,83;3,83;383,00;100
PFRM3;16/06/2023;10:25:00;3,88;3,88;3,85;3,85;5.787,00;1.500
PFRM3;16/06/2023;10:15:00;3,85;3,88;3,85;3,86;3.477,00;900
PFRM3;16/06/2023;10:00:00;3,85;3,85;3,85;3,85;3.465,00;900
PFRM3;15/06/2023;17:30:00;3,83;3,85;3,83;3,85;1.919,00;500
PFRM3;15/06/2023;16:50:00;3,84;3,85;3,83;3,83;48.658,00;12.700
PFRM3;15/06/2023;16:45:00;3,85;3,86;3,85;3,86;3.082,00;800
PFRM3;15/06/2023;16:40:00;3,86;3,86;3,83;3,83;17.650,00;4.600
PFRM3;15/06/2023;16:35:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;15/06/2023;16:30:00;3,84;3,85;3,84;3,85;3.074,00;800
PFRM3;15/06/2023;16:25:00;3,86;3,86;3,86;3,86;386,00;100
PFRM3;15/06/2023;16:20:00;3,86;3,86;3,85;3,86;1.542,00;400
PFRM3;15/06/2023;16:15:00;3,85;3,86;3,85;3,86;771,00;200
PFRM3;15/06/2023;16:10:00;3,84;3,86;3,84;3,86;36.113,00;9.400
PFRM3;15/06/2023;16:05:00;3,83;3,84;3,83;3,84;1.150,00;300
PFRM3;15/06/2023;16:00:00;3,83;3,84;3,83;3,84;767,00;200
PFRM3;15/06/2023;15:55:00;3,83;3,84;3,83;3,84;1.534,00;400
PFRM3;15/06/2023;15:50:00;3,83;3,84;3,83;3,84;767,00;200
PFRM3;15/06/2023;15:45:00;3,84;3,84;3,83;3,84;9.589,00;2.500
PFRM3;15/06/2023;15:40:00;3,84;3,84;3,84;3,84;2.304,00;600
PFRM3;15/06/2023;15:35:00;3,84;3,84;3,84;3,84;1.152,00;300
PFRM3;15/06/2023;15:30:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;15/06/2023;15:25:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;15/06/2023;15:20:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;15/06/2023;15:15:00;3,84;3,84;3,84;3,84;384,00;100
PFRM3;15/06/2023;15:10:00;3,86;3,86;3,84;3,84;4.612,00;1.200
PFRM3;15/06/2023;15:05:00;3,85;3,86;3,85;3,85;4.621,00;1.200
PFRM3;15/06/2023;15:00:00;3,86;3,86;3,84;3,84;3.848,00;1.000
PFRM3;15/06/2023;14:55:00;3,86;3,86;3,86;3,86;386,00;100
PFRM3;15/06/2023;14:50:00;3,85;3,86;3,84;3,84;3.080,00;800
PFRM3;15/06/2023;14:45:00;3,85;3,85;3,85;3,85;385,00;100
PFRM3;15/06/2023;14:40:00;3,82;3,84;3,82;3,84;123.037,00;32.200
PFRM3;15/06/2023;14:35:00;3,82;3,82;3,82;3,82;39.346,00;10.300
PFRM3;15/06/2023;14:30:00;3,82;3,82;3,82;3,82;1.146,00;300
PFRM3;15/06/2023;14:25:00;3,82;3,82;3,82;3,82;1.146,00;300
PFRM3;15/06/2023;14:20:00;3,82;3,82;3,82;3,82;382,00;100
PFRM3;15/06/2023;14:15:00;3,81;3,82;3,81;3,82;3.055,00;800
PFRM3;15/06/2023;14:10:00;3,82;3,82;3,82;3,82;1.146,00;300
PFRM3;15/06/2023;14:05:00;3,82;3,82;3,82;3,82;382,00;100
PFRM3;15/06/2023;14:00:00;3,82;3,82;3,82;3,82;1.146,00;300
PFRM3;15/06/2023;13:50:00;3,82;3,82;3,82;3,82;1.146,00;300
PFRM3;15/06/2023;13:45:00;3,82;3,82;3,82;3,82;382,00;100
PFRM3;15/06/2023;13:35:00;3,82;3,82;3,82;3,82;2.674,00;700
