Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PGMN3;06/06/2023;11:20:00;3,59;3,60;3,58;3,58;171.665,00;47.700
PGMN3;06/06/2023;11:15:00;3,56;3,59;3,56;3,58;452.496,00;126.700
PGMN3;06/06/2023;11:10:00;3,55;3,56;3,55;3,56;30.591,00;8.600
PGMN3;06/06/2023;11:05:00;3,56;3,57;3,55;3,57;106.801,00;30.000
PGMN3;06/06/2023;11:00:00;3,55;3,57;3,55;3,55;106.252,00;29.900
PGMN3;06/06/2023;10:55:00;3,53;3,54;3,53;3,54;44.234,00;12.500
PGMN3;06/06/2023;10:50:00;3,53;3,53;3,52;3,53;148.592,00;42.200
PGMN3;06/06/2023;10:45:00;3,53;3,53;3,53;3,53;10.590,00;3.000
PGMN3;06/06/2023;10:40:00;3,53;3,54;3,53;3,54;23.672,00;6.700
PGMN3;06/06/2023;10:35:00;3,52;3,53;3,51;3,53;15.501,00;4.400
PGMN3;06/06/2023;10:30:00;3,53;3,55;3,52;3,52;57.905,00;16.400
PGMN3;06/06/2023;10:25:00;3,54;3,54;3,53;3,53;3.535,00;1.000
PGMN3;06/06/2023;10:20:00;3,52;3,53;3,52;3,52;10.561,00;3.000
PGMN3;06/06/2023;10:15:00;3,51;3,51;3,51;3,51;21.060,00;6.000
PGMN3;06/06/2023;10:10:00;3,52;3,55;3,52;3,52;22.970,00;6.500
PGMN3;06/06/2023;10:05:00;3,52;3,52;3,52;3,52;2.464,00;700
PGMN3;06/06/2023;10:00:00;3,51;3,54;3,49;3,54;40.588,00;11.500
PGMN3;05/06/2023;17:30:00;3,49;3,51;3,49;3,51;227.560,00;65.200
PGMN3;05/06/2023;16:50:00;3,50;3,52;3,49;3,51;217.430,00;62.000
PGMN3;05/06/2023;16:45:00;3,50;3,50;3,49;3,50;15.373,00;4.400
PGMN3;05/06/2023;16:40:00;3,50;3,50;3,49;3,50;16.405,00;4.700
PGMN3;05/06/2023;16:35:00;3,50;3,50;3,49;3,49;12.929,00;3.700
PGMN3;05/06/2023;16:30:00;3,51;3,52;3,50;3,50;75.330,00;21.500
PGMN3;05/06/2023;16:25:00;3,51;3,51;3,51;3,51;4.212,00;1.200
PGMN3;05/06/2023;16:20:00;3,49;3,51;3,49;3,51;30.106,00;8.600
PGMN3;05/06/2023;16:15:00;3,49;3,50;3,49;3,50;3.849,00;1.100
PGMN3;05/06/2023;16:10:00;3,49;3,49;3,49;3,49;349,00;100
PGMN3;05/06/2023;16:05:00;3,50;3,50;3,50;3,50;30.100,00;8.600
PGMN3;05/06/2023;16:00:00;3,51;3,51;3,50;3,51;10.162,00;2.900
PGMN3;05/06/2023;15:55:00;3,51;3,51;3,50;3,51;3.509,00;1.000
PGMN3;05/06/2023;15:50:00;3,50;3,50;3,50;3,50;2.100,00;600
PGMN3;05/06/2023;15:45:00;3,51;3,51;3,50;3,51;11.211,00;3.200
PGMN3;05/06/2023;15:40:00;3,50;3,51;3,50;3,51;11.578,00;3.300
PGMN3;05/06/2023;15:35:00;3,50;3,50;3,49;3,50;57.385,00;16.400
PGMN3;05/06/2023;15:30:00;3,50;3,50;3,50;3,50;1.750,00;500
PGMN3;05/06/2023;15:25:00;3,50;3,50;3,49;3,50;3.499,00;1.000
PGMN3;05/06/2023;15:20:00;3,49;3,49;3,49;3,49;12.215,00;3.500
PGMN3;05/06/2023;15:15:00;3,49;3,49;3,49;3,49;349,00;100
PGMN3;05/06/2023;15:10:00;3,48;3,48;3,48;3,48;10.788,00;3.100
PGMN3;05/06/2023;15:05:00;3,48;3,48;3,47;3,48;49.342,00;14.200
PGMN3;05/06/2023;15:00:00;3,48;3,49;3,47;3,48;27.154,00;7.800
PGMN3;05/06/2023;14:55:00;3,47;3,48;3,47;3,48;6.601,00;1.900
PGMN3;05/06/2023;14:50:00;3,47;3,47;3,46;3,46;19.074,00;5.500
