Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PINE4;16/06/2023;17:30:00;2,74;2,75;2,74;2,75;12.061,00;4.400
PINE4;16/06/2023;16:45:00;2,75;2,76;2,74;2,74;11.814,00;4.300
PINE4;16/06/2023;16:40:00;2,74;2,74;2,74;2,74;1.096,00;400
PINE4;16/06/2023;16:35:00;2,75;2,75;2,75;2,75;11.825,00;4.300
PINE4;16/06/2023;16:30:00;2,75;2,75;2,74;2,74;549,00;200
PINE4;16/06/2023;16:25:00;2,75;2,75;2,75;2,75;10.725,00;3.900
PINE4;16/06/2023;16:20:00;2,75;2,75;2,75;2,75;2.475,00;900
PINE4;16/06/2023;16:10:00;2,75;2,75;2,75;2,75;275,00;100
PINE4;16/06/2023;15:55:00;2,74;2,74;2,74;2,74;6.850,00;2.500
PINE4;16/06/2023;15:35:00;2,75;2,75;2,75;2,75;3.575,00;1.300
PINE4;16/06/2023;15:30:00;2,75;2,75;2,75;2,75;1.650,00;600
PINE4;16/06/2023;15:25:00;2,75;2,75;2,75;2,75;1.925,00;700
PINE4;16/06/2023;15:20:00;2,76;2,77;2,75;2,75;27.142,00;9.800
PINE4;16/06/2023;15:15:00;2,75;2,78;2,75;2,76;46.081,00;16.600
PINE4;16/06/2023;15:10:00;2,75;2,76;2,75;2,76;19.262,00;7.000
PINE4;16/06/2023;15:05:00;2,75;2,75;2,75;2,75;34.100,00;12.400
PINE4;16/06/2023;15:00:00;2,73;2,73;2,73;2,73;27.300,00;10.000
PINE4;16/06/2023;14:55:00;2,74;2,74;2,73;2,73;13.657,00;5.000
PINE4;16/06/2023;14:40:00;2,74;2,74;2,73;2,73;9.582,00;3.500
PINE4;16/06/2023;14:15:00;2,73;2,73;2,73;2,73;819,00;300
PINE4;16/06/2023;14:05:00;2,74;2,75;2,74;2,75;1.099,00;400
PINE4;16/06/2023;14:00:00;2,75;2,75;2,74;2,74;7.951,00;2.900
PINE4;16/06/2023;13:55:00;2,74;2,74;2,74;2,74;6.850,00;2.500
PINE4;16/06/2023;13:50:00;2,75;2,75;2,75;2,75;2.750,00;1.000
PINE4;16/06/2023;13:45:00;2,75;2,75;2,75;2,75;5.225,00;1.900
PINE4;16/06/2023;13:40:00;2,75;2,75;2,75;2,75;1.100,00;400
PINE4;16/06/2023;13:35:00;2,75;2,75;2,75;2,75;15.400,00;5.600
PINE4;16/06/2023;13:30:00;2,74;2,74;2,74;2,74;274,00;100
PINE4;16/06/2023;13:15:00;2,75;2,76;2,75;2,75;6.343,00;2.300
PINE4;16/06/2023;13:10:00;2,75;2,75;2,75;2,75;550,00;200
PINE4;16/06/2023;13:05:00;2,75;2,75;2,75;2,75;1.650,00;600
PINE4;16/06/2023;12:55:00;2,74;2,74;2,74;2,74;274,00;100
PINE4;16/06/2023;12:50:00;2,74;2,74;2,74;2,74;274,00;100
PINE4;16/06/2023;12:40:00;2,74;2,74;2,74;2,74;10.412,00;3.800
PINE4;16/06/2023;12:35:00;2,77;2,77;2,75;2,75;18.449,00;6.700
PINE4;16/06/2023;12:30:00;2,76;2,77;2,76;2,77;18.494,00;6.700
PINE4;16/06/2023;12:25:00;2,76;2,76;2,76;2,76;2.208,00;800
PINE4;16/06/2023;12:20:00;2,76;2,76;2,76;2,76;3.036,00;1.100
PINE4;16/06/2023;12:15:00;2,77;2,77;2,77;2,77;11.634,00;4.200
PINE4;16/06/2023;12:10:00;2,75;2,78;2,75;2,77;34.671,00;12.600
PINE4;16/06/2023;12:00:00;2,75;2,75;2,75;2,75;16.775,00;6.100
PINE4;16/06/2023;11:50:00;2,76;2,76;2,75;2,75;3.851,00;1.400
PINE4;16/06/2023;11:40:00;2,75;2,75;2,75;2,75;550,00;200
PINE4;16/06/2023;11:35:00;2,75;2,75;2,74;2,75;3.848,00;1.400
PINE4;16/06/2023;11:30:00;2,75;2,75;2,75;2,75;1.650,00;600
PINE4;16/06/2023;11:25:00;2,76;2,76;2,75;2,75;1.929,00;700
PINE4;16/06/2023;11:20:00;2,76;2,76;2,76;2,76;1.656,00;600
PINE4;16/06/2023;11:15:00;2,76;2,76;2,76;2,76;1.656,00;600
PINE4;16/06/2023;11:10:00;2,75;2,76;2,75;2,76;4.415,00;1.600
PINE4;16/06/2023;11:05:00;2,76;2,76;2,76;2,76;4.968,00;1.800
PINE4;16/06/2023;11:00:00;2,76;2,76;2,76;2,76;1.932,00;700
PINE4;16/06/2023;10:55:00;2,77;2,79;2,76;2,76;13.833,00;5.000
PINE4;16/06/2023;10:50:00;2,77;2,77;2,76;2,77;13.814,00;5.000
PINE4;16/06/2023;10:45:00;2,76;2,79;2,76;2,78;5.275,00;1.900
PINE4;16/06/2023;10:40:00;2,77;2,78;2,76;2,76;14.403,00;5.200
PINE4;16/06/2023;10:35:00;2,76;2,78;2,76;2,77;3.321,00;1.200
PINE4;16/06/2023;10:30:00;2,76;2,79;2,76;2,79;4.151,00;1.500
PINE4;16/06/2023;10:25:00;2,76;2,77;2,76;2,76;4.151,00;1.500
PINE4;16/06/2023;10:20:00;2,76;2,76;2,76;2,76;10.488,00;3.800
PINE4;16/06/2023;10:15:00;2,76;2,76;2,76;2,76;276,00;100
PINE4;16/06/2023;10:05:00;2,74;2,74;2,74;2,74;4.384,00;1.600
PINE4;16/06/2023;10:00:00;2,76;2,76;2,76;2,76;6.072,00;2.200
PINE4;15/06/2023;17:30:00;2,74;2,79;2,74;2,77;56.908,00;20.600
PINE4;15/06/2023;16:50:00;2,73;2,74;2,72;2,74;10.352,00;3.800
PINE4;15/06/2023;16:45:00;2,73;2,73;2,72;2,72;7.639,00;2.800
PINE4;15/06/2023;16:40:00;2,72;2,73;2,72;2,73;27.534,00;10.100
PINE4;15/06/2023;16:35:00;2,72;2,73;2,72;2,72;2.995,00;1.100
PINE4;15/06/2023;16:30:00;2,73;2,73;2,72;2,72;2.723,00;1.000
PINE4;15/06/2023;16:25:00;2,72;2,73;2,72;2,72;5.987,00;2.200
PINE4;15/06/2023;16:20:00;2,72;2,73;2,72;2,72;5.715,00;2.100
PINE4;15/06/2023;16:15:00;2,73;2,73;2,72;2,72;5.443,00;2.000
PINE4;15/06/2023;16:10:00;2,72;2,73;2,72;2,72;8.450,00;3.100
PINE4;15/06/2023;16:05:00;2,72;2,73;2,72;2,72;10.071,00;3.700
PINE4;15/06/2023;16:00:00;2,73;2,74;2,72;2,73;2.458,00;900
