Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PLPL3;06/06/2023;11:20:00;8,29;8,37;8,29;8,37;504.402,00;60.700
PLPL3;06/06/2023;11:15:00;8,25;8,34;8,23;8,30;255.445,00;30.800
PLPL3;06/06/2023;11:10:00;8,27;8,27;8,23;8,23;37.129,00;4.500
PLPL3;06/06/2023;11:05:00;8,18;8,27;8,18;8,27;109.500,00;13.300
PLPL3;06/06/2023;11:00:00;8,25;8,26;8,20;8,20;284.712,00;34.600
PLPL3;06/06/2023;10:55:00;8,23;8,25;8,23;8,25;95.512,00;11.600
PLPL3;06/06/2023;10:50:00;8,37;8,37;8,20;8,25;786.991,00;95.500
PLPL3;06/06/2023;10:45:00;8,25;8,40;8,23;8,37;1.269.562,00;153.400
PLPL3;06/06/2023;10:40:00;8,14;8,25;8,14;8,25;829.915,00;101.700
PLPL3;06/06/2023;10:35:00;8,10;8,14;8,05;8,14;145.863,00;18.000
PLPL3;06/06/2023;10:30:00;8,09;8,12;8,08;8,11;123.863,00;15.300
PLPL3;06/06/2023;10:25:00;8,11;8,13;8,10;8,10;145.278,00;17.900
PLPL3;06/06/2023;10:20:00;8,13;8,13;8,08;8,12;110.249,00;13.600
PLPL3;06/06/2023;10:15:00;8,01;8,12;8,01;8,12;398.266,00;49.500
PLPL3;06/06/2023;10:10:00;7,98;8,01;7,94;8,01;91.874,00;11.500
PLPL3;06/06/2023;10:05:00;7,98;8,00;7,96;7,98;89.389,00;11.200
PLPL3;06/06/2023;10:00:00;7,97;7,98;7,96;7,98;25.525,00;3.200
PLPL3;05/06/2023;17:30:00;7,92;7,92;7,87;7,87;47.370,00;6.000
PLPL3;05/06/2023;16:50:00;7,92;7,97;7,90;7,97;554.110,00;69.600
PLPL3;05/06/2023;16:45:00;7,93;7,95;7,90;7,90;305.100,00;38.500
PLPL3;05/06/2023;16:40:00;7,92;7,95;7,92;7,94;164.146,00;20.700
PLPL3;05/06/2023;16:35:00;7,93;7,95;7,92;7,92;93.539,00;11.800
PLPL3;05/06/2023;16:30:00;7,91;7,94;7,91;7,93;33.268,00;4.200
PLPL3;05/06/2023;16:25:00;7,93;7,94;7,90;7,91;235.187,00;29.700
PLPL3;05/06/2023;16:20:00;7,90;7,94;7,90;7,92;551.336,00;69.700
PLPL3;05/06/2023;16:15:00;7,87;7,94;7,86;7,90;784.110,00;99.300
PLPL3;05/06/2023;16:10:00;7,86;7,88;7,86;7,86;54.267,00;6.900
PLPL3;05/06/2023;16:05:00;7,85;7,88;7,85;7,86;415.053,00;52.800
PLPL3;05/06/2023;16:00:00;7,85;7,87;7,85;7,86;24.353,00;3.100
PLPL3;05/06/2023;15:55:00;7,83;7,87;7,83;7,86;176.499,00;22.500
PLPL3;05/06/2023;15:50:00;7,84;7,84;7,83;7,84;15.670,00;2.000
PLPL3;05/06/2023;15:45:00;7,83;7,84;7,83;7,84;336.774,00;43.000
PLPL3;05/06/2023;15:40:00;7,83;7,84;7,83;7,84;88.578,00;11.300
PLPL3;05/06/2023;15:35:00;7,83;7,83;7,82;7,83;12.515,00;1.600
PLPL3;05/06/2023;15:30:00;7,83;7,83;7,80;7,82;23.456,00;3.000
PLPL3;05/06/2023;15:25:00;7,82;7,83;7,81;7,83;64.895,00;8.300
PLPL3;05/06/2023;15:20:00;7,81;7,84;7,79;7,83;268.551,00;34.400
PLPL3;05/06/2023;15:15:00;7,82;7,82;7,81;7,82;21.886,00;2.800
PLPL3;05/06/2023;15:10:00;7,82;7,83;7,80;7,82;53.107,00;6.800
PLPL3;05/06/2023;15:05:00;7,84;7,85;7,81;7,83;205.816,00;26.300
PLPL3;05/06/2023;15:00:00;7,83;7,88;7,82;7,86;611.126,00;77.900
PLPL3;05/06/2023;14:55:00;7,84;7,85;7,79;7,83;152.512,00;19.500
PLPL3;05/06/2023;14:50:00;7,83;7,84;7,82;7,83;68.140,00;8.700
PLPL3;05/06/2023;14:45:00;7,80;7,83;7,78;7,82;136.640,00;17.500
PLPL3;05/06/2023;14:40:00;7,77;7,80;7,76;7,79;109.599,00;14.100
PLPL3;05/06/2023;14:35:00;7,79;7,79;7,76;7,78;22.551,00;2.900
PLPL3;05/06/2023;14:30:00;7,79;7,79;7,76;7,79;24.108,00;3.100
PLPL3;05/06/2023;14:25:00;7,78;7,79;7,75;7,78;28.744,00;3.700
PLPL3;05/06/2023;14:20:00;7,81;7,82;7,75;7,79;134.334,00;17.300
PLPL3;05/06/2023;14:15:00;7,79;7,80;7,78;7,78;25.697,00;3.300
PLPL3;05/06/2023;14:10:00;7,79;7,82;7,78;7,79;73.315,00;9.400
PLPL3;05/06/2023;14:05:00;7,75;7,80;7,72;7,80;290.469,00;37.300
PLPL3;05/06/2023;14:00:00;7,73;7,75;7,71;7,75;18.542,00;2.400
PLPL3;05/06/2023;13:55:00;7,75;7,75;7,70;7,73;161.848,00;21.000
PLPL3;05/06/2023;13:50:00;7,77;7,77;7,74;7,74;33.320,00;4.300
PLPL3;05/06/2023;13:45:00;7,71;7,76;7,70;7,76;299.765,00;38.800
PLPL3;05/06/2023;13:40:00;7,69;7,72;7,69;7,72;164.991,00;21.400
PLPL3;05/06/2023;13:35:00;7,69;7,70;7,68;7,69;27.675,00;3.600
PLPL3;05/06/2023;13:30:00;7,69;7,71;7,69;7,70;25.403,00;3.300
PLPL3;05/06/2023;13:25:00;7,71;7,72;7,70;7,71;54.682,00;7.100
PLPL3;05/06/2023;13:20:00;7,70;7,72;7,69;7,69;40.039,00;5.200
PLPL3;05/06/2023;13:15:00;7,72;7,72;7,72;7,72;3.088,00;400
PLPL3;05/06/2023;13:10:00;7,68;7,72;7,68;7,70;10.779,00;1.400
PLPL3;05/06/2023;13:05:00;7,76;7,76;7,68;7,71;265.233,00;34.400
