Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PMAM3;06/06/2023;11:15:00;4,70;4,73;4,70;4,73;1.889,00;400
PMAM3;06/06/2023;11:10:00;4,72;4,73;4,70;4,70;13.661,00;2.900
PMAM3;06/06/2023;11:05:00;4,74;4,74;4,74;4,74;948,00;200
PMAM3;06/06/2023;10:55:00;4,74;4,74;4,74;4,74;1.422,00;300
PMAM3;06/06/2023;10:40:00;4,74;4,74;4,74;4,74;474,00;100
PMAM3;06/06/2023;10:35:00;4,75;4,75;4,74;4,74;1.898,00;400
PMAM3;06/06/2023;10:30:00;4,78;4,80;4,78;4,79;1.917,00;400
PMAM3;06/06/2023;10:25:00;4,73;4,73;4,73;4,73;473,00;100
PMAM3;06/06/2023;10:15:00;4,77;4,78;4,73;4,73;7.618,00;1.600
PMAM3;06/06/2023;10:10:00;4,76;4,77;4,76;4,77;4.762,00;1.000
PMAM3;06/06/2023;10:05:00;4,72;4,75;4,72;4,75;15.158,00;3.200
PMAM3;06/06/2023;10:00:00;4,73;4,73;4,73;4,73;946,00;200
PMAM3;05/06/2023;16:50:00;4,66;4,77;4,66;4,74;15.563,00;3.300
PMAM3;05/06/2023;16:35:00;4,64;4,66;4,64;4,66;1.859,00;400
PMAM3;05/06/2023;16:30:00;4,63;4,63;4,63;4,63;463,00;100
PMAM3;05/06/2023;16:25:00;4,62;4,63;4,62;4,63;5.083,00;1.100
PMAM3;05/06/2023;16:15:00;4,62;4,62;4,62;4,62;5.544,00;1.200
PMAM3;05/06/2023;15:55:00;4,60;4,60;4,60;4,60;460,00;100
PMAM3;05/06/2023;15:45:00;4,60;4,60;4,60;4,60;4.600,00;1.000
PMAM3;05/06/2023;15:30:00;4,62;4,62;4,60;4,60;2.764,00;600
PMAM3;05/06/2023;15:00:00;4,65;4,65;4,65;4,65;465,00;100
PMAM3;05/06/2023;14:40:00;4,66;4,66;4,66;4,66;466,00;100
PMAM3;05/06/2023;14:30:00;4,60;4,64;4,60;4,64;2.770,00;600
PMAM3;05/06/2023;14:25:00;4,62;4,62;4,55;4,60;28.706,00;6.300
PMAM3;05/06/2023;14:20:00;4,62;4,62;4,62;4,62;462,00;100
PMAM3;05/06/2023;14:15:00;4,65;4,66;4,60;4,60;12.044,00;2.600
PMAM3;05/06/2023;14:10:00;4,72;4,72;4,66;4,66;7.949,00;1.700
PMAM3;05/06/2023;14:00:00;4,72;4,72;4,72;4,72;1.416,00;300
PMAM3;05/06/2023;13:55:00;4,74;4,77;4,74;4,77;4.755,00;1.000
PMAM3;05/06/2023;13:50:00;4,70;4,74;4,70;4,74;34.784,00;7.400
PMAM3;05/06/2023;13:40:00;4,68;4,68;4,68;4,68;2.808,00;600
PMAM3;05/06/2023;13:35:00;4,68;4,68;4,66;4,68;3.270,00;700
PMAM3;05/06/2023;13:25:00;4,67;4,70;4,67;4,70;6.567,00;1.400
PMAM3;05/06/2023;13:20:00;4,69;4,69;4,67;4,67;936,00;200
PMAM3;05/06/2023;13:15:00;4,66;4,70;4,66;4,67;16.354,00;3.500
PMAM3;05/06/2023;13:10:00;4,66;4,66;4,66;4,66;932,00;200
PMAM3;05/06/2023;13:00:00;4,62;4,62;4,62;4,62;462,00;100
PMAM3;05/06/2023;12:50:00;4,63;4,63;4,62;4,62;3.699,00;800
PMAM3;05/06/2023;12:45:00;4,67;4,67;4,67;4,67;467,00;100
PMAM3;05/06/2023;12:35:00;4,63;4,65;4,61;4,65;3.237,00;700
PMAM3;05/06/2023;12:30:00;4,67;4,67;4,63;4,67;6.972,00;1.500
PMAM3;05/06/2023;12:25:00;4,65;4,69;4,65;4,69;7.927,00;1.700
PMAM3;05/06/2023;12:20:00;4,57;4,64;4,57;4,64;40.815,00;8.900
PMAM3;05/06/2023;12:10:00;4,57;4,57;4,57;4,57;1.371,00;300
PMAM3;05/06/2023;12:05:00;4,55;4,55;4,55;4,55;455,00;100
PMAM3;05/06/2023;12:00:00;4,53;4,53;4,53;4,53;906,00;200
PMAM3;05/06/2023;11:55:00;4,53;4,53;4,53;4,53;453,00;100
PMAM3;05/06/2023;11:50:00;4,55;4,55;4,55;4,55;455,00;100
PMAM3;05/06/2023;11:45:00;4,55;4,55;4,55;4,55;910,00;200
PMAM3;05/06/2023;11:40:00;4,53;4,53;4,53;4,53;906,00;200
PMAM3;05/06/2023;11:15:00;4,51;4,51;4,51;4,51;451,00;100
PMAM3;05/06/2023;11:10:00;4,53;4,53;4,51;4,51;904,00;200
PMAM3;05/06/2023;11:00:00;4,56;4,56;4,56;4,56;456,00;100
PMAM3;05/06/2023;10:55:00;4,54;4,54;4,54;4,54;908,00;200
PMAM3;05/06/2023;10:45:00;4,54;4,54;4,54;4,54;908,00;200
PMAM3;05/06/2023;10:35:00;4,54;4,54;4,54;4,54;4.086,00;900
PMAM3;05/06/2023;10:30:00;4,54;4,54;4,54;4,54;454,00;100
PMAM3;05/06/2023;10:15:00;4,57;4,58;4,57;4,58;1.372,00;300
PMAM3;05/06/2023;10:10:00;4,57;4,58;4,57;4,58;1.373,00;300
PMAM3;05/06/2023;10:05:00;4,56;4,56;4,56;4,56;456,00;100
PMAM3;05/06/2023;10:00:00;4,56;4,56;4,51;4,51;907,00;200
PMAM3;02/06/2023;16:45:00;4,56;4,56;4,56;4,56;16.872,00;3.700
PMAM3;02/06/2023;16:25:00;4,56;4,56;4,56;4,56;456,00;100
PMAM3;02/06/2023;16:20:00;4,56;4,56;4,56;4,56;912,00;200
PMAM3;02/06/2023;16:15:00;4,56;4,56;4,56;4,56;456,00;100
PMAM3;02/06/2023;16:05:00;4,55;4,55;4,55;4,55;1.365,00;300
PMAM3;02/06/2023;14:55:00;4,57;4,57;4,57;4,57;914,00;200
PMAM3;02/06/2023;14:35:00;4,57;4,57;4,57;4,57;914,00;200
PMAM3;02/06/2023;14:25:00;4,56;4,56;4,56;4,56;456,00;100
PMAM3;02/06/2023;14:20:00;4,52;4,52;4,52;4,52;452,00;100
PMAM3;02/06/2023;14:15:00;4,52;4,52;4,52;4,52;452,00;100
PMAM3;02/06/2023;14:00:00;4,57;4,57;4,57;4,57;457,00;100
PMAM3;02/06/2023;13:35:00;4,52;4,52;4,52;4,52;452,00;100
PMAM3;02/06/2023;13:25:00;4,56;4,56;4,55;4,55;75.695,00;16.600
PMAM3;02/06/2023;13:05:00;4,57;4,57;4,57;4,57;1.828,00;400
PMAM3;02/06/2023;13:00:00;4,57;4,57;4,57;4,57;457,00;100
PMAM3;02/06/2023;12:50:00;4,58;4,58;4,58;4,58;1.374,00;300
PMAM3;02/06/2023;12:30:00;4,56;4,59;4,56;4,59;2.751,00;600
PMAM3;02/06/2023;12:25:00;4,56;4,59;4,56;4,59;5.019,00;1.100
PMAM3;02/06/2023;12:20:00;4,59;4,59;4,57;4,57;2.293,00;500
PMAM3;02/06/2023;12:15:00;4,64;4,64;4,64;4,64;928,00;200
PMAM3;02/06/2023;12:05:00;4,59;4,59;4,59;4,59;459,00;100
PMAM3;02/06/2023;12:00:00;4,55;4,58;4,55;4,58;13.681,00;3.000
PMAM3;02/06/2023;11:35:00;4,55;4,55;4,55;4,55;455,00;100
PMAM3;02/06/2023;11:10:00;4,50;4,50;4,50;4,50;1.350,00;300
PMAM3;02/06/2023;11:05:00;4,57;4,57;4,49;4,49;4.550,00;1.000
PMAM3;02/06/2023;10:55:00;4,57;4,57;4,57;4,57;914,00;200
PMAM3;02/06/2023;10:50:00;4,54;4,54;4,54;4,54;908,00;200
PMAM3;02/06/2023;10:40:00;4,58;4,58;4,57;4,57;1.373,00;300
PMAM3;02/06/2023;10:30:00;4,56;4,67;4,56;4,67;10.128,00;2.200
PMAM3;02/06/2023;10:20:00;4,56;4,56;4,56;4,56;912,00;200
PMAM3;02/06/2023;10:15:00;4,51;4,58;4,51;4,58;13.102,00;2.900
PMAM3;02/06/2023;10:05:00;4,51;4,51;4,51;4,51;451,00;100
