Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PNVL3;06/06/2023;11:20:00;11,78;11,78;11,78;11,78;1.178,00;100
PNVL3;06/06/2023;11:15:00;11,78;11,78;11,78;11,78;1.178,00;100
PNVL3;06/06/2023;11:10:00;11,80;11,80;11,78;11,78;16.496,00;1.400
PNVL3;06/06/2023;11:05:00;11,78;11,82;11,78;11,80;80.285,00;6.800
PNVL3;06/06/2023;11:00:00;11,76;11,77;11,75;11,76;8.232,00;700
PNVL3;06/06/2023;10:55:00;11,78;11,79;11,75;11,77;34.131,00;2.900
PNVL3;06/06/2023;10:50:00;11,76;11,77;11,75;11,75;28.220,00;2.400
PNVL3;06/06/2023;10:45:00;11,76;11,77;11,74;11,77;10.579,00;900
PNVL3;06/06/2023;10:40:00;11,75;11,76;11,75;11,76;9.404,00;800
PNVL3;06/06/2023;10:35:00;11,78;11,79;11,76;11,77;34.165,00;2.900
PNVL3;06/06/2023;10:30:00;11,76;11,81;11,75;11,80;36.552,00;3.100
PNVL3;06/06/2023;10:25:00;11,75;11,78;11,74;11,76;32.899,00;2.800
PNVL3;06/06/2023;10:20:00;11,75;11,75;11,73;11,74;4.696,00;400
PNVL3;06/06/2023;10:15:00;11,73;11,75;11,73;11,73;17.610,00;1.500
PNVL3;06/06/2023;10:10:00;11,79;11,82;11,74;11,74;8.250,00;700
PNVL3;06/06/2023;10:05:00;11,74;11,75;11,74;11,75;2.349,00;200
PNVL3;06/06/2023;10:00:00;11,72;11,76;11,71;11,72;10.549,00;900
PNVL3;05/06/2023;17:30:00;11,72;11,72;11,72;11,72;5.860,00;500
PNVL3;05/06/2023;16:50:00;11,73;11,73;11,68;11,71;358.247,00;30.600
PNVL3;05/06/2023;16:45:00;11,72;11,73;11,71;11,72;38.674,00;3.300
PNVL3;05/06/2023;16:40:00;11,73;11,73;11,72;11,73;17.588,00;1.500
PNVL3;05/06/2023;16:35:00;11,71;11,73;11,71;11,73;19.920,00;1.700
PNVL3;05/06/2023;16:30:00;11,72;11,74;11,71;11,71;37.493,00;3.200
PNVL3;05/06/2023;16:25:00;11,72;11,73;11,71;11,71;30.486,00;2.600
PNVL3;05/06/2023;16:20:00;11,71;11,73;11,70;11,72;41.012,00;3.500
PNVL3;05/06/2023;16:15:00;11,72;11,72;11,71;11,71;24.599,00;2.100
PNVL3;05/06/2023;16:10:00;11,71;11,72;11,69;11,72;17.557,00;1.500
PNVL3;05/06/2023;16:05:00;11,72;11,72;11,70;11,71;9.369,00;800
PNVL3;05/06/2023;16:00:00;11,75;11,75;11,70;11,70;24.613,00;2.100
PNVL3;05/06/2023;15:55:00;11,75;11,75;11,72;11,74;29.347,00;2.500
PNVL3;05/06/2023;15:50:00;11,74;11,76;11,73;11,75;21.135,00;1.800
PNVL3;05/06/2023;15:45:00;11,74;11,74;11,72;11,74;21.126,00;1.800
PNVL3;05/06/2023;15:40:00;11,73;11,75;11,73;11,75;28.184,00;2.400
PNVL3;05/06/2023;15:35:00;11,75;11,75;11,73;11,74;17.607,00;1.500
PNVL3;05/06/2023;15:30:00;11,74;11,75;11,73;11,74;28.178,00;2.400
PNVL3;05/06/2023;15:25:00;11,74;11,74;11,73;11,74;28.170,00;2.400
PNVL3;05/06/2023;15:20:00;11,72;11,75;11,71;11,75;28.149,00;2.400
PNVL3;05/06/2023;15:15:00;11,72;11,73;11,71;11,72;24.609,00;2.100
PNVL3;05/06/2023;15:10:00;11,70;11,72;11,68;11,71;108.917,00;9.300
PNVL3;05/06/2023;15:05:00;11,69;11,70;11,67;11,70;16.359,00;1.400
PNVL3;05/06/2023;15:00:00;11,64;11,71;11,64;11,69;173.998,00;14.900
PNVL3;05/06/2023;14:55:00;11,61;11,64;11,61;11,63;17.442,00;1.500
PNVL3;05/06/2023;14:50:00;11,61;11,62;11,60;11,61;20.899,00;1.800
PNVL3;05/06/2023;14:45:00;11,62;11,62;11,60;11,61;13.932,00;1.200
PNVL3;05/06/2023;14:40:00;11,60;11,62;11,60;11,61;13.931,00;1.200
PNVL3;05/06/2023;14:35:00;11,61;11,61;11,60;11,61;10.446,00;900
PNVL3;05/06/2023;14:30:00;11,62;11,62;11,61;11,62;5.808,00;500
PNVL3;05/06/2023;14:25:00;11,62;11,63;11,60;11,61;31.351,00;2.700
PNVL3;05/06/2023;14:20:00;11,64;11,64;11,62;11,62;8.141,00;700
PNVL3;05/06/2023;14:15:00;11,65;11,66;11,63;11,63;17.468,00;1.500
PNVL3;05/06/2023;14:10:00;11,66;11,68;11,65;11,65;27.990,00;2.400
PNVL3;05/06/2023;14:05:00;11,65;11,66;11,63;11,66;43.098,00;3.700
PNVL3;05/06/2023;14:00:00;11,73;11,74;11,65;11,65;150.706,00;12.900
PNVL3;05/06/2023;13:55:00;11,74;11,75;11,73;11,73;22.298,00;1.900
PNVL3;05/06/2023;13:50:00;11,74;11,75;11,73;11,75;19.949,00;1.700
PNVL3;05/06/2023;13:45:00;11,70;11,74;11,70;11,74;28.130,00;2.400
PNVL3;05/06/2023;13:40:00;11,69;11,71;11,69;11,71;26.919,00;2.300
PNVL3;05/06/2023;13:35:00;11,71;11,71;11,70;11,71;15.212,00;1.300
PNVL3;05/06/2023;13:30:00;11,72;11,72;11,70;11,71;11.707,00;1.000
PNVL3;05/06/2023;13:25:00;11,73;11,74;11,71;11,71;59.772,00;5.100
PNVL3;05/06/2023;13:20:00;11,70;11,74;11,70;11,74;42.180,00;3.600
PNVL3;05/06/2023;13:15:00;11,71;11,73;11,70;11,70;37.486,00;3.200
PNVL3;05/06/2023;13:10:00;11,69;11,72;11,69;11,71;31.611,00;2.700
PNVL3;05/06/2023;13:05:00;11,65;11,69;11,65;11,68;16.340,00;1.400
PNVL3;05/06/2023;13:00:00;11,65;11,65;11,64;11,65;10.483,00;900
PNVL3;05/06/2023;12:55:00;11,64;11,64;11,63;11,64;13.962,00;1.200
PNVL3;05/06/2023;12:50:00;11,64;11,64;11,62;11,64;32.573,00;2.800
PNVL3;05/06/2023;12:45:00;11,65;11,65;11,63;11,64;11.638,00;1.000
PNVL3;05/06/2023;12:40:00;11,64;11,65;11,63;11,65;22.113,00;1.900
PNVL3;05/06/2023;12:35:00;11,65;11,65;11,64;11,64;12.808,00;1.100
