Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
POMO3;16/06/2023;17:30:00;4,19;4,19;4,19;4,19;4.609,00;1.100
POMO3;16/06/2023;16:45:00;4,12;4,19;4,12;4,19;124.118,00;29.700
POMO3;16/06/2023;16:30:00;4,12;4,13;4,09;4,09;1.643,00;400
POMO3;16/06/2023;15:55:00;4,12;4,12;4,12;4,12;412,00;100
POMO3;16/06/2023;15:50:00;4,12;4,12;4,12;4,12;41.612,00;10.100
POMO3;16/06/2023;15:35:00;4,11;4,11;4,11;4,11;4.110,00;1.000
POMO3;16/06/2023;15:15:00;4,09;4,11;4,09;4,11;41.912,00;10.200
POMO3;16/06/2023;15:00:00;4,10;4,10;4,10;4,10;1.230,00;300
POMO3;16/06/2023;14:35:00;4,12;4,12;4,11;4,11;51.376,00;12.500
POMO3;16/06/2023;14:30:00;4,12;4,12;4,12;4,12;412,00;100
POMO3;16/06/2023;14:20:00;4,10;4,11;4,10;4,11;96.140,00;23.400
POMO3;16/06/2023;14:15:00;4,10;4,10;4,10;4,10;4.100,00;1.000
POMO3;16/06/2023;14:10:00;4,10;4,10;4,10;4,10;410,00;100
POMO3;16/06/2023;13:40:00;4,10;4,10;4,10;4,10;8.200,00;2.000
POMO3;16/06/2023;13:35:00;4,10;4,10;4,10;4,10;1.230,00;300
POMO3;16/06/2023;13:25:00;4,10;4,10;4,10;4,10;2.050,00;500
POMO3;16/06/2023;13:15:00;4,10;4,10;4,10;4,10;2.050,00;500
POMO3;16/06/2023;13:10:00;4,11;4,11;4,11;4,11;2.877,00;700
POMO3;16/06/2023;13:00:00;4,10;4,10;4,10;4,10;820,00;200
POMO3;16/06/2023;12:40:00;4,10;4,10;4,10;4,10;2.050,00;500
POMO3;16/06/2023;12:15:00;4,10;4,12;4,10;4,12;23.428,00;5.700
POMO3;16/06/2023;12:05:00;4,11;4,11;4,10;4,10;8.202,00;2.000
POMO3;16/06/2023;12:00:00;4,12;4,12;4,10;4,10;21.736,00;5.300
POMO3;16/06/2023;11:55:00;4,10;4,10;4,10;4,10;9.840,00;2.400
POMO3;16/06/2023;11:50:00;4,10;4,10;4,10;4,10;820,00;200
POMO3;16/06/2023;11:40:00;4,13;4,13;4,13;4,13;12.390,00;3.000
POMO3;16/06/2023;11:35:00;4,10;4,12;4,10;4,12;822,00;200
POMO3;16/06/2023;11:30:00;4,10;4,10;4,10;4,10;21.320,00;5.200
POMO3;16/06/2023;11:25:00;4,12;4,12;4,10;4,10;13.373.442,00;3.246.000
POMO3;16/06/2023;10:10:00;4,08;4,09;4,07;4,09;15.911,00;3.900
POMO3;16/06/2023;10:05:00;4,09;4,09;4,09;4,09;4.090,00;1.000
POMO3;16/06/2023;10:00:00;4,13;4,13;4,10;4,10;5.336,00;1.300
POMO3;15/06/2023;17:30:00;4,14;4,14;4,10;4,13;7.839,00;1.900
POMO3;15/06/2023;16:50:00;4,10;4,16;4,10;4,16;66.924,00;16.100
POMO3;15/06/2023;16:40:00;4,11;4,11;4,11;4,11;12.330,00;3.000
POMO3;15/06/2023;16:35:00;4,11;4,11;4,11;4,11;11.508,00;2.800
POMO3;15/06/2023;16:30:00;4,08;4,11;4,08;4,11;20.878,00;5.100
