Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PORT3;16/06/2023;16:45:00;13,01;13,04;12,92;12,92;4.417.762,00;341.900
PORT3;16/06/2023;16:40:00;13,04;13,04;13,00;13,01;54.642,00;4.200
PORT3;16/06/2023;16:35:00;13,05;13,05;13,02;13,04;31.295,00;2.400
PORT3;16/06/2023;16:30:00;13,02;13,04;13,00;13,04;35.165,00;2.700
PORT3;16/06/2023;16:25:00;13,07;13,07;13,01;13,01;31.309,00;2.400
PORT3;16/06/2023;16:20:00;13,00;13,06;12,99;13,06;91.116,00;7.000
PORT3;16/06/2023;16:15:00;12,99;12,99;12,99;12,99;5.196,00;400
PORT3;16/06/2023;16:10:00;13,02;13,02;13,00;13,00;74.125,00;5.700
PORT3;16/06/2023;16:05:00;13,00;13,03;13,00;13,02;1.060.835,00;81.600
PORT3;16/06/2023;16:00:00;13,02;13,02;13,01;13,01;18.218,00;1.400
PORT3;16/06/2023;15:55:00;13,00;13,01;12,99;13,01;114.387,00;8.800
PORT3;16/06/2023;15:50:00;12,99;12,99;12,99;12,99;19.485,00;1.500
PORT3;16/06/2023;15:45:00;12,99;13,00;12,99;13,00;12.999,00;1.000
PORT3;16/06/2023;15:40:00;12,99;13,00;12,99;13,00;3.899,00;300
PORT3;16/06/2023;15:35:00;13,00;13,00;13,00;13,00;6.500,00;500
PORT3;16/06/2023;15:30:00;13,00;13,00;13,00;13,00;20.800,00;1.600
PORT3;16/06/2023;15:25:00;13,01;13,01;12,99;13,00;25.999,00;2.000
PORT3;16/06/2023;15:20:00;13,00;13,00;13,00;13,00;14.300,00;1.100
PORT3;16/06/2023;15:15:00;12,99;13,00;12,97;12,98;40.257,00;3.100
PORT3;16/06/2023;15:10:00;13,00;13,00;12,99;13,00;7.798,00;600
PORT3;16/06/2023;15:05:00;13,02;13,02;13,00;13,00;9.105,00;700
PORT3;16/06/2023;15:00:00;13,02;13,02;13,00;13,02;32.536,00;2.500
PORT3;16/06/2023;14:55:00;13,04;13,05;13,03;13,03;58.701,00;4.500
PORT3;16/06/2023;14:50:00;13,03;13,04;13,03;13,04;10.426,00;800
PORT3;16/06/2023;14:45:00;13,04;13,04;13,04;13,04;3.912,00;300
PORT3;16/06/2023;14:40:00;13,03;13,03;13,03;13,03;10.424,00;800
PORT3;16/06/2023;14:35:00;13,04;13,04;13,03;13,03;7.823,00;600
PORT3;16/06/2023;14:30:00;13,02;13,03;13,02;13,03;14.327,00;1.100
PORT3;16/06/2023;14:25:00;13,01;13,06;13,01;13,01;46.903,00;3.600
PORT3;16/06/2023;14:15:00;13,00;13,00;13,00;13,00;5.200,00;400
PORT3;16/06/2023;14:10:00;13,02;13,02;13,00;13,00;7.806,00;600
PORT3;16/06/2023;14:05:00;13,02;13,02;13,02;13,02;1.302,00;100
PORT3;16/06/2023;14:00:00;13,04;13,04;13,03;13,03;18.253,00;1.400
PORT3;16/06/2023;13:55:00;13,03;13,05;13,03;13,04;54.801,00;4.200
PORT3;16/06/2023;13:50:00;13,03;13,03;13,03;13,03;20.848,00;1.600
PORT3;16/06/2023;13:45:00;13,02;13,02;13,02;13,02;5.208,00;400
PORT3;16/06/2023;13:40:00;13,01;13,02;13,01;13,02;9.111,00;700
PORT3;16/06/2023;13:35:00;13,03;13,03;13,00;13,00;11.710,00;900
PORT3;16/06/2023;13:30:00;12,95;13,02;12,95;13,02;58.487,00;4.500
PORT3;16/06/2023;13:25:00;12,95;12,95;12,95;12,95;5.180,00;400
PORT3;16/06/2023;13:20:00;12,95;12,95;12,93;12,95;11.648,00;900
PORT3;16/06/2023;13:15:00;12,95;12,95;12,94;12,95;6.472,00;500
PORT3;16/06/2023;13:10:00;12,94;12,94;12,92;12,94;10.345,00;800
PORT3;16/06/2023;13:05:00;12,94;12,94;12,93;12,93;3.880,00;300
PORT3;16/06/2023;13:00:00;12,92;12,93;12,92;12,93;27.139,00;2.100
PORT3;16/06/2023;12:55:00;12,93;12,93;12,92;12,93;5.171,00;400
PORT3;16/06/2023;12:50:00;12,94;12,94;12,92;12,92;10.339,00;800
PORT3;16/06/2023;12:45:00;12,93;12,95;12,93;12,95;23.276,00;1.800
PORT3;16/06/2023;12:40:00;12,93;12,95;12,92;12,92;85.328,00;6.600
PORT3;16/06/2023;12:35:00;12,93;12,95;12,93;12,93;7.761,00;600
PORT3;16/06/2023;12:30:00;12,94;12,95;12,93;12,94;18.117,00;1.400
PORT3;16/06/2023;12:25:00;12,96;12,96;12,94;12,95;6.475,00;500
PORT3;16/06/2023;12:20:00;12,95;12,96;12,94;12,96;20.729,00;1.600
PORT3;16/06/2023;12:15:00;12,95;12,96;12,94;12,94;9.067,00;700
PORT3;16/06/2023;12:10:00;12,99;12,99;12,96;12,97;12.979,00;1.000
PORT3;16/06/2023;12:00:00;12,98;12,99;12,98;12,99;11.689,00;900
PORT3;16/06/2023;11:55:00;12,99;12,99;12,99;12,99;2.598,00;200
PORT3;16/06/2023;11:50:00;12,99;12,99;12,99;12,99;19.485,00;1.500
PORT3;16/06/2023;11:45:00;12,98;12,99;12,96;12,98;23.360,00;1.800
PORT3;16/06/2023;11:40:00;13,01;13,01;12,98;12,98;7.796,00;600
PORT3;16/06/2023;11:35:00;13,05;13,05;13,00;13,03;102.941,00;7.900
PORT3;16/06/2023;11:30:00;12,98;13,10;12,98;13,07;105.479,00;8.100
PORT3;16/06/2023;11:25:00;12,95;12,97;12,94;12,97;20.738,00;1.600
PORT3;16/06/2023;11:20:00;13,02;13,04;12,95;12,95;45.437,00;3.500
PORT3;16/06/2023;11:15:00;12,93;13,05;12,93;13,04;83.169,00;6.400
PORT3;16/06/2023;11:10:00;12,91;12,92;12,91;12,92;16.792,00;1.300
PORT3;16/06/2023;11:05:00;12,90;12,93;12,87;12,90;183.195,00;14.200
PORT3;16/06/2023;11:00:00;12,91;12,91;12,90;12,91;9.034,00;700
PORT3;16/06/2023;10:55:00;12,90;12,90;12,90;12,90;11.610,00;900
PORT3;16/06/2023;10:50:00;12,86;12,90;12,86;12,90;73.454,00;5.700
PORT3;16/06/2023;10:45:00;12,86;12,86;12,85;12,85;32.139,00;2.500
PORT3;16/06/2023;10:40:00;12,88;12,88;12,87;12,87;6.437,00;500
PORT3;16/06/2023;10:35:00;12,90;12,91;12,90;12,90;11.611,00;900
PORT3;16/06/2023;10:30:00;12,89;12,89;12,89;12,89;2.578,00;200
PORT3;16/06/2023;10:25:00;12,89;12,89;12,87;12,87;3.865,00;300
PORT3;16/06/2023;10:20:00;12,89;12,90;12,89;12,90;9.025,00;700
PORT3;16/06/2023;10:15:00;12,87;12,88;12,81;12,83;83.455,00;6.500
PORT3;16/06/2023;10:00:00;12,92;12,92;12,92;12,92;1.292,00;100
PORT3;15/06/2023;16:50:00;12,91;12,96;12,90;12,92;186.062,00;14.400
PORT3;15/06/2023;16:45:00;12,91;12,92;12,91;12,92;23.248,00;1.800
PORT3;15/06/2023;16:40:00;12,94;12,94;12,91;12,92;41.353,00;3.200
PORT3;15/06/2023;16:35:00;12,93;12,93;12,93;12,93;7.758,00;600
PORT3;15/06/2023;16:30:00;12,93;12,93;12,92;12,92;3.877,00;300
PORT3;15/06/2023;16:25:00;12,90;12,94;12,90;12,94;54.248,00;4.200
PORT3;15/06/2023;16:20:00;12,88;12,90;12,86;12,90;16.742,00;1.300
