Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
POSI3;16/06/2023;17:30:00;8,96;8,98;8,96;8,96;43.906,00;4.900
POSI3;16/06/2023;16:45:00;9,02;9,03;8,96;8,96;1.813.494,00;202.300
POSI3;16/06/2023;16:40:00;9,02;9,02;9,00;9,02;202.852,00;22.500
POSI3;16/06/2023;16:35:00;9,03;9,04;9,02;9,02;272.665,00;30.200
POSI3;16/06/2023;16:30:00;9,01;9,05;9,01;9,03;192.284,00;21.300
POSI3;16/06/2023;16:25:00;9,01;9,03;9,01;9,01;52.295,00;5.800
POSI3;16/06/2023;16:20:00;9,01;9,03;9,00;9,01;214.577,00;23.800
POSI3;16/06/2023;16:15:00;9,05;9,07;9,01;9,02;409.919,00;45.300
POSI3;16/06/2023;16:10:00;9,03;9,06;9,02;9,06;181.704,00;20.100
POSI3;16/06/2023;16:05:00;8,99;9,03;8,99;9,03;101.785,00;11.300
POSI3;16/06/2023;16:00:00;8,99;9,00;8,98;8,98;86.245,00;9.600
POSI3;16/06/2023;15:55:00;8,99;9,00;8,98;8,98;93.453,00;10.400
POSI3;16/06/2023;15:50:00;8,99;9,00;8,97;8,99;194.942,00;21.700
POSI3;16/06/2023;15:45:00;8,99;9,01;8,98;8,98;71.033,00;7.900
POSI3;16/06/2023;15:40:00;9,00;9,01;8,99;9,00;122.400,00;13.600
POSI3;16/06/2023;15:35:00;9,01;9,02;8,99;9,01;85.502,00;9.500
POSI3;16/06/2023;15:30:00;8,99;9,01;8,98;9,01;51.260,00;5.700
POSI3;16/06/2023;15:25:00;8,99;8,99;8,97;8,98;228.007,00;25.400
POSI3;16/06/2023;15:20:00;8,96;9,00;8,96;8,99;236.281,00;26.300
POSI3;16/06/2023;15:15:00;8,96;8,97;8,96;8,97;70.787,00;7.900
POSI3;16/06/2023;15:10:00;8,97;8,97;8,96;8,96;37.656,00;4.200
POSI3;16/06/2023;15:05:00;8,92;8,98;8,92;8,97;218.572,00;24.400
POSI3;16/06/2023;15:00:00;8,93;8,93;8,91;8,93;44.606,00;5.000
POSI3;16/06/2023;14:55:00;8,93;8,94;8,93;8,93;134.845,00;15.100
POSI3;16/06/2023;14:50:00;8,94;8,95;8,92;8,94;108.092,00;12.100
POSI3;16/06/2023;14:45:00;8,93;8,95;8,91;8,93;281.264,00;31.500
POSI3;16/06/2023;14:40:00;8,94;8,98;8,90;8,91;637.328,00;71.300
POSI3;16/06/2023;14:35:00;8,93;8,95;8,92;8,92;413.117,00;46.200
POSI3;16/06/2023;14:30:00;8,93;8,94;8,92;8,94;157.268,00;17.600
POSI3;16/06/2023;14:25:00;8,95;8,96;8,91;8,93;283.968,00;31.800
POSI3;16/06/2023;14:20:00;8,96;8,96;8,92;8,95;400.761,00;44.800
POSI3;16/06/2023;14:15:00;9,00;9,01;8,95;8,96;322.232,00;35.900
POSI3;16/06/2023;14:10:00;9,00;9,02;8,99;9,01;92.711,00;10.300
POSI3;16/06/2023;14:05:00;9,00;9,01;8,99;9,01;83.694,00;9.300
POSI3;16/06/2023;14:00:00;9,03;9,04;9,00;9,00;392.205,00;43.500
POSI3;16/06/2023;13:55:00;9,03;9,06;9,03;9,04;111.256,00;12.300
POSI3;16/06/2023;13:50:00;9,02;9,03;9,01;9,03;98.284,00;10.900
POSI3;16/06/2023;13:45:00;9,02;9,02;9,01;9,02;9.017,00;1.000
POSI3;16/06/2023;13:40:00;9,02;9,02;9,00;9,02;51.388,00;5.700
POSI3;16/06/2023;13:35:00;9,00;9,01;8,99;9,01;41.400,00;4.600
POSI3;16/06/2023;13:30:00;9,01;9,03;8,99;9,00;169.307,00;18.800
POSI3;16/06/2023;13:25:00;9,04;9,04;9,01;9,01;83.014,00;9.200
POSI3;16/06/2023;13:20:00;9,04;9,05;9,02;9,04;49.710,00;5.500
POSI3;16/06/2023;13:15:00;9,05;9,06;9,04;9,05;34.380,00;3.800
POSI3;16/06/2023;13:10:00;9,05;9,07;9,04;9,05;47.077,00;5.200
POSI3;16/06/2023;13:05:00;9,05;9,07;9,04;9,06;172.044,00;19.000
POSI3;16/06/2023;13:00:00;9,01;9,04;9,01;9,04;163.344,00;18.100
POSI3;16/06/2023;12:55:00;9,05;9,06;9,00;9,00;656.598,00;72.700
POSI3;16/06/2023;12:50:00;9,04;9,06;9,03;9,05;97.671,00;10.800
POSI3;16/06/2023;12:45:00;9,05;9,05;9,03;9,04;175.468,00;19.400
POSI3;16/06/2023;12:40:00;9,08;9,08;9,05;9,05;137.754,00;15.200
POSI3;16/06/2023;12:35:00;9,11;9,11;9,07;9,07;238.282,00;26.200
POSI3;16/06/2023;12:30:00;9,09;9,11;9,07;9,10;191.697,00;21.100
POSI3;16/06/2023;12:25:00;9,10;9,11;9,07;9,08;165.336,00;18.200
POSI3;16/06/2023;12:20:00;9,17;9,19;9,10;9,11;423.555,00;46.400
POSI3;16/06/2023;12:15:00;9,14;9,18;9,12;9,18;378.950,00;41.400
POSI3;16/06/2023;12:10:00;9,12;9,14;9,12;9,14;56.632,00;6.200
POSI3;16/06/2023;12:05:00;9,13;9,15;9,12;9,13;198.306,00;21.700
POSI3;16/06/2023;12:00:00;9,17;9,17;9,11;9,14;305.949,00;33.500
POSI3;16/06/2023;11:55:00;9,13;9,19;9,12;9,17;336.789,00;36.800
POSI3;16/06/2023;11:50:00;9,11;9,14;9,11;9,13;241.921,00;26.500
POSI3;16/06/2023;11:45:00;9,06;9,12;9,04;9,12;573.593,00;63.100
POSI3;16/06/2023;11:40:00;8,99;9,07;8,99;9,07;509.097,00;56.400
POSI3;16/06/2023;11:35:00;8,97;9,00;8,97;9,00;43.154,00;4.800
POSI3;16/06/2023;11:30:00;8,97;8,99;8,96;8,97;117.577,00;13.100
POSI3;16/06/2023;11:25:00;8,96;8,97;8,95;8,97;27.778,00;3.100
POSI3;16/06/2023;11:20:00;8,96;8,97;8,95;8,96;50.172,00;5.600
POSI3;16/06/2023;11:15:00;8,95;8,97;8,95;8,96;21.503,00;2.400
POSI3;16/06/2023;11:10:00;8,96;8,98;8,94;8,95;103.959,00;11.600
POSI3;16/06/2023;11:05:00;8,99;9,00;8,94;8,96;311.515,00;34.700
POSI3;16/06/2023;11:00:00;8,97;9,02;8,96;8,99;339.131,00;37.700
POSI3;16/06/2023;10:55:00;8,97;8,97;8,95;8,95;85.137,00;9.500
POSI3;16/06/2023;10:50:00;8,89;8,98;8,88;8,96;210.837,00;23.600
POSI3;16/06/2023;10:45:00;8,93;8,93;8,88;8,89;216.413,00;24.300
POSI3;16/06/2023;10:40:00;8,97;8,97;8,92;8,93;121.549,00;13.600
POSI3;16/06/2023;10:35:00;8,93;8,98;8,91;8,96;165.513,00;18.500
POSI3;16/06/2023;10:30:00;8,95;8,97;8,94;8,94;339.188,00;37.900
POSI3;16/06/2023;10:25:00;8,95;8,98;8,92;8,94;456.477,00;51.000
POSI3;16/06/2023;10:20:00;9,01;9,03;8,93;8,93;300.819,00;33.500
POSI3;16/06/2023;10:15:00;8,94;9,03;8,92;9,01;368.395,00;41.000
POSI3;16/06/2023;10:10:00;8,98;8,98;8,90;8,96;847.903,00;94.800
POSI3;16/06/2023;10:05:00;9,08;9,08;8,97;8,98;404.056,00;44.800
POSI3;16/06/2023;10:00:00;9,05;9,13;9,01;9,06;873.841,00;96.300
POSI3;15/06/2023;17:30:00;9,04;9,06;9,04;9,04;221.635,00;24.500
POSI3;15/06/2023;16:50:00;9,07;9,08;9,05;9,05;2.580.556,00;285.000
POSI3;15/06/2023;16:45:00;9,04;9,08;9,03;9,07;264.528,00;29.200
POSI3;15/06/2023;16:40:00;9,07;9,09;9,03;9,04;282.765,00;31.200
POSI3;15/06/2023;16:35:00;9,05;9,08;9,03;9,07;362.385,00;40.000
POSI3;15/06/2023;16:30:00;9,04;9,05;9,03;9,04;228.778,00;25.300
POSI3;15/06/2023;16:25:00;8,98;9,06;8,98;9,04;941.896,00;104.300
POSI3;15/06/2023;16:20:00;8,98;8,99;8,96;8,98;91.555,00;10.200
POSI3;15/06/2023;16:15:00;8,99;9,00;8,96;8,96;141.765,00;15.800
POSI3;15/06/2023;16:10:00;8,99;9,00;8,98;8,99;49.440,00;5.500
POSI3;15/06/2023;16:05:00;8,98;9,00;8,98;8,99;269.846,00;30.000
POSI3;15/06/2023;16:00:00;8,99;9,00;8,97;8,98;200.399,00;22.300
POSI3;15/06/2023;15:55:00;8,98;8,99;8,98;8,99;413.193,00;46.000
POSI3;15/06/2023;15:50:00;9,03;9,05;8,98;8,98;1.275.882,00;141.700
POSI3;15/06/2023;15:45:00;9,03;9,05;9,02;9,03;170.796,00;18.900
POSI3;15/06/2023;15:40:00;9,03;9,06;9,01;9,05;226.978,00;25.100
POSI3;15/06/2023;15:35:00;9,01;9,04;9,00;9,02;1.599.201,00;177.400
POSI3;15/06/2023;15:30:00;8,97;9,02;8,96;9,01;468.729,00;52.100
POSI3;15/06/2023;15:25:00;8,95;8,96;8,94;8,96;642.603,00;71.800
POSI3;15/06/2023;15:20:00;8,92;8,95;8,91;8,95;416.867,00;46.700
POSI3;15/06/2023;15:15:00;8,95;8,95;8,92;8,92;67.029,00;7.500
POSI3;15/06/2023;15:10:00;8,96;8,97;8,92;8,94;140.361,00;15.700
POSI3;15/06/2023;15:05:00;8,98;8,99;8,95;8,96;223.476,00;24.900
POSI3;15/06/2023;15:00:00;8,98;9,00;8,97;8,99;412.832,00;45.900
POSI3;15/06/2023;14:55:00;8,97;8,99;8,95;8,97;390.059,00;43.500
POSI3;15/06/2023;14:50:00;8,89;8,96;8,89;8,96;1.895.694,00;212.400
POSI3;15/06/2023;14:45:00;8,87;8,90;8,87;8,89;144.911,00;16.300
POSI3;15/06/2023;14:40:00;8,86;8,89;8,85;8,88;171.254,00;19.300
POSI3;15/06/2023;14:35:00;8,87;8,88;8,85;8,85;107.251,00;12.100
POSI3;15/06/2023;14:30:00;8,90;8,91;8,86;8,87;631.121,00;71.000
POSI3;15/06/2023;14:25:00;8,89;8,91;8,89;8,89;213.580,00;24.000
POSI3;15/06/2023;14:20:00;8,86;8,90;8,86;8,89;527.933,00;59.400
POSI3;15/06/2023;14:15:00;8,85;8,87;8,84;8,86;139.953,00;15.800
POSI3;15/06/2023;14:10:00;8,86;8,86;8,84;8,85;183.256,00;20.700
POSI3;15/06/2023;14:05:00;8,86;8,87;8,83;8,84;383.048,00;43.300
POSI3;15/06/2023;14:00:00;8,88;8,88;8,86;8,86;202.195,00;22.800
POSI3;15/06/2023;13:55:00;8,89;8,90;8,88;8,89;147.586,00;16.600
POSI3;15/06/2023;13:50:00;8,89;8,90;8,88;8,89;115.596,00;13.000
POSI3;15/06/2023;13:45:00;8,89;8,90;8,88;8,89;128.917,00;14.500
POSI3;15/06/2023;13:40:00;8,92;8,92;8,88;8,90;193.147,00;21.700
POSI3;15/06/2023;13:35:00;8,91;8,94;8,90;8,91;366.028,00;41.000
POSI3;15/06/2023;13:30:00;8,90;8,92;8,89;8,92;247.570,00;27.800
POSI3;15/06/2023;13:25:00;8,86;8,89;8,86;8,89;162.560,00;18.300
POSI3;15/06/2023;13:20:00;8,87;8,88;8,86;8,86;77.168,00;8.700
POSI3;15/06/2023;13:15:00;8,88;8,89;8,87;8,88;247.789,00;27.900
POSI3;15/06/2023;13:10:00;8,89;8,89;8,87;8,87;65.704,00;7.400
POSI3;15/06/2023;13:05:00;8,89;8,90;8,88;8,89;312.015,00;35.100
POSI3;15/06/2023;13:00:00;8,88;8,90;8,87;8,89;94.245,00;10.600
POSI3;15/06/2023;12:55:00;8,87;8,89;8,86;8,88;246.772,00;27.800
POSI3;15/06/2023;12:50:00;8,89;8,90;8,86;8,87;267.554,00;30.100
POSI3;15/06/2023;12:45:00;8,88;8,92;8,85;8,89;1.263.270,00;142.000
POSI3;15/06/2023;12:40:00;8,85;8,89;8,84;8,88;249.220,00;28.100
POSI3;15/06/2023;12:35:00;8,85;8,88;8,83;8,85;164.648,00;18.600
POSI3;15/06/2023;12:30:00;8,84;8,88;8,84;8,85;688.025,00;77.700
POSI3;15/06/2023;12:25:00;8,83;8,85;8,82;8,84;161.679,00;18.300
POSI3;15/06/2023;12:20:00;8,81;8,84;8,80;8,83;130.601,00;14.800
POSI3;15/06/2023;12:15:00;8,77;8,85;8,76;8,81;266.915,00;30.300
POSI3;15/06/2023;12:10:00;8,72;8,79;8,72;8,77;222.206,00;25.400
POSI3;15/06/2023;12:05:00;8,74;8,76;8,71;8,72;343.141,00;39.300
POSI3;15/06/2023;12:00:00;8,80;8,80;8,72;8,74;696.826,00;79.600
POSI3;15/06/2023;11:55:00;8,82;8,85;8,79;8,79;233.799,00;26.500
