Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PRIO3;16/06/2023;17:30:00;36,27;36,39;36,25;36,26;1.368.087,00;37.700
PRIO3;16/06/2023;16:45:00;36,31;36,36;36,11;36,27;202.472.199,00;5.582.000
PRIO3;16/06/2023;16:40:00;36,33;36,35;36,24;36,31;13.290.719,00;366.100
PRIO3;16/06/2023;16:35:00;36,26;36,37;36,18;36,35;15.313.874,00;422.300
PRIO3;16/06/2023;16:30:00;36,15;36,28;36,15;36,28;5.774.047,00;159.400
PRIO3;16/06/2023;16:25:00;36,16;36,17;36,10;36,13;8.389.193,00;232.100
PRIO3;16/06/2023;16:20:00;36,25;36,26;36,10;36,16;7.076.873,00;195.700
PRIO3;16/06/2023;16:15:00;36,24;36,30;36,20;36,24;10.690.530,00;294.900
PRIO3;16/06/2023;16:10:00;36,22;36,30;36,19;36,24;11.239.965,00;309.900
PRIO3;16/06/2023;16:05:00;36,18;36,25;36,14;36,22;9.433.677,00;260.700
PRIO3;16/06/2023;16:00:00;36,16;36,28;36,10;36,18;11.863.626,00;327.800
PRIO3;16/06/2023;15:55:00;36,13;36,20;36,11;36,15;5.348.358,00;147.900
PRIO3;16/06/2023;15:50:00;36,04;36,15;36,03;36,13;2.787.542,00;77.200
PRIO3;16/06/2023;15:45:00;36,10;36,14;36,04;36,04;3.749.915,00;103.900
PRIO3;16/06/2023;15:40:00;36,05;36,14;35,98;36,11;4.872.086,00;135.100
PRIO3;16/06/2023;15:35:00;36,05;36,08;36,05;36,05;2.646.671,00;73.400
PRIO3;16/06/2023;15:30:00;36,05;36,10;36,02;36,05;2.531.060,00;70.200
PRIO3;16/06/2023;15:25:00;35,96;36,09;35,95;36,05;5.748.891,00;159.600
PRIO3;16/06/2023;15:20:00;35,92;35,98;35,89;35,96;1.926.261,00;53.600
PRIO3;16/06/2023;15:15:00;35,92;35,95;35,91;35,92;2.475.221,00;68.900
PRIO3;16/06/2023;15:10:00;35,92;35,94;35,89;35,92;1.770.953,00;49.300
PRIO3;16/06/2023;15:05:00;35,92;35,94;35,90;35,92;966.214,00;26.900
PRIO3;16/06/2023;15:00:00;35,91;35,95;35,89;35,92;5.180.465,00;144.200
PRIO3;16/06/2023;14:55:00;35,89;35,94;35,87;35,90;1.342.741,00;37.400
PRIO3;16/06/2023;14:50:00;35,97;35,99;35,86;35,87;2.470.830,00;68.800
PRIO3;16/06/2023;14:45:00;35,96;35,99;35,94;35,98;1.639.987,00;45.600
PRIO3;16/06/2023;14:40:00;35,91;35,96;35,90;35,95;1.110.302,00;30.900
PRIO3;16/06/2023;14:35:00;35,86;35,93;35,85;35,91;1.822.895,00;50.800
PRIO3;16/06/2023;14:30:00;35,90;35,97;35,87;35,87;2.728.678,00;76.000
PRIO3;16/06/2023;14:25:00;36,01;36,04;35,89;35,90;5.077.894,00;141.200
PRIO3;16/06/2023;14:20:00;35,90;36,10;35,90;36,02;15.416.978,00;428.500
PRIO3;16/06/2023;14:15:00;35,74;35,94;35,73;35,90;7.137.445,00;199.100
PRIO3;16/06/2023;14:10:00;35,76;35,77;35,71;35,73;854.172,00;23.900
PRIO3;16/06/2023;14:05:00;35,77;35,77;35,76;35,77;729.562,00;20.400
PRIO3;16/06/2023;14:00:00;35,83;35,83;35,78;35,78;1.005.998,00;28.100
PRIO3;16/06/2023;13:55:00;35,70;35,86;35,69;35,82;6.014.795,00;168.100
PRIO3;16/06/2023;13:50:00;35,69;35,70;35,66;35,70;742.269,00;20.800
PRIO3;16/06/2023;13:45:00;35,57;35,73;35,56;35,70;15.052.163,00;422.200
PRIO3;16/06/2023;13:40:00;35,53;35,58;35,51;35,58;2.282.168,00;64.200
PRIO3;16/06/2023;13:35:00;35,53;35,54;35,48;35,53;1.438.442,00;40.500
PRIO3;16/06/2023;13:30:00;35,54;35,56;35,53;35,54;1.350.424,00;38.000
PRIO3;16/06/2023;13:25:00;35,54;35,56;35,53;35,53;813.904,00;22.900
PRIO3;16/06/2023;13:20:00;35,50;35,55;35,49;35,54;3.740.824,00;105.300
PRIO3;16/06/2023;13:15:00;35,51;35,51;35,49;35,50;362.119,00;10.200
PRIO3;16/06/2023;13:10:00;35,52;35,53;35,48;35,50;2.652.606,00;74.700
PRIO3;16/06/2023;13:05:00;35,51;35,55;35,50;35,52;980.442,00;27.600
PRIO3;16/06/2023;13:00:00;35,50;35,56;35,48;35,51;706.951,00;19.900
PRIO3;16/06/2023;12:55:00;35,41;35,52;35,41;35,51;748.445,00;21.100
PRIO3;16/06/2023;12:50:00;35,48;35,52;35,40;35,41;6.959.754,00;196.300
PRIO3;16/06/2023;12:45:00;35,48;35,50;35,45;35,49;1.145.827,00;32.300
PRIO3;16/06/2023;12:40:00;35,49;35,55;35,48;35,48;617.803,00;17.400
PRIO3;16/06/2023;12:35:00;35,54;35,54;35,45;35,48;1.139.053,00;32.100
PRIO3;16/06/2023;12:30:00;35,52;35,58;35,52;35,55;636.497,00;17.900
PRIO3;16/06/2023;12:25:00;35,53;35,56;35,43;35,52;4.332.155,00;122.000
PRIO3;16/06/2023;12:20:00;35,55;35,58;35,53;35,55;2.118.897,00;59.600
PRIO3;16/06/2023;12:15:00;35,56;35,57;35,54;35,56;970.622,00;27.300
PRIO3;16/06/2023;12:10:00;35,56;35,57;35,54;35,56;1.372.379,00;38.600
PRIO3;16/06/2023;12:05:00;35,57;35,57;35,55;35,57;4.463.841,00;125.500
PRIO3;16/06/2023;12:00:00;35,59;35,59;35,54;35,56;483.667,00;13.600
PRIO3;16/06/2023;11:55:00;35,60;35,62;35,56;35,58;669.073,00;18.800
