Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PTBL3;16/06/2023;17:30:00;7,33;7,33;7,32;7,32;21.237,00;2.900
PTBL3;16/06/2023;16:45:00;7,29;7,33;7,28;7,33;402.662,00;55.000
PTBL3;16/06/2023;16:40:00;7,31;7,31;7,28;7,30;59.068,00;8.100
PTBL3;16/06/2023;16:35:00;7,32;7,32;7,30;7,30;149.024,00;20.400
PTBL3;16/06/2023;16:30:00;7,31;7,33;7,30;7,31;85.540,00;11.700
PTBL3;16/06/2023;16:25:00;7,31;7,31;7,30;7,30;18.993,00;2.600
PTBL3;16/06/2023;16:20:00;7,31;7,33;7,30;7,31;18.290,00;2.500
PTBL3;16/06/2023;16:15:00;7,30;7,32;7,30;7,32;23.404,00;3.200
PTBL3;16/06/2023;16:10:00;7,30;7,32;7,30;7,31;27.063,00;3.700
PTBL3;16/06/2023;16:05:00;7,31;7,32;7,30;7,31;108.797,00;14.900
PTBL3;16/06/2023;16:00:00;7,32;7,33;7,31;7,31;44.642,00;6.100
PTBL3;16/06/2023;15:55:00;7,32;7,33;7,31;7,32;84.913,00;11.600
PTBL3;16/06/2023;15:50:00;7,34;7,34;7,32;7,32;14.657,00;2.000
PTBL3;16/06/2023;15:45:00;7,35;7,35;7,33;7,34;16.885,00;2.300
PTBL3;16/06/2023;15:40:00;7,35;7,36;7,34;7,36;32.333,00;4.400
PTBL3;16/06/2023;15:35:00;7,36;7,37;7,35;7,36;13.248,00;1.800
PTBL3;16/06/2023;15:30:00;7,37;7,37;7,35;7,37;17.664,00;2.400
PTBL3;16/06/2023;15:25:00;7,36;7,37;7,35;7,36;11.042,00;1.500
PTBL3;16/06/2023;15:20:00;7,35;7,37;7,35;7,37;36.801,00;5.000
PTBL3;16/06/2023;15:15:00;7,34;7,35;7,33;7,35;38.910,00;5.300
PTBL3;16/06/2023;15:10:00;7,36;7,36;7,34;7,34;9.555,00;1.300
PTBL3;16/06/2023;15:05:00;7,36;7,37;7,34;7,35;47.111,00;6.400
PTBL3;16/06/2023;15:00:00;7,35;7,36;7,34;7,35;30.858,00;4.200
PTBL3;16/06/2023;14:55:00;7,34;7,36;7,34;7,36;15.431,00;2.100
PTBL3;16/06/2023;14:50:00;7,34;7,34;7,33;7,33;75.601,00;10.300
PTBL3;16/06/2023;14:45:00;7,35;7,36;7,35;7,35;8.822,00;1.200
PTBL3;16/06/2023;14:40:00;7,33;7,35;7,33;7,34;22.023,00;3.000
PTBL3;16/06/2023;14:35:00;7,33;7,34;7,32;7,32;5.131,00;700
PTBL3;16/06/2023;14:30:00;7,32;7,34;7,31;7,33;73.243,00;10.000
PTBL3;16/06/2023;14:25:00;7,33;7,33;7,32;7,33;8.794,00;1.200
PTBL3;16/06/2023;14:20:00;7,33;7,33;7,32;7,33;6.596,00;900
PTBL3;16/06/2023;14:15:00;7,36;7,36;7,33;7,34;70.571,00;9.600
PTBL3;16/06/2023;14:10:00;7,36;7,36;7,35;7,36;16.190,00;2.200
PTBL3;16/06/2023;14:05:00;7,37;7,38;7,37;7,37;3.686,00;500
PTBL3;16/06/2023;14:00:00;7,37;7,39;7,37;7,37;21.401,00;2.900
PTBL3;16/06/2023;13:55:00;7,37;7,40;7,37;7,38;201.630,00;27.300
PTBL3;16/06/2023;13:50:00;7,36;7,38;7,36;7,38;8.106,00;1.100
PTBL3;16/06/2023;13:45:00;7,37;7,38;7,36;7,37;52.265,00;7.100
PTBL3;16/06/2023;13:40:00;7,34;7,37;7,34;7,37;124.183,00;16.900
PTBL3;16/06/2023;13:35:00;7,30;7,34;7,30;7,34;43.868,00;6.000
PTBL3;16/06/2023;13:30:00;7,32;7,33;7,31;7,31;55.633,00;7.600
PTBL3;16/06/2023;13:25:00;7,34;7,34;7,32;7,33;33.739,00;4.600
PTBL3;16/06/2023;13:20:00;7,34;7,35;7,34;7,35;16.156,00;2.200
PTBL3;16/06/2023;13:15:00;7,34;7,35;7,34;7,34;13.947,00;1.900
PTBL3;16/06/2023;13:10:00;7,35;7,35;7,34;7,35;7.348,00;1.000
PTBL3;16/06/2023;13:05:00;7,32;7,34;7,32;7,34;38.890,00;5.300
PTBL3;16/06/2023;13:00:00;7,29;7,33;7,29;7,33;98.074,00;13.400
PTBL3;16/06/2023;12:55:00;7,30;7,31;7,30;7,30;32.858,00;4.500
PTBL3;16/06/2023;12:50:00;7,31;7,32;7,30;7,30;9.502,00;1.300
PTBL3;16/06/2023;12:45:00;7,32;7,32;7,31;7,31;1.463,00;200
PTBL3;16/06/2023;12:40:00;7,31;7,33;7,30;7,32;73.091,00;10.000
PTBL3;16/06/2023;12:35:00;7,33;7,33;7,31;7,32;49.775,00;6.800
PTBL3;16/06/2023;12:30:00;7,32;7,33;7,32;7,33;34.414,00;4.700
PTBL3;16/06/2023;12:25:00;7,33;7,33;7,32;7,33;6.594,00;900
PTBL3;16/06/2023;12:20:00;7,32;7,34;7,32;7,33;57.902,00;7.900
PTBL3;16/06/2023;12:15:00;7,35;7,36;7,33;7,33;27.917,00;3.800
PTBL3;16/06/2023;12:10:00;7,34;7,35;7,33;7,34;24.946,00;3.400
PTBL3;16/06/2023;12:05:00;7,34;7,34;7,34;7,34;7.340,00;1.000
PTBL3;16/06/2023;12:00:00;7,34;7,35;7,33;7,34;16.880,00;2.300
PTBL3;16/06/2023;11:55:00;7,36;7,36;7,34;7,34;16.915,00;2.300
PTBL3;16/06/2023;11:50:00;7,36;7,37;7,36;7,37;39.796,00;5.400
PTBL3;16/06/2023;11:45:00;7,35;7,37;7,35;7,37;15.466,00;2.100
PTBL3;16/06/2023;11:40:00;7,35;7,38;7,35;7,36;27.986,00;3.800
PTBL3;16/06/2023;11:35:00;7,36;7,36;7,35;7,35;27.935,00;3.800
PTBL3;16/06/2023;11:30:00;7,35;7,36;7,35;7,36;6.621,00;900
PTBL3;16/06/2023;11:25:00;7,37;7,37;7,33;7,35;62.461,00;8.500
PTBL3;16/06/2023;11:20:00;7,38;7,39;7,38;7,38;16.243,00;2.200
PTBL3;16/06/2023;11:15:00;7,39;7,40;7,37;7,39;77.556,00;10.500
PTBL3;16/06/2023;11:10:00;7,37;7,39;7,37;7,39;121.750,00;16.500
PTBL3;16/06/2023;11:05:00;7,35;7,37;7,35;7,37;83.173,00;11.300
PTBL3;16/06/2023;11:00:00;7,34;7,37;7,32;7,35;254.796,00;34.700
PTBL3;16/06/2023;10:55:00;7,34;7,34;7,32;7,33;46.920,00;6.400
PTBL3;16/06/2023;10:50:00;7,31;7,33;7,31;7,33;24.147,00;3.300
PTBL3;16/06/2023;10:45:00;7,27;7,33;7,27;7,32;403.948,00;55.300
PTBL3;16/06/2023;10:40:00;7,27;7,28;7,26;7,28;37.082,00;5.100
PTBL3;16/06/2023;10:35:00;7,24;7,27;7,24;7,27;21.790,00;3.000
PTBL3;16/06/2023;10:30:00;7,23;7,25;7,23;7,25;60.814,00;8.400
PTBL3;16/06/2023;10:25:00;7,25;7,26;7,23;7,25;133.490,00;18.400
PTBL3;16/06/2023;10:20:00;7,26;7,26;7,25;7,25;110.300,00;15.200
PTBL3;16/06/2023;10:15:00;7,20;7,23;7,20;7,23;15.146,00;2.100
PTBL3;16/06/2023;10:10:00;7,20;7,21;7,17;7,21;97.742,00;13.600
PTBL3;16/06/2023;10:05:00;7,27;7,27;7,20;7,20;74.340,00;10.300
PTBL3;16/06/2023;10:00:00;7,24;7,31;7,20;7,26;233.242,00;32.200
PTBL3;15/06/2023;17:30:00;7,31;7,31;7,30;7,31;37.269,00;5.100
PTBL3;15/06/2023;16:50:00;7,34;7,35;7,31;7,31;704.880,00;96.300
PTBL3;15/06/2023;16:45:00;7,35;7,35;7,33;7,34;115.228,00;15.700
PTBL3;15/06/2023;16:40:00;7,34;7,35;7,32;7,35;267.632,00;36.500
PTBL3;15/06/2023;16:35:00;7,34;7,35;7,33;7,33;100.452,00;13.700
PTBL3;15/06/2023;16:30:00;7,34;7,35;7,33;7,35;307.311,00;41.900
PTBL3;15/06/2023;16:25:00;7,35;7,35;7,33;7,34;82.929,00;11.300
PTBL3;15/06/2023;16:20:00;7,34;7,37;7,34;7,35;144.082,00;19.600
PTBL3;15/06/2023;16:15:00;7,37;7,37;7,33;7,34;121.287,00;16.500
PTBL3;15/06/2023;16:10:00;7,31;7,38;7,31;7,37;579.066,00;78.900
PTBL3;15/06/2023;16:05:00;7,29;7,31;7,28;7,31;69.917,00;9.600
PTBL3;15/06/2023;16:00:00;7,30;7,30;7,28;7,29;12.385,00;1.700
PTBL3;15/06/2023;15:55:00;7,30;7,31;7,29;7,30;49.627,00;6.800
PTBL3;15/06/2023;15:50:00;7,29;7,30;7,29;7,30;13.864,00;1.900
PTBL3;15/06/2023;15:45:00;7,29;7,30;7,28;7,29;51.729,00;7.100
PTBL3;15/06/2023;15:40:00;7,30;7,30;7,29;7,29;35.724,00;4.900
PTBL3;15/06/2023;15:35:00;7,31;7,31;7,30;7,30;37.270,00;5.100
PTBL3;15/06/2023;15:30:00;7,28;7,31;7,28;7,31;34.999,00;4.800
PTBL3;15/06/2023;15:25:00;7,31;7,32;7,28;7,28;59.117,00;8.100
PTBL3;15/06/2023;15:20:00;7,31;7,31;7,31;7,31;32.164,00;4.400
