Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PTNT4;16/06/2023;16:45:00;6,60;6,60;6,55;6,55;28.845,00;4.400
PTNT4;16/06/2023;16:30:00;6,58;6,58;6,58;6,58;1.974,00;300
PTNT4;16/06/2023;16:20:00;6,58;6,58;6,58;6,58;1.974,00;300
PTNT4;16/06/2023;16:15:00;6,58;6,58;6,58;6,58;658,00;100
PTNT4;16/06/2023;16:00:00;6,58;6,58;6,58;6,58;1.974,00;300
PTNT4;16/06/2023;15:50:00;6,58;6,58;6,58;6,58;658,00;100
PTNT4;16/06/2023;15:30:00;6,58;6,58;6,58;6,58;658,00;100
PTNT4;16/06/2023;15:20:00;6,56;6,56;6,55;6,55;4.588,00;700
PTNT4;16/06/2023;15:10:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;14:45:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;14:25:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;14:20:00;6,58;6,59;6,58;6,59;2.635,00;400
PTNT4;16/06/2023;14:10:00;6,57;6,57;6,56;6,56;4.594,00;700
PTNT4;16/06/2023;14:05:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;13:40:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;13:20:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;12:55:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;12:50:00;6,56;6,56;6,55;6,55;6.551,00;1.000
PTNT4;16/06/2023;12:35:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;12:25:00;6,56;6,56;6,56;6,56;3.280,00;500
PTNT4;16/06/2023;12:20:00;6,56;6,56;6,56;6,56;1.968,00;300
PTNT4;16/06/2023;12:15:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;11:50:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;11:45:00;6,56;6,56;6,56;6,56;656,00;100
PTNT4;16/06/2023;11:30:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;11:10:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;11:05:00;6,56;6,56;6,56;6,56;1.312,00;200
PTNT4;16/06/2023;10:45:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;10:25:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;16/06/2023;10:20:00;6,58;6,58;6,56;6,56;9.849,00;1.500
PTNT4;16/06/2023;10:15:00;6,60;6,60;6,59;6,59;6.591,00;1.000
PTNT4;16/06/2023;10:00:00;6,60;6,60;6,59;6,59;1.319,00;200
PTNT4;15/06/2023;16:45:00;6,66;6,69;6,56;6,56;10.529,00;1.600
PTNT4;15/06/2023;16:40:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;15/06/2023;16:30:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;15/06/2023;16:15:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;15/06/2023;16:05:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;15/06/2023;16:00:00;6,69;6,69;6,69;6,69;2.676,00;400
PTNT4;15/06/2023;15:55:00;6,69;6,69;6,69;6,69;669,00;100
PTNT4;15/06/2023;15:45:00;6,66;6,68;6,66;6,68;9.337,00;1.400
PTNT4;15/06/2023;15:30:00;6,66;6,66;6,66;6,66;666,00;100
PTNT4;15/06/2023;15:20:00;6,66;6,66;6,66;6,66;666,00;100
PTNT4;15/06/2023;15:15:00;6,66;6,66;6,66;6,66;666,00;100
PTNT4;15/06/2023;14:25:00;6,61;6,61;6,61;6,61;661,00;100
PTNT4;15/06/2023;14:15:00;6,61;6,61;6,60;6,60;3.302,00;500
PTNT4;15/06/2023;13:45:00;6,63;6,63;6,60;6,61;7.272,00;1.100
PTNT4;14/06/2023;16:40:00;6,61;6,79;6,61;6,64;29.418,00;4.400
PTNT4;14/06/2023;16:00:00;6,60;6,60;6,60;6,60;3.300,00;500
PTNT4;14/06/2023;15:15:00;6,61;6,62;6,61;6,62;3.970,00;600
PTNT4;14/06/2023;13:40:00;6,56;6,56;6,53;6,53;1.309,00;200
PTNT4;14/06/2023;12:30:00;6,56;6,56;6,56;6,56;656,00;100
PTNT4;14/06/2023;11:50:00;6,57;6,57;6,57;6,57;1.971,00;300
PTNT4;14/06/2023;10:00:00;6,60;6,60;6,60;6,60;660,00;100
PTNT4;13/06/2023;17:30:00;6,58;6,58;6,58;6,58;658,00;100
PTNT4;13/06/2023;16:40:00;6,70;6,70;6,50;6,50;3.980,00;600
PTNT4;13/06/2023;15:55:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;13/06/2023;15:40:00;6,74;6,74;6,74;6,74;674,00;100
PTNT4;13/06/2023;15:05:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;13/06/2023;14:55:00;6,70;6,70;6,70;6,70;1.340,00;200
PTNT4;13/06/2023;14:40:00;6,73;6,73;6,70;6,70;22.133,00;3.300
PTNT4;13/06/2023;14:30:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;13/06/2023;13:55:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;13/06/2023;13:20:00;6,80;6,84;6,80;6,84;2.724,00;400
PTNT4;13/06/2023;12:45:00;6,81;6,81;6,81;6,81;681,00;100
PTNT4;13/06/2023;12:15:00;6,81;6,81;6,81;6,81;681,00;100
PTNT4;13/06/2023;11:40:00;6,80;6,84;6,80;6,84;2.044,00;300
PTNT4;13/06/2023;10:35:00;6,84;6,84;6,84;6,84;684,00;100
PTNT4;12/06/2023;16:45:00;6,79;6,79;6,79;6,79;679,00;100
PTNT4;12/06/2023;16:40:00;6,79;6,79;6,79;6,79;679,00;100
PTNT4;12/06/2023;16:35:00;6,76;6,76;6,76;6,76;2.704,00;400
PTNT4;12/06/2023;16:30:00;6,76;6,76;6,76;6,76;2.028,00;300
PTNT4;12/06/2023;16:25:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;16:10:00;6,79;6,80;6,79;6,80;5.436,00;800
PTNT4;12/06/2023;15:55:00;6,79;6,79;6,79;6,79;679,00;100
PTNT4;12/06/2023;15:35:00;6,79;6,79;6,79;6,79;679,00;100
PTNT4;12/06/2023;15:20:00;6,79;6,79;6,79;6,79;679,00;100
PTNT4;12/06/2023;15:15:00;6,76;6,79;6,76;6,79;20.335,00;3.000
PTNT4;12/06/2023;15:05:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;12/06/2023;14:50:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;12/06/2023;14:35:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;12/06/2023;14:20:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;12/06/2023;14:05:00;6,76;6,76;6,76;6,76;676,00;100
PTNT4;12/06/2023;13:50:00;6,75;6,76;6,75;6,76;1.351,00;200
PTNT4;12/06/2023;13:40:00;6,71;6,71;6,70;6,70;10.055,00;1.500
PTNT4;12/06/2023;13:35:00;6,80;6,80;6,70;6,70;16.131,00;2.400
PTNT4;12/06/2023;13:30:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;13:05:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;12:50:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;12:35:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;12:15:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;12:00:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;11:45:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;11:30:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;11:15:00;6,80;6,80;6,80;6,80;680,00;100
PTNT4;12/06/2023;11:10:00;6,80;6,80;6,76;6,76;6.764,00;1.000
PTNT4;12/06/2023;10:00:00;6,76;6,76;6,76;6,76;1.352,00;200
PTNT4;09/06/2023;16:45:00;6,78;6,78;6,73;6,73;11.446,00;1.700
PTNT4;09/06/2023;16:35:00;6,78;6,78;6,78;6,78;678,00;100
PTNT4;09/06/2023;16:25:00;6,78;6,78;6,78;6,78;9.492,00;1.400
PTNT4;09/06/2023;15:55:00;6,89;6,89;6,89;6,89;689,00;100
PTNT4;09/06/2023;15:50:00;6,88;6,89;6,88;6,89;35.089,00;5.100
PTNT4;09/06/2023;15:45:00;6,88;6,88;6,88;6,88;12.384,00;1.800
PTNT4;09/06/2023;15:40:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;15:25:00;6,88;6,88;6,88;6,88;7.568,00;1.100
PTNT4;09/06/2023;15:15:00;6,88;6,88;6,78;6,78;4.078,00;600
PTNT4;09/06/2023;15:00:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;14:50:00;6,87;6,87;6,87;6,87;687,00;100
PTNT4;09/06/2023;14:35:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;14:25:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;14:10:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;14:00:00;6,88;6,88;6,88;6,88;688,00;100
PTNT4;09/06/2023;13:45:00;6,84;6,89;6,84;6,89;11.633,00;1.700
PTNT4;09/06/2023;13:35:00;6,83;6,83;6,83;6,83;683,00;100
PTNT4;09/06/2023;13:20:00;6,84;6,84;6,84;6,84;684,00;100
PTNT4;09/06/2023;13:10:00;6,84;6,84;6,84;6,84;684,00;100
PTNT4;09/06/2023;12:55:00;6,84;6,84;6,84;6,84;684,00;100
PTNT4;09/06/2023;12:45:00;6,84;6,84;6,84;6,84;684,00;100
