Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
QBTC11;16/06/2023;17:30:00;7,81;7,90;7,81;7,90;2.060,71;262
QBTC11;16/06/2023;16:45:00;7,92;7,94;7,86;7,86;47.529,56;6.047
QBTC11;16/06/2023;16:40:00;7,92;7,95;7,92;7,95;57.558,52;7.252
QBTC11;16/06/2023;16:35:00;7,92;7,93;7,92;7,93;3.777,85;477
QBTC11;16/06/2023;16:30:00;7,93;7,93;7,92;7,92;1.948,47;246
QBTC11;16/06/2023;16:25:00;7,92;7,94;7,92;7,93;1.196,85;151
QBTC11;16/06/2023;16:20:00;7,92;7,94;7,92;7,94;293,06;37
QBTC11;16/06/2023;16:15:00;7,92;7,95;7,92;7,95;9.455,03;1.191
QBTC11;16/06/2023;16:10:00;7,94;7,94;7,92;7,92;801,92;101
QBTC11;16/06/2023;16:05:00;7,94;7,95;7,92;7,94;11.275,33;1.420
QBTC11;16/06/2023;16:00:00;7,96;7,96;7,94;7,94;3.537,66;445
QBTC11;16/06/2023;15:55:00;7,95;7,96;7,94;7,96;604,09;76
QBTC11;16/06/2023;15:50:00;7,95;7,96;7,94;7,94;1.073,45;135
QBTC11;16/06/2023;15:45:00;7,96;7,96;7,96;7,96;1.154,20;145
QBTC11;16/06/2023;15:40:00;7,94;7,96;7,94;7,96;937,02;118
QBTC11;16/06/2023;15:35:00;7,95;7,96;7,94;7,94;2.392,14;301
QBTC11;16/06/2023;15:30:00;7,95;7,96;7,93;7,93;2.040,68;257
QBTC11;16/06/2023;15:25:00;7,95;7,97;7,94;7,94;2.864,90;360
QBTC11;16/06/2023;15:20:00;7,95;7,97;7,94;7,94;8.317,49;1.045
QBTC11;16/06/2023;15:15:00;7,96;7,96;7,93;7,95;5.444,58;685
QBTC11;16/06/2023;15:10:00;7,96;7,96;7,94;7,96;2.896,04;364
QBTC11;16/06/2023;15:05:00;7,93;7,97;7,93;7,97;13.104,56;1.650
QBTC11;16/06/2023;15:00:00;7,93;7,94;7,92;7,93;17.189,18;2.167
QBTC11;16/06/2023;14:55:00;7,89;7,94;7,89;7,94;44.466,32;5.618
QBTC11;16/06/2023;14:50:00;7,87;7,89;7,85;7,89;10.455,52;1.328
QBTC11;16/06/2023;14:45:00;7,88;7,88;7,84;7,84;47.626,44;6.073
QBTC11;16/06/2023;14:40:00;7,86;7,87;7,85;7,85;78,60;10
QBTC11;16/06/2023;14:35:00;7,83;7,87;7,83;7,84;674,75;86
QBTC11;16/06/2023;14:30:00;7,83;7,83;7,83;7,83;5.191,29;663
QBTC11;16/06/2023;14:25:00;7,84;7,85;7,82;7,82;1.066,57;136
QBTC11;16/06/2023;14:20:00;7,85;7,89;7,85;7,85;7.518,42;956
QBTC11;16/06/2023;14:15:00;7,82;7,85;7,82;7,85;2.327,51;297
QBTC11;16/06/2023;14:10:00;7,84;7,85;7,82;7,82;1.283,70;164
QBTC11;16/06/2023;14:05:00;7,84;7,85;7,83;7,83;454,54;58
QBTC11;16/06/2023;14:00:00;7,81;7,84;7,81;7,84;2.985,58;381
QBTC11;16/06/2023;13:55:00;7,80;7,81;7,79;7,81;499,34;64
QBTC11;16/06/2023;13:50:00;7,81;7,81;7,79;7,79;826,15;106
QBTC11;16/06/2023;13:45:00;7,80;7,81;7,79;7,81;601,34;77
QBTC11;16/06/2023;13:40:00;7,80;7,81;7,80;7,81;858,60;110
QBTC11;16/06/2023;13:35:00;7,80;7,81;7,79;7,81;5.784,93;741
QBTC11;16/06/2023;13:30:00;7,77;7,79;7,77;7,78;3.408,03;438
QBTC11;16/06/2023;13:25:00;7,76;7,77;7,75;7,77;1.163,47;150
QBTC11;16/06/2023;13:20:00;7,75;7,75;7,73;7,75;5.135,91;663
QBTC11;16/06/2023;13:15:00;7,73;7,75;7,72;7,75;2.790,82;361
QBTC11;16/06/2023;13:10:00;7,72;7,73;7,72;7,72;1.738,11;225
QBTC11;16/06/2023;13:05:00;7,71;7,72;7,71;7,72;509,49;66
QBTC11;16/06/2023;13:00:00;7,71;7,72;7,71;7,72;948,54;123
QBTC11;16/06/2023;12:55:00;7,71;7,72;7,71;7,72;146,60;19
QBTC11;16/06/2023;12:50:00;7,72;7,72;7,72;7,72;154,40;20
