Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
QETH11;06/06/2023;11:20:00;6,29;6,29;6,29;6,29;6,29;1
QETH11;06/06/2023;11:15:00;6,29;6,29;6,23;6,24;6.608,49;1.058
QETH11;06/06/2023;11:05:00;6,29;6,32;6,28;6,31;10.794,13;1.711
QETH11;06/06/2023;10:55:00;6,28;6,29;6,28;6,29;942,50;150
QETH11;06/06/2023;10:50:00;6,29;6,29;6,29;6,29;69,19;11
QETH11;06/06/2023;10:45:00;6,25;6,25;6,25;6,25;2.268,75;363
QETH11;06/06/2023;10:40:00;6,21;6,22;6,20;6,22;943,42;152
QETH11;06/06/2023;10:35:00;6,21;6,25;6,19;6,19;17.936,94;2.877
QETH11;06/06/2023;10:30:00;6,23;6,24;6,21;6,21;1.887,68;303
QETH11;06/06/2023;10:25:00;6,25;6,25;6,25;6,25;6,25;1
QETH11;06/06/2023;10:20:00;6,25;6,25;6,25;6,25;1.137,50;182
QETH11;06/06/2023;10:15:00;6,25;6,25;6,25;6,25;9.831,25;1.573
QETH11;06/06/2023;10:10:00;6,23;6,26;6,23;6,25;7.996,71;1.279
QETH11;06/06/2023;10:05:00;6,26;6,27;6,17;6,17;5.292,06;847
QETH11;05/06/2023;17:30:00;6,27;6,27;6,27;6,27;112.784,76;17.988
QETH11;05/06/2023;16:50:00;6,36;6,36;6,27;6,27;58.842,13;9.379
QETH11;05/06/2023;16:45:00;6,37;6,38;6,36;6,36;11.435,32;1.795
QETH11;05/06/2023;16:40:00;6,40;6,40;6,35;6,38;91.051,76;14.271
QETH11;05/06/2023;16:35:00;6,42;6,42;6,40;6,40;230,44;36
QETH11;05/06/2023;16:30:00;6,41;6,42;6,41;6,42;706,18;110
QETH11;05/06/2023;16:25:00;6,39;6,40;6,36;6,38;5.201,70;815
QETH11;05/06/2023;16:20:00;6,42;6,42;6,16;6,39;41.065,22;6.483
QETH11;05/06/2023;16:15:00;6,42;6,42;6,42;6,42;173,34;27
QETH11;05/06/2023;16:10:00;6,42;6,42;6,42;6,42;1.964,52;306
QETH11;05/06/2023;16:05:00;6,38;6,43;6,38;6,41;46.854,55;7.341
QETH11;05/06/2023;15:55:00;6,53;6,53;6,15;6,15;111.557,63;17.453
QETH11;05/06/2023;15:50:00;6,52;6,53;6,52;6,53;1.669,18;256
QETH11;05/06/2023;15:45:00;6,53;6,55;6,53;6,53;614,24;94
QETH11;05/06/2023;15:40:00;6,55;6,55;6,53;6,53;992,77;152
QETH11;05/06/2023;15:35:00;6,55;6,55;6,55;6,55;26,20;4
QETH11;05/06/2023;15:30:00;6,53;6,55;6,53;6,55;6.656,75;1.017
QETH11;05/06/2023;15:25:00;6,53;6,53;6,53;6,53;45,71;7
QETH11;05/06/2023;15:20:00;6,53;6,53;6,53;6,53;32,65;5
QETH11;05/06/2023;15:15:00;6,54;6,54;6,53;6,53;39,20;6
QETH11;05/06/2023;15:10:00;6,53;6,54;6,53;6,54;39,21;6
QETH11;05/06/2023;15:05:00;6,50;6,53;6,50;6,53;2.487,68;382
QETH11;05/06/2023;15:00:00;6,50;6,52;6,50;6,50;208,08;32
QETH11;05/06/2023;14:55:00;6,51;6,53;6,51;6,51;1.347,60;207
QETH11;05/06/2023;14:50:00;6,52;6,52;6,50;6,51;955,71;147
QETH11;05/06/2023;14:45:00;6,52;6,53;6,51;6,51;436,83;67
QETH11;05/06/2023;14:40:00;6,52;6,52;6,52;6,52;652,00;100
QETH11;05/06/2023;14:35:00;6,52;6,52;6,50;6,52;683,55;105
QETH11;05/06/2023;14:30:00;6,54;6,54;6,51;6,52;2.305,31;353
QETH11;05/06/2023;14:25:00;6,54;6,54;6,52;6,54;189,14;29
QETH11;05/06/2023;14:20:00;6,54;6,54;6,51;6,54;561,02;86
QETH11;05/06/2023;14:15:00;6,51;6,54;6,51;6,54;5.787,48;889
QETH11;05/06/2023;14:10:00;6,52;6,52;6,52;6,52;26,08;4
QETH11;05/06/2023;14:05:00;6,52;6,54;6,51;6,52;703,73;108
QETH11;05/06/2023;14:00:00;6,52;6,54;6,51;6,52;1.784,57;274
QETH11;05/06/2023;13:55:00;6,55;6,55;6,53;6,53;1.269,63;194
QETH11;05/06/2023;13:50:00;6,59;6,61;6,55;6,55;10.656,08;1.626
QETH11;05/06/2023;13:45:00;6,57;6,59;6,57;6,59;203,71;31
QETH11;05/06/2023;13:40:00;6,57;6,59;6,52;6,57;282,13;43
QETH11;05/06/2023;13:35:00;6,54;6,57;6,53;6,57;3.129,81;478
QETH11;05/06/2023;13:30:00;6,48;6,54;6,48;6,54;14.021,72;2.159
QETH11;05/06/2023;13:20:00;6,47;6,48;6,47;6,48;4.378,12;676
QETH11;05/06/2023;13:15:00;6,48;6,48;6,46;6,47;1.463,93;226
QETH11;05/06/2023;13:10:00;6,48;6,48;6,48;6,48;2.695,68;416
QETH11;05/06/2023;13:05:00;6,47;6,47;6,47;6,47;659,94;102
QETH11;05/06/2023;13:00:00;6,47;6,47;6,47;6,47;258,80;40
QETH11;05/06/2023;12:55:00;6,55;6,55;6,47;6,47;2.217,97;341
QETH11;05/06/2023;12:50:00;6,56;6,56;6,55;6,55;2.424,70;370
QETH11;05/06/2023;12:45:00;6,55;6,55;6,55;6,55;6,55;1
QETH11;05/06/2023;12:40:00;6,55;6,56;6,55;6,55;661,56;101
QETH11;05/06/2023;12:35:00;6,60;6,60;6,55;6,55;465,24;71
QETH11;05/06/2023;12:25:00;6,59;6,59;6,59;6,59;6,59;1
QETH11;05/06/2023;12:15:00;6,59;6,60;6,59;6,59;587,00;89
QETH11;05/06/2023;12:10:00;6,57;6,60;6,57;6,59;1.126,77;171
QETH11;05/06/2023;12:05:00;6,60;6,60;6,58;6,58;382,34;58
QETH11;05/06/2023;11:55:00;6,60;6,60;6,60;6,60;660,00;100
QETH11;05/06/2023;11:50:00;6,68;6,68;6,58;6,58;10.363,18;1.566
QETH11;05/06/2023;11:45:00;6,68;6,68;6,68;6,68;60,12;9
QETH11;05/06/2023;11:35:00;6,67;6,68;6,66;6,68;2.482,05;372
QETH11;05/06/2023;11:30:00;6,67;6,69;6,67;6,69;687,07;103
QETH11;05/06/2023;11:25:00;6,65;6,65;6,65;6,65;332,50;50
QETH11;05/06/2023;11:15:00;6,67;6,67;6,67;6,67;4.382,19;657
QETH11;05/06/2023;11:10:00;6,67;6,67;6,67;6,67;693,68;104
QETH11;05/06/2023;11:05:00;6,66;6,68;6,66;6,67;1.074,04;161
QETH11;05/06/2023;11:00:00;6,66;6,66;6,66;6,66;133,20;20
QETH11;05/06/2023;10:55:00;6,67;6,67;6,64;6,66;1.003,79;151
QETH11;05/06/2023;10:50:00;6,68;6,68;6,68;6,68;200,40;30
QETH11;05/06/2023;10:45:00;6,68;6,68;6,68;6,68;46,76;7
QETH11;05/06/2023;10:40:00;6,69;6,69;6,65;6,65;5.010,41;751
QETH11;05/06/2023;10:35:00;6,70;6,70;6,69;6,69;2.062,30;308
