Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
QUAL3;06/06/2023;11:20:00;4,92;4,93;4,91;4,93;126.936,00;25.800
QUAL3;06/06/2023;11:15:00;4,92;4,92;4,90;4,91;194.780,00;39.700
QUAL3;06/06/2023;11:10:00;4,94;4,94;4,90;4,91;627.161,00;127.700
QUAL3;06/06/2023;11:05:00;4,86;4,94;4,86;4,94;709.918,00;145.100
QUAL3;06/06/2023;11:00:00;4,80;4,88;4,80;4,86;1.074.838,00;222.400
QUAL3;06/06/2023;10:55:00;4,70;4,79;4,70;4,79;1.179.433,00;248.400
QUAL3;06/06/2023;10:50:00;4,72;4,72;4,69;4,70;237.922,00;50.600
QUAL3;06/06/2023;10:45:00;4,72;4,72;4,68;4,72;323.763,00;68.800
QUAL3;06/06/2023;10:40:00;4,70;4,72;4,69;4,72;326.599,00;69.500
QUAL3;06/06/2023;10:35:00;4,68;4,70;4,67;4,69;105.957,00;22.600
QUAL3;06/06/2023;10:30:00;4,69;4,70;4,67;4,68;344.972,00;73.600
QUAL3;06/06/2023;10:25:00;4,69;4,70;4,68;4,70;110.217,00;23.500
QUAL3;06/06/2023;10:20:00;4,68;4,69;4,67;4,68;310.163,00;66.300
QUAL3;06/06/2023;10:15:00;4,74;4,75;4,69;4,69;467.472,00;99.100
QUAL3;06/06/2023;10:10:00;4,76;4,78;4,73;4,73;584.233,00;122.900
QUAL3;06/06/2023;10:05:00;4,70;4,76;4,67;4,76;460.263,00;97.500
QUAL3;06/06/2023;10:00:00;4,68;4,70;4,64;4,70;281.765,00;60.200
QUAL3;05/06/2023;17:30:00;4,66;4,67;4,65;4,67;43.369,00;9.300
QUAL3;05/06/2023;16:50:00;4,66;4,67;4,65;4,67;562.054,00;120.500
QUAL3;05/06/2023;16:45:00;4,66;4,66;4,65;4,66;161.522,00;34.700
QUAL3;05/06/2023;16:40:00;4,65;4,67;4,65;4,66;304.896,00;65.500
QUAL3;05/06/2023;16:35:00;4,64;4,65;4,64;4,65;200.649,00;43.200
QUAL3;05/06/2023;16:30:00;4,64;4,66;4,64;4,65;218.533,00;47.000
QUAL3;05/06/2023;16:25:00;4,64;4,65;4,63;4,64;216.690,00;46.700
QUAL3;05/06/2023;16:20:00;4,63;4,65;4,62;4,65;211.529,00;45.600
QUAL3;05/06/2023;16:15:00;4,63;4,65;4,63;4,63;227.353,00;49.000
QUAL3;05/06/2023;16:10:00;4,64;4,64;4,62;4,63;184.033,00;39.700
QUAL3;05/06/2023;16:05:00;4,65;4,65;4,64;4,64;164.598,00;35.400
