Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RADL3;06/06/2023;11:20:00;27,85;27,86;27,81;27,81;186.524,00;6.700
RADL3;06/06/2023;11:15:00;27,87;27,88;27,84;27,86;615.592,00;22.100
RADL3;06/06/2023;11:10:00;27,80;27,88;27,79;27,88;395.181,00;14.200
RADL3;06/06/2023;11:05:00;27,76;27,83;27,75;27,79;1.569.343,00;56.500
RADL3;06/06/2023;11:00:00;27,74;27,81;27,70;27,74;591.244,00;21.300
RADL3;06/06/2023;10:55:00;27,68;27,78;27,68;27,74;438.179,00;15.800
RADL3;06/06/2023;10:50:00;27,77;27,77;27,66;27,66;659.290,00;23.800
RADL3;06/06/2023;10:45:00;27,77;27,77;27,68;27,75;798.032,00;28.800
RADL3;06/06/2023;10:40:00;27,70;27,77;27,65;27,77;315.929,00;11.400
RADL3;06/06/2023;10:35:00;27,74;27,78;27,68;27,68;748.506,00;27.000
RADL3;06/06/2023;10:30:00;27,66;27,81;27,65;27,73;1.189.729,00;42.900
RADL3;06/06/2023;10:25:00;27,70;27,72;27,62;27,65;893.393,00;32.300
RADL3;06/06/2023;10:20:00;27,72;27,74;27,67;27,70;598.331,00;21.600
RADL3;06/06/2023;10:15:00;27,81;27,83;27,70;27,73;813.583,00;29.300
RADL3;06/06/2023;10:10:00;27,92;27,92;27,80;27,81;1.046.815,00;37.600
RADL3;06/06/2023;10:05:00;27,86;27,96;27,78;27,93;1.460.976,00;52.400
RADL3;06/06/2023;10:00:00;27,83;27,99;27,83;27,83;962.254,00;34.500
RADL3;05/06/2023;17:30:00;27,52;27,60;27,45;27,60;187.371,00;6.800
RADL3;05/06/2023;16:50:00;27,59;27,60;27,44;27,60;35.223.799,00;1.277.000
RADL3;05/06/2023;16:45:00;27,50;27,59;27,50;27,58;6.571.251,00;238.500
RADL3;05/06/2023;16:40:00;27,56;27,60;27,50;27,50;5.665.301,00;205.700
RADL3;05/06/2023;16:35:00;27,65;27,65;27,54;27,57;11.952.930,00;432.900
RADL3;05/06/2023;16:30:00;27,67;27,68;27,63;27,65;3.266.859,00;118.100
RADL3;05/06/2023;16:25:00;27,68;27,70;27,66;27,67;3.072.225,00;111.000
RADL3;05/06/2023;16:20:00;27,66;27,70;27,65;27,69;2.396.955,00;86.600
RADL3;05/06/2023;16:15:00;27,66;27,67;27,62;27,67;4.592.067,00;166.100
RADL3;05/06/2023;16:10:00;27,63;27,66;27,62;27,65;2.026.165,00;73.300
RADL3;05/06/2023;16:05:00;27,62;27,65;27,59;27,63;8.946.818,00;324.100
RADL3;05/06/2023;16:00:00;27,66;27,67;27,59;27,62;8.674.150,00;314.200
RADL3;05/06/2023;15:55:00;27,67;27,69;27,65;27,65;2.142.273,00;77.400
RADL3;05/06/2023;15:50:00;27,63;27,70;27,62;27,68;2.945.291,00;106.500
RADL3;05/06/2023;15:45:00;27,63;27,64;27,58;27,64;1.632.367,00;59.100
RADL3;05/06/2023;15:40:00;27,60;27,66;27,59;27,63;1.326.295,00;48.000
RADL3;05/06/2023;15:35:00;27,59;27,61;27,57;27,60;1.730.092,00;62.700
RADL3;05/06/2023;15:30:00;27,53;27,60;27,52;27,58;1.815.899,00;65.900
RADL3;05/06/2023;15:25:00;27,54;27,54;27,49;27,52;19.244.322,00;699.300
RADL3;05/06/2023;15:20:00;27,56;27,56;27,51;27,54;1.071.076,00;38.900
RADL3;05/06/2023;15:15:00;27,55;27,59;27,54;27,57;1.692.401,00;61.400
RADL3;05/06/2023;15:10:00;27,51;27,55;27,51;27,55;988.331,00;35.900
RADL3;05/06/2023;15:05:00;27,54;27,56;27,50;27,52;1.356.899,00;49.300
RADL3;05/06/2023;15:00:00;27,53;27,60;27,52;27,53;2.086.272,00;75.700
RADL3;05/06/2023;14:55:00;27,49;27,55;27,49;27,53;1.279.644,00;46.500
RADL3;05/06/2023;14:50:00;27,49;27,51;27,48;27,49;1.176.831,00;42.800
RADL3;05/06/2023;14:45:00;27,47;27,52;27,46;27,48;995.011,00;36.200
