Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RAIL3;06/06/2023;11:20:00;22,81;22,86;22,81;22,86;9.904.714,00;434.000
RAIL3;06/06/2023;11:15:00;22,83;22,83;22,78;22,82;485.797,00;21.300
RAIL3;06/06/2023;11:10:00;22,85;22,88;22,81;22,84;1.681.588,00;73.600
RAIL3;06/06/2023;11:05:00;22,77;22,87;22,77;22,86;2.336.072,00;102.400
RAIL3;06/06/2023;11:00:00;22,71;22,79;22,70;22,77;5.106.127,00;224.500
RAIL3;06/06/2023;10:55:00;22,70;22,73;22,69;22,72;685.900,00;30.200
RAIL3;06/06/2023;10:50:00;22,72;22,73;22,69;22,70;1.442.029,00;63.500
RAIL3;06/06/2023;10:45:00;22,75;22,75;22,70;22,72;1.240.415,00;54.600
RAIL3;06/06/2023;10:40:00;22,72;22,76;22,66;22,75;8.769.557,00;386.300
RAIL3;06/06/2023;10:35:00;22,71;22,77;22,71;22,73;1.141.486,00;50.200
RAIL3;06/06/2023;10:30:00;22,70;22,77;22,69;22,72;1.892.262,00;83.200
RAIL3;06/06/2023;10:25:00;22,67;22,70;22,66;22,69;514.881,00;22.700
RAIL3;06/06/2023;10:20:00;22,66;22,69;22,64;22,66;484.737,00;21.400
RAIL3;06/06/2023;10:15:00;22,69;22,70;22,64;22,66;575.759,00;25.400
RAIL3;06/06/2023;10:10:00;22,74;22,81;22,67;22,70;3.183.076,00;139.900
RAIL3;06/06/2023;10:05:00;22,63;22,76;22,59;22,76;2.781.801,00;122.700
RAIL3;06/06/2023;10:00:00;22,73;22,79;22,63;22,63;1.501.062,00;66.100
RAIL3;05/06/2023;17:30:00;22,57;22,58;22,54;22,58;92.512,00;4.100
RAIL3;05/06/2023;16:50:00;22,57;22,58;22,53;22,57;27.972.561,00;1.239.500
RAIL3;05/06/2023;16:45:00;22,55;22,57;22,54;22,57;2.929.934,00;129.900
RAIL3;05/06/2023;16:40:00;22,54;22,57;22,54;22,55;2.257.533,00;100.100
RAIL3;05/06/2023;16:35:00;22,57;22,58;22,53;22,55;2.327.433,00;103.200
RAIL3;05/06/2023;16:30:00;22,57;22,63;22,55;22,57;3.271.483,00;144.800
RAIL3;05/06/2023;16:25:00;22,51;22,57;22,51;22,57;2.479.482,00;110.000
RAIL3;05/06/2023;16:20:00;22,48;22,55;22,48;22,52;5.256.489,00;233.400
RAIL3;05/06/2023;16:15:00;22,49;22,51;22,48;22,48;2.623.006,00;116.600
RAIL3;05/06/2023;16:10:00;22,52;22,53;22,49;22,50;4.213.070,00;187.200
RAIL3;05/06/2023;16:05:00;22,54;22,55;22,47;22,52;11.317.466,00;502.800
RAIL3;05/06/2023;16:00:00;22,54;22,56;22,53;22,55;6.428.581,00;285.100
RAIL3;05/06/2023;15:55:00;22,55;22,57;22,53;22,55;1.621.345,00;71.900
RAIL3;05/06/2023;15:50:00;22,53;22,57;22,51;22,55;1.548.167,00;68.700
RAIL3;05/06/2023;15:45:00;22,55;22,57;22,53;22,54;1.611.940,00;71.500
RAIL3;05/06/2023;15:40:00;22,56;22,59;22,55;22,55;1.424.030,00;63.100
RAIL3;05/06/2023;15:35:00;22,57;22,58;22,55;22,57;1.360.642,00;60.300
RAIL3;05/06/2023;15:30:00;22,56;22,61;22,56;22,57;4.170.518,00;184.600
RAIL3;05/06/2023;15:25:00;22,57;22,58;22,53;22,57;2.217.136,00;98.300
RAIL3;05/06/2023;15:20:00;22,61;22,67;22,57;22,57;3.536.872,00;156.300
RAIL3;05/06/2023;15:15:00;22,60;22,62;22,59;22,62;2.016.363,00;89.200
RAIL3;05/06/2023;15:10:00;22,56;22,61;22,56;22,61;2.717.580,00;120.300
RAIL3;05/06/2023;15:05:00;22,58;22,63;22,55;22,57;5.067.438,00;224.400
RAIL3;05/06/2023;15:00:00;22,58;22,63;22,57;22,59;6.435.115,00;284.800
RAIL3;05/06/2023;14:55:00;22,56;22,59;22,54;22,57;1.999.202,00;88.600
RAIL3;05/06/2023;14:50:00;22,54;22,57;22,53;22,56;2.383.863,00;105.700
RAIL3;05/06/2023;14:45:00;22,51;22,58;22,50;22,53;6.732.672,00;298.500
RAIL3;05/06/2023;14:40:00;22,48;22,53;22,48;22,52;2.772.806,00;123.200
RAIL3;05/06/2023;14:35:00;22,51;22,52;22,45;22,49;2.560.754,00;113.900
RAIL3;05/06/2023;14:30:00;22,49;22,56;22,49;22,52;5.300.299,00;235.300
RAIL3;05/06/2023;14:25:00;22,47;22,53;22,47;22,49;3.158.497,00;140.400
RAIL3;05/06/2023;14:20:00;22,51;22,52;22,46;22,48;1.498.251,00;66.600
RAIL3;05/06/2023;14:15:00;22,50;22,52;22,50;22,51;1.825.316,00;81.100
RAIL3;05/06/2023;14:10:00;22,51;22,52;22,50;22,50;1.233.327,00;54.800
RAIL3;05/06/2023;14:05:00;22,50;22,54;22,50;22,51;2.048.372,00;91.000
RAIL3;05/06/2023;14:00:00;22,51;22,52;22,50;22,50;1.078.265,00;47.900
RAIL3;05/06/2023;13:55:00;22,52;22,53;22,50;22,52;1.589.389,00;70.600
RAIL3;05/06/2023;13:50:00;22,54;22,54;22,50;22,53;1.706.820,00;75.800
RAIL3;05/06/2023;13:45:00;22,53;22,55;22,50;22,54;1.376.259,00;61.100
RAIL3;05/06/2023;13:40:00;22,56;22,57;22,52;22,53;1.280.630,00;56.800
RAIL3;05/06/2023;13:35:00;22,57;22,58;22,56;22,57;1.139.684,00;50.500
RAIL3;05/06/2023;13:30:00;22,54;22,58;22,54;22,58;1.509.558,00;66.900
RAIL3;05/06/2023;13:25:00;22,54;22,55;22,53;22,54;1.255.571,00;55.700
RAIL3;05/06/2023;13:20:00;22,58;22,60;22,53;22,55;1.344.724,00;59.600
RAIL3;05/06/2023;13:15:00;22,55;22,61;22,55;22,58;1.684.579,00;74.600
RAIL3;05/06/2023;13:10:00;22,56;22,57;22,54;22,56;1.369.199,00;60.700
