Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RAIZ4;16/06/2023;17:30:00;3,94;3,95;3,93;3,95;190.637,00;48.400
RAIZ4;16/06/2023;16:45:00;3,92;3,95;3,92;3,95;10.606.476,00;2.686.000
RAIZ4;16/06/2023;16:40:00;3,93;3,93;3,92;3,92;951.557,00;242.200
RAIZ4;16/06/2023;16:35:00;3,93;3,94;3,92;3,93;1.471.542,00;374.500
RAIZ4;16/06/2023;16:30:00;3,92;3,94;3,92;3,94;1.422.108,00;361.900
RAIZ4;16/06/2023;16:25:00;3,94;3,94;3,92;3,92;1.343.495,00;341.700
RAIZ4;16/06/2023;16:20:00;3,93;3,95;3,93;3,94;4.825.273,00;1.224.400
RAIZ4;16/06/2023;16:15:00;3,93;3,94;3,93;3,94;1.129.799,00;286.900
RAIZ4;16/06/2023;16:10:00;3,93;3,95;3,93;3,94;1.929.080,00;489.700
RAIZ4;16/06/2023;16:05:00;3,93;3,94;3,93;3,94;438.022,00;111.300
RAIZ4;16/06/2023;16:00:00;3,94;3,94;3,93;3,93;235.252,00;59.800
RAIZ4;16/06/2023;15:55:00;3,94;3,95;3,93;3,94;1.289.716,00;327.300
RAIZ4;16/06/2023;15:50:00;3,93;3,95;3,93;3,95;666.746,00;169.200
RAIZ4;16/06/2023;15:45:00;3,93;3,94;3,93;3,93;233.717,00;59.400
RAIZ4;16/06/2023;15:40:00;3,93;3,94;3,93;3,94;302.692,00;76.900
RAIZ4;16/06/2023;15:35:00;3,93;3,94;3,93;3,94;221.945,00;56.400
RAIZ4;16/06/2023;15:30:00;3,93;3,94;3,93;3,94;596.519,00;151.500
RAIZ4;16/06/2023;15:25:00;3,93;3,94;3,93;3,94;524.486,00;133.400
RAIZ4;16/06/2023;15:20:00;3,92;3,94;3,92;3,93;871.298,00;221.700
RAIZ4;16/06/2023;15:15:00;3,92;3,93;3,92;3,93;167.109,00;42.600
RAIZ4;16/06/2023;15:10:00;3,92;3,94;3,92;3,93;552.664,00;140.700
RAIZ4;16/06/2023;15:05:00;3,93;3,94;3,92;3,93;715.685,00;182.100
RAIZ4;16/06/2023;15:00:00;3,94;3,95;3,93;3,93;431.163,00;109.500
RAIZ4;16/06/2023;14:55:00;3,94;3,95;3,93;3,95;228.620,00;58.000
RAIZ4;16/06/2023;14:50:00;3,94;3,95;3,94;3,94;250.681,00;63.600
RAIZ4;16/06/2023;14:45:00;3,94;3,95;3,94;3,95;167.766,00;42.500
RAIZ4;16/06/2023;14:40:00;3,95;3,95;3,94;3,95;234.453,00;59.400
RAIZ4;16/06/2023;14:35:00;3,95;3,95;3,94;3,95;60.761,00;15.400
RAIZ4;16/06/2023;14:30:00;3,94;3,95;3,94;3,94;52.084,00;13.200
RAIZ4;16/06/2023;14:25:00;3,94;3,95;3,94;3,95;111.250,00;28.200
RAIZ4;16/06/2023;14:20:00;3,94;3,95;3,94;3,94;37.094,00;9.400
RAIZ4;16/06/2023;14:15:00;3,93;3,95;3,93;3,94;171.445,00;43.500
RAIZ4;16/06/2023;14:10:00;3,94;3,94;3,93;3,94;115.014,00;29.200
RAIZ4;16/06/2023;14:05:00;3,94;3,95;3,93;3,95;673.733,00;171.000
RAIZ4;16/06/2023;14:00:00;3,95;3,95;3,94;3,94;1.018.782,00;258.500
RAIZ4;16/06/2023;13:55:00;3,94;3,96;3,93;3,95;711.541,00;180.300
RAIZ4;16/06/2023;13:50:00;3,93;3,94;3,93;3,93;262.708,00;66.800
RAIZ4;16/06/2023;13:45:00;3,93;3,94;3,93;3,94;51.181,00;13.000
RAIZ4;16/06/2023;13:40:00;3,93;3,94;3,92;3,94;388.731,00;98.900
RAIZ4;16/06/2023;13:35:00;3,93;3,93;3,92;3,93;157.902,00;40.200
RAIZ4;16/06/2023;13:30:00;3,94;3,96;3,93;3,93;1.786.078,00;453.400
RAIZ4;16/06/2023;13:25:00;3,95;3,95;3,94;3,94;131.480,00;33.300
RAIZ4;16/06/2023;13:20:00;3,94;3,95;3,94;3,95;643.369,00;162.900
RAIZ4;16/06/2023;13:15:00;3,94;3,95;3,94;3,95;21.680,00;5.500
RAIZ4;16/06/2023;13:10:00;3,97;3,97;3,94;3,94;1.204.179,00;304.700
RAIZ4;16/06/2023;13:05:00;3,96;3,97;3,96;3,97;119.072,00;30.000
RAIZ4;16/06/2023;13:00:00;3,96;3,97;3,96;3,96;53.154,00;13.400
RAIZ4;16/06/2023;12:55:00;3,96;3,97;3,95;3,97;401.945,00;101.500
RAIZ4;16/06/2023;12:50:00;3,96;3,96;3,95;3,96;51.453,00;13.000
RAIZ4;16/06/2023;12:45:00;3,95;3,96;3,95;3,95;48.689,00;12.300
RAIZ4;16/06/2023;12:40:00;3,96;3,96;3,95;3,96;22.966,00;5.800
RAIZ4;16/06/2023;12:35:00;3,95;3,96;3,95;3,96;47.066,00;11.900
RAIZ4;16/06/2023;12:30:00;3,96;3,97;3,95;3,96;942.376,00;238.000
RAIZ4;16/06/2023;12:25:00;3,95;3,96;3,95;3,95;44.699,00;11.300
RAIZ4;16/06/2023;12:20:00;3,96;3,96;3,95;3,95;48.664,00;12.300
RAIZ4;16/06/2023;12:15:00;3,95;3,96;3,94;3,96;475.573,00;120.400
RAIZ4;16/06/2023;12:10:00;3,95;3,95;3,93;3,95;716.686,00;181.900
RAIZ4;16/06/2023;12:05:00;3,95;3,95;3,94;3,95;32.379,00;8.200
RAIZ4;16/06/2023;12:00:00;3,94;3,95;3,94;3,95;127.345,00;32.300
RAIZ4;16/06/2023;11:55:00;3,95;3,95;3,94;3,95;52.502,00;13.300
RAIZ4;16/06/2023;11:50:00;3,94;3,95;3,94;3,95;63.552,00;16.100
RAIZ4;16/06/2023;11:45:00;3,96;3,96;3,94;3,94;756.398,00;191.600
RAIZ4;16/06/2023;11:40:00;3,96;3,96;3,95;3,96;98.573,00;24.900
RAIZ4;16/06/2023;11:35:00;3,96;3,97;3,95;3,96;322.697,00;81.500
