Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RANI3;16/06/2023;17:30:00;8,52;8,52;8,46;8,46;11.035,00;1.300
RANI3;16/06/2023;16:45:00;8,50;8,53;8,45;8,45;1.892.956,00;223.500
RANI3;16/06/2023;16:40:00;8,48;8,51;8,48;8,50;288.020,00;33.900
RANI3;16/06/2023;16:35:00;8,46;8,49;8,46;8,49;371.094,00;43.800
RANI3;16/06/2023;16:30:00;8,48;8,48;8,45;8,46;823.880,00;97.400
RANI3;16/06/2023;16:25:00;8,48;8,49;8,47;8,47;321.098,00;37.900
RANI3;16/06/2023;16:20:00;8,49;8,50;8,48;8,48;190.936,00;22.500
RANI3;16/06/2023;16:15:00;8,49;8,49;8,48;8,48;100.929,00;11.900
RANI3;16/06/2023;16:10:00;8,49;8,49;8,48;8,48;101.786,00;12.000
RANI3;16/06/2023;16:05:00;8,49;8,50;8,48;8,48;112.869,00;13.300
RANI3;16/06/2023;16:00:00;8,51;8,51;8,48;8,49;149.490,00;17.600
RANI3;16/06/2023;15:55:00;8,49;8,51;8,49;8,51;118.986,00;14.000
RANI3;16/06/2023;15:50:00;8,50;8,51;8,49;8,50;173.302,00;20.400
RANI3;16/06/2023;15:45:00;8,52;8,52;8,50;8,50;74.911,00;8.800
RANI3;16/06/2023;15:40:00;8,52;8,53;8,51;8,51;98.782,00;11.600
RANI3;16/06/2023;15:35:00;8,54;8,55;8,52;8,52;392.121,00;46.000
RANI3;16/06/2023;15:30:00;8,54;8,55;8,52;8,53;112.667,00;13.200
RANI3;16/06/2023;15:25:00;8,53;8,54;8,52;8,54;25.590,00;3.000
RANI3;16/06/2023;15:20:00;8,53;8,53;8,52;8,53;14.492,00;1.700
RANI3;16/06/2023;15:15:00;8,51;8,53;8,51;8,51;104.797,00;12.300
RANI3;16/06/2023;15:10:00;8,52;8,53;8,51;8,52;22.998,00;2.700
RANI3;16/06/2023;15:05:00;8,52;8,53;8,51;8,52;15.330,00;1.800
RANI3;16/06/2023;15:00:00;8,51;8,53;8,51;8,52;51.977,00;6.100
RANI3;16/06/2023;14:55:00;8,53;8,53;8,51;8,53;24.709,00;2.900
RANI3;16/06/2023;14:50:00;8,52;8,53;8,51;8,53;34.930,00;4.100
RANI3;16/06/2023;14:45:00;8,53;8,53;8,51;8,53;15.338,00;1.800
RANI3;16/06/2023;14:40:00;8,53;8,53;8,51;8,53;5.116,00;600
RANI3;16/06/2023;14:35:00;8,52;8,53;8,51;8,51;11.922,00;1.400
RANI3;16/06/2023;14:30:00;8,51;8,53;8,51;8,53;28.114,00;3.300
RANI3;16/06/2023;14:25:00;8,52;8,52;8,50;8,51;49.361,00;5.800
RANI3;16/06/2023;14:20:00;8,52;8,53;8,51;8,53;33.242,00;3.900
RANI3;16/06/2023;14:15:00;8,54;8,54;8,51;8,51;56.274,00;6.600
RANI3;16/06/2023;14:10:00;8,54;8,54;8,52;8,53;6.823,00;800
RANI3;16/06/2023;14:05:00;8,52;8,54;8,52;8,53;15.360,00;1.800
RANI3;16/06/2023;14:00:00;8,54;8,55;8,52;8,52;135.748,00;15.900
RANI3;16/06/2023;13:55:00;8,54;8,55;8,53;8,53;17.074,00;2.000
RANI3;16/06/2023;13:50:00;8,52;8,54;8,51;8,54;69.872,00;8.200
RANI3;16/06/2023;13:45:00;8,52;8,52;8,50;8,51;205.227,00;24.100
RANI3;16/06/2023;13:40:00;8,52;8,52;8,50;8,51;14.467,00;1.700
RANI3;16/06/2023;13:35:00;8,50;8,52;8,50;8,52;5.102,00;600
RANI3;16/06/2023;13:30:00;8,52;8,52;8,50;8,50;57.891,00;6.800
RANI3;16/06/2023;13:25:00;8,52;8,53;8,52;8,53;16.192,00;1.900
RANI3;16/06/2023;13:20:00;8,52;8,54;8,51;8,54;14.490,00;1.700
RANI3;16/06/2023;13:15:00;8,51;8,52;8,50;8,52;8.511,00;1.000
RANI3;16/06/2023;13:10:00;8,51;8,52;8,50;8,50;37.411,00;4.400
RANI3;16/06/2023;13:05:00;8,52;8,52;8,51;8,52;5.962,00;700
RANI3;16/06/2023;13:00:00;8,52;8,52;8,50;8,52;54.416,00;6.400
RANI3;16/06/2023;12:55:00;8,52;8,53;8,50;8,52;28.962,00;3.400
RANI3;16/06/2023;12:50:00;8,52;8,53;8,50;8,52;34.050,00;4.000
RANI3;16/06/2023;12:45:00;8,54;8,54;8,51;8,53;104.810,00;12.300
RANI3;16/06/2023;12:40:00;8,54;8,54;8,53;8,54;7.684,00;900
RANI3;16/06/2023;12:35:00;8,54;8,54;8,53;8,54;11.100,00;1.300
RANI3;16/06/2023;12:30:00;8,53;8,54;8,52;8,54;56.304,00;6.600
RANI3;16/06/2023;12:25:00;8,53;8,53;8,51;8,53;17.053,00;2.000
