Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RAPT4;16/06/2023;17:30:00;11,81;11,81;11,77;11,77;79.009,00;6.700
RAPT4;16/06/2023;16:45:00;11,83;11,83;11,80;11,82;3.379.273,00;285.900
RAPT4;16/06/2023;16:40:00;11,81;11,84;11,81;11,83;401.912,00;34.000
RAPT4;16/06/2023;16:35:00;11,81;11,82;11,81;11,81;131.115,00;11.100
RAPT4;16/06/2023;16:30:00;11,79;11,82;11,79;11,81;283.237,00;24.000
RAPT4;16/06/2023;16:25:00;11,80;11,81;11,79;11,79;148.648,00;12.600
RAPT4;16/06/2023;16:20:00;11,81;11,82;11,79;11,80;376.422,00;31.900
RAPT4;16/06/2023;16:15:00;11,81;11,81;11,80;11,80;275.096,00;23.300
RAPT4;16/06/2023;16:10:00;11,81;11,82;11,80;11,81;146.426,00;12.400
RAPT4;16/06/2023;16:05:00;11,81;11,81;11,79;11,79;101.472,00;8.600
RAPT4;16/06/2023;16:00:00;11,80;11,81;11,80;11,80;158.188,00;13.400
RAPT4;16/06/2023;15:55:00;11,82;11,82;11,79;11,80;493.321,00;41.800
RAPT4;16/06/2023;15:50:00;11,81;11,82;11,81;11,81;74.407,00;6.300
RAPT4;16/06/2023;15:45:00;11,83;11,84;11,81;11,81;108.751,00;9.200
RAPT4;16/06/2023;15:40:00;11,83;11,84;11,83;11,83;72.171,00;6.100
RAPT4;16/06/2023;15:35:00;11,84;11,85;11,83;11,83;82.882,00;7.000
RAPT4;16/06/2023;15:30:00;11,83;11,85;11,83;11,84;124.316,00;10.500
RAPT4;16/06/2023;15:25:00;11,84;11,84;11,83;11,83;210.671,00;17.800
RAPT4;16/06/2023;15:20:00;11,83;11,84;11,82;11,83;60.332,00;5.100
RAPT4;16/06/2023;15:15:00;11,82;11,84;11,82;11,83;93.460,00;7.900
RAPT4;16/06/2023;15:10:00;11,84;11,84;11,82;11,82;92.214,00;7.800
RAPT4;16/06/2023;15:05:00;11,82;11,84;11,82;11,83;144.318,00;12.200
RAPT4;16/06/2023;15:00:00;11,83;11,84;11,82;11,83;91.097,00;7.700
RAPT4;16/06/2023;14:55:00;11,83;11,83;11,83;11,83;50.869,00;4.300
RAPT4;16/06/2023;14:50:00;11,86;11,86;11,83;11,83;278.560,00;23.500
RAPT4;16/06/2023;14:45:00;11,86;11,87;11,86;11,86;84.272,00;7.100
RAPT4;16/06/2023;14:40:00;11,88;11,88;11,86;11,86;111.581,00;9.400
RAPT4;16/06/2023;14:35:00;11,86;11,89;11,86;11,89;456.286,00;38.400
RAPT4;16/06/2023;14:30:00;11,84;11,87;11,84;11,86;104.353,00;8.800
RAPT4;16/06/2023;14:25:00;11,85;11,86;11,84;11,84;47.400,00;4.000
