Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RCSL4;16/06/2023;17:30:00;0,77;0,77;0,77;0,77;4.312,00;5.600
RCSL4;16/06/2023;16:20:00;0,78;0,78;0,77;0,77;310,00;400
RCSL4;16/06/2023;16:15:00;0,78;0,78;0,77;0,77;465,00;600
RCSL4;16/06/2023;16:10:00;0,77;0,77;0,76;0,77;20.997,00;27.300
RCSL4;16/06/2023;16:05:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;16/06/2023;16:00:00;0,77;0,77;0,77;0,77;308,00;400
RCSL4;16/06/2023;15:50:00;0,77;0,78;0,77;0,78;20.513,00;26.300
RCSL4;16/06/2023;15:40:00;0,76;0,76;0,76;0,76;988,00;1.300
RCSL4;16/06/2023;15:35:00;0,76;0,76;0,76;0,76;760,00;1.000
RCSL4;16/06/2023;15:30:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;16/06/2023;15:15:00;0,77;0,77;0,77;0,77;308,00;400
RCSL4;16/06/2023;15:05:00;0,77;0,77;0,77;0,77;23.100,00;30.000
RCSL4;16/06/2023;14:50:00;0,77;0,77;0,77;0,77;385,00;500
RCSL4;16/06/2023;14:45:00;0,77;0,77;0,77;0,77;462,00;600
RCSL4;16/06/2023;14:00:00;0,77;0,77;0,77;0,77;154,00;200
RCSL4;16/06/2023;13:50:00;0,76;0,77;0,76;0,77;3.877,00;5.100
RCSL4;16/06/2023;13:45:00;0,77;0,77;0,77;0,77;1.540,00;2.000
RCSL4;16/06/2023;13:30:00;0,77;0,77;0,77;0,77;1.386,00;1.800
RCSL4;16/06/2023;13:15:00;0,77;0,77;0,77;0,77;77,00;100
RCSL4;16/06/2023;12:55:00;0,77;0,77;0,77;0,77;770,00;1.000
RCSL4;16/06/2023;12:40:00;0,77;0,77;0,77;0,77;77,00;100
RCSL4;16/06/2023;12:30:00;0,77;0,77;0,77;0,77;1.694,00;2.200
RCSL4;16/06/2023;12:15:00;0,77;0,78;0,76;0,78;5.544,00;7.200
RCSL4;16/06/2023;11:50:00;0,78;0,78;0,77;0,78;387,00;500
RCSL4;16/06/2023;11:45:00;0,77;0,77;0,77;0,77;3.850,00;5.000
RCSL4;16/06/2023;11:40:00;0,78;0,78;0,78;0,78;780,00;1.000
RCSL4;16/06/2023;11:30:00;0,78;0,78;0,78;0,78;780,00;1.000
RCSL4;16/06/2023;11:20:00;0,78;0,78;0,78;0,78;312,00;400
RCSL4;16/06/2023;11:15:00;0,77;0,77;0,77;0,77;8.239,00;10.700
RCSL4;16/06/2023;11:10:00;0,77;0,77;0,77;0,77;5.775,00;7.500
RCSL4;16/06/2023;11:05:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;16/06/2023;10:55:00;0,78;0,78;0,78;0,78;156,00;200
RCSL4;16/06/2023;10:40:00;0,77;0,77;0,77;0,77;6.853,00;8.900
RCSL4;16/06/2023;10:35:00;0,77;0,77;0,77;0,77;8.239,00;10.700
RCSL4;16/06/2023;10:25:00;0,77;0,77;0,77;0,77;2.849,00;3.700
RCSL4;16/06/2023;10:20:00;0,77;0,77;0,77;0,77;77,00;100
RCSL4;16/06/2023;10:10:00;0,77;0,78;0,77;0,77;6.931,00;9.000
RCSL4;16/06/2023;10:05:00;0,77;0,77;0,77;0,77;23.870,00;31.000
RCSL4;16/06/2023;10:00:00;0,78;0,78;0,78;0,78;1.560,00;2.000
RCSL4;15/06/2023;17:30:00;0,78;0,78;0,77;0,77;3.928,00;5.100
RCSL4;15/06/2023;16:50:00;0,78;0,78;0,78;0,78;7.800,00;10.000
RCSL4;15/06/2023;16:45:00;0,78;0,78;0,77;0,78;9.742,00;12.500
RCSL4;15/06/2023;16:30:00;0,78;0,78;0,78;0,78;936,00;1.200
RCSL4;15/06/2023;16:10:00;0,78;0,78;0,77;0,78;2.884,00;3.700
RCSL4;15/06/2023;16:00:00;0,78;0,78;0,78;0,78;4.446,00;5.700
RCSL4;15/06/2023;15:55:00;0,78;0,78;0,78;0,78;546,00;700
RCSL4;15/06/2023;15:50:00;0,77;0,77;0,77;0,77;693,00;900
RCSL4;15/06/2023;15:45:00;0,78;0,78;0,78;0,78;390,00;500
RCSL4;15/06/2023;15:40:00;0,78;0,78;0,77;0,77;2.316,00;3.000
RCSL4;15/06/2023;15:35:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;15:30:00;0,77;0,77;0,77;0,77;693,00;900
RCSL4;15/06/2023;15:25:00;0,77;0,77;0,77;0,77;539,00;700
RCSL4;15/06/2023;15:20:00;0,78;0,78;0,78;0,78;156,00;200
RCSL4;15/06/2023;15:15:00;0,77;0,78;0,77;0,78;310,00;400
RCSL4;15/06/2023;15:10:00;0,78;0,78;0,77;0,77;233,00;300
RCSL4;15/06/2023;14:50:00;0,78;0,78;0,78;0,78;156,00;200
RCSL4;15/06/2023;14:45:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;14:25:00;0,78;0,78;0,77;0,78;2.720,00;3.500
RCSL4;15/06/2023;14:10:00;0,78;0,78;0,77;0,78;311,00;400
RCSL4;15/06/2023;14:05:00;0,78;0,78;0,78;0,78;312,00;400
RCSL4;15/06/2023;13:45:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;12:45:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;12:40:00;0,78;0,78;0,78;0,78;780,00;1.000
RCSL4;15/06/2023;12:25:00;0,77;0,77;0,77;0,77;18.557,00;24.100
RCSL4;15/06/2023;12:20:00;0,77;0,78;0,77;0,78;311,00;400
RCSL4;15/06/2023;12:05:00;0,78;0,78;0,77;0,78;7.169,00;9.300
RCSL4;15/06/2023;12:00:00;0,77;0,77;0,77;0,77;154,00;200
RCSL4;15/06/2023;11:50:00;0,77;0,78;0,77;0,78;2.466,00;3.200
RCSL4;15/06/2023;11:45:00;0,78;0,78;0,78;0,78;1.794,00;2.300
RCSL4;15/06/2023;11:40:00;0,77;0,78;0,77;0,78;930,00;1.200
RCSL4;15/06/2023;11:35:00;0,77;0,78;0,77;0,78;233,00;300
RCSL4;15/06/2023;11:15:00;0,77;0,77;0,77;0,77;231,00;300
RCSL4;15/06/2023;11:00:00;0,78;0,78;0,78;0,78;156,00;200
RCSL4;15/06/2023;10:55:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;10:50:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;10:45:00;0,77;0,78;0,77;0,78;620,00;800
RCSL4;15/06/2023;10:40:00;0,77;0,78;0,77;0,78;545,00;700
RCSL4;15/06/2023;10:35:00;0,77;0,77;0,77;0,77;924,00;1.200
RCSL4;15/06/2023;10:30:00;0,77;0,78;0,77;0,78;543,00;700
RCSL4;15/06/2023;10:25:00;0,78;0,78;0,78;0,78;936,00;1.200
RCSL4;15/06/2023;10:05:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;15/06/2023;10:00:00;0,78;0,78;0,78;0,78;1.560,00;2.000
RCSL4;14/06/2023;17:30:00;0,78;0,78;0,77;0,77;2.466,00;3.200
RCSL4;14/06/2023;16:40:00;0,77;0,78;0,77;0,78;14.718,00;19.100
RCSL4;14/06/2023;16:25:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;14/06/2023;16:20:00;0,77;0,77;0,77;0,77;385,00;500
RCSL4;14/06/2023;16:15:00;0,77;0,77;0,77;0,77;385,00;500
RCSL4;14/06/2023;15:55:00;0,78;0,78;0,78;0,78;78,00;100
RCSL4;14/06/2023;15:45:00;0,77;0,77;0,77;0,77;539,00;700
