Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RDOR3;06/06/2023;11:20:00;31,12;31,17;31,12;31,17;224.242,00;7.200
RDOR3;06/06/2023;11:15:00;31,09;31,12;31,05;31,11;864.166,00;27.800
RDOR3;06/06/2023;11:10:00;31,15;31,19;31,06;31,08;949.358,00;30.500
RDOR3;06/06/2023;11:05:00;31,10;31,19;31,10;31,14;2.280.013,00;73.200
RDOR3;06/06/2023;11:00:00;31,05;31,16;31,04;31,09;1.878.632,00;60.400
RDOR3;06/06/2023;10:55:00;31,05;31,14;31,04;31,04;2.587.194,00;83.200
RDOR3;06/06/2023;10:50:00;31,12;31,14;31,06;31,06;363.909,00;11.700
RDOR3;06/06/2023;10:45:00;31,11;31,17;31,04;31,11;581.993,00;18.700
RDOR3;06/06/2023;10:40:00;31,05;31,13;31,01;31,13;270.303,00;8.700
RDOR3;06/06/2023;10:35:00;30,95;31,10;30,92;31,03;1.438.962,00;46.400
RDOR3;06/06/2023;10:30:00;30,93;31,14;30,93;30,95;1.643.680,00;53.000
RDOR3;06/06/2023;10:25:00;30,86;30,93;30,79;30,93;669.490,00;21.700
RDOR3;06/06/2023;10:20:00;30,90;30,95;30,75;30,86;2.740.394,00;88.900
RDOR3;06/06/2023;10:15:00;30,97;30,97;30,80;30,93;1.705.349,00;55.200
RDOR3;06/06/2023;10:10:00;31,05;31,11;30,94;30,94;658.094,00;21.200
RDOR3;06/06/2023;10:05:00;31,15;31,19;30,98;31,04;1.399.051,00;45.000
RDOR3;06/06/2023;10:00:00;31,29;31,30;31,16;31,16;982.415,00;31.400
RDOR3;05/06/2023;17:30:00;31,10;31,27;31,05;31,27;215.461,00;6.900
RDOR3;05/06/2023;16:50:00;31,32;31,33;31,10;31,10;16.557.558,00;532.100
RDOR3;05/06/2023;16:45:00;31,26;31,33;31,24;31,30;1.542.147,00;49.300
RDOR3;05/06/2023;16:40:00;31,25;31,30;31,20;31,25;1.309.384,00;41.900
RDOR3;05/06/2023;16:35:00;31,25;31,30;31,22;31,26;1.565.875,00;50.100
RDOR3;05/06/2023;16:30:00;31,28;31,36;31,22;31,25;1.567.418,00;50.100
RDOR3;05/06/2023;16:25:00;31,18;31,28;31,16;31,28;1.545.169,00;49.500
RDOR3;05/06/2023;16:20:00;31,13;31,18;31,10;31,17;853.193,00;27.400
RDOR3;05/06/2023;16:15:00;31,10;31,15;31,07;31,11;737.115,00;23.700
RDOR3;05/06/2023;16:10:00;30,98;31,10;30,96;31,10;844.120,00;27.200
RDOR3;05/06/2023;16:05:00;31,04;31,08;30,94;30,96;9.878.471,00;318.900
RDOR3;05/06/2023;16:00:00;31,10;31,14;31,05;31,05;777.226,00;25.000
RDOR3;05/06/2023;15:55:00;31,14;31,14;31,08;31,11;687.580,00;22.100
RDOR3;05/06/2023;15:50:00;31,06;31,15;31,02;31,14;799.093,00;25.700
RDOR3;05/06/2023;15:45:00;31,06;31,10;31,04;31,05;478.447,00;15.400
RDOR3;05/06/2023;15:40:00;31,00;31,08;30,98;31,06;431.262,00;13.900
RDOR3;05/06/2023;15:35:00;30,97;31,00;30,95;30,99;470.825,00;15.200
RDOR3;05/06/2023;15:30:00;30,95;31,00;30,92;30,94;1.089.879,00;35.200
RDOR3;05/06/2023;15:25:00;31,02;31,02;30,91;30,96;1.587.914,00;51.300
RDOR3;05/06/2023;15:20:00;31,04;31,06;31,01;31,01;409.480,00;13.200
RDOR3;05/06/2023;15:15:00;31,03;31,05;31,01;31,02;474.740,00;15.300
RDOR3;05/06/2023;15:10:00;31,08;31,08;31,01;31,03;499.774,00;16.100
RDOR3;05/06/2023;15:05:00;31,15;31,15;31,05;31,06;466.215,00;15.000
RDOR3;05/06/2023;15:00:00;31,11;31,29;31,09;31,12;6.236.837,00;200.200
RDOR3;05/06/2023;14:55:00;31,07;31,13;31,06;31,09;712.111,00;22.900
RDOR3;05/06/2023;14:50:00;31,06;31,15;31,04;31,06;2.581.540,00;83.000
RDOR3;05/06/2023;14:45:00;31,04;31,09;31,01;31,05;608.458,00;19.600
RDOR3;05/06/2023;14:40:00;30,98;31,06;30,96;31,05;809.058,00;26.100
RDOR3;05/06/2023;14:35:00;30,98;30,99;30,95;30,98;483.029,00;15.600
RDOR3;05/06/2023;14:30:00;30,97;30,99;30,93;30,95;458.322,00;14.800
RDOR3;05/06/2023;14:25:00;30,92;30,97;30,86;30,97;865.735,00;28.000
RDOR3;05/06/2023;14:20:00;30,94;30,95;30,90;30,92;389.564,00;12.600
RDOR3;05/06/2023;14:15:00;30,96;30,96;30,89;30,93;398.902,00;12.900
RDOR3;05/06/2023;14:10:00;30,93;30,97;30,91;30,97;352.787,00;11.400
RDOR3;05/06/2023;14:05:00;30,89;30,95;30,88;30,93;488.491,00;15.800
RDOR3;05/06/2023;14:00:00;30,81;30,93;30,79;30,90;583.547,00;18.900
RDOR3;05/06/2023;13:55:00;30,80;30,83;30,74;30,79;640.562,00;20.800
RDOR3;05/06/2023;13:50:00;30,97;30,97;30,70;30,78;3.199.523,00;103.800
RDOR3;05/06/2023;13:45:00;30,92;30,98;30,89;30,97;488.742,00;15.800
RDOR3;05/06/2023;13:40:00;30,95;30,95;30,89;30,89;485.413,00;15.700
RDOR3;05/06/2023;13:35:00;30,89;30,99;30,87;30,94;355.776,00;11.500
RDOR3;05/06/2023;13:30:00;30,91;30,93;30,88;30,89;367.817,00;11.900
RDOR3;05/06/2023;13:25:00;30,98;31,00;30,89;30,93;4.478.272,00;144.600
