Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RECV3;06/06/2023;10:10:00;17,90;17,91;17,78;17,81;140.927,00;7.900
RECV3;06/06/2023;10:05:00;17,84;17,91;17,74;17,91;535.187,00;30.100
RECV3;06/06/2023;10:00:00;17,90;17,96;17,85;17,85;248.802,00;13.900
RECV3;05/06/2023;17:30:00;17,97;17,97;17,88;17,89;119.995,00;6.700
RECV3;05/06/2023;16:50:00;17,94;17,97;17,90;17,97;8.324.720,00;463.300
RECV3;05/06/2023;16:45:00;17,93;17,95;17,92;17,94;251.172,00;14.000
RECV3;05/06/2023;16:40:00;17,95;17,96;17,92;17,93;272.759,00;15.200
RECV3;05/06/2023;16:35:00;17,91;17,95;17,91;17,95;276.127,00;15.400
RECV3;05/06/2023;16:30:00;17,95;17,96;17,91;17,91;306.710,00;17.100
RECV3;05/06/2023;16:25:00;17,95;17,95;17,91;17,93;315.614,00;17.600
RECV3;05/06/2023;16:20:00;17,88;17,94;17,88;17,94;453.052,00;25.300
RECV3;05/06/2023;16:15:00;17,88;17,90;17,87;17,88;305.850,00;17.100
RECV3;05/06/2023;16:10:00;17,92;17,93;17,87;17,88;243.499,00;13.600
RECV3;05/06/2023;16:05:00;17,93;17,94;17,92;17,93;260.012,00;14.500
RECV3;05/06/2023;16:00:00;17,90;17,94;17,90;17,94;209.745,00;11.700
RECV3;05/06/2023;15:55:00;17,92;17,92;17,88;17,90;200.509,00;11.200
RECV3;05/06/2023;15:50:00;17,93;17,93;17,90;17,92;299.103,00;16.700
RECV3;05/06/2023;15:45:00;18,00;18,00;17,94;17,94;224.633,00;12.500
RECV3;05/06/2023;15:40:00;18,01;18,03;18,00;18,00;477.527,00;26.500
RECV3;05/06/2023;15:35:00;18,01;18,02;18,01;18,01;210.760,00;11.700
RECV3;05/06/2023;15:30:00;18,03;18,03;18,01;18,01;207.190,00;11.500
RECV3;05/06/2023;15:25:00;18,03;18,04;18,01;18,03;232.543,00;12.900
RECV3;05/06/2023;15:20:00;18,01;18,04;18,01;18,03;266.667,00;14.800
RECV3;05/06/2023;15:15:00;18,02;18,04;18,01;18,01;129.803,00;7.200
RECV3;05/06/2023;15:10:00;18,02;18,02;18,01;18,02;140.553,00;7.800
RECV3;05/06/2023;15:05:00;18,06;18,07;18,02;18,02;106.454,00;5.900
RECV3;05/06/2023;15:00:00;18,04;18,08;18,04;18,08;919.485,00;50.900
RECV3;05/06/2023;14:55:00;17,99;18,04;17,98;18,03;493.681,00;27.400
RECV3;05/06/2023;14:50:00;17,97;18,00;17,97;17,99;156.455,00;8.700
RECV3;05/06/2023;14:45:00;17,99;18,00;17,97;17,97;188.889,00;10.500
RECV3;05/06/2023;14:40:00;17,99;18,00;17,98;17,99;286.077,00;15.900
RECV3;05/06/2023;14:35:00;18,00;18,07;17,99;17,99;863.638,00;47.900
RECV3;05/06/2023;14:30:00;17,99;18,00;17,99;18,00;199.757,00;11.100
RECV3;05/06/2023;14:25:00;17,99;18,00;17,99;18,00;295.132,00;16.400
RECV3;05/06/2023;14:20:00;17,99;18,01;17,99;17,99;224.924,00;12.500
RECV3;05/06/2023;14:15:00;18,03;18,03;17,98;17,99;248.558,00;13.800
RECV3;05/06/2023;14:10:00;18,03;18,05;18,03;18,03;252.463,00;14.000
RECV3;05/06/2023;14:05:00;18,03;18,07;18,03;18,03;299.482,00;16.600
RECV3;05/06/2023;14:00:00;18,05;18,06;18,03;18,03;180.463,00;10.000
RECV3;05/06/2023;13:55:00;18,04;18,07;18,03;18,05;454.612,00;25.200
RECV3;05/06/2023;13:50:00;18,04;18,05;18,03;18,04;286.757,00;15.900
RECV3;05/06/2023;13:45:00;17,96;18,04;17,96;18,04;1.060.578,00;58.900
RECV3;05/06/2023;13:40:00;17,96;17,97;17,96;17,96;57.473,00;3.200
RECV3;05/06/2023;13:35:00;17,98;17,98;17,95;17,96;80.857,00;4.500
RECV3;05/06/2023;13:30:00;17,99;18,00;17,97;17,97;129.506,00;7.200
RECV3;05/06/2023;13:25:00;17,95;18,00;17,95;17,99;249.957,00;13.900
RECV3;05/06/2023;13:20:00;17,97;17,98;17,96;17,96;97.028,00;5.400
RECV3;05/06/2023;13:15:00;17,98;17,99;17,96;17,97;145.616,00;8.100
RECV3;05/06/2023;13:10:00;17,97;17,99;17,97;17,98;102.502,00;5.700
RECV3;05/06/2023;13:05:00;17,93;18,00;17,92;17,98;486.788,00;27.100
RECV3;05/06/2023;13:00:00;17,91;17,94;17,89;17,92;168.410,00;9.400
RECV3;05/06/2023;12:55:00;17,89;17,91;17,88;17,91;162.817,00;9.100
RECV3;05/06/2023;12:50:00;17,87;17,91;17,87;17,89;168.169,00;9.400
RECV3;05/06/2023;12:45:00;17,85;17,87;17,84;17,87;101.778,00;5.700
RECV3;05/06/2023;12:40:00;17,86;17,87;17,84;17,85;110.682,00;6.200
RECV3;05/06/2023;12:35:00;17,86;17,87;17,83;17,86;135.712,00;7.600
RECV3;05/06/2023;12:30:00;17,86;17,90;17,84;17,87;337.817,00;18.900
RECV3;05/06/2023;12:25:00;17,85;17,87;17,83;17,87;223.169,00;12.500
RECV3;05/06/2023;12:20:00;17,85;17,86;17,84;17,85;74.970,00;4.200
RECV3;05/06/2023;12:15:00;17,87;17,89;17,85;17,86;285.884,00;16.000
RECV3;05/06/2023;12:10:00;17,92;17,92;17,86;17,87;275.473,00;15.400
RECV3;05/06/2023;12:05:00;17,93;17,97;17,92;17,92;258.435,00;14.400
RECV3;05/06/2023;12:00:00;17,90;17,96;17,88;17,92;827.248,00;46.100
RECV3;05/06/2023;11:55:00;17,88;17,90;17,85;17,90;103.640,00;5.800
RECV3;05/06/2023;11:50:00;17,84;17,89;17,83;17,89;212.510,00;11.900
RECV3;05/06/2023;11:45:00;17,82;17,84;17,79;17,84;203.055,00;11.400
RECV3;05/06/2023;11:40:00;17,72;17,81;17,72;17,81;456.539,00;25.700
RECV3;05/06/2023;11:35:00;17,75;17,75;17,69;17,72;416.339,00;23.500
RECV3;05/06/2023;11:30:00;17,72;17,78;17,72;17,77;122.451,00;6.900
RECV3;05/06/2023;11:25:00;17,74;17,77;17,69;17,73;374.253,00;21.100
RECV3;05/06/2023;11:20:00;17,70;17,83;17,70;17,73;607.544,00;34.200
RECV3;05/06/2023;11:15:00;17,81;17,82;17,70;17,71;648.688,00;36.600
RECV3;05/06/2023;11:10:00;17,91;17,92;17,81;17,81;466.208,00;26.100
RECV3;05/06/2023;11:05:00;17,97;17,99;17,91;17,92;441.525,00;24.600
RECV3;05/06/2023;11:00:00;17,96;18,00;17,94;17,97;307.239,00;17.100
RECV3;05/06/2023;10:55:00;18,04;18,05;17,93;17,95;514.570,00;28.600
RECV3;05/06/2023;10:50:00;18,09;18,09;18,03;18,06;200.442,00;11.100
RECV3;05/06/2023;10:45:00;18,03;18,11;18,01;18,10;480.411,00;26.600
RECV3;05/06/2023;10:40:00;18,08;18,08;18,03;18,03;189.497,00;10.500
RECV3;05/06/2023;10:35:00;18,07;18,14;18,07;18,08;253.333,00;14.000
RECV3;05/06/2023;10:30:00;18,07;18,09;18,01;18,07;232.803,00;12.900
RECV3;05/06/2023;10:25:00;18,10;18,10;18,01;18,07;247.340,00;13.700
RECV3;05/06/2023;10:20:00;18,11;18,11;17,99;18,09;465.704,00;25.800
RECV3;05/06/2023;10:15:00;18,15;18,18;18,00;18,10;992.517,00;54.800
RECV3;05/06/2023;10:10:00;18,10;18,17;18,05;18,13;400.356,00;22.100
RECV3;05/06/2023;10:05:00;18,13;18,15;18,05;18,05;827.736,00;45.700
RECV3;02/06/2023;17:30:00;17,86;17,86;17,83;17,86;21.410,00;1.200
RECV3;02/06/2023;16:50:00;17,89;17,90;17,84;17,84;5.502.774,00;308.400
RECV3;02/06/2023;16:45:00;17,92;17,93;17,89;17,89;621.183,00;34.700
RECV3;02/06/2023;16:40:00;17,93;17,93;17,92;17,92;215.097,00;12.000
