Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RENT3;16/06/2023;17:30:00;65,08;65,08;65,01;65,02;1.132.369,00;17.400
RENT3;16/06/2023;16:45:00;64,60;65,08;64,57;65,08;332.829.798,00;5.115.100
RENT3;16/06/2023;16:40:00;64,58;64,60;64,56;64,60;13.066.454,00;202.300
RENT3;16/06/2023;16:35:00;64,61;64,61;64,57;64,57;6.568.975,00;101.700
RENT3;16/06/2023;16:30:00;64,58;64,61;64,54;64,60;11.074.762,00;171.500
RENT3;16/06/2023;16:25:00;64,62;64,62;64,56;64,58;10.826.527,00;167.600
RENT3;16/06/2023;16:20:00;64,70;64,72;64,60;64,61;6.150.958,00;95.100
RENT3;16/06/2023;16:15:00;64,72;64,73;64,70;64,71;4.394.000,00;67.900
RENT3;16/06/2023;16:10:00;64,71;64,73;64,68;64,71;3.992.399,00;61.700
RENT3;16/06/2023;16:05:00;64,72;64,73;64,68;64,70;4.386.745,00;67.800
RENT3;16/06/2023;16:00:00;64,71;64,74;64,68;64,72;5.364.321,00;82.900
RENT3;16/06/2023;15:55:00;64,65;64,73;64,60;64,70;19.414.611,00;300.300
RENT3;16/06/2023;15:50:00;64,61;64,71;64,60;64,66;15.971.167,00;247.000
RENT3;16/06/2023;15:45:00;64,68;64,73;64,61;64,61;5.397.584,00;83.500
RENT3;16/06/2023;15:40:00;64,66;64,71;64,60;64,68;6.832.733,00;105.700
RENT3;16/06/2023;15:35:00;64,88;64,89;64,66;64,66;5.752.799,00;88.800
RENT3;16/06/2023;15:30:00;64,80;64,94;64,77;64,88;56.412.977,00;869.300
RENT3;16/06/2023;15:25:00;64,84;64,85;64,74;64,79;4.126.722,00;63.700
RENT3;16/06/2023;15:20:00;64,66;64,88;64,66;64,84;6.481.145,00;100.100
RENT3;16/06/2023;15:15:00;64,76;64,76;64,60;64,65;5.878.179,00;90.900
RENT3;16/06/2023;15:10:00;64,77;64,77;64,75;64,76;3.717.132,00;57.400
RENT3;16/06/2023;15:05:00;64,77;64,79;64,75;64,77;4.513.799,00;69.700
RENT3;16/06/2023;15:00:00;64,77;64,80;64,72;64,76;4.202.883,00;64.900
RENT3;16/06/2023;14:55:00;64,69;64,79;64,68;64,77;5.145.388,00;79.500
RENT3;16/06/2023;14:50:00;64,72;64,72;64,63;64,68;4.333.490,00;67.000
RENT3;16/06/2023;14:45:00;64,72;64,80;64,64;64,72;5.985.560,00;92.500
RENT3;16/06/2023;14:40:00;64,63;64,80;64,61;64,73;42.094.303,00;651.200
RENT3;16/06/2023;14:35:00;64,60;64,66;64,55;64,64;22.416.395,00;347.000
RENT3;16/06/2023;14:30:00;64,64;64,74;64,58;64,61;7.978.258,00;123.400
RENT3;16/06/2023;14:25:00;64,66;64,68;64,55;64,64;10.811.921,00;167.300
RENT3;16/06/2023;14:20:00;64,66;64,70;64,63;64,67;3.712.032,00;57.400
RENT3;16/06/2023;14:15:00;64,62;64,79;64,61;64,65;7.594.061,00;117.400
RENT3;16/06/2023;14:10:00;64,68;64,71;64,57;64,62;5.673.950,00;87.800
RENT3;16/06/2023;14:05:00;64,80;64,81;64,65;64,68;6.066.267,00;93.700
RENT3;16/06/2023;14:00:00;65,17;65,21;64,78;64,81;17.217.889,00;264.700
RENT3;16/06/2023;13:55:00;64,81;65,21;64,80;65,15;7.694.710,00;118.300
RENT3;16/06/2023;13:50:00;64,87;64,92;64,76;64,80;5.433.949,00;83.800
RENT3;16/06/2023;13:45:00;64,98;65,03;64,84;64,86;3.829.934,00;59.000
RENT3;16/06/2023;13:40:00;64,99;65,07;64,90;64,98;4.885.414,00;75.200
RENT3;16/06/2023;13:35:00;65,07;65,09;64,98;64,99;2.158.925,00;33.200
RENT3;16/06/2023;13:30:00;64,97;65,09;64,96;65,09;2.920.785,00;44.900
RENT3;16/06/2023;13:25:00;65,14;65,15;64,95;64,97;2.869.093,00;44.100
RENT3;16/06/2023;13:20:00;65,00;65,18;65,00;65,15;3.352.705,00;51.500
RENT3;16/06/2023;13:15:00;64,94;65,02;64,87;65,00;10.532.042,00;162.100
RENT3;16/06/2023;13:10:00;64,87;64,98;64,87;64,94;16.301.323,00;251.000
RENT3;16/06/2023;13:05:00;64,83;64,87;64,74;64,85;5.578.727,00;86.100
RENT3;16/06/2023;13:00:00;64,81;64,90;64,78;64,81;3.559.522,00;54.900
RENT3;16/06/2023;12:55:00;64,86;64,95;64,72;64,78;5.718.612,00;88.200
RENT3;16/06/2023;12:50:00;65,01;65,03;64,86;64,86;5.294.459,00;81.500
RENT3;16/06/2023;12:45:00;65,19;65,20;64,92;65,01;5.813.809,00;89.400
RENT3;16/06/2023;12:40:00;65,10;65,21;65,09;65,19;4.612.071,00;70.800
RENT3;16/06/2023;12:35:00;65,31;65,32;65,09;65,10;4.394.242,00;67.400
RENT3;16/06/2023;12:30:00;65,17;65,37;65,16;65,31;2.716.062,00;41.600
RENT3;16/06/2023;12:25:00;65,16;65,25;65,15;65,16;20.947.195,00;321.300
RENT3;16/06/2023;12:20:00;65,17;65,21;65,15;65,17;5.084.023,00;78.000
RENT3;16/06/2023;12:15:00;65,53;65,54;65,14;65,19;7.365.698,00;112.800
RENT3;16/06/2023;12:10:00;65,57;65,59;65,52;65,54;2.097.669,00;32.000
RENT3;16/06/2023;12:05:00;65,54;65,59;65,54;65,58;2.124.480,00;32.400
RENT3;16/06/2023;12:00:00;65,54;65,56;65,52;65,54;2.693.386,00;41.100
RENT3;16/06/2023;11:55:00;65,56;65,60;65,51;65,55;2.327.589,00;35.500
RENT3;16/06/2023;11:50:00;65,54;65,73;65,52;65,58;4.165.550,00;63.500
RENT3;16/06/2023;11:45:00;65,56;65,56;65,44;65,54;2.836.437,00;43.300
RENT3;16/06/2023;11:40:00;65,71;65,72;65,54;65,56;3.289.322,00;50.100
RENT3;16/06/2023;11:35:00;65,79;65,80;65,68;65,72;2.603.331,00;39.600
RENT3;16/06/2023;11:30:00;65,79;65,80;65,74;65,80;4.906.837,00;74.600
RENT3;16/06/2023;11:25:00;65,86;65,87;65,72;65,79;7.694.825,00;116.900
RENT3;16/06/2023;11:20:00;65,65;65,86;65,63;65,85;4.593.490,00;69.800
RENT3;16/06/2023;11:15:00;65,79;65,84;65,64;65,65;10.330.729,00;157.100
RENT3;16/06/2023;11:10:00;65,81;65,87;65,63;65,78;12.380.960,00;188.300
RENT3;16/06/2023;11:05:00;65,64;65,85;65,58;65,79;33.900.887,00;515.900
RENT3;16/06/2023;11:00:00;65,69;65,81;65,60;65,65;11.634.591,00;177.100
RENT3;16/06/2023;10:55:00;65,67;65,71;65,55;65,68;21.721.032,00;330.700
RENT3;16/06/2023;10:50:00;65,75;65,90;65,60;65,64;5.601.201,00;85.200
RENT3;16/06/2023;10:45:00;65,71;65,80;65,65;65,73;3.482.614,00;53.000
RENT3;16/06/2023;10:40:00;65,92;65,92;65,62;65,72;4.012.010,00;61.000
RENT3;16/06/2023;10:35:00;65,36;65,97;65,27;65,90;8.453.733,00;128.700
RENT3;16/06/2023;10:30:00;65,01;65,56;65,01;65,38;24.357.929,00;373.400
RENT3;16/06/2023;10:25:00;64,93;65,26;64,87;65,01;34.157.796,00;525.000
RENT3;16/06/2023;10:20:00;65,35;65,36;64,59;64,93;50.990.936,00;785.500
RENT3;16/06/2023;10:15:00;64,50;65,48;64,31;65,35;65.540.781,00;1.013.200
RENT3;15/06/2023;17:30:00;66,64;66,76;66,47;66,47;306.154,00;4.600
RENT3;15/06/2023;16:50:00;66,80;66,87;66,51;66,64;146.836.703,00;2.203.000
RENT3;15/06/2023;16:45:00;66,70;66,96;66,56;66,80;26.121.411,00;391.400
RENT3;15/06/2023;16:40:00;67,00;67,01;66,69;66,70;18.870.113,00;282.400
RENT3;15/06/2023;16:35:00;66,87;67,06;66,87;67,01;21.709.565,00;324.100
RENT3;15/06/2023;16:30:00;67,18;67,22;66,75;66,87;35.759.771,00;533.900
RENT3;15/06/2023;16:25:00;67,49;67,50;67,17;67,17;9.477.958,00;140.700
RENT3;15/06/2023;16:20:00;67,56;67,57;67,44;67,49;15.687.176,00;232.300
RENT3;15/06/2023;16:15:00;67,55;67,59;67,54;67,55;3.188.750,00;47.200
RENT3;15/06/2023;16:10:00;67,56;67,60;67,54;67,54;3.358.723,00;49.700
RENT3;15/06/2023;16:05:00;67,57;67,59;67,50;67,56;3.533.182,00;52.300
RENT3;15/06/2023;16:00:00;67,57;67,59;67,53;67,58;2.783.421,00;41.200
RENT3;15/06/2023;15:55:00;67,58;67,60;67,54;67,56;2.493.697,00;36.900
RENT3;15/06/2023;15:50:00;67,60;67,64;67,55;67,58;2.757.452,00;40.800
