Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RNEW4;16/06/2023;17:30:00;1,60;1,60;1,60;1,60;640,00;400
RNEW4;16/06/2023;16:45:00;1,59;1,61;1,58;1,61;18.274,00;11.400
RNEW4;16/06/2023;16:35:00;1,58;1,59;1,58;1,59;633,00;400
RNEW4;16/06/2023;16:30:00;1,58;1,58;1,58;1,58;158,00;100
RNEW4;16/06/2023;16:25:00;1,58;1,58;1,58;1,58;2.370,00;1.500
RNEW4;16/06/2023;16:20:00;1,58;1,58;1,58;1,58;4.740,00;3.000
RNEW4;16/06/2023;16:15:00;1,57;1,58;1,57;1,58;3.298,00;2.100
RNEW4;16/06/2023;16:10:00;1,57;1,57;1,57;1,57;3.611,00;2.300
RNEW4;16/06/2023;16:05:00;1,55;1,55;1,55;1,55;310,00;200
RNEW4;16/06/2023;15:55:00;1,57;1,57;1,57;1,57;471,00;300
RNEW4;16/06/2023;15:50:00;1,56;1,56;1,56;1,56;312,00;200
RNEW4;16/06/2023;15:45:00;1,56;1,56;1,56;1,56;312,00;200
RNEW4;16/06/2023;15:40:00;1,57;1,57;1,57;1,57;314,00;200
RNEW4;16/06/2023;15:20:00;1,57;1,57;1,57;1,57;314,00;200
RNEW4;16/06/2023;15:10:00;1,56;1,56;1,56;1,56;1.092,00;700
RNEW4;16/06/2023;15:00:00;1,55;1,55;1,55;1,55;7.440,00;4.800
RNEW4;16/06/2023;14:50:00;1,55;1,55;1,55;1,55;1.550,00;1.000
RNEW4;16/06/2023;14:35:00;1,56;1,56;1,56;1,56;312,00;200
RNEW4;16/06/2023;14:25:00;1,56;1,56;1,56;1,56;5.928,00;3.800
RNEW4;16/06/2023;14:20:00;1,55;1,56;1,55;1,56;1.706,00;1.100
RNEW4;16/06/2023;14:00:00;1,55;1,55;1,54;1,54;22.350,00;14.500
RNEW4;16/06/2023;13:40:00;1,55;1,55;1,54;1,55;13.580,00;8.800
RNEW4;16/06/2023;13:30:00;1,55;1,55;1,55;1,55;775,00;500
RNEW4;16/06/2023;13:00:00;1,57;1,57;1,57;1,57;785,00;500
RNEW4;16/06/2023;12:50:00;1,56;1,56;1,56;1,56;3.120,00;2.000
RNEW4;16/06/2023;12:45:00;1,56;1,56;1,56;1,56;4.680,00;3.000
RNEW4;16/06/2023;12:35:00;1,56;1,56;1,56;1,56;2.028,00;1.300
RNEW4;16/06/2023;12:25:00;1,55;1,55;1,54;1,54;20.077,00;13.000
RNEW4;16/06/2023;12:20:00;1,56;1,56;1,56;1,56;624,00;400
RNEW4;16/06/2023;12:15:00;1,56;1,56;1,56;1,56;5.928,00;3.800
RNEW4;16/06/2023;12:05:00;1,57;1,57;1,57;1,57;157,00;100
RNEW4;16/06/2023;12:00:00;1,57;1,57;1,57;1,57;1.570,00;1.000
RNEW4;16/06/2023;11:55:00;1,57;1,57;1,57;1,57;4.239,00;2.700
RNEW4;16/06/2023;11:50:00;1,57;1,58;1,57;1,58;7.891,00;5.000
RNEW4;16/06/2023;11:45:00;1,57;1,57;1,57;1,57;2.826,00;1.800
RNEW4;16/06/2023;11:40:00;1,58;1,58;1,58;1,58;2.686,00;1.700
RNEW4;16/06/2023;11:35:00;1,59;1,59;1,59;1,59;477,00;300
RNEW4;16/06/2023;11:20:00;1,58;1,59;1,58;1,59;1.588,00;1.000
RNEW4;16/06/2023;11:15:00;1,58;1,58;1,58;1,58;6.320,00;4.000
RNEW4;16/06/2023;11:10:00;1,57;1,57;1,57;1,57;1.727,00;1.100
RNEW4;16/06/2023;11:05:00;1,57;1,57;1,57;1,57;1.570,00;1.000
RNEW4;16/06/2023;11:00:00;1,58;1,58;1,58;1,58;158,00;100
RNEW4;16/06/2023;10:40:00;1,57;1,57;1,56;1,56;2.968,00;1.900
RNEW4;16/06/2023;10:35:00;1,57;1,57;1,57;1,57;17.270,00;11.000
RNEW4;16/06/2023;10:25:00;1,57;1,57;1,57;1,57;157,00;100
RNEW4;16/06/2023;10:20:00;1,56;1,56;1,55;1,55;8.729,00;5.600
RNEW4;16/06/2023;10:15:00;1,56;1,56;1,56;1,56;3.432,00;2.200
RNEW4;16/06/2023;10:10:00;1,56;1,58;1,55;1,58;15.150,00;9.700
RNEW4;16/06/2023;10:05:00;1,59;1,60;1,59;1,60;1.909,00;1.200
RNEW4;16/06/2023;10:00:00;1,58;1,65;1,58;1,64;33.253,00;20.600
RNEW4;15/06/2023;17:30:00;1,57;1,58;1,56;1,58;17.439,00;11.100
RNEW4;15/06/2023;16:50:00;1,55;1,59;1,55;1,59;32.218,00;20.600
RNEW4;15/06/2023;16:45:00;1,53;1,55;1,53;1,55;22.463,00;14.600
RNEW4;15/06/2023;16:35:00;1,52;1,52;1,52;1,52;3.192,00;2.100
RNEW4;15/06/2023;16:30:00;1,53;1,53;1,53;1,53;765,00;500
RNEW4;15/06/2023;16:05:00;1,53;1,53;1,53;1,53;153,00;100
RNEW4;15/06/2023;16:00:00;1,53;1,53;1,53;1,53;6.579,00;4.300
RNEW4;15/06/2023;15:45:00;1,53;1,53;1,53;1,53;306,00;200
RNEW4;15/06/2023;15:40:00;1,53;1,53;1,53;1,53;153,00;100
RNEW4;15/06/2023;15:20:00;1,53;1,53;1,53;1,53;1.071,00;700
RNEW4;15/06/2023;15:10:00;1,53;1,53;1,53;1,53;3.060,00;2.000
RNEW4;15/06/2023;15:05:00;1,53;1,53;1,53;1,53;1.071,00;700
RNEW4;15/06/2023;14:25:00;1,53;1,53;1,53;1,53;153,00;100
RNEW4;15/06/2023;13:45:00;1,53;1,53;1,53;1,53;2.295,00;1.500
RNEW4;15/06/2023;13:40:00;1,53;1,53;1,53;1,53;918,00;600
RNEW4;15/06/2023;13:20:00;1,52;1,52;1,52;1,52;1.520,00;1.000
RNEW4;15/06/2023;13:00:00;1,52;1,52;1,52;1,52;760,00;500
RNEW4;15/06/2023;12:50:00;1,53;1,53;1,53;1,53;459,00;300
RNEW4;15/06/2023;11:45:00;1,53;1,53;1,52;1,52;3.656,00;2.400
RNEW4;15/06/2023;11:40:00;1,53;1,53;1,53;1,53;4.590,00;3.000
RNEW4;15/06/2023;11:35:00;1,54;1,54;1,53;1,53;1.838,00;1.200
RNEW4;15/06/2023;11:30:00;1,53;1,53;1,53;1,53;1.836,00;1.200
RNEW4;15/06/2023;11:15:00;1,54;1,54;1,54;1,54;154,00;100
RNEW4;15/06/2023;11:00:00;1,53;1,53;1,53;1,53;7.650,00;5.000
RNEW4;15/06/2023;10:55:00;1,52;1,52;1,52;1,52;14.744,00;9.700
RNEW4;15/06/2023;10:50:00;1,52;1,52;1,52;1,52;456,00;300
RNEW4;15/06/2023;10:35:00;1,54;1,54;1,54;1,54;308,00;200
RNEW4;15/06/2023;10:30:00;1,52;1,54;1,52;1,54;1.692,00;1.100
RNEW4;15/06/2023;10:25:00;1,54;1,54;1,54;1,54;308,00;200
RNEW4;15/06/2023;10:20:00;1,54;1,54;1,54;1,54;3.080,00;2.000
RNEW4;15/06/2023;10:15:00;1,53;1,54;1,53;1,54;10.769,00;7.000
RNEW4;15/06/2023;10:10:00;1,53;1,53;1,53;1,53;153,00;100
RNEW4;14/06/2023;16:30:00;1,51;1,53;1,51;1,53;5.904,00;3.900
RNEW4;14/06/2023;16:20:00;1,52;1,52;1,51;1,51;8.009,00;5.300
RNEW4;14/06/2023;16:15:00;1,51;1,52;1,51;1,52;33.898,00;22.400
RNEW4;14/06/2023;15:55:00;1,52;1,52;1,52;1,52;456,00;300
RNEW4;14/06/2023;15:50:00;1,53;1,53;1,53;1,53;765,00;500
RNEW4;14/06/2023;15:45:00;1,52;1,52;1,51;1,51;1.517,00;1.000
RNEW4;14/06/2023;15:35:00;1,53;1,53;1,53;1,53;1.530,00;1.000
RNEW4;14/06/2023;15:30:00;1,53;1,53;1,53;1,53;306,00;200
RNEW4;14/06/2023;15:15:00;1,53;1,53;1,53;1,53;1.071,00;700
RNEW4;14/06/2023;15:10:00;1,52;1,52;1,52;1,52;1.368,00;900
RNEW4;14/06/2023;15:05:00;1,54;1,54;1,52;1,52;2.890,00;1.900
RNEW4;14/06/2023;14:30:00;1,52;1,52;1,52;1,52;912,00;600
RNEW4;14/06/2023;14:25:00;1,52;1,52;1,52;1,52;2.128,00;1.400
RNEW4;14/06/2023;14:05:00;1,54;1,54;1,53;1,53;17.093,00;11.100
RNEW4;14/06/2023;14:00:00;1,52;1,53;1,52;1,53;16.517,00;10.800
RNEW4;14/06/2023;13:45:00;1,52;1,52;1,52;1,52;1.520,00;1.000
RNEW4;14/06/2023;13:40:00;1,52;1,52;1,52;1,52;304,00;200
RNEW4;14/06/2023;13:10:00;1,52;1,52;1,52;1,52;1.824,00;1.200
