Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ROMI3;06/06/2023;11:20:00;17,46;17,47;17,45;17,46;47.142,00;2.700
ROMI3;06/06/2023;11:15:00;17,46;17,46;17,43;17,45;47.116,00;2.700
ROMI3;06/06/2023;11:10:00;17,47;17,47;17,47;17,47;3.494,00;200
ROMI3;06/06/2023;11:05:00;17,45;17,50;17,45;17,48;134.450,00;7.700
ROMI3;06/06/2023;11:00:00;17,42;17,44;17,42;17,44;17.426,00;1.000
ROMI3;06/06/2023;10:55:00;17,42;17,44;17,41;17,42;52.258,00;3.000
ROMI3;06/06/2023;10:50:00;17,44;17,45;17,40;17,40;29.624,00;1.700
ROMI3;06/06/2023;10:45:00;17,45;17,45;17,41;17,42;20.908,00;1.200
ROMI3;06/06/2023;10:40:00;17,47;17,49;17,45;17,45;26.223,00;1.500
ROMI3;06/06/2023;10:35:00;17,42;17,48;17,41;17,46;106.374,00;6.100
ROMI3;06/06/2023;10:30:00;17,43;17,48;17,40;17,44;55.811,00;3.200
ROMI3;06/06/2023;10:25:00;17,47;17,48;17,41;17,41;34.917,00;2.000
ROMI3;06/06/2023;10:20:00;17,48;17,50;17,48;17,49;6.996,00;400
ROMI3;06/06/2023;10:15:00;17,45;17,50;17,45;17,49;10.484,00;600
ROMI3;06/06/2023;10:10:00;17,51;17,52;17,45;17,45;33.245,00;1.900
ROMI3;06/06/2023;10:05:00;17,48;17,51;17,45;17,49;204.688,00;11.700
ROMI3;06/06/2023;10:00:00;17,30;17,51;17,28;17,51;118.146,00;6.800
ROMI3;05/06/2023;17:30:00;17,30;17,38;17,28;17,35;95.520,00;5.500
ROMI3;05/06/2023;16:50:00;17,35;17,37;17,29;17,29;755.897,00;43.700
ROMI3;05/06/2023;16:45:00;17,34;17,34;17,30;17,33;84.909,00;4.900
ROMI3;05/06/2023;16:40:00;17,35;17,36;17,32;17,34;57.227,00;3.300
