Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RPMG3;06/06/2023;11:15:00;1,98;1,98;1,98;1,98;396,00;200
RPMG3;06/06/2023;11:10:00;1,98;1,98;1,98;1,98;198,00;100
RPMG3;06/06/2023;10:50:00;2,00;2,00;2,00;2,00;1.600,00;800
RPMG3;06/06/2023;10:30:00;2,02;2,02;2,02;2,02;808,00;400
RPMG3;06/06/2023;10:25:00;2,00;2,02;2,00;2,02;2.012,00;1.000
RPMG3;06/06/2023;10:15:00;1,98;1,98;1,98;1,98;198,00;100
RPMG3;05/06/2023;17:30:00;1,98;1,98;1,98;1,98;198,00;100
RPMG3;05/06/2023;15:10:00;1,94;1,99;1,93;1,98;9.248,00;4.700
RPMG3;05/06/2023;15:05:00;1,93;1,99;1,93;1,98;9.412,00;4.800
RPMG3;05/06/2023;15:00:00;1,93;1,98;1,93;1,98;16.034,00;8.200
RPMG3;05/06/2023;14:30:00;1,92;1,92;1,92;1,92;384,00;200
RPMG3;05/06/2023;14:05:00;1,92;1,92;1,92;1,92;192,00;100
RPMG3;05/06/2023;12:55:00;1,90;1,90;1,90;1,90;8.170,00;4.300
RPMG3;05/06/2023;12:50:00;1,92;1,99;1,92;1,99;9.094,00;4.600
RPMG3;05/06/2023;12:35:00;1,90;1,90;1,90;1,90;190,00;100
RPMG3;05/06/2023;12:30:00;1,92;1,92;1,92;1,92;192,00;100
RPMG3;05/06/2023;10:35:00;1,88;1,89;1,88;1,89;5.288,00;2.800
RPMG3;05/06/2023;10:25:00;1,89;1,89;1,89;1,89;189,00;100
RPMG3;05/06/2023;10:20:00;1,88;1,88;1,80;1,80;930,00;500
RPMG3;05/06/2023;10:15:00;1,91;1,91;1,89;1,89;6.435,00;3.400
RPMG3;02/06/2023;16:50:00;1,97;1,97;1,91;1,91;4.028,00;2.100
RPMG3;02/06/2023;16:45:00;1,97;1,97;1,97;1,97;197,00;100
RPMG3;02/06/2023;16:40:00;1,97;1,97;1,97;1,97;591,00;300
RPMG3;02/06/2023;16:15:00;1,97;1,97;1,97;1,97;1.379,00;700
RPMG3;02/06/2023;16:10:00;1,97;1,97;1,97;1,97;1.773,00;900
RPMG3;02/06/2023;15:25:00;1,98;1,99;1,98;1,99;4.572,00;2.300
RPMG3;02/06/2023;15:05:00;1,92;1,92;1,92;1,92;9.600,00;5.000
RPMG3;02/06/2023;15:00:00;1,98;1,98;1,92;1,92;9.480,00;4.900
RPMG3;02/06/2023;13:25:00;1,95;1,95;1,95;1,95;390,00;200
RPMG3;02/06/2023;12:40:00;1,95;1,95;1,95;1,95;1.950,00;1.000
RPMG3;02/06/2023;12:35:00;1,95;1,95;1,95;1,95;2.340,00;1.200
RPMG3;02/06/2023;12:30:00;1,95;1,95;1,95;1,95;195,00;100
RPMG3;02/06/2023;12:25:00;1,95;1,95;1,95;1,95;390,00;200
RPMG3;02/06/2023;12:20:00;1,95;1,95;1,95;1,95;1.560,00;800
