Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RRRP3;06/06/2023;10:15:00;31,96;31,97;31,83;31,89;1.962.120,00;61.500
RRRP3;06/06/2023;10:10:00;31,90;31,99;31,80;31,93;1.212.040,00;38.000
RRRP3;06/06/2023;10:05:00;31,90;32,01;31,77;31,90;2.897.398,00;90.900
RRRP3;06/06/2023;10:00:00;32,09;32,43;31,86;31,89;2.488.912,00;77.500
RRRP3;05/06/2023;17:30:00;32,35;32,39;32,25;32,30;200.365,00;6.200
RRRP3;05/06/2023;16:50:00;32,33;32,45;32,25;32,25;17.869.663,00;553.800
RRRP3;05/06/2023;16:45:00;32,39;32,40;32,32;32,33;3.366.384,00;104.000
RRRP3;05/06/2023;16:40:00;32,42;32,43;32,38;32,40;1.247.829,00;38.500
RRRP3;05/06/2023;16:35:00;32,37;32,43;32,36;32,42;1.707.198,00;52.700
RRRP3;05/06/2023;16:30:00;32,37;32,43;32,37;32,37;1.568.023,00;48.400
RRRP3;05/06/2023;16:25:00;32,35;32,37;32,32;32,37;1.390.708,00;43.000
RRRP3;05/06/2023;16:20:00;32,21;32,35;32,21;32,35;1.181.539,00;36.600
RRRP3;05/06/2023;16:15:00;32,17;32,22;32,16;32,20;2.081.678,00;64.700
RRRP3;05/06/2023;16:10:00;32,13;32,17;32,11;32,17;1.189.675,00;37.000
RRRP3;05/06/2023;16:05:00;32,15;32,17;32,12;32,13;1.121.804,00;34.900
RRRP3;05/06/2023;16:00:00;32,17;32,17;32,13;32,16;2.778.513,00;86.400
RRRP3;05/06/2023;15:55:00;32,22;32,23;32,15;32,17;688.824,00;21.400
RRRP3;05/06/2023;15:50:00;32,22;32,23;32,16;32,22;882.143,00;27.400
RRRP3;05/06/2023;15:45:00;32,23;32,28;32,21;32,22;499.823,00;15.500
RRRP3;05/06/2023;15:40:00;32,24;32,25;32,22;32,24;544.861,00;16.900
RRRP3;05/06/2023;15:35:00;32,24;32,27;32,21;32,24;454.615,00;14.100
RRRP3;05/06/2023;15:30:00;32,25;32,28;32,23;32,24;351.462,00;10.900
RRRP3;05/06/2023;15:25:00;32,29;32,29;32,18;32,25;1.659.548,00;51.500
RRRP3;05/06/2023;15:20:00;32,31;32,33;32,27;32,30;652.331,00;20.200
RRRP3;05/06/2023;15:15:00;32,33;32,33;32,28;32,33;713.957,00;22.100
RRRP3;05/06/2023;15:10:00;32,40;32,40;32,26;32,32;2.261.577,00;69.900
RRRP3;05/06/2023;15:05:00;32,46;32,46;32,36;32,39;1.215.587,00;37.500
RRRP3;05/06/2023;15:00:00;32,43;32,47;32,39;32,45;2.617.760,00;80.700
RRRP3;05/06/2023;14:55:00;32,39;32,44;32,37;32,44;852.048,00;26.300
RRRP3;05/06/2023;14:50:00;32,38;32,39;32,30;32,39;1.045.263,00;32.300
RRRP3;05/06/2023;14:45:00;32,36;32,39;32,36;32,38;495.353,00;15.300
RRRP3;05/06/2023;14:40:00;32,33;32,38;32,31;32,37;1.355.390,00;41.900
RRRP3;05/06/2023;14:35:00;32,33;32,35;32,31;32,33;342.741,00;10.600
RRRP3;05/06/2023;14:30:00;32,25;32,34;32,23;32,33;1.158.914,00;35.900
RRRP3;05/06/2023;14:25:00;32,28;32,30;32,23;32,25;474.211,00;14.700
RRRP3;05/06/2023;14:20:00;32,23;32,29;32,15;32,28;1.626.435,00;50.500
RRRP3;05/06/2023;14:15:00;32,25;32,26;32,17;32,23;1.527.829,00;47.400
RRRP3;05/06/2023;14:10:00;32,28;32,31;32,24;32,24;545.453,00;16.900
RRRP3;05/06/2023;14:05:00;32,28;32,30;32,25;32,27;529.270,00;16.400
RRRP3;05/06/2023;14:00:00;32,30;32,30;32,26;32,28;610.190,00;18.900
RRRP3;05/06/2023;13:55:00;32,26;32,34;32,24;32,30;981.458,00;30.400
RRRP3;05/06/2023;13:50:00;32,36;32,37;32,24;32,26;3.152.323,00;97.600
RRRP3;05/06/2023;13:45:00;32,31;32,38;32,29;32,37;1.308.961,00;40.500
RRRP3;05/06/2023;13:40:00;32,31;32,32;32,29;32,30;607.326,00;18.800
RRRP3;05/06/2023;13:35:00;32,31;32,32;32,29;32,29;607.331,00;18.800
RRRP3;05/06/2023;13:30:00;32,31;32,34;32,29;32,30;817.314,00;25.300
RRRP3;05/06/2023;13:25:00;32,30;32,33;32,28;32,31;833.486,00;25.800
RRRP3;05/06/2023;13:20:00;32,27;32,31;32,23;32,30;1.630.329,00;50.500
RRRP3;05/06/2023;13:15:00;32,29;32,30;32,27;32,27;267.963,00;8.300
RRRP3;05/06/2023;13:10:00;32,29;32,33;32,28;32,29;1.211.659,00;37.500
RRRP3;05/06/2023;13:05:00;32,23;32,29;32,21;32,29;406.377,00;12.600
RRRP3;05/06/2023;13:00:00;32,26;32,27;32,18;32,24;538.281,00;16.700
RRRP3;05/06/2023;12:55:00;32,28;32,28;32,22;32,26;528.798,00;16.400
RRRP3;05/06/2023;12:50:00;32,18;32,28;32,17;32,28;1.385.028,00;43.000
RRRP3;05/06/2023;12:45:00;32,22;32,22;32,14;32,18;518.041,00;16.100
RRRP3;05/06/2023;12:40:00;32,22;32,23;32,12;32,19;1.048.941,00;32.600
RRRP3;05/06/2023;12:35:00;32,22;32,26;32,21;32,21;435.148,00;13.500
RRRP3;05/06/2023;12:30:00;32,21;32,25;32,20;32,22;663.857,00;20.600
RRRP3;05/06/2023;12:25:00;32,31;32,32;32,23;32,23;964.736,00;29.900
RRRP3;05/06/2023;12:20:00;32,30;32,32;32,28;32,30;726.863,00;22.500
RRRP3;05/06/2023;12:15:00;32,29;32,32;32,25;32,31;555.364,00;17.200
RRRP3;05/06/2023;12:10:00;32,29;32,29;32,24;32,29;338.890,00;10.500
RRRP3;05/06/2023;12:05:00;32,28;32,29;32,21;32,29;1.032.886,00;32.000
