Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RSID3;16/06/2023;17:30:00;4,62;4,62;4,62;4,62;462,00;100
RSID3;16/06/2023;16:45:00;4,66;4,70;4,66;4,70;40.402,00;8.600
RSID3;16/06/2023;16:40:00;4,67;4,67;4,65;4,66;10.243,00;2.200
RSID3;16/06/2023;16:30:00;4,66;4,66;4,66;4,66;1.864,00;400
RSID3;16/06/2023;16:25:00;4,65;4,65;4,65;4,65;6.045,00;1.300
RSID3;16/06/2023;16:15:00;4,60;4,66;4,57;4,66;3.682,00;800
RSID3;16/06/2023;16:10:00;4,65;4,65;4,65;4,65;1.395,00;300
RSID3;16/06/2023;16:05:00;4,60;4,60;4,60;4,60;460,00;100
RSID3;16/06/2023;15:55:00;4,59;4,60;4,59;4,60;8.278,00;1.800
RSID3;16/06/2023;15:45:00;4,53;4,53;4,50;4,50;9.030,00;2.000
RSID3;16/06/2023;15:40:00;4,51;4,51;4,50;4,50;11.252,00;2.500
RSID3;16/06/2023;15:35:00;4,60;4,60;4,50;4,50;21.650,00;4.800
RSID3;16/06/2023;15:30:00;4,66;4,66;4,64;4,64;1.396,00;300
RSID3;16/06/2023;15:25:00;4,63;4,63;4,63;4,63;463,00;100
RSID3;16/06/2023;15:20:00;4,60;4,60;4,60;4,60;3.220,00;700
RSID3;16/06/2023;15:15:00;4,65;4,65;4,42;4,42;30.464,00;6.700
RSID3;16/06/2023;15:05:00;4,65;4,69;4,65;4,69;3.748,00;800
RSID3;16/06/2023;15:00:00;4,73;4,73;4,70;4,70;6.607,00;1.400
RSID3;16/06/2023;14:55:00;4,72;4,72;4,72;4,72;1.416,00;300
RSID3;16/06/2023;14:50:00;4,72;4,72;4,71;4,71;943,00;200
RSID3;16/06/2023;14:40:00;4,77;4,77;4,77;4,77;1.908,00;400
RSID3;16/06/2023;14:35:00;4,73;4,73;4,67;4,67;3.292,00;700
RSID3;16/06/2023;14:30:00;4,74;4,74;4,71;4,72;5.668,00;1.200
RSID3;16/06/2023;14:25:00;4,79;4,79;4,73;4,73;5.718,00;1.200
RSID3;16/06/2023;14:20:00;4,79;4,79;4,79;4,79;3.832,00;800
RSID3;16/06/2023;14:10:00;4,80;4,80;4,80;4,80;14.400,00;3.000
RSID3;16/06/2023;14:05:00;4,84;4,84;4,76;4,80;63.821,00;13.300
RSID3;16/06/2023;14:00:00;4,87;4,87;4,86;4,87;4.379,00;900
RSID3;16/06/2023;13:40:00;4,89;4,90;4,84;4,84;7.328,00;1.500
RSID3;16/06/2023;13:35:00;4,87;4,87;4,86;4,87;2.921,00;600
RSID3;16/06/2023;13:30:00;5,00;5,00;4,87;4,87;36.661,00;7.400
RSID3;16/06/2023;13:25:00;4,93;5,00;4,93;4,99;116.869,00;23.400
RSID3;16/06/2023;13:20:00;4,89;4,97;4,88;4,94;57.343,00;11.600
RSID3;16/06/2023;13:15:00;4,80;4,89;4,80;4,89;77.550,00;16.100
RSID3;16/06/2023;13:10:00;4,73;4,80;4,73;4,79;21.546,00;4.500
RSID3;16/06/2023;13:05:00;4,73;4,73;4,68;4,68;5.650,00;1.200
RSID3;16/06/2023;13:00:00;4,74;4,80;4,73;4,73;11.963,00;2.500
RSID3;16/06/2023;12:55:00;4,76;4,76;4,61;4,66;15.869,00;3.400
RSID3;16/06/2023;12:50:00;4,90;4,90;4,71;4,73;101.109,00;20.800
RSID3;16/06/2023;12:30:00;4,56;4,90;4,55;4,90;119.260,00;25.200
RSID3;16/06/2023;12:25:00;4,51;4,55;4,50;4,55;18.510,00;4.100
RSID3;16/06/2023;12:20:00;4,45;4,45;4,45;4,45;890,00;200
RSID3;16/06/2023;12:15:00;4,34;4,45;4,34;4,45;52.004,00;11.900
RSID3;16/06/2023;12:10:00;4,31;4,31;4,31;4,31;431,00;100
RSID3;16/06/2023;12:00:00;4,25;4,30;4,25;4,30;36.323,00;8.500
RSID3;16/06/2023;11:55:00;4,24;4,25;4,24;4,25;27.195,00;6.400
RSID3;16/06/2023;11:45:00;4,20;4,20;4,20;4,20;840,00;200
RSID3;16/06/2023;11:40:00;4,14;4,20;4,14;4,20;192.210,00;46.100
RSID3;16/06/2023;11:30:00;4,10;4,11;4,10;4,11;1.231,00;300
RSID3;16/06/2023;11:10:00;4,08;4,08;4,08;4,08;816,00;200
RSID3;16/06/2023;10:55:00;4,09;4,09;4,09;4,09;818,00;200
RSID3;16/06/2023;10:25:00;4,04;4,04;4,03;4,03;1.211,00;300
RSID3;16/06/2023;10:20:00;4,05;4,05;4,05;4,05;2.835,00;700
RSID3;16/06/2023;10:15:00;4,02;4,02;4,02;4,02;402,00;100
RSID3;16/06/2023;10:10:00;4,23;4,23;4,10;4,22;27.630,00;6.700
RSID3;16/06/2023;10:00:00;4,05;4,32;4,05;4,32;17.554,00;4.300
RSID3;15/06/2023;17:30:00;4,02;4,02;4,02;4,02;8.040,00;2.000
RSID3;15/06/2023;16:40:00;4,04;4,04;4,04;4,04;17.372,00;4.300
RSID3;15/06/2023;16:35:00;3,96;4,03;3,95;4,03;4.774,00;1.200
RSID3;15/06/2023;16:25:00;3,96;3,96;3,95;3,95;19.768,00;5.000
RSID3;15/06/2023;16:20:00;3,99;4,04;3,98;4,04;49.649,00;12.400
RSID3;15/06/2023;15:55:00;3,96;4,01;3,96;3,96;15.629,00;3.900
RSID3;15/06/2023;15:50:00;3,96;3,96;3,95;3,95;3.953,00;1.000
RSID3;15/06/2023;15:45:00;4,01;4,01;4,01;4,01;401,00;100
RSID3;15/06/2023;15:25:00;3,96;3,96;3,96;3,96;792,00;200
RSID3;15/06/2023;15:15:00;3,97;3,97;3,96;3,96;3.965,00;1.000
RSID3;15/06/2023;14:50:00;4,01;4,01;4,01;4,01;401,00;100
RSID3;15/06/2023;14:30:00;3,95;3,96;3,95;3,96;10.687,00;2.700
RSID3;15/06/2023;14:05:00;3,91;3,91;3,91;3,91;391,00;100
RSID3;15/06/2023;13:55:00;3,95;3,95;3,95;3,95;395,00;100
RSID3;15/06/2023;13:25:00;3,90;3,90;3,90;3,90;390,00;100
RSID3;15/06/2023;13:20:00;3,90;3,90;3,90;3,90;1.170,00;300
RSID3;15/06/2023;13:15:00;3,89;3,89;3,89;3,89;778,00;200
RSID3;15/06/2023;12:20:00;3,90;3,90;3,90;3,90;1.170,00;300
RSID3;15/06/2023;11:50:00;3,94;4,02;3,88;4,01;39.497,00;10.100
RSID3;15/06/2023;11:45:00;3,97;4,02;3,96;4,02;24.581,00;6.200
RSID3;15/06/2023;11:20:00;3,98;4,02;3,98;4,02;50.399,00;12.600
RSID3;15/06/2023;11:05:00;3,99;4,00;3,99;3,99;1.198,00;300
RSID3;15/06/2023;11:00:00;3,98;4,00;3,98;4,00;5.584,00;1.400
RSID3;15/06/2023;10:55:00;3,95;4,00;3,93;3,97;45.760,00;11.600
RSID3;14/06/2023;16:40:00;3,92;3,92;3,87;3,92;28.573,00;7.300
RSID3;14/06/2023;16:30:00;3,92;3,92;3,90;3,92;6.650,00;1.700
RSID3;14/06/2023;16:25:00;3,91;3,91;3,91;3,91;32.844,00;8.400
RSID3;14/06/2023;16:20:00;3,91;3,91;3,91;3,91;391,00;100
RSID3;14/06/2023;16:15:00;3,90;3,90;3,90;3,90;390,00;100
RSID3;14/06/2023;16:10:00;3,90;3,90;3,90;3,90;4.290,00;1.100
RSID3;14/06/2023;15:55:00;3,88;3,90;3,88;3,90;17.103,00;4.400
RSID3;14/06/2023;15:45:00;3,87;3,87;3,87;3,87;387,00;100
RSID3;14/06/2023;15:20:00;3,83;3,83;3,83;3,83;383,00;100
RSID3;14/06/2023;15:15:00;3,83;3,83;3,83;3,83;2.298,00;600
RSID3;14/06/2023;15:10:00;3,85;3,86;3,85;3,86;4.622,00;1.200
RSID3;14/06/2023;15:05:00;3,85;3,88;3,85;3,85;8.879,00;2.300
RSID3;14/06/2023;14:35:00;3,86;3,88;3,82;3,88;21.835,00;5.700
RSID3;14/06/2023;14:30:00;3,89;3,92;3,85;3,89;105.808,00;27.300
RSID3;14/06/2023;14:25:00;3,90;3,90;3,89;3,89;1.168,00;300
RSID3;14/06/2023;14:20:00;3,90;3,90;3,90;3,90;3.120,00;800
RSID3;14/06/2023;14:15:00;3,90;3,90;3,89;3,89;2.335,00;600
RSID3;14/06/2023;14:05:00;3,89;3,89;3,89;3,89;3.112,00;800
RSID3;14/06/2023;14:00:00;3,90;3,90;3,90;3,90;2.730,00;700
RSID3;14/06/2023;13:55:00;3,90;3,90;3,90;3,90;3.120,00;800
RSID3;14/06/2023;13:50:00;3,89;3,89;3,89;3,89;778,00;200
RSID3;14/06/2023;13:45:00;3,90;3,90;3,90;3,90;1.170,00;300
RSID3;14/06/2023;13:35:00;3,90;3,90;3,90;3,90;7.800,00;2.000
RSID3;14/06/2023;13:30:00;3,86;3,87;3,86;3,87;28.199,00;7.300
RSID3;14/06/2023;13:25:00;3,85;3,85;3,85;3,85;5.775,00;1.500
RSID3;14/06/2023;13:05:00;3,83;3,85;3,83;3,85;6.537,00;1.700
