Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SANB11;16/06/2023;17:30:00;30,40;30,40;30,07;30,19;541.865,00;17.900
SANB11;16/06/2023;16:45:00;30,64;30,67;30,53;30,53;54.177.118,00;1.774.500
SANB11;16/06/2023;16:40:00;30,70;30,70;30,62;30,64;702.240,00;22.900
SANB11;16/06/2023;16:35:00;30,73;30,73;30,69;30,70;353.066,00;11.500
SANB11;16/06/2023;16:30:00;30,69;30,74;30,69;30,71;429.981,00;14.000
SANB11;16/06/2023;16:25:00;30,69;30,70;30,69;30,70;199.521,00;6.500
SANB11;16/06/2023;16:20:00;30,72;30,73;30,69;30,70;168.858,00;5.500
SANB11;16/06/2023;16:15:00;30,73;30,76;30,71;30,72;325.752,00;10.600
SANB11;16/06/2023;16:10:00;30,75;30,77;30,73;30,73;101.459,00;3.300
SANB11;16/06/2023;16:05:00;30,75;30,78;30,73;30,77;209.115,00;6.800
SANB11;16/06/2023;16:00:00;30,76;30,78;30,73;30,76;159.956,00;5.200
SANB11;16/06/2023;15:55:00;30,76;30,77;30,74;30,76;279.885,00;9.100
SANB11;16/06/2023;15:50:00;30,73;30,77;30,72;30,76;193.717,00;6.300
SANB11;16/06/2023;15:45:00;30,74;30,76;30,72;30,75;209.032,00;6.800
SANB11;16/06/2023;15:40:00;30,74;30,77;30,72;30,75;255.229,00;8.300
SANB11;16/06/2023;15:35:00;30,74;30,76;30,72;30,74;224.427,00;7.300
SANB11;16/06/2023;15:30:00;30,74;30,76;30,72;30,76;378.186,00;12.300
SANB11;16/06/2023;15:25:00;30,69;30,74;30,68;30,74;270.220,00;8.800
SANB11;16/06/2023;15:20:00;30,72;30,73;30,68;30,71;242.593,00;7.900
SANB11;16/06/2023;15:15:00;30,71;30,72;30,69;30,72;159.681,00;5.200
SANB11;16/06/2023;15:10:00;30,72;30,73;30,70;30,70;135.138,00;4.400
SANB11;16/06/2023;15:05:00;30,71;30,74;30,69;30,72;408.424,00;13.300
SANB11;16/06/2023;15:00:00;30,74;30,76;30,72;30,72;119.891,00;3.900
SANB11;16/06/2023;14:55:00;30,75;30,77;30,74;30,75;556.624,00;18.100
SANB11;16/06/2023;14:50:00;30,78;30,79;30,75;30,77;160.000,00;5.200
SANB11;16/06/2023;14:45:00;30,77;30,78;30,75;30,78;104.602,00;3.400
SANB11;16/06/2023;14:40:00;30,78;30,79;30,75;30,76;116.930,00;3.800
SANB11;16/06/2023;14:35:00;30,75;30,80;30,75;30,79;98.487,00;3.200
