Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SAPR4;16/06/2023;17:30:00;4,32;4,32;4,30;4,30;14.231,00;3.300
SAPR4;16/06/2023;16:45:00;4,32;4,32;4,30;4,32;598.109,00;138.800
SAPR4;16/06/2023;16:40:00;4,32;4,32;4,31;4,32;106.260,00;24.600
SAPR4;16/06/2023;16:35:00;4,32;4,32;4,31;4,32;104.866,00;24.300
SAPR4;16/06/2023;16:30:00;4,32;4,33;4,31;4,32;392.616,00;90.900
SAPR4;16/06/2023;16:25:00;4,32;4,32;4,31;4,32;35.413,00;8.200
SAPR4;16/06/2023;16:20:00;4,32;4,32;4,31;4,32;28.070,00;6.500
SAPR4;16/06/2023;16:15:00;4,32;4,32;4,31;4,32;280.609,00;65.100
SAPR4;16/06/2023;16:10:00;4,31;4,32;4,31;4,32;43.561,00;10.100
SAPR4;16/06/2023;16:05:00;4,32;4,32;4,31;4,32;54.330,00;12.600
SAPR4;16/06/2023;16:00:00;4,32;4,33;4,31;4,32;386.213,00;89.400
SAPR4;16/06/2023;15:55:00;4,32;4,32;4,31;4,31;31.501,00;7.300
SAPR4;16/06/2023;15:50:00;4,33;4,33;4,31;4,32;164.227,00;38.000
SAPR4;16/06/2023;15:45:00;4,33;4,33;4,32;4,32;29.412,00;6.800
SAPR4;16/06/2023;15:40:00;4,33;4,33;4,32;4,33;91.221,00;21.100
SAPR4;16/06/2023;15:35:00;4,33;4,33;4,32;4,33;41.074,00;9.500
SAPR4;16/06/2023;15:30:00;4,33;4,33;4,33;4,33;11.258,00;2.600
SAPR4;16/06/2023;15:25:00;4,33;4,33;4,33;4,33;29.877,00;6.900
SAPR4;16/06/2023;15:20:00;4,33;4,33;4,32;4,33;17.317,00;4.000
SAPR4;16/06/2023;15:15:00;4,32;4,33;4,32;4,33;4.760,00;1.100
SAPR4;16/06/2023;15:10:00;4,33;4,33;4,32;4,33;4.762,00;1.100
SAPR4;16/06/2023;15:05:00;4,34;4,34;4,33;4,33;192.292,00;44.400
SAPR4;16/06/2023;15:00:00;4,34;4,34;4,33;4,34;41.202,00;9.500
SAPR4;16/06/2023;14:55:00;4,34;4,34;4,33;4,34;48.974,00;11.300
SAPR4;16/06/2023;14:50:00;4,34;4,34;4,33;4,34;15.183,00;3.500
SAPR4;16/06/2023;14:45:00;4,34;4,34;4,33;4,34;27.736,00;6.400
SAPR4;16/06/2023;14:40:00;4,34;4,34;4,33;4,34;19.519,00;4.500
SAPR4;16/06/2023;14:35:00;4,33;4,34;4,33;4,34;11.282,00;2.600
SAPR4;16/06/2023;14:30:00;4,33;4,34;4,32;4,34;416.489,00;96.300
SAPR4;16/06/2023;14:25:00;4,33;4,33;4,32;4,33;54.493,00;12.600
SAPR4;16/06/2023;14:20:00;4,32;4,33;4,32;4,33;15.135,00;3.500
SAPR4;16/06/2023;14:15:00;4,32;4,33;4,31;4,32;267.390,00;61.900
SAPR4;16/06/2023;14:10:00;4,32;4,32;4,31;4,32;167.250,00;38.800
