Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SBFG3;16/06/2023;17:30:00;14,28;14,28;14,28;14,28;2.856,00;200
SBFG3;16/06/2023;16:45:00;14,27;14,30;14,24;14,25;15.005.865,00;1.052.800
SBFG3;16/06/2023;16:40:00;14,23;14,28;14,22;14,27;976.330,00;68.500
SBFG3;16/06/2023;16:35:00;14,29;14,32;14,22;14,23;1.424.730,00;99.800
SBFG3;16/06/2023;16:30:00;14,19;14,30;14,17;14,30;854.526,00;60.100
SBFG3;16/06/2023;16:25:00;14,19;14,20;14,15;14,18;1.335.902,00;94.200
SBFG3;16/06/2023;16:20:00;14,19;14,20;14,18;14,19;251.153,00;17.700
SBFG3;16/06/2023;16:15:00;14,18;14,20;14,18;14,19;427.057,00;30.100
SBFG3;16/06/2023;16:10:00;14,16;14,23;14,14;14,19;648.296,00;45.700
SBFG3;16/06/2023;16:05:00;14,19;14,22;14,15;14,16;502.263,00;35.400
SBFG3;16/06/2023;16:00:00;14,11;14,28;14,09;14,19;3.331.378,00;233.800
SBFG3;16/06/2023;15:55:00;14,09;14,12;14,08;14,10;173.409,00;12.300
SBFG3;16/06/2023;15:50:00;14,15;14,15;14,07;14,09;307.392,00;21.800
SBFG3;16/06/2023;15:45:00;14,11;14,19;14,09;14,15;1.743.641,00;123.000
SBFG3;16/06/2023;15:40:00;14,04;14,10;13,98;14,09;772.640,00;55.100
SBFG3;16/06/2023;15:35:00;14,03;14,06;13,98;14,03;1.268.860,00;90.500
SBFG3;16/06/2023;15:30:00;14,06;14,06;14,00;14,03;9.340.328,00;666.200
SBFG3;16/06/2023;15:25:00;14,09;14,09;14,00;14,06;461.914,00;32.900
SBFG3;16/06/2023;15:20:00;14,00;14,09;14,00;14,09;828.768,00;59.000
SBFG3;16/06/2023;15:15:00;13,97;14,00;13,97;13,98;359.496,00;25.700
SBFG3;16/06/2023;15:10:00;13,95;14,15;13,95;13,99;4.132.338,00;295.000
SBFG3;16/06/2023;15:05:00;13,97;13,97;13,91;13,94;207.680,00;14.900
SBFG3;16/06/2023;15:00:00;14,02;14,02;13,96;13,97;177.705,00;12.700
SBFG3;16/06/2023;14:55:00;13,96;14,02;13,96;14,02;236.595,00;16.900
SBFG3;16/06/2023;14:50:00;13,97;14,00;13,96;13,97;188.745,00;13.500
SBFG3;16/06/2023;14:45:00;13,96;13,98;13,95;13,98;281.985,00;20.200
SBFG3;16/06/2023;14:40:00;13,95;13,95;13,93;13,95;241.169,00;17.300
SBFG3;16/06/2023;14:35:00;13,86;13,97;13,85;13,96;2.140.163,00;153.500
SBFG3;16/06/2023;14:30:00;13,85;13,86;13,81;13,86;199.314,00;14.400
SBFG3;16/06/2023;14:25:00;13,82;13,88;13,82;13,85;233.900,00;16.900
SBFG3;16/06/2023;14:20:00;13,77;13,83;13,77;13,82;277.569,00;20.100
SBFG3;16/06/2023;14:15:00;13,78;13,84;13,78;13,78;216.663,00;15.700
SBFG3;16/06/2023;14:10:00;13,81;13,81;13,78;13,78;159.940,00;11.600
SBFG3;16/06/2023;14:05:00;13,82;13,83;13,79;13,80;244.469,00;17.700
SBFG3;16/06/2023;14:00:00;13,82;13,86;13,82;13,82;272.634,00;19.700
SBFG3;16/06/2023;13:55:00;13,77;13,85;13,76;13,83;280.167,00;20.300
SBFG3;16/06/2023;13:50:00;13,75;13,78;13,74;13,77;85.300,00;6.200
SBFG3;16/06/2023;13:45:00;13,72;13,75;13,71;13,74;287.179,00;20.900
SBFG3;16/06/2023;13:40:00;13,69;13,72;13,67;13,71;294.403,00;21.500
SBFG3;16/06/2023;13:35:00;13,69;13,70;13,67;13,69;132.697,00;9.700
SBFG3;16/06/2023;13:30:00;13,67;13,69;13,67;13,69;153.205,00;11.200
SBFG3;16/06/2023;13:25:00;13,68;13,68;13,66;13,66;251.506,00;18.400
SBFG3;16/06/2023;13:20:00;13,70;13,70;13,67;13,67;79.376,00;5.800
SBFG3;16/06/2023;13:15:00;13,68;13,70;13,67;13,70;7.040.207,00;515.000
SBFG3;16/06/2023;13:10:00;13,68;13,68;13,67;13,67;87.513,00;6.400
SBFG3;16/06/2023;13:05:00;13,66;13,68;13,65;13,67;902.227,00;66.000
SBFG3;16/06/2023;13:00:00;13,68;13,68;13,59;13,66;2.338.190,00;171.100
SBFG3;16/06/2023;12:55:00;13,64;13,68;13,63;13,67;347.001,00;25.400
SBFG3;16/06/2023;12:50:00;13,63;13,64;13,61;13,64;114.508,00;8.400
SBFG3;16/06/2023;12:45:00;13,63;13,63;13,62;13,63;59.952,00;4.400
SBFG3;16/06/2023;12:40:00;13,63;13,66;13,62;13,64;120.027,00;8.800
SBFG3;16/06/2023;12:35:00;13,62;13,64;13,60;13,63;130.675,00;9.600
SBFG3;16/06/2023;12:30:00;13,59;13,65;13,59;13,63;863.964,00;63.500
SBFG3;16/06/2023;12:25:00;13,55;13,59;13,54;13,59;128.875,00;9.500
SBFG3;16/06/2023;12:20:00;13,57;13,58;13,54;13,54;154.630,00;11.400
SBFG3;16/06/2023;12:15:00;13,55;13,57;13,51;13,54;139.424,00;10.300
SBFG3;16/06/2023;12:10:00;13,64;13,70;13,51;13,56;1.212.303,00;89.100
SBFG3;16/06/2023;12:05:00;13,62;13,65;13,62;13,63;120.016,00;8.800
SBFG3;16/06/2023;12:00:00;13,59;13,63;13,59;13,62;91.189,00;6.700
SBFG3;16/06/2023;11:55:00;13,61;13,64;13,59;13,59;142.895,00;10.500
SBFG3;16/06/2023;11:50:00;13,54;13,61;13,54;13,60;93.719,00;6.900
SBFG3;16/06/2023;11:45:00;13,55;13,56;13,52;13,56;134.109,00;9.900
SBFG3;16/06/2023;11:40:00;13,53;13,60;13,50;13,55;500.283,00;36.900
SBFG3;16/06/2023;11:35:00;13,47;13,54;13,44;13,53;199.307,00;14.800
SBFG3;16/06/2023;11:30:00;13,51;13,51;13,42;13,47;779.652,00;57.800
SBFG3;16/06/2023;11:25:00;13,55;13,56;13,49;13,51;1.619.825,00;119.800
SBFG3;16/06/2023;11:20:00;13,63;13,63;13,55;13,57;277.364,00;20.400
SBFG3;16/06/2023;11:15:00;13,68;13,68;13,62;13,63;227.785,00;16.700
SBFG3;16/06/2023;11:10:00;13,66;13,67;13,64;13,66;137.910,00;10.100
SBFG3;16/06/2023;11:05:00;13,64;13,67;13,62;13,67;288.094,00;21.100
SBFG3;16/06/2023;11:00:00;13,58;13,71;13,55;13,64;885.080,00;64.700
SBFG3;16/06/2023;10:55:00;13,54;13,58;13,52;13,57;180.270,00;13.300
SBFG3;16/06/2023;10:50:00;13,48;13,55;13,45;13,55;164.691,00;12.200
SBFG3;16/06/2023;10:45:00;13,45;13,51;13,45;13,48;106.508,00;7.900
SBFG3;16/06/2023;10:40:00;13,58;13,59;13,45;13,46;295.970,00;21.900
SBFG3;16/06/2023;10:35:00;13,54;13,58;13,53;13,57;58.274,00;4.300
SBFG3;16/06/2023;10:30:00;13,43;13,56;13,42;13,54;327.285,00;24.300
SBFG3;16/06/2023;10:25:00;13,46;13,49;13,40;13,41;146.478,00;10.900
SBFG3;16/06/2023;10:20:00;13,44;13,47;13,38;13,47;469.643,00;35.000
SBFG3;16/06/2023;10:15:00;13,36;13,45;13,33;13,42;60.264,00;4.500
SBFG3;16/06/2023;10:10:00;13,38;13,39;13,28;13,38;81.294,00;6.100
SBFG3;16/06/2023;10:05:00;13,45;13,48;13,40;13,41;88.752,00;6.600
SBFG3;16/06/2023;10:00:00;13,47;13,50;13,40;13,41;1.142.833,00;84.900
SBFG3;15/06/2023;17:30:00;13,55;13,55;13,50;13,50;4.060,00;300
SBFG3;15/06/2023;16:50:00;13,47;13,54;13,47;13,54;1.283.954,00;94.900
SBFG3;15/06/2023;16:45:00;13,49;13,51;13,47;13,49;296.780,00;22.000
SBFG3;15/06/2023;16:40:00;13,55;13,56;13,48;13,50;1.030.200,00;76.100
SBFG3;15/06/2023;16:35:00;13,48;13,55;13,46;13,55;417.573,00;30.900
SBFG3;15/06/2023;16:30:00;13,50;13,50;13,45;13,48;361.231,00;26.800
SBFG3;15/06/2023;16:25:00;13,54;13,59;13,46;13,48;445.881,00;33.000
SBFG3;15/06/2023;16:20:00;13,62;13,62;13,54;13,54;448.753,00;33.000
SBFG3;15/06/2023;16:15:00;13,58;13,62;13,58;13,61;405.333,00;29.800
SBFG3;15/06/2023;16:10:00;13,60;13,61;13,56;13,60;1.147.649,00;84.400
SBFG3;15/06/2023;16:05:00;13,61;13,63;13,58;13,60;208.077,00;15.300
SBFG3;15/06/2023;16:00:00;13,60;13,62;13,57;13,62;179.444,00;13.200
SBFG3;15/06/2023;15:55:00;13,60;13,60;13,56;13,60;218.725,00;16.100
SBFG3;15/06/2023;15:50:00;13,57;13,60;13,57;13,60;194.285,00;14.300
SBFG3;15/06/2023;15:45:00;13,56;13,58;13,54;13,57;124.763,00;9.200
SBFG3;15/06/2023;15:40:00;13,58;13,59;13,52;13,56;281.977,00;20.800
SBFG3;15/06/2023;15:35:00;13,54;13,59;13,49;13,58;1.557.323,00;115.300
SBFG3;15/06/2023;15:30:00;13,48;13,54;13,48;13,54;2.855.310,00;211.500
SBFG3;15/06/2023;15:25:00;13,49;13,50;13,47;13,48;124.019,00;9.200
SBFG3;15/06/2023;15:20:00;13,47;13,50;13,46;13,49;67.382,00;5.000
SBFG3;15/06/2023;15:15:00;13,50;13,54;13,45;13,47;383.360,00;28.400
SBFG3;15/06/2023;15:10:00;13,31;13,50;13,30;13,50;873.924,00;65.100
SBFG3;15/06/2023;15:05:00;13,33;13,33;13,28;13,31;168.922,00;12.700
SBFG3;15/06/2023;15:00:00;13,26;13,33;13,24;13,32;280.412,00;21.100
SBFG3;15/06/2023;14:55:00;13,25;13,29;13,23;13,26;255.728,00;19.300
SBFG3;15/06/2023;14:50:00;13,29;13,30;13,23;13,26;320.824,00;24.200
SBFG3;15/06/2023;14:45:00;13,34;13,34;13,26;13,30;1.681.324,00;126.100
