Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SBSP3;06/06/2023;11:20:00;53,16;53,24;53,14;53,24;361.576,00;6.800
SBSP3;06/06/2023;11:15:00;53,35;53,38;53,16;53,18;1.571.650,00;29.500
SBSP3;06/06/2023;11:10:00;53,26;53,39;53,22;53,39;378.447,00;7.100
SBSP3;06/06/2023;11:05:00;53,02;53,30;53,02;53,27;803.082,00;15.100
SBSP3;06/06/2023;11:00:00;52,91;53,07;52,90;53,01;1.346.072,00;25.400
SBSP3;06/06/2023;10:55:00;52,85;52,95;52,83;52,85;190.456,00;3.600
SBSP3;06/06/2023;10:50:00;52,88;52,98;52,83;52,83;259.309,00;4.900
SBSP3;06/06/2023;10:45:00;52,92;52,92;52,78;52,88;417.376,00;7.900
SBSP3;06/06/2023;10:40:00;52,96;52,96;52,80;52,89;2.823.978,00;53.400
SBSP3;06/06/2023;10:35:00;52,92;53,12;52,90;52,93;747.858,00;14.100
SBSP3;06/06/2023;10:30:00;52,75;53,09;52,74;52,94;1.424.176,00;26.900
SBSP3;06/06/2023;10:25:00;52,80;52,80;52,70;52,78;184.584,00;3.500
SBSP3;06/06/2023;10:20:00;52,61;52,80;52,55;52,80;110.584,00;2.100
SBSP3;06/06/2023;10:15:00;52,66;52,73;52,58;52,62;716.253,00;13.600
SBSP3;06/06/2023;10:10:00;52,66;52,75;52,56;52,66;715.378,00;13.600
SBSP3;06/06/2023;10:05:00;52,64;52,86;52,60;52,65;1.302.067,00;24.700
SBSP3;06/06/2023;10:00:00;52,44;52,60;52,44;52,60;461.666,00;8.800
SBSP3;05/06/2023;17:30:00;52,25;52,33;52,09;52,33;188.093,00;3.600
SBSP3;05/06/2023;16:50:00;52,37;52,38;52,17;52,24;16.019.881,00;306.600
SBSP3;05/06/2023;16:45:00;52,31;52,38;52,30;52,36;1.397.144,00;26.700
SBSP3;05/06/2023;16:40:00;52,33;52,36;52,30;52,31;1.219.014,00;23.300
SBSP3;05/06/2023;16:35:00;52,30;52,37;52,30;52,33;2.003.601,00;38.300
SBSP3;05/06/2023;16:30:00;52,19;52,35;52,19;52,30;4.351.032,00;83.200
SBSP3;05/06/2023;16:25:00;52,10;52,20;52,08;52,18;1.303.385,00;25.000
SBSP3;05/06/2023;16:20:00;52,07;52,12;52,05;52,10;484.408,00;9.300
SBSP3;05/06/2023;16:15:00;52,14;52,14;52,06;52,07;359.405,00;6.900
